drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID100023,RIDFLOcala,33,23012.81,5354,4369.87
DRG039,PID100062,RIDFLOcala,71,37153.53,5530.19,4290.47
DRG039,PID100212,RIDFLOcala,88,40038.31,5344.64,4328.48
DRG057,PID100023,RIDFLOcala,20,17982.75,4915,3915.4
DRG057,PID100062,RIDFLOcala,39,17164.17,5019.3,3925.71
DRG057,PID100212,RIDFLOcala,31,30328.93,4744.12,3876
DRG057,PID100249,RIDFLOcala,25,17921.68,4897.4,4267.32
DRG064,PID100023,RIDFLOcala,27,32238,9324.07,8492.66
DRG064,PID100062,RIDFLOcala,65,30287.27,9372.38,8575.7
DRG064,PID100212,RIDFLOcala,34,63748.97,9580.11,8471.47
DRG064,PID100249,RIDFLOcala,18,36971.22,9844.88,9095.55
DRG065,PID100023,RIDFLOcala,105,19669.18,6012.31,5067.4
DRG065,PID100062,RIDFLOcala,118,22898.83,6193.69,5182.11
DRG065,PID100212,RIDFLOcala,62,41139.25,6074,4743.04
DRG065,PID100249,RIDFLOcala,45,29384.26,6094.77,5296.2
DRG066,PID100023,RIDFLOcala,35,15084.45,4309,3281.34
DRG066,PID100062,RIDFLOcala,48,19560.29,4380.91,3372.16
DRG066,PID100212,RIDFLOcala,31,34935.09,4252.7,3344.96
DRG066,PID100249,RIDFLOcala,19,19093.47,4473.21,3412.57
DRG069,PID100023,RIDFLOcala,60,14318.96,3826.3,2792.9
DRG069,PID100062,RIDFLOcala,110,17832.1,3906.25,2918.5
DRG069,PID100212,RIDFLOcala,81,30420.67,3912.6,2734.13
DRG069,PID100249,RIDFLOcala,59,18060.32,3997.62,3027.79
DRG074,PID100023,RIDFLOcala,18,15656.94,4524,3586
DRG074,PID100062,RIDFLOcala,19,21659.42,4597.94,3886.36
DRG074,PID100212,RIDFLOcala,24,31176.7,4496.91,3654.58
DRG074,PID100249,RIDFLOcala,15,21050.13,4709.4,3734.73
DRG101,PID100023,RIDFLOcala,14,22239.64,4005,3196.42
DRG101,PID100062,RIDFLOcala,44,17927.68,4284,2994.09
DRG101,PID100212,RIDFLOcala,33,31205.51,4209.84,2842.66
DRG101,PID100249,RIDFLOcala,21,20587.85,4231.9,3183.95
DRG149,PID100062,RIDFLOcala,20,12963.9,3414,2408
DRG149,PID100212,RIDFLOcala,23,29295.69,3381.65,2219.47
DRG149,PID100249,RIDFLOcala,19,18072.73,3497.42,2552.57
DRG176,PID100023,RIDFLOcala,41,23519.21,5740.82,4697.07
DRG176,PID100062,RIDFLOcala,26,25177.19,5711.84,4962.34
DRG176,PID100212,RIDFLOcala,24,40056.2,5873.16,4494.7
DRG177,PID100023,RIDFLOcala,38,42033.65,10442.63,9851.05
DRG177,PID100062,RIDFLOcala,112,41614.83,10912.92,10234.16
DRG177,PID100212,RIDFLOcala,69,66975.23,10941.13,9634.26
DRG177,PID100249,RIDFLOcala,12,36561.5,10095.5,9723.5
DRG178,PID100023,RIDFLOcala,30,32879.93,7424.5,6489.7
DRG178,PID100062,RIDFLOcala,57,29424.21,7857.82,7109.89
DRG178,PID100212,RIDFLOcala,40,39260.45,7510.02,6805.97
DRG178,PID100249,RIDFLOcala,11,33783.45,7579.81,7065.27
DRG189,PID100023,RIDFLOcala,66,27317.06,7252.22,5986.98
DRG189,PID100062,RIDFLOcala,202,27332.03,6983.73,6092.32
DRG189,PID100212,RIDFLOcala,77,42096,6909.1,5884.36
DRG189,PID100249,RIDFLOcala,44,22821.34,6960.15,6271.34
DRG190,PID100023,RIDFLOcala,114,24623.25,6220.62,5335.1
DRG190,PID100062,RIDFLOcala,136,23779.3,6347.27,5379.69
DRG190,PID100212,RIDFLOcala,123,36405.73,6272.27,5022.81
DRG190,PID100249,RIDFLOcala,53,23220,6458.6,5695.13
DRG191,PID100023,RIDFLOcala,104,21478.78,5096.81,4137.12
DRG191,PID100062,RIDFLOcala,90,19673.15,5154.4,4345.02
DRG191,PID100212,RIDFLOcala,115,31052.54,5012.63,4192.62
DRG191,PID100249,RIDFLOcala,123,18102.27,5285.82,4437.73
DRG192,PID100023,RIDFLOcala,118,16678.06,3918.71,2782.53
DRG192,PID100062,RIDFLOcala,62,16147.51,3995.2,2898.3
DRG192,PID100212,RIDFLOcala,78,25788.3,3944.06,2721.71
DRG192,PID100249,RIDFLOcala,73,15450.86,3946.42,3055.35
