drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID100006,RIDFLOrlando,40,43779.57,6849.75,5685.77
DRG039,PID100007,RIDFLOrlando,93,33949.48,6845.37,5042.31
DRG039,PID100019,RIDFLOrlando,36,27803.88,6449.05,4001.66
DRG039,PID100028,RIDFLOrlando,20,33542.95,5709.1,4701.5
DRG039,PID100049,RIDFLOrlando,13,51589.38,5754.38,4148
DRG039,PID100052,RIDFLOrlando,30,50103.06,6119,4412.13
DRG039,PID100057,RIDFLOrlando,28,27309.6,5625.5,4701.35
DRG039,PID100072,RIDFLOrlando,16,22876.68,7314.68,4357.43
DRG039,PID100084,RIDFLOrlando,66,20457.98,5664.03,4639.18
DRG039,PID100092,RIDFLOrlando,43,31092.09,5847.81,4480.62
DRG039,PID100099,RIDFLOrlando,11,70446.09,5519.63,4596.36
DRG039,PID100105,RIDFLOrlando,59,15572.64,6288.79,4932.86
DRG039,PID100109,RIDFLOrlando,21,30826.04,5874.57,4962.76
DRG039,PID100110,RIDFLOrlando,14,63901.78,7020.85,5243.42
DRG039,PID100161,RIDFLOrlando,23,57357.34,6204.91,4499.86
DRG039,PID100217,RIDFLOrlando,12,54725.91,6160.16,4466.91
DRG039,PID100246,RIDFLOrlando,50,56526.34,8755.26,5358.4
DRG039,PID100290,RIDFLOrlando,34,17261.08,5390,4332.11
DRG057,PID100006,RIDFLOrlando,73,27545.01,6355.53,5265.76
DRG057,PID100007,RIDFLOrlando,224,26941.47,6077.88,5134.23
DRG057,PID100019,RIDFLOrlando,37,29571.37,5125.27,4320.13
DRG057,PID100030,RIDFLOrlando,19,21912.42,5665.47,4927.47
DRG057,PID100045,RIDFLOrlando,12,15144.83,5206.5,4362.83
DRG057,PID100052,RIDFLOrlando,27,29567.11,5344.81,4262.59
DRG057,PID100057,RIDFLOrlando,26,18056.34,5032.46,4299.69
DRG057,PID100072,RIDFLOrlando,16,21619.18,5101,4185.25
DRG057,PID100084,RIDFLOrlando,39,18216.35,4896.3,4090.97
DRG057,PID100092,RIDFLOrlando,42,18122.3,5062.73,4260.26
DRG057,PID100105,RIDFLOrlando,32,11891.53,5248.5,4360.68
DRG057,PID100109,RIDFLOrlando,25,21999.8,5245.92,4399.68
DRG057,PID100110,RIDFLOrlando,28,34715.46,5892.14,4612
DRG057,PID100137,RIDFLOrlando,20,25729,5436.45,4710.25
DRG057,PID100161,RIDFLOrlando,17,26137.7,5300.58,4238.94
DRG057,PID100246,RIDFLOrlando,22,36563.13,6643.09,5170.45
DRG057,PID100290,RIDFLOrlando,58,21174.77,4860.39,4070.12
DRG057,PID100302,RIDFLOrlando,12,24381.16,5055.5,4023.16
DRG064,PID100006,RIDFLOrlando,104,66680.62,14352.96,13112.13
DRG064,PID100007,RIDFLOrlando,180,69499.64,13645.76,12186.08
DRG064,PID100019,RIDFLOrlando,74,50149.82,10565.12,9522.13
DRG064,PID100028,RIDFLOrlando,26,39275.26,10622.15,9763.73
DRG064,PID100030,RIDFLOrlando,11,30471,10582.09,9758.81
DRG064,PID100045,RIDFLOrlando,17,26559.7,10966.7,10302.7
DRG064,PID100052,RIDFLOrlando,30,52201.56,10482.83,9659.1
DRG064,PID100057,RIDFLOrlando,20,27232.35,9891.55,8940.55
DRG064,PID100072,RIDFLOrlando,14,42822.71,10870.85,9914.28
DRG064,PID100084,RIDFLOrlando,53,33789.47,10288.98,9547.47
DRG064,PID100092,RIDFLOrlando,20,36979.55,10572.35,9616.55
DRG064,PID100099,RIDFLOrlando,12,83906.75,10394.41,9477.33
DRG064,PID100105,RIDFLOrlando,42,20754.28,11548.71,9325.21
DRG064,PID100109,RIDFLOrlando,28,57316.25,10659.6,9896.03
DRG064,PID100110,RIDFLOrlando,25,73588.44,14538.2,9947.04
DRG064,PID100137,RIDFLOrlando,11,67924.72,10564.09,9949.54
DRG064,PID100161,RIDFLOrlando,29,53985.13,11092.72,10111.51
DRG064,PID100177,RIDFLOrlando,14,46318.71,10620.57,9740.35
DRG064,PID100246,RIDFLOrlando,38,90016.26,12680.55,11399.39
DRG064,PID100252,RIDFLOrlando,15,59576.6,12064.4,11244.93
DRG064,PID100290,RIDFLOrlando,33,42330.6,10472.42,9587.33
