drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID100017,RIDFLOrmondBeach,55,19028,7061.41,4850.74
DRG039,PID100068,RIDFLOrmondBeach,56,20658.8,5598.46,4611.96
DRG039,PID100118,RIDFLOrmondBeach,13,19365.61,6721,5857.61
DRG057,PID100017,RIDFLOrmondBeach,26,19845.3,5560.34,4782.8
DRG064,PID100014,RIDFLOrmondBeach,11,23770,9875.36,8849.18
DRG064,PID100017,RIDFLOrmondBeach,44,41635.54,12653.59,10511.36
DRG064,PID100068,RIDFLOrmondBeach,36,32893.25,10134.66,9326
DRG064,PID100118,RIDFLOrmondBeach,23,26482.69,11464.39,10440.56
DRG065,PID100014,RIDFLOrmondBeach,25,18516.92,5990.16,4824.44
DRG065,PID100017,RIDFLOrmondBeach,62,26777,7516.8,6273.48
DRG065,PID100068,RIDFLOrmondBeach,45,25023.46,6133.13,5209.48
DRG065,PID100118,RIDFLOrmondBeach,38,20212.02,7558.84,6308.23
DRG066,PID100014,RIDFLOrmondBeach,16,14143.43,4131.87,3218.12
DRG066,PID100017,RIDFLOrmondBeach,43,20496.83,5502.41,3890.44
DRG066,PID100068,RIDFLOrmondBeach,25,18715.32,4757.04,3334.8
DRG066,PID100118,RIDFLOrmondBeach,34,17748.64,5632.82,4006.05
DRG069,PID100017,RIDFLOrmondBeach,66,18178.68,4819.27,3398.12
DRG069,PID100068,RIDFLOrmondBeach,37,21432.1,4020.56,3170.83
DRG069,PID100118,RIDFLOrmondBeach,17,17539.88,4824,3766.11
DRG074,PID100017,RIDFLOrmondBeach,20,20652.3,5573.6,4481.1
DRG101,PID100014,RIDFLOrmondBeach,12,13603.75,3843.83,3094.5
DRG101,PID100017,RIDFLOrmondBeach,48,16710.79,4714.87,3731.72
DRG101,PID100068,RIDFLOrmondBeach,19,17886.26,4027.94,3065.94
DRG101,PID100118,RIDFLOrmondBeach,11,17019.27,5027,4106.63
DRG149,PID100017,RIDFLOrmondBeach,15,15223.86,3957.33,2829.6
DRG149,PID100068,RIDFLOrmondBeach,16,17236.5,3516,2600.25
DRG149,PID100118,RIDFLOrmondBeach,12,15949.25,4216,3097.33
DRG176,PID100014,RIDFLOrmondBeach,12,18575.25,5379.33,4818.66
DRG176,PID100017,RIDFLOrmondBeach,25,21394.52,6507.36,5649.6
DRG176,PID100068,RIDFLOrmondBeach,12,16944.66,5821,4980
