drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID100026,RIDFLPanamaCity,33,21907.9,5837.63,4520.21
DRG039,PID100242,RIDFLPanamaCity,22,82456.95,5910.45,4990.09
DRG057,PID100026,RIDFLPanamaCity,20,16213.95,5240.85,4223.65
DRG064,PID100026,RIDFLPanamaCity,59,38045.61,10448.54,8880.52
DRG064,PID100242,RIDFLPanamaCity,22,88901.09,11153.54,10393.36
DRG065,PID100026,RIDFLPanamaCity,92,22366,6429.01,5559.42
DRG065,PID100242,RIDFLPanamaCity,26,41655.73,6454.46,5591.07
DRG066,PID100026,RIDFLPanamaCity,44,16493.15,4585.72,3839.75
DRG066,PID100242,RIDFLPanamaCity,25,34254.52,4668.52,3758
DRG069,PID100026,RIDFLPanamaCity,126,16022.66,4135.42,3105.1
DRG069,PID100242,RIDFLPanamaCity,57,32646.92,4311.92,3309.77
DRG074,PID100026,RIDFLPanamaCity,31,17248.9,4879.7,4242.74
DRG074,PID100242,RIDFLPanamaCity,15,42383.73,5267.66,3532.46
DRG101,PID100026,RIDFLPanamaCity,40,15182.3,4267.3,3443.52
DRG101,PID100242,RIDFLPanamaCity,15,27903,4543.93,3074.73
DRG149,PID100026,RIDFLPanamaCity,25,12885.56,3591.32,2560.12
DRG149,PID100242,RIDFLPanamaCity,14,26631.71,3702.57,2662.85
DRG177,PID100026,RIDFLPanamaCity,59,32502.5,11068.4,10347.59
DRG177,PID100242,RIDFLPanamaCity,22,81628.27,11721.27,10748
DRG178,PID100026,RIDFLPanamaCity,51,28597.64,8076.43,7192.68
DRG178,PID100242,RIDFLPanamaCity,17,80101.58,8308.17,7282.64
DRG189,PID100026,RIDFLPanamaCity,64,20239.45,7236.04,6363.89
DRG189,PID100242,RIDFLPanamaCity,42,49505.78,7803.64,6322.47
DRG190,PID100026,RIDFLPanamaCity,168,19237.45,6566.73,5658.6
DRG190,PID100242,RIDFLPanamaCity,62,61929.27,7033.61,5708.24
DRG191,PID100026,RIDFLPanamaCity,126,16504.07,5485.3,4600.13
DRG191,PID100242,RIDFLPanamaCity,71,55212.26,5648.71,4945.98
DRG191,PID100313,RIDFLPanamaCity,13,14107.53,5235.38,4200.38
