drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID100025,RIDFLPensacola,53,23985.66,6403.96,5471.43
DRG039,PID100093,RIDFLPensacola,24,33010.75,5883.75,4682
DRG039,PID100223,RIDFLPensacola,24,62688.87,5545.62,4656.12
DRG039,PID100231,RIDFLPensacola,14,65676.42,5325.5,4357.5
DRG057,PID100025,RIDFLPensacola,33,15899.48,6000.09,4406.81
DRG057,PID100122,RIDFLPensacola,17,28411.52,6330.35,4281.64
DRG057,PID100223,RIDFLPensacola,18,48428.83,4823.72,3759.94
DRG057,PID100231,RIDFLPensacola,12,38970,4813,4063.66
DRG064,PID100025,RIDFLPensacola,51,31200.82,11499.92,10062.35
DRG064,PID100093,RIDFLPensacola,41,38797.26,10611.17,9606.87
DRG064,PID100223,RIDFLPensacola,39,100005.66,10358.76,9592.87
DRG064,PID100231,RIDFLPensacola,23,57995.82,10579.04,9747.91
DRG065,PID10036,RIDFLPensacola,21,15989.9,6136.9,5011.52
DRG065,PID10169,RIDFLPensacola,11,20995,5966.81,5155.18
DRG065,PID100025,RIDFLPensacola,89,18920.02,7445.02,6095.21
DRG065,PID100093,RIDFLPensacola,42,28326.76,6704.28,5438.85
DRG065,PID100122,RIDFLPensacola,20,49721.7,6461.8,5449.4
DRG065,PID100223,RIDFLPensacola,79,64067.37,6593.51,5315.31
DRG065,PID100231,RIDFLPensacola,63,34094.11,5959.23,4931.26
DRG065,PID100266,RIDFLPensacola,15,24631.66,5874,4895.06
DRG066,PID10036,RIDFLPensacola,19,13356.47,4540.21,3590.31
DRG066,PID100025,RIDFLPensacola,42,13231.26,5137.54,4147.92
DRG066,PID100093,RIDFLPensacola,20,17125,4779.15,3277.15
DRG066,PID100223,RIDFLPensacola,44,44966.27,5055.79,3365.52
DRG066,PID100231,RIDFLPensacola,28,26244.6,5284.78,2904.89
DRG066,PID100292,RIDFLPensacola,21,19509.14,4455.76,3084.28
DRG069,PID10036,RIDFLPensacola,24,12116.75,4082.66,3240.33
DRG069,PID10099,RIDFLPensacola,12,7195.08,4026,3098.66
DRG069,PID100025,RIDFLPensacola,29,16624.41,4621.68,3652.44
DRG069,PID100093,RIDFLPensacola,38,20513.71,4330.1,3093.92
DRG069,PID100122,RIDFLPensacola,40,32118.8,4100,3227.5
DRG069,PID100223,RIDFLPensacola,69,40401.14,4078.37,2980.26
DRG069,PID100231,RIDFLPensacola,46,28266.15,4073.1,2825.63
DRG069,PID100266,RIDFLPensacola,11,19801,3681,2663.54
DRG074,PID100025,RIDFLPensacola,29,17196.41,5482.24,4591.06
DRG074,PID100093,RIDFLPensacola,13,31941.3,4887,4131.84
DRG074,PID100124,RIDFLPensacola,12,17477.33,5369.33,3535.16
DRG074,PID100223,RIDFLPensacola,16,45447.06,5017.18,3766.68
DRG074,PID100231,RIDFLPensacola,14,31644.92,4497.57,3615
DRG101,PID10036,RIDFLPensacola,11,9547.72,4278,3357.63
DRG101,PID100025,RIDFLPensacola,18,14381.44,4818.66,3941.77
DRG101,PID100093,RIDFLPensacola,17,20434.64,4171.88,3239.64
DRG101,PID100122,RIDFLPensacola,12,34064.16,4276.16,3301.66
DRG101,PID100223,RIDFLPensacola,19,37627.26,4029.42,3317.84
DRG101,PID100231,RIDFLPensacola,21,25741.19,3928.42,3153.66
DRG149,PID100025,RIDFLPensacola,11,12532.27,4041.09,3117.81
DRG149,PID100231,RIDFLPensacola,11,25218.09,3339.45,2319.09
DRG149,PID100266,RIDFLPensacola,11,13593.9,3217,2187.9
DRG176,PID100025,RIDFLPensacola,26,18839.69,8178.5,5732.88
DRG176,PID100093,RIDFLPensacola,24,25675.66,6054.58,5307.91
DRG176,PID100223,RIDFLPensacola,18,52161.38,6487.77,4642.83
DRG176,PID100231,RIDFLPensacola,24,36437.25,5990.45,4451.91
DRG177,PID10169,RIDFLPensacola,13,43417.38,10371.61,9440.46
DRG177,PID100025,RIDFLPensacola,36,32653.88,12429.22,11662.38
DRG177,PID100093,RIDFLPensacola,17,43924.47,11549.41,10743.58
DRG177,PID100122,RIDFLPensacola,12,76096.33,10683.66,10214.66
DRG177,PID100223,RIDFLPensacola,22,102300.95,11243.81,10533.63
DRG177,PID100231,RIDFLPensacola,32,82304.46,10813.9,9862.78
DRG177,PID100292,RIDFLPensacola,15,48404.4,9207.13,8702
DRG178,PID100025,RIDFLPensacola,41,23377.02,9083.58,7964.31
DRG178,PID100081,RIDFLPensacola,11,29667.36,8292,8089.09
DRG178,PID100093,RIDFLPensacola,12,21836.08,7826.91,7266.25
DRG178,PID100122,RIDFLPensacola,15,59006.8,8074.4,7238.2
DRG178,PID100223,RIDFLPensacola,21,67012.8,7885.38,7349.38
DRG178,PID100231,RIDFLPensacola,30,57522.23,7677.6,6984.86
DRG193,PID100054,RIDFLPensacola,20,69529.45,7300.55,6626.15
DRG189,PID10036,RIDFLPensacola,12,25853.83,7043.91,5708.75
DRG189,PID100025,RIDFLPensacola,46,22466,8101.93,7475.91
DRG189,PID100093,RIDFLPensacola,24,30853.66,7259.83,6790.83
DRG189,PID100122,RIDFLPensacola,12,51980.25,7183.5,6528.5
DRG189,PID100223,RIDFLPensacola,48,57848.2,6861.81,6203.47
DRG189,PID100231,RIDFLPensacola,28,47309.71,7166.1,5773.96
DRG189,PID100266,RIDFLPensacola,12,22553.75,6449,5891
DRG190,PID10036,RIDFLPensacola,35,23507.77,6560.28,5648.85
DRG190,PID10099,RIDFLPensacola,16,11996.81,6429.31,5794.56
DRG190,PID10169,RIDFLPensacola,22,24408.59,6227.63,5260.18
DRG190,PID100025,RIDFLPensacola,67,19599.31,7401.32,6563.23
DRG190,PID100048,RIDFLPensacola,25,25707.56,7382.2,6528.28
DRG190,PID100054,RIDFLPensacola,38,60247.78,6040.39,5421.55
DRG190,PID100081,RIDFLPensacola,24,16997.5,6274.37,5344
DRG190,PID100093,RIDFLPensacola,73,26800.17,6641.41,5350.42
DRG190,PID100122,RIDFLPensacola,62,40824.8,6460.11,5863.27
DRG190,PID100124,RIDFLPensacola,50,30663.18,6799.8,6081.72
DRG190,PID100223,RIDFLPensacola,76,50468.84,6721.22,5422.02
DRG190,PID100231,RIDFLPensacola,80,42343.66,6157.71,5403.45
DRG190,PID100266,RIDFLPensacola,51,27900.15,5924.52,5110.17
DRG190,PID100292,RIDFLPensacola,37,35141,6449.48,5480.91
DRG191,PID10036,RIDFLPensacola,44,16588.93,5348.31,4396.27
DRG191,PID10099,RIDFLPensacola,22,11330.54,5309.68,4593.68
DRG191,PID10169,RIDFLPensacola,18,20230.05,4941.44,4195.66
DRG191,PID100025,RIDFLPensacola,67,17745.82,6149.38,5328.19
DRG191,PID100048,RIDFLPensacola,15,21535.93,5870.66,4740.13
DRG191,PID100054,RIDFLPensacola,27,43020.37,4965.96,4184.59
DRG191,PID100093,RIDFLPensacola,40,22535.85,5456.27,4759.05
DRG191,PID100122,RIDFLPensacola,91,36182.5,6180.53,4580.65
DRG191,PID100124,RIDFLPensacola,64,26581.67,5586.18,4955.43
DRG191,PID100223,RIDFLPensacola,80,51948.62,5339.43,4347.92
DRG191,PID100231,RIDFLPensacola,101,30679.9,5190.29,4045.2
DRG191,PID100266,RIDFLPensacola,32,23271.37,4799.68,3953.68
DRG191,PID100292,RIDFLPensacola,20,25481.95,6867.7,3665.15
DRG192,PID10036,RIDFLPensacola,70,13095.94,4346.6,2813.57
DRG192,PID10066,RIDFLPensacola,17,6734.76,4114.41,3187.82
DRG192,PID10099,RIDFLPensacola,37,8620.13,3984.64,3120.02
DRG192,PID10169,RIDFLPensacola,14,16826.5,3869,3071.85
DRG192,PID100025,RIDFLPensacola,41,12047.26,4674.63,3491.97
DRG192,PID100048,RIDFLPensacola,11,18697.27,4469.72,3005.36
DRG192,PID100054,RIDFLPensacola,28,38081.28,3664.96,2738.53
DRG192,PID100081,RIDFLPensacola,19,12987.21,3896.63,3185.05
DRG192,PID100093,RIDFLPensacola,33,16330.03,4191.66,3141.15
DRG192,PID100122,RIDFLPensacola,95,28972.61,4334.57,3236.75
DRG192,PID100124,RIDFLPensacola,50,20679.28,4195.56,3208.16
