drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID100070,RIDFLSarasota,49,32372.38,5511.06,4573
DRG039,PID100087,RIDFLSarasota,92,26361.33,5689.8,4666.79
DRG039,PID100166,RIDFLSarasota,20,35750.15,5418,4402.4
DRG057,PID100070,RIDFLSarasota,21,14154.9,4885.38,4082.9
DRG057,PID100087,RIDFLSarasota,15,13140.26,4758.93,3935.2
DRG064,PID100070,RIDFLSarasota,52,37078.63,9718.67,8878.28
DRG064,PID100087,RIDFLSarasota,67,31394.7,9943.46,8755.34
DRG064,PID100166,RIDFLSarasota,16,64634.93,10099.68,9258.68
DRG065,PID100070,RIDFLSarasota,98,20051.08,5990.04,4984.92
DRG065,PID100087,RIDFLSarasota,142,20768.71,6107.31,5200.62
DRG065,PID100166,RIDFLSarasota,27,34331.62,5689.66,4854.7
DRG065,PID100175,RIDFLSarasota,13,18742.53,7610.61,5667.46
DRG066,PID100070,RIDFLSarasota,53,18054.35,4297.98,3278.2
DRG066,PID100087,RIDFLSarasota,82,18040.18,4531.71,3479
DRG066,PID100166,RIDFLSarasota,17,31354.64,4361.05,3367.88
DRG069,PID100070,RIDFLSarasota,67,16593.62,3906.89,2894.8
DRG069,PID100087,RIDFLSarasota,47,20020.48,4082.4,3176.02
DRG069,PID100166,RIDFLSarasota,22,28821.22,3889,2918.63
DRG069,PID100175,RIDFLSarasota,17,13843.94,5446.47,3444.7
DRG069,PID100267,RIDFLSarasota,25,29767.84,3935.72,2806.96
DRG074,PID100070,RIDFLSarasota,17,19907.76,4579,3585.82
DRG074,PID100087,RIDFLSarasota,18,19430.5,4803.11,4055.55
DRG101,PID100070,RIDFLSarasota,33,19190.06,4091.24,3046.06
DRG101,PID100087,RIDFLSarasota,29,17378.13,4279.55,3463.13
DRG101,PID100166,RIDFLSarasota,13,28601.15,4140.23,3120.46
DRG149,PID100070,RIDFLSarasota,22,17291.9,3399,2481.54
DRG149,PID100087,RIDFLSarasota,14,10790.71,3573.57,2533.85
DRG176,PID100070,RIDFLSarasota,30,24812.7,5605.93,4478.7
DRG176,PID100087,RIDFLSarasota,47,21838.85,6311.93,4665.8
DRG177,PID100070,RIDFLSarasota,32,46975.15,10682.68,9910.43
DRG177,PID100087,RIDFLSarasota,54,35417.88,11097.25,10265.25
DRG177,PID100166,RIDFLSarasota,26,73071.07,10210.73,9736.73
DRG177,PID100267,RIDFLSarasota,16,83568.37,10826.37,10195.62
DRG178,PID100070,RIDFLSarasota,41,35352.73,7693.29,6946.39
DRG178,PID100087,RIDFLSarasota,68,28233.41,8199.66,7171.91
DRG178,PID100166,RIDFLSarasota,26,51354.3,7812.65,6532.5
DRG178,PID100267,RIDFLSarasota,12,69658.25,7915,7260
DRG189,PID100070,RIDFLSarasota,35,29205.22,6833.77,6082.48
DRG189,PID100087,RIDFLSarasota,108,28316.12,7206.65,6600.7
DRG189,PID100166,RIDFLSarasota,21,55176.66,6814,6333.42
DRG189,PID100175,RIDFLSarasota,12,31033.25,7599.41,7319.08
DRG190,PID100070,RIDFLSarasota,70,27630.05,6303.74,5581.05
DRG190,PID100087,RIDFLSarasota,90,22702.08,6567.97,5625.47
DRG190,PID100166,RIDFLSarasota,33,43452.54,6214.9,5474.63
DRG190,PID100175,RIDFLSarasota,32,26691.75,7275.43,6571.93
DRG190,PID100267,RIDFLSarasota,38,46205.68,5857.18,4999.18
DRG191,PID100070,RIDFLSarasota,106,23319.47,5107.95,4270.93
DRG191,PID100087,RIDFLSarasota,111,19046.87,5526.28,4477.47
DRG191,PID100166,RIDFLSarasota,38,37620.76,5070.97,4223.68
DRG191,PID100175,RIDFLSarasota,20,17979.05,6833.95,4894.7
DRG191,PID100267,RIDFLSarasota,42,34925.73,5095.61,4129.04
DRG192,PID100070,RIDFLSarasota,56,17658.66,3838.94,2854.16
DRG192,PID100087,RIDFLSarasota,82,15885.54,4109.73,2987.19
DRG192,PID100166,RIDFLSarasota,25,27734.64,3781.52,2927.6
DRG192,PID100175,RIDFLSarasota,30,16308.63,5330.66,3300.86
DRG192,PID100267,RIDFLSarasota,32,31299.53,3796.4,2810.9
DRG193,PID100070,RIDFLSarasota,47,36097.78,7625.74,6910.68
DRG193,PID100087,RIDFLSarasota,74,25501.83,8159.72,7354.59
DRG193,PID100166,RIDFLSarasota,30,51558.7,7823.93,6936.26
DRG193,PID100175,RIDFLSarasota,25,31260.48,9942.88,8119.6
DRG193,PID100267,RIDFLSarasota,15,62118.66,8113.53,6203.2
DRG194,PID100070,RIDFLSarasota,88,22690.34,5339.76,4470.12
DRG194,PID100087,RIDFLSarasota,148,21883.94,5597.14,4590.35
DRG194,PID100166,RIDFLSarasota,35,36281.31,5342.22,4410.68
DRG194,PID100175,RIDFLSarasota,61,22038.62,6672.86,5429.01
DRG194,PID100267,RIDFLSarasota,31,44862.9,5198.03,4364.35
DRG195,PID100070,RIDFLSarasota,34,14862.14,3767.94,2809.94
DRG195,PID100087,RIDFLSarasota,69,13830.37,4073.36,2868.68
DRG195,PID100166,RIDFLSarasota,29,29850.65,3775.03,2728.82
DRG195,PID100175,RIDFLSarasota,13,14790.38,4395.07,3444.61
DRG195,PID100267,RIDFLSarasota,20,37712.95,3706.05,2693.65
DRG202,PID100070,RIDFLSarasota,16,27683.68,4482,3637
DRG202,PID100087,RIDFLSarasota,29,18683.51,4703.96,3890.86
DRG203,PID100087,RIDFLSarasota,21,11345.61,3395.28,2380.23
DRG207,PID100070,RIDFLSarasota,14,95228.42,26729.5,25920.92
DRG207,PID100087,RIDFLSarasota,27,103176.96,29613.62,26791.25
DRG208,PID100070,RIDFLSarasota,41,58868.85,12666.97,11404.21
DRG208,PID100087,RIDFLSarasota,83,48420.78,13111.26,11894.95
DRG208,PID100166,RIDFLSarasota,24,68017.7,11734.08,10937.58
DRG238,PID100070,RIDFLSarasota,53,167706.98,21214.75,20259.09
DRG238,PID100087,RIDFLSarasota,91,100425.94,18115.7,16663.8
DRG238,PID100166,RIDFLSarasota,11,147147.9,18820.27,14163.54
DRG243,PID100070,RIDFLSarasota,26,101354.07,14065.42,13243.11
DRG243,PID100087,RIDFLSarasota,43,70828.18,15092.69,14231.44
DRG243,PID100166,RIDFLSarasota,23,79516.47,14421.17,12361
DRG243,PID100267,RIDFLSarasota,19,58981.52,13608.1,11887.89
DRG244,PID100070,RIDFLSarasota,32,89002.5,10822.15,9945.78
DRG244,PID100087,RIDFLSarasota,50,52005.8,11528.96,10198.34
DRG244,PID100267,RIDFLSarasota,11,54203,10755.36,9735
DRG246,PID100070,RIDFLSarasota,18,94115.11,17911.83,15234.44
DRG246,PID100087,RIDFLSarasota,34,89929.35,18274.76,17384.29
DRG247,PID100070,RIDFLSarasota,128,73912.13,10771.52,9202.96
DRG247,PID100087,RIDFLSarasota,128,62265.87,11186.53,9664.7
DRG249,PID100070,RIDFLSarasota,30,64920.83,9595.83,8228.96
DRG249,PID100087,RIDFLSarasota,46,52888.04,10197.45,8481.58
DRG251,PID100087,RIDFLSarasota,59,61795.15,10542.1,9824.3
DRG252,PID100070,RIDFLSarasota,20,148039.9,21184.95,20733.7
DRG252,PID100087,RIDFLSarasota,31,77823.83,16995.16,16198
DRG252,PID100166,RIDFLSarasota,11,205175.81,21604.45,19396.09
DRG253,PID100070,RIDFLSarasota,29,88653.34,13130.34,12624
DRG253,PID100087,RIDFLSarasota,43,65842.04,14401.72,12551.58
DRG253,PID100166,RIDFLSarasota,11,94764.72,12807.9,11993.36
DRG254,PID100070,RIDFLSarasota,17,146856.11,15052,14389.88
DRG254,PID100087,RIDFLSarasota,46,54088.93,9351.69,8267.08
DRG280,PID100070,RIDFLSarasota,68,32636.38,9535.1,8471.98
DRG280,PID100087,RIDFLSarasota,62,32514.75,9935.38,9289.88
DRG280,PID100166,RIDFLSarasota,38,75125,9299.6,8322.55
DRG280,PID100267,RIDFLSarasota,29,57103.1,7968,6791.89
DRG281,PID100070,RIDFLSarasota,46,23973.82,6315.95,5380.47
DRG281,PID100087,RIDFLSarasota,92,26320.05,6574.35,5718.96
DRG281,PID100166,RIDFLSarasota,32,45374.28,5622,4760.31
DRG281,PID100267,RIDFLSarasota,24,38253.29,5688,4797.16
DRG282,PID100070,RIDFLSarasota,34,25540.11,4290.29,3330.41
DRG282,PID100087,RIDFLSarasota,54,21574.85,4564.05,3431.07
DRG282,PID100166,RIDFLSarasota,11,36864.9,4219.09,3504.54
DRG282,PID100267,RIDFLSarasota,18,36389.88,4695.61,3273.83
DRG286,PID100087,RIDFLSarasota,30,49078.53,11816.76,10884.9
DRG286,PID100166,RIDFLSarasota,13,107523.15,10647,9870.69
DRG287,PID100070,RIDFLSarasota,87,35793.77,5768.78,4701.04
DRG287,PID100087,RIDFLSarasota,116,29803.69,6072.75,5008.68
DRG287,PID100166,RIDFLSarasota,25,63276.6,5694.44,4839.24
DRG287,PID100267,RIDFLSarasota,16,58879.81,5829.93,4723.43
DRG291,PID100087,RIDFLSarasota,148,25694.8,8155.62,7401.83
DRG291,PID100070,RIDFLSarasota,116,30723.37,7730.27,7040.49
DRG291,PID100166,RIDFLSarasota,72,44621.41,7710.37,6822.19
DRG291,PID100175,RIDFLSarasota,26,25527.84,8684.11,7989.96
DRG291,PID100267,RIDFLSarasota,52,49042.69,7340.09,6624.26
DRG292,PID100070,RIDFLSarasota,93,20338.59,5356.48,4614.73
DRG292,PID100087,RIDFLSarasota,217,17484.42,5688.68,4941.36
DRG292,PID100166,RIDFLSarasota,72,38910.48,5343.58,4548.27
DRG292,PID100175,RIDFLSarasota,25,17419.76,6269.08,5864.12
DRG292,PID100267,RIDFLSarasota,59,39805.35,5337.77,4672.22
DRG293,PID100070,RIDFLSarasota,32,12612.31,3646,2877.75
