drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID100067,RIDFLSt.Petersburg,41,26828.19,5689.87,4704.51
DRG039,PID100238,RIDFLSt.Petersburg,22,73122.77,5953,5241.36
DRG057,PID100032,RIDFLSt.Petersburg,12,26618.16,6406.66,5463.33
DRG057,PID100067,RIDFLSt.Petersburg,40,20770.6,5354.1,4225.6
DRG057,PID100180,RIDFLSt.Petersburg,13,37646.15,5946.61,5257.38
DRG057,PID100238,RIDFLSt.Petersburg,13,39075.76,5401.61,4620.38
DRG064,PID100032,RIDFLSt.Petersburg,34,64702.44,13020.38,12293.55
DRG064,PID100126,RIDFLSt.Petersburg,11,38992.45,8900.9,8080.54
DRG064,PID100180,RIDFLSt.Petersburg,12,103769.83,11929.33,10968.41
DRG064,PID100238,RIDFLSt.Petersburg,32,112122.21,12452.87,10089.81
DRG065,PID100032,RIDFLSt.Petersburg,55,41279.01,8211.63,7029.58
DRG065,PID100067,RIDFLSt.Petersburg,37,28290.97,6406.89,5185.05
DRG065,PID100126,RIDFLSt.Petersburg,26,28860.26,5846.03,4855.73
DRG065,PID100180,RIDFLSt.Petersburg,13,58909.53,7469.46,6862.38
DRG065,PID100238,RIDFLSt.Petersburg,23,63754.47,6689.21,5904.52
DRG066,PID100032,RIDFLSt.Petersburg,35,34945.77,5665.48,4602.31
DRG066,PID100067,RIDFLSt.Petersburg,16,22204.56,4579.75,3601.25
DRG066,PID100126,RIDFLSt.Petersburg,32,18751.4,4371.5,3266.5
DRG066,PID100238,RIDFLSt.Petersburg,20,57432.7,4731.05,3718.65
DRG069,PID100032,RIDFLSt.Petersburg,36,22290.94,5041.16,3967.83
DRG069,PID100067,RIDFLSt.Petersburg,30,24680.2,4419.03,2907.3
DRG069,PID100126,RIDFLSt.Petersburg,23,20089.86,3848.65,2966.91
DRG069,PID100180,RIDFLSt.Petersburg,19,54625.94,5182.26,3600.05
DRG069,PID100238,RIDFLSt.Petersburg,42,49474.52,5508.57,3000.95
DRG069,PID100239,RIDFLSt.Petersburg,11,38115.18,4052.81,3023.72
DRG074,PID100238,RIDFLSt.Petersburg,12,51004.16,5298.75,3861.91
DRG101,PID100032,RIDFLSt.Petersburg,44,16970.81,5184.72,4314.84
DRG101,PID100067,RIDFLSt.Petersburg,23,18355.95,4308.95,3326.78
DRG101,PID100180,RIDFLSt.Petersburg,16,43414.5,4896.87,3835.62
DRG101,PID100238,RIDFLSt.Petersburg,23,56027.17,4755.04,3911.73
DRG149,PID100032,RIDFLSt.Petersburg,15,20070,4461.6,3089.6
DRG149,PID100238,RIDFLSt.Petersburg,18,38231.38,3736.44,2674.44
DRG176,PID100032,RIDFLSt.Petersburg,17,34608.41,7509.17,5848.35
DRG176,PID100067,RIDFLSt.Petersburg,13,23246.07,5317.61,4362.23
DRG177,PID100032,RIDFLSt.Petersburg,31,62413.87,13158.06,12557.61
DRG177,PID100067,RIDFLSt.Petersburg,41,65055.48,11775.24,10664.31
DRG177,PID100126,RIDFLSt.Petersburg,34,58049.2,10715.64,9809.94
DRG177,PID100180,RIDFLSt.Petersburg,26,172222.23,14975.26,14327.11
DRG177,PID100238,RIDFLSt.Petersburg,44,113044.18,12249.15,10995.22
DRG177,PID100239,RIDFLSt.Petersburg,19,72586.68,10582.84,9699.26
DRG178,PID100032,RIDFLSt.Petersburg,17,43907.88,10235.64,7850.11
DRG178,PID100067,RIDFLSt.Petersburg,17,43057.88,8326.11,7312.82
DRG178,PID100126,RIDFLSt.Petersburg,36,45115.36,7709.27,6864.72
DRG178,PID100180,RIDFLSt.Petersburg,26,79762.19,9390.3,8694.92
DRG178,PID100238,RIDFLSt.Petersburg,14,54157.21,8505.71,8022.85
DRG178,PID100239,RIDFLSt.Petersburg,15,63929.13,9480,6832.26
DRG189,PID100032,RIDFLSt.Petersburg,23,55390.82,8872.65,8334
DRG189,PID100067,RIDFLSt.Petersburg,14,31713.57,7157.57,6591.57
DRG189,PID100180,RIDFLSt.Petersburg,14,91037.5,8128.57,7473.5
DRG189,PID100238,RIDFLSt.Petersburg,14,44548.28,7490.57,7088.57
DRG190,PID100032,RIDFLSt.Petersburg,38,39150,8003.94,7020.71
DRG190,PID100067,RIDFLSt.Petersburg,50,27961.34,6577.68,5642.92
DRG190,PID100126,RIDFLSt.Petersburg,56,30182.41,6177.21,5472.57
DRG190,PID100180,RIDFLSt.Petersburg,46,74747.3,7535.47,6442.76
DRG190,PID100238,RIDFLSt.Petersburg,83,59424.6,7033.13,5915.9
DRG190,PID100239,RIDFLSt.Petersburg,35,49905.8,6521.45,5591.74
DRG191,PID100032,RIDFLSt.Petersburg,48,36511.08,6719.7,5528.72
DRG191,PID100067,RIDFLSt.Petersburg,60,21301.18,5631.28,4454.23
DRG191,PID100126,RIDFLSt.Petersburg,51,29396.31,5071.15,4225.7
DRG191,PID100180,RIDFLSt.Petersburg,65,53060.86,6211.72,5314.76
DRG191,PID100238,RIDFLSt.Petersburg,61,41879.04,5728.45,4637.95
DRG191,PID100239,RIDFLSt.Petersburg,26,32812.73,5316.69,4541.61
DRG192,PID100032,RIDFLSt.Petersburg,40,21631.85,4868.2,3867.17
DRG192,PID100067,RIDFLSt.Petersburg,36,17334.08,4224.75,2874.63
DRG192,PID100126,RIDFLSt.Petersburg,37,16793.56,3741.94,2728.54
DRG192,PID100180,RIDFLSt.Petersburg,42,41747.28,4572.35,3844.19
DRG192,PID100238,RIDFLSt.Petersburg,32,39027.56,4311.96,3316.68
DRG192,PID100239,RIDFLSt.Petersburg,16,28177.87,3998.87,3368.12
DRG193,PID100032,RIDFLSt.Petersburg,37,57782.59,10570.18,9507.94
DRG193,PID100067,RIDFLSt.Petersburg,31,40889.06,8152.9,7278.58
DRG193,PID100126,RIDFLSt.Petersburg,38,45042.23,8049.94,7102.47
DRG193,PID100180,RIDFLSt.Petersburg,49,92405.18,9305.18,8594.89
DRG193,PID100238,RIDFLSt.Petersburg,51,95277.84,10196.31,9238.96
DRG193,PID100239,RIDFLSt.Petersburg,13,48709.53,7593.84,7076.3
DRG194,PID100032,RIDFLSt.Petersburg,79,34405.22,6970.02,5596.55
DRG194,PID100067,RIDFLSt.Petersburg,51,29785.03,5567.23,4727.54
DRG194,PID100126,RIDFLSt.Petersburg,58,28039.68,5189.32,4472.15
DRG194,PID100180,RIDFLSt.Petersburg,69,66350.04,6762.11,5216.72
DRG194,PID100238,RIDFLSt.Petersburg,59,51405.23,6158.47,4771.01
DRG194,PID100239,RIDFLSt.Petersburg,29,42911.51,5357.89,4776.79
DRG195,PID100032,RIDFLSt.Petersburg,38,21778.44,5354.02,3805.84
DRG195,PID100067,RIDFLSt.Petersburg,21,17651.52,4040.47,2522.28
DRG195,PID100126,RIDFLSt.Petersburg,27,19895.33,3708.29,2669.62
DRG195,PID100180,RIDFLSt.Petersburg,15,39244.86,4524.4,3776.13
DRG195,PID100238,RIDFLSt.Petersburg,18,37492.55,4293.33,2967.66
DRG195,PID100239,RIDFLSt.Petersburg,13,34897.53,3941,3075.15
DRG202,PID100032,RIDFLSt.Petersburg,11,25706.27,5779.54,5323.72
DRG202,PID100067,RIDFLSt.Petersburg,11,23701.09,4582.72,3633.09
DRG203,PID100032,RIDFLSt.Petersburg,19,17087.73,4182.78,3055.84
DRG207,PID100032,RIDFLSt.Petersburg,23,156588.13,35069.78,30984.78
DRG207,PID100067,RIDFLSt.Petersburg,12,123977.33,27069.66,23537.33
DRG207,PID100238,RIDFLSt.Petersburg,12,146681.41,30408.25,29249.08
DRG208,PID100032,RIDFLSt.Petersburg,45,84204.11,15707.66,14770.4
DRG208,PID100067,RIDFLSt.Petersburg,22,57518.81,12620.77,12007.68
DRG208,PID100126,RIDFLSt.Petersburg,21,60868.61,12690.19,11818.8
DRG208,PID100180,RIDFLSt.Petersburg,18,167628.88,22352.16,14155.16
DRG208,PID100238,RIDFLSt.Petersburg,35,96316,15776.08,11830.34
DRG238,PID100032,RIDFLSt.Petersburg,17,98298,21585.29,18797.94
DRG238,PID100067,RIDFLSt.Petersburg,26,87293.38,18166.5,17217.3
DRG238,PID100238,RIDFLSt.Petersburg,14,156644.64,19788.85,15848.64
DRG243,PID100032,RIDFLSt.Petersburg,14,109307.21,18920,15080.42
DRG243,PID100238,RIDFLSt.Petersburg,22,112424.09,16502.9,13963.54
DRG244,PID100032,RIDFLSt.Petersburg,22,91135.22,16376.04,11509.95
DRG244,PID100238,RIDFLSt.Petersburg,33,83314.24,11886.45,10710.39
DRG246,PID100032,RIDFLSt.Petersburg,11,169609,24522.27,23598.9
DRG246,PID100238,RIDFLSt.Petersburg,26,146729.8,18812.61,17271.84
DRG247,PID100032,RIDFLSt.Petersburg,51,111992.54,17476.6,11994
DRG247,PID100067,RIDFLSt.Petersburg,17,80006.11,14502.7,9211.11
DRG247,PID100238,RIDFLSt.Petersburg,71,104306.77,11784.09,10134.67
DRG249,PID100238,RIDFLSt.Petersburg,19,99952.31,13174.84,9065.78
DRG251,PID100032,RIDFLSt.Petersburg,19,60930.21,15354.57,8286.68
DRG251,PID100238,RIDFLSt.Petersburg,21,125630,10661.47,9859
DRG252,PID100032,RIDFLSt.Petersburg,27,85704.85,20900.33,19879.59
DRG252,PID100067,RIDFLSt.Petersburg,55,57411.49,17316.34,15405.05
DRG252,PID100238,RIDFLSt.Petersburg,14,126613.14,17918.28,17400.64
DRG253,PID100032,RIDFLSt.Petersburg,12,71364,16396.08,15879.91
DRG253,PID100067,RIDFLSt.Petersburg,48,50243.35,13465.45,12668.31
DRG253,PID100238,RIDFLSt.Petersburg,25,134920.84,15502.8,14559.6
DRG254,PID100032,RIDFLSt.Petersburg,11,49792,10820.9,9897.63
DRG254,PID100067,RIDFLSt.Petersburg,24,41503.75,9939.91,7430.66
DRG254,PID100238,RIDFLSt.Petersburg,22,113988.09,10198.77,8262.18
DRG280,PID100032,RIDFLSt.Petersburg,19,62971.94,12803,12030.15
DRG280,PID100067,RIDFLSt.Petersburg,26,65662.46,12658.26,11923.03
DRG280,PID100126,RIDFLSt.Petersburg,16,53973.37,8849.62,8008.62
DRG280,PID100238,RIDFLSt.Petersburg,16,99200.68,10535.81,9690.81
DRG281,PID100032,RIDFLSt.Petersburg,13,43070.15,8188.07,7581
DRG281,PID100067,RIDFLSt.Petersburg,22,34436.09,6647,5832.45
DRG281,PID100126,RIDFLSt.Petersburg,12,21535,5602.58,5039.25
DRG281,PID100238,RIDFLSt.Petersburg,22,59285.45,6856.95,6168.13
DRG282,PID100067,RIDFLSt.Petersburg,13,28653.23,4503,3467.92
DRG282,PID100126,RIDFLSt.Petersburg,11,18678.63,4209.72,3601
DRG286,PID100238,RIDFLSt.Petersburg,21,100269.8,11743.95,10683.8
DRG287,PID100032,RIDFLSt.Petersburg,44,40876.56,7801.43,6228.84
DRG287,PID100067,RIDFLSt.Petersburg,33,41229,6220.9,5036
DRG287,PID100238,RIDFLSt.Petersburg,87,65154.05,6436.89,5270.67
DRG291,PID100032,RIDFLSt.Petersburg,41,48331.6,10092.82,9218.73
DRG291,PID100067,RIDFLSt.Petersburg,92,36521.02,8463.44,7605.47
DRG291,PID100126,RIDFLSt.Petersburg,44,39974.79,7564.27,6971.38
DRG291,PID100180,RIDFLSt.Petersburg,44,92231.95,10000.93,8900.22
DRG291,PID100238,RIDFLSt.Petersburg,55,83235.05,8869.38,7907.07
DRG291,PID100239,RIDFLSt.Petersburg,18,63318.22,8604.11,8154
DRG292,PID100032,RIDFLSt.Petersburg,65,27751.4,6868.18,6297.9
DRG292,PID100067,RIDFLSt.Petersburg,81,21537.46,5608.87,4980.44
DRG292,PID100126,RIDFLSt.Petersburg,52,21419.51,5031.84,4450.23
DRG292,PID100180,RIDFLSt.Petersburg,55,56937.3,6746.6,5614.12
DRG292,PID100238,RIDFLSt.Petersburg,71,44913.61,5978.23,5239.52
DRG292,PID100239,RIDFLSt.Petersburg,19,39986.05,5569.21,5094.26
DRG293,PID100032,RIDFLSt.Petersburg,34,18858.05,4649.02,4052.55
DRG293,PID100067,RIDFLSt.Petersburg,24,14684.25,3825.54,2937.37
DRG293,PID100126,RIDFLSt.Petersburg,23,16237.3,3607,2823.69
DRG293,PID100238,RIDFLSt.Petersburg,26,33056.15,4006.15,3141.53
DRG300,PID100032,RIDFLSt.Petersburg,13,28160,7399.69,5343.46
DRG300,PID100067,RIDFLSt.Petersburg,12,15565.16,5227.83,4378.83
DRG300,PID100126,RIDFLSt.Petersburg,15,18575.33,5145.6,4472.8
DRG300,PID100180,RIDFLSt.Petersburg,16,51714.87,5966.68,5331.93
DRG300,PID100238,RIDFLSt.Petersburg,28,41693.92,5520.53,4837.82
DRG300,PID100239,RIDFLSt.Petersburg,12,34507,5214.83,4562.5
DRG301,PID100032,RIDFLSt.Petersburg,11,15558,4201.9,3590.27
DRG301,PID100067,RIDFLSt.Petersburg,17,17281.64,4245.17,2834.11
DRG301,PID100238,RIDFLSt.Petersburg,13,29027.23,4356.15,2584.15
DRG303,PID100067,RIDFLSt.Petersburg,12,14613.08,3259.33,2515.33
DRG303,PID100180,RIDFLSt.Petersburg,14,31111,3757,3271.85
