drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID100135,RIDFLTallahassee,27,44597.96,8117.62,5131.62
DRG039,PID110038,RIDFLTallahassee,26,26322.26,5687.57,4694.8
DRG039,PID110122,RIDFLTallahassee,12,18432.25,6024.25,5088.91
DRG057,PID100135,RIDFLTallahassee,41,20563.75,5976.07,4916.7
DRG057,PID100254,RIDFLTallahassee,12,23463.33,5403,4651
DRG057,PID110095,RIDFLTallahassee,15,14884.33,5474.8,4508.66
DRG057,PID110122,RIDFLTallahassee,19,12911.42,5656.63,4480.15
DRG057,PID110212,RIDFLTallahassee,12,9919.83,4805.5,4149.16
DRG064,PID100135,RIDFLTallahassee,65,42223.23,12620.06,11755.67
DRG064,PID100254,RIDFLTallahassee,23,59757.39,11204.3,9722.56
DRG064,PID110038,RIDFLTallahassee,15,40315.06,10427.6,9526.26
DRG064,PID110095,RIDFLTallahassee,24,46853,12049.16,11162.33
DRG064,PID110105,RIDFLTallahassee,12,20384.41,11074.83,10136.83
DRG064,PID110122,RIDFLTallahassee,21,27544.85,11305.66,9540.19
DRG065,PID100135,RIDFLTallahassee,67,26304.4,7049,6140.67
DRG065,PID100254,RIDFLTallahassee,46,33548.73,6887.54,5856.32
DRG065,PID110038,RIDFLTallahassee,40,21515.4,6545.45,5285.15
DRG065,PID110095,RIDFLTallahassee,27,27252.07,6844.96,5887.77
DRG065,PID110105,RIDFLTallahassee,21,14397.28,6688.28,5828.85
DRG065,PID110122,RIDFLTallahassee,71,21645.71,7054.33,6199.91
DRG065,PID110132,RIDFLTallahassee,22,14983.72,6652.31,5679.04
DRG066,PID100135,RIDFLTallahassee,51,19508.54,5197.27,4014.05
DRG066,PID100254,RIDFLTallahassee,29,26300.68,4999.03,3455.13
DRG066,PID110038,RIDFLTallahassee,36,15027.05,4591,3710
DRG066,PID110095,RIDFLTallahassee,15,18374.66,4865.93,3893.4
DRG066,PID110122,RIDFLTallahassee,17,15568.05,4849.47,3854.41
DRG066,PID110132,RIDFLTallahassee,16,12845.62,4783,3798.5
DRG069,PID100135,RIDFLTallahassee,49,20077.87,4697.69,3658.57
DRG069,PID100254,RIDFLTallahassee,32,21671.59,4613.37,2931.09
DRG069,PID110095,RIDFLTallahassee,28,16326.71,4323,3483.14
