drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID100046,RIDFLTampa,20,39643.55,5570,4619
DRG039,PID100075,RIDFLTampa,27,30112.96,6619,5575.59
DRG039,PID100128,RIDFLTampa,13,71877.84,7833.23,6788.3
DRG039,PID100173,RIDFLTampa,15,55000,8229.13,4440.4
DRG039,PID100211,RIDFLTampa,11,47339.72,5702.36,4890.72
DRG039,PID100243,RIDFLTampa,23,59831.73,6195.56,5316.6
DRG057,PID100075,RIDFLTampa,56,22884.16,6149.21,4799.57
DRG057,PID100128,RIDFLTampa,42,46882.92,8413.59,7071.57
DRG057,PID100173,RIDFLTampa,37,25832.91,6298.13,4054.86
DRG057,PID100211,RIDFLTampa,13,19405.23,4960.84,4097.46
DRG057,PID100243,RIDFLTampa,41,35028.09,5547.07,4657.95
DRG057,PID100259,RIDFLTampa,29,32253,4621.89,3649.34
DRG064,PID100046,RIDFLTampa,13,54711,10027.15,8987.15
DRG064,PID100075,RIDFLTampa,84,48965.08,12485.25,11628.52
DRG064,PID100128,RIDFLTampa,101,95650.42,16140.02,15360.54
DRG064,PID100173,RIDFLTampa,57,48998.14,10252.61,9424.66
DRG064,PID100243,RIDFLTampa,31,50453.19,10963.16,10205.61
DRG064,PID100259,RIDFLTampa,21,70195.33,9570.76,8163.04
DRG065,PID100046,RIDFLTampa,18,46834.16,6202.77,5205.44
DRG065,PID100075,RIDFLTampa,116,34592.32,7774.04,6607.29
DRG065,PID100128,RIDFLTampa,70,72220.64,10281.61,9192.28
DRG065,PID100173,RIDFLTampa,70,32342.88,7075.92,5350.37
DRG065,PID100211,RIDFLTampa,19,29701.21,6172.63,5341.89
DRG065,PID100243,RIDFLTampa,53,47931.94,7428.77,5977.05
DRG065,PID100259,RIDFLTampa,45,49072.93,6139,5367
DRG066,PID100046,RIDFLTampa,20,26222.7,4483,3475.4
DRG066,PID100075,RIDFLTampa,56,23125.19,5345.05,4298.48
DRG066,PID100128,RIDFLTampa,35,45205.77,6533.68,5730.6
DRG066,PID100173,RIDFLTampa,38,29680.63,5942.81,3352.36
DRG066,PID100243,RIDFLTampa,32,34770.53,5475.87,3757.21
DRG066,PID100259,RIDFLTampa,27,45532.81,4778.25,3112
DRG069,PID100046,RIDFLTampa,65,30423.29,3998,2958.49
DRG069,PID100075,RIDFLTampa,48,23522.89,4910.43,3827.97
DRG069,PID100128,RIDFLTampa,27,43535.22,6151.48,4808.74
DRG069,PID100173,RIDFLTampa,63,27343.07,5323.46,2955.2
DRG069,PID100211,RIDFLTampa,12,26403,4180.66,3113.83
DRG069,PID100243,RIDFLTampa,62,33159.04,4914.16,3294.19
DRG069,PID100259,RIDFLTampa,76,33917.61,3867.84,2878.8
DRG074,PID100046,RIDFLTampa,11,32009.54,4994.63,4154.27
DRG074,PID100075,RIDFLTampa,33,25430.96,5710.36,4506.81
DRG074,PID100128,RIDFLTampa,24,47601.54,7556.12,6638.54
DRG074,PID100173,RIDFLTampa,16,29205.68,4834,3821.12
DRG074,PID100243,RIDFLTampa,13,36414.3,5322.69,3960
DRG101,PID100046,RIDFLTampa,15,29486.6,4166,3189.2
DRG101,PID100075,RIDFLTampa,57,18860.8,4996.26,4064
DRG101,PID100128,RIDFLTampa,82,36583.28,6398.76,5280.97
DRG101,PID100173,RIDFLTampa,51,28285.47,5099.54,3179.64
DRG101,PID100206,RIDFLTampa,15,20122.73,4011.26,3101.46
DRG101,PID100243,RIDFLTampa,34,32849.38,5027.58,3573.88
DRG101,PID100259,RIDFLTampa,18,32100.44,4009,3074.55
DRG149,PID100046,RIDFLTampa,32,21674.34,3971.59,2364.93
DRG149,PID100075,RIDFLTampa,25,16378.4,4490.6,2835.8
DRG149,PID100173,RIDFLTampa,19,21768.84,4958.36,2331
DRG149,PID100206,RIDFLTampa,19,25350.94,3364.42,2239.15
DRG149,PID100243,RIDFLTampa,23,32490.95,4029.95,2499.34
DRG149,PID100259,RIDFLTampa,20,28353.45,3362,2293
DRG176,PID100046,RIDFLTampa,12,33273.58,5831.75,5090.41
DRG176,PID100075,RIDFLTampa,37,29666.13,6868.91,5423.13
DRG176,PID100128,RIDFLTampa,18,47345.88,9012.5,8324.27
DRG176,PID100173,RIDFLTampa,15,41115.4,10682.66,4807.26
DRG176,PID100243,RIDFLTampa,36,58700.38,6676.77,4967.52
DRG177,PID100046,RIDFLTampa,19,46754.05,9254.94,9016.63
DRG177,PID100069,RIDFLTampa,15,50342.86,11586.4,10857
DRG177,PID100075,RIDFLTampa,55,48605.14,13750.69,13034.58
DRG177,PID100128,RIDFLTampa,24,91308.91,16426.37,15733.33
DRG177,PID100173,RIDFLTampa,97,51322.18,11840.02,11074.46
DRG177,PID100206,RIDFLTampa,12,61797.75,10883.66,10040
DRG177,PID100243,RIDFLTampa,26,67350.92,11860.73,11089.96
DRG177,PID100255,RIDFLTampa,26,62602.3,12012.92,11005.88
DRG177,PID100259,RIDFLTampa,19,85651.1,10874,10087.94
DRG178,PID100046,RIDFLTampa,26,42936.15,7749.61,7184.84
DRG178,PID100075,RIDFLTampa,59,33796.62,9313.45,8536.89
DRG178,PID100128,RIDFLTampa,17,66377.82,12786.11,12027.88
DRG178,PID100173,RIDFLTampa,23,35883.08,7881.56,7321.82
DRG178,PID100243,RIDFLTampa,14,73408.21,8803.64,8004.21
DRG178,PID100255,RIDFLTampa,13,48212.46,8660.07,7801.61
DRG178,PID100259,RIDFLTampa,18,55941.38,7739.77,7306.66
DRG189,PID100046,RIDFLTampa,14,48491,7005,6360.42
DRG189,PID100069,RIDFLTampa,12,40194.75,7238,6397
DRG189,PID100075,RIDFLTampa,62,31139.85,8331.98,7678.14
DRG189,PID100128,RIDFLTampa,31,66430.22,14342.25,9226.19
DRG189,PID100173,RIDFLTampa,77,41267.8,7939.68,6385.35
DRG189,PID100243,RIDFLTampa,27,57412.18,7793.33,7150.59
DRG189,PID100259,RIDFLTampa,27,52282.66,7267.55,5739.25
DRG190,PID100046,RIDFLTampa,71,33263.73,6357.66,5520.23
DRG190,PID100069,RIDFLTampa,15,28098.93,9602.46,5941.26
DRG190,PID100075,RIDFLTampa,120,33145.05,9052.4,6769.75
DRG190,PID100128,RIDFLTampa,56,52523.82,10305.21,9312.48
DRG190,PID100173,RIDFLTampa,79,41612.79,6658.81,5752.82
DRG190,PID100206,RIDFLTampa,52,39964.03,6449.13,5335.36
DRG190,PID100211,RIDFLTampa,17,38248.76,6497.11,5768.41
DRG190,PID100243,RIDFLTampa,109,52836.77,7325.78,6195.81
DRG190,PID100255,RIDFLTampa,40,44862.57,7149.02,5949.47
DRG190,PID100259,RIDFLTampa,77,57321.63,6318.1,5310.93
DRG191,PID100046,RIDFLTampa,58,31749.39,5428.34,4365.25
DRG191,PID100069,RIDFLTampa,31,22122.83,5463.64,4736.41
DRG191,PID100075,RIDFLTampa,169,25794.78,6336.42,5333.05
DRG191,PID100128,RIDFLTampa,64,45954.25,8264.6,7457.62
DRG191,PID100173,RIDFLTampa,75,27789.46,6143.93,4557.89
DRG191,PID100206,RIDFLTampa,55,34971.69,5575.92,3946.96
DRG191,PID100211,RIDFLTampa,31,33573.64,5249.09,4490.51
DRG191,PID100243,RIDFLTampa,87,42128.75,5993.09,5068.98
DRG191,PID100255,RIDFLTampa,39,29014.28,5733.23,4771.69
DRG191,PID100259,RIDFLTampa,87,45039.52,5602.32,4261.28
DRG192,PID100046,RIDFLTampa,64,23984.73,4264.9,2984.95
DRG192,PID100069,RIDFLTampa,26,19140.61,4962.73,2929.07
DRG192,PID100075,RIDFLTampa,104,19259.38,4760.27,3789.5
DRG192,PID100128,RIDFLTampa,35,27727.45,6110,5434.45
DRG192,PID100173,RIDFLTampa,75,24298.84,4417.13,2992.89
DRG192,PID100206,RIDFLTampa,21,21471.04,3796.38,3044.76
DRG192,PID100211,RIDFLTampa,43,24409.04,4124.74,3106
