drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID110007,RIDGAAlbany,63,24056.42,7530.57,6127.74
DRG057,PID110007,RIDGAAlbany,17,13516.05,6142.35,5478.35
DRG064,PID110007,RIDGAAlbany,54,42014.9,15760.74,13604.83
DRG064,PID110163,RIDGAAlbany,13,41277.69,10265.46,9407
DRG065,PID110007,RIDGAAlbany,93,20167.04,7663.51,6672.39
DRG065,PID110044,RIDGAAlbany,13,19143.53,9990.92,6526.15
DRG065,PID110163,RIDGAAlbany,16,28382.56,6530.62,5827.12
DRG066,PID110007,RIDGAAlbany,41,13677.6,5451.14,4518.65
DRG069,PID110007,RIDGAAlbany,12,15727.16,5042.25,4098.91
DRG101,PID110007,RIDGAAlbany,16,13205.81,5885.18,4103.25
DRG176,PID110007,RIDGAAlbany,24,21905.83,6961.41,6074.58
DRG177,PID110007,RIDGAAlbany,24,40984.41,14163.5,13508.5
DRG178,PID110007,RIDGAAlbany,29,24504.48,9633.1,9094.34
DRG178,PID110163,RIDGAAlbany,14,37400.21,8416.64,7776.64
DRG189,PID110007,RIDGAAlbany,19,28430.57,8905.84,8171.21
DRG189,PID110163,RIDGAAlbany,18,37447.88,8128.55,6506.11
DRG190,PID110007,RIDGAAlbany,93,30557.68,8776.93,8028.12
DRG190,PID110163,RIDGAAlbany,51,26305.76,7029.68,5771.58
DRG191,PID110007,RIDGAAlbany,60,23020.61,7248.2,5384.21
DRG191,PID110163,RIDGAAlbany,40,22170.75,6648.22,4510.57
DRG192,PID110007,RIDGAAlbany,81,16919.75,5323.56,3878.14
DRG192,PID110044,RIDGAAlbany,11,11038.63,4345.18,3421.9
DRG192,PID110163,RIDGAAlbany,59,17476.59,4138.23,3333.57
DRG193,PID110007,RIDGAAlbany,64,28916.25,10355.92,8833.17
DRG193,PID110163,RIDGAAlbany,22,27489.59,8306.4,7644.77
DRG194,PID110007,RIDGAAlbany,89,19798.57,7740.29,5768.03
DRG194,PID110044,RIDGAAlbany,13,16563.76,5541.23,4588.3
DRG194,PID110163,RIDGAAlbany,35,29596.11,6641.85,4652.62
DRG195,PID110007,RIDGAAlbany,34,13817.82,4929.38,3941.85
DRG202,PID110007,RIDGAAlbany,17,16648.23,5846.52,4986.52
DRG203,PID110007,RIDGAAlbany,13,16091.53,5370.38,2734.76
DRG207,PID110007,RIDGAAlbany,25,105080.08,35425.72,34654.88
DRG208,PID110007,RIDGAAlbany,67,43170.28,15842.77,15454.25
DRG208,PID110044,RIDGAAlbany,13,33378.84,15328.07,13994.46
DRG208,PID110163,RIDGAAlbany,27,38293.29,12188.22,11589.77
