drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID110010,RIDGAAtlanta,26,28105.69,9719.03,6058.38
DRG039,PID110011,RIDGAAtlanta,21,28004.95,6175.52,5268.28
DRG039,PID110016,RIDGAAtlanta,11,20490.09,6112.9,5395.45
DRG039,PID110029,RIDGAAtlanta,82,25197.6,6513.19,4760.65
DRG039,PID110030,RIDGAAtlanta,15,55814.13,6218,5163.6
DRG039,PID110031,RIDGAAtlanta,12,50177.25,6388,5544.33
DRG039,PID110035,RIDGAAtlanta,86,22763.4,6062.51,4774.6
DRG039,PID110074,RIDGAAtlanta,53,25033.73,6434.71,5249.39
DRG039,PID110076,RIDGAAtlanta,22,24317.13,6812.36,6044.9
DRG039,PID110082,RIDGAAtlanta,95,17527.91,5528.84,4533.97
DRG039,PID110083,RIDGAAtlanta,43,29914.32,5447.86,4350.55
DRG039,PID110087,RIDGAAtlanta,27,28352.44,6364.48,5364.18
DRG039,PID110143,RIDGAAtlanta,33,27073.96,6593.66,5342.48
DRG039,PID110191,RIDGAAtlanta,12,30112.66,6156.66,5129.66
DRG039,PID110215,RIDGAAtlanta,24,27794.7,5543.83,4302.16
DRG057,PID110001,RIDGAAtlanta,12,22686.08,5940.5,5102.16
DRG057,PID110005,RIDGAAtlanta,17,25008.05,5242.64,4159.11
DRG057,PID110010,RIDGAAtlanta,30,24055.56,9573.66,5204.76
DRG057,PID110016,RIDGAAtlanta,11,12067.45,5186.27,4368.81
DRG057,PID110018,RIDGAAtlanta,11,10526.45,5395,4474.63
DRG057,PID110029,RIDGAAtlanta,18,14219.72,5322.55,4449.22
DRG057,PID110035,RIDGAAtlanta,30,26472.4,5857.33,4529.7
DRG057,PID110074,RIDGAAtlanta,22,16528,5743.31,4824.4
DRG057,PID110076,RIDGAAtlanta,20,15495.6,6170.55,5327.95
DRG057,PID110078,RIDGAAtlanta,16,19638.87,6093.75,5323.5
DRG057,PID110079,RIDGAAtlanta,23,19217.78,8669.47,7734.17
DRG057,PID110083,RIDGAAtlanta,20,18787.4,6552.25,3999.4
DRG057,PID110091,RIDGAAtlanta,14,22867.57,6442.5,5009.42
DRG057,PID110143,RIDGAAtlanta,20,19670.05,5980.05,4762.35
DRG057,PID110165,RIDGAAtlanta,21,19820.52,6027.57,5118.8
DRG057,PID110192,RIDGAAtlanta,13,25164.92,5183.23,4406.92
DRG057,PID110215,RIDGAAtlanta,17,20483,5089.11,4162.52
DRG064,PID110001,RIDGAAtlanta,46,32103.23,11066.54,10309.26
DRG064,PID110005,RIDGAAtlanta,26,47304.11,10540.73,9806.73
DRG064,PID110006,RIDGAAtlanta,26,33424.53,11680.96,9346.23
DRG064,PID110010,RIDGAAtlanta,113,37914.44,14874.14,13294.34
DRG064,PID110011,RIDGAAtlanta,16,32421.68,11504.62,10944.56
DRG064,PID110016,RIDGAAtlanta,15,33886.53,12004.6,10414.2
DRG064,PID110018,RIDGAAtlanta,15,21115,10449.6,9623.73
DRG064,PID110029,RIDGAAtlanta,72,40523.36,11751.81,9421.25
DRG064,PID110030,RIDGAAtlanta,11,44575.45,10943.63,10029.09
DRG064,PID110031,RIDGAAtlanta,17,58241.58,11390.82,10662.11
DRG064,PID110035,RIDGAAtlanta,92,51106.07,12615.5,10478.06
DRG064,PID110074,RIDGAAtlanta,58,33965.82,11076.25,10284.32
DRG064,PID110076,RIDGAAtlanta,41,28372.9,12037.36,11335.02
DRG064,PID110078,RIDGAAtlanta,37,41394.94,13273.56,12062.27
