drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID110028,RIDGAAugusta,40,21683.32,6298.77,4971.1
DRG039,PID110177,RIDGAAugusta,11,49223.72,6550,5520.9
DRG039,PID420082,RIDGAAugusta,11,47898.54,6626,5808.54
DRG057,PID110028,RIDGAAugusta,12,16186.41,7676.41,4363.5
DRG057,PID110034,RIDGAAugusta,62,25682.62,9312,7764.27
DRG057,PID420082,RIDGAAugusta,11,22453.54,5822.27,4956.72
DRG064,PID110028,RIDGAAugusta,60,41934.63,11402.41,10540.38
DRG064,PID110034,RIDGAAugusta,42,33663.76,17470.57,16587.23
DRG064,PID110177,RIDGAAugusta,17,55880.58,11955.82,11160.52
DRG064,PID420082,RIDGAAugusta,30,53111.3,13724.93,12811.1
DRG065,PID110028,RIDGAAugusta,93,23081.55,7028.54,6031.09
DRG065,PID110034,RIDGAAugusta,61,22379.16,10960.63,9539.34
DRG065,PID110039,RIDGAAugusta,11,18087,6758.81,5838.45
DRG065,PID110109,RIDGAAugusta,11,14040.63,6215.54,5398.09
DRG065,PID110177,RIDGAAugusta,16,42132.25,7270.81,6288.31
DRG065,PID420082,RIDGAAugusta,46,25640.21,7469.08,6661.86
DRG066,PID110028,RIDGAAugusta,43,17303.81,5282.37,3546.83
DRG066,PID110034,RIDGAAugusta,75,13567.25,7807.42,6257.48
DRG066,PID110039,RIDGAAugusta,12,17010.16,4733.5,3624.58
DRG066,PID420082,RIDGAAugusta,33,25230.69,5340.09,4170.06
DRG069,PID110028,RIDGAAugusta,53,15911.92,4539.43,3339.86
DRG069,PID110034,RIDGAAugusta,25,12136.08,6976.92,5647.64
DRG069,PID110177,RIDGAAugusta,26,26525.57,4816.3,3383.69
DRG069,PID420082,RIDGAAugusta,33,17029.6,4756.24,3732
DRG074,PID110028,RIDGAAugusta,14,19104,5360.85,4003.14
DRG074,PID110034,RIDGAAugusta,18,14263.72,7974.33,7347.22
DRG074,PID110177,RIDGAAugusta,11,32180.36,5535.45,4923.81
DRG101,PID110028,RIDGAAugusta,30,14746.2,4603.9,3562.73
DRG101,PID110034,RIDGAAugusta,51,22076.94,7482.74,5941.15
DRG101,PID110177,RIDGAAugusta,11,24049.18,4900.45,3977.18
DRG101,PID420082,RIDGAAugusta,31,22109.83,4917.74,4191.54
DRG149,PID110028,RIDGAAugusta,13,12278.61,4064.3,2801.23
DRG176,PID110028,RIDGAAugusta,21,21576.61,6416.33,5672.33
DRG176,PID110034,RIDGAAugusta,12,17013.91,9918.83,9174.83
DRG177,PID110028,RIDGAAugusta,41,37570.85,12595.7,11357.12
DRG177,PID110034,RIDGAAugusta,19,35778.42,19238.68,15673.47
DRG177,PID110177,RIDGAAugusta,18,90842.05,13115.55,12112.88
DRG177,PID420082,RIDGAAugusta,18,42574.77,13319.05,12000.33
DRG178,PID110028,RIDGAAugusta,35,35548.57,8782.02,8244.85
DRG178,PID110034,RIDGAAugusta,30,34841.2,12565.3,11892.5
DRG178,PID110086,RIDGAAugusta,15,20086.26,9197.73,8619.26
DRG178,PID110109,RIDGAAugusta,13,17727.07,8603,7778.23
DRG178,PID110177,RIDGAAugusta,25,87678.08,10674,9906.76
DRG178,PID420082,RIDGAAugusta,11,24756.18,8617.09,8059.81
DRG189,PID110028,RIDGAAugusta,33,31534.93,7764.96,7259.15
DRG189,PID110034,RIDGAAugusta,21,28051,12306.19,10556.76
DRG189,PID110039,RIDGAAugusta,11,24580.81,7429,6605.72
DRG189,PID420082,RIDGAAugusta,41,33652.14,9124.41,8492.82
DRG190,PID110028,RIDGAAugusta,95,24887.46,7162.16,6180.76
DRG190,PID110034,RIDGAAugusta,27,26087.7,11002.81,10250.51
DRG190,PID110039,RIDGAAugusta,17,23185.58,6864,6205.64
DRG190,PID110109,RIDGAAugusta,27,14402.48,6745.4,5652.29
DRG190,PID110177,RIDGAAugusta,40,58061.7,7972.7,7088.42
DRG190,PID420082,RIDGAAugusta,47,24555.85,7759.91,6971.91
DRG191,PID110028,RIDGAAugusta,70,16965.05,5967.52,4920.04
DRG191,PID110034,RIDGAAugusta,34,21490.67,8961.79,8169.32
DRG191,PID110039,RIDGAAugusta,15,18659.73,5563.06,4741.46
DRG191,PID110100,RIDGAAugusta,19,10624.52,6417,5647.52
DRG191,PID110109,RIDGAAugusta,28,13823,5742.28,4642.5
DRG191,PID110177,RIDGAAugusta,46,56504.45,7958.06,4609.91
DRG191,PID420082,RIDGAAugusta,52,21275.53,6285.36,5637.82
DRG192,PID110028,RIDGAAugusta,46,14978.43,5305.91,3049.08
DRG192,PID110034,RIDGAAugusta,17,15886.94,6688.47,5898.82
DRG192,PID110039,RIDGAAugusta,49,12637.26,4221.53,2976.87
DRG192,PID110086,RIDGAAugusta,16,10962.31,4454,3398.75
DRG192,PID110100,RIDGAAugusta,14,8782.85,4749,4025.85
DRG192,PID110109,RIDGAAugusta,26,10074.88,4331.96,3296.88
DRG192,PID110111,RIDGAAugusta,14,10225.42,4972.21,3849.35
DRG192,PID110177,RIDGAAugusta,23,31243.21,4657.65,3514.78
DRG192,PID420082,RIDGAAugusta,58,17757.55,4695.08,3766.53
DRG193,PID110028,RIDGAAugusta,129,30713.86,9017.48,8094.82
DRG193,PID110034,RIDGAAugusta,33,24134.87,13471.9,12730.66
DRG193,PID110039,RIDGAAugusta,11,30836.54,8564.27,7804.09
DRG193,PID110109,RIDGAAugusta,27,17424.29,8139.55,7366.29
DRG193,PID110177,RIDGAAugusta,21,80892.8,10197.9,9554.09
DRG193,PID420082,RIDGAAugusta,33,47760.27,10227.24,9032
DRG194,PID110028,RIDGAAugusta,122,21381.03,6111.37,5193.95
DRG194,PID110034,RIDGAAugusta,53,18337.9,9771.15,7637.6
DRG194,PID110039,RIDGAAugusta,20,23770.8,5999.5,5270.1
DRG194,PID110086,RIDGAAugusta,37,13755.45,6293.54,5147.51
DRG194,PID110109,RIDGAAugusta,25,15203.2,5640.16,4783.68
DRG194,PID110111,RIDGAAugusta,20,12722.75,6505.55,5776.15
DRG194,PID110113,RIDGAAugusta,25,13115.24,7105.24,6255.16
