drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID110129,RIDGAColumbus,52,18721.4,5531.71,4321.19
DRG057,PID110129,RIDGAColumbus,18,12053.94,4813.55,4004.88
DRG064,PID110064,RIDGAColumbus,52,33757.3,13600.65,12845.5
DRG064,PID110129,RIDGAColumbus,44,31561.5,10180.29,8999.43
DRG065,PID110064,RIDGAColumbus,49,24134.71,8522.02,7483.67
DRG065,PID110129,RIDGAColumbus,114,17418.4,6228.23,5166.38
DRG065,PID110186,RIDGAColumbus,12,19163.75,7286.5,6448.16
DRG066,PID110064,RIDGAColumbus,24,19885.95,6430.29,5060.95
DRG066,PID110129,RIDGAColumbus,40,13169.35,4432.55,3178.1
DRG069,PID110064,RIDGAColumbus,28,15554.28,5543.21,4465.5
DRG069,PID110129,RIDGAColumbus,95,12041.08,4075.33,2991.6
DRG074,PID110129,RIDGAColumbus,13,13133,4667,4064.84
DRG101,PID110064,RIDGAColumbus,21,17584.71,5825.04,5003
DRG101,PID110129,RIDGAColumbus,31,12671.64,4098.09,3231
DRG149,PID110129,RIDGAColumbus,12,10927.16,3875.75,2146.91
DRG176,PID110064,RIDGAColumbus,11,18823.09,7935,7117.54
DRG176,PID110129,RIDGAColumbus,15,14564.53,5952.73,4823.26
DRG177,PID110064,RIDGAColumbus,12,44153.83,14930.91,13075.33
DRG177,PID110129,RIDGAColumbus,22,34890.5,11170.72,10507.59
DRG178,PID110064,RIDGAColumbus,12,29819.58,10410.5,9752.83
DRG178,PID110129,RIDGAColumbus,35,24238.25,8044.11,7117.54
DRG189,PID110064,RIDGAColumbus,15,26099.73,9663.33,9214.8
DRG189,PID110129,RIDGAColumbus,40,20011.55,7163.82,6014.62
DRG190,PID10168,RIDGAColumbus,14,18784.78,6561.57,5843
DRG190,PID110064,RIDGAColumbus,19,27112,8825.1,7934.78
DRG190,PID110129,RIDGAColumbus,82,18487.3,6450.43,5471.26
DRG190,PID110186,RIDGAColumbus,20,23808.75,7394.45,6443.45
DRG191,PID110064,RIDGAColumbus,22,17446.4,7346.81,6579.36
DRG191,PID110129,RIDGAColumbus,65,15168.63,5331.03,4358.16
DRG191,PID110186,RIDGAColumbus,14,25835,8516.21,4875
DRG192,PID10168,RIDGAColumbus,13,14523.76,4112.76,3072.76
DRG192,PID110064,RIDGAColumbus,32,13535.28,5460.18,4444.31
DRG192,PID110129,RIDGAColumbus,60,12633.88,4386.86,2722.71
DRG192,PID110186,RIDGAColumbus,19,17750.21,4604.84,3898.31
DRG193,PID110064,RIDGAColumbus,33,25713.57,10923.96,9743.48
DRG193,PID110129,RIDGAColumbus,54,28298.03,8197.5,7379.24
DRG194,PID110064,RIDGAColumbus,44,28108.22,7747.38,7026.59
DRG194,PID110129,RIDGAColumbus,93,17038.38,5626.75,4431.93
DRG194,PID110186,RIDGAColumbus,23,27477.65,6451.47,5621.73
DRG195,PID110064,RIDGAColumbus,11,15401.18,5399,4281.54
DRG195,PID110129,RIDGAColumbus,43,10753.86,4021,2761.72
DRG202,PID110129,RIDGAColumbus,15,8691.13,4374.53,3113.8
DRG203,PID110129,RIDGAColumbus,13,9216.92,3385.92,2119.84
DRG207,PID110064,RIDGAColumbus,12,96789.66,37148.66,36284.08
DRG207,PID110129,RIDGAColumbus,14,96031.57,31585.71,24895.57
DRG208,PID110064,RIDGAColumbus,20,57652.85,19127.25,15913.9
DRG208,PID110129,RIDGAColumbus,39,34315.82,12265.07,11411.46
DRG208,PID110186,RIDGAColumbus,12,45610.16,14444.5,13598.16
DRG238,PID110129,RIDGAColumbus,30,48888,16562.5,15261.53
DRG243,PID110129,RIDGAColumbus,23,42784.47,14372.26,13438.52
DRG244,PID110129,RIDGAColumbus,17,40529.88,11120.94,9567.58
DRG246,PID110129,RIDGAColumbus,38,69263.71,17320.76,13980.81
DRG247,PID110129,RIDGAColumbus,63,51272.46,10856.26,9302.74
DRG249,PID110129,RIDGAColumbus,12,45209.33,9614.66,8579.66
DRG252,PID110064,RIDGAColumbus,28,36909.14,21672.32,20616.57
DRG252,PID110129,RIDGAColumbus,58,30219.12,16122.58,15301.37
DRG253,PID110129,RIDGAColumbus,17,38903.11,13073.23,11465.52
DRG280,PID110064,RIDGAColumbus,14,51715.71,13785.92,13224.5
DRG280,PID110129,RIDGAColumbus,46,28007.28,9943.54,9233.36
DRG281,PID110129,RIDGAColumbus,29,16359.65,6627.24,5229.89
DRG282,PID110129,RIDGAColumbus,14,13549.28,4343.35,3379.92
DRG286,PID110129,RIDGAColumbus,19,30005.73,10852.84,10020.42
DRG287,PID110064,RIDGAColumbus,17,28126.29,8928.23,6787.29
DRG287,PID110129,RIDGAColumbus,91,18242.72,5944.13,4794.49
DRG291,PID110064,RIDGAColumbus,39,21965.35,11190.69,10560.33
DRG291,PID110129,RIDGAColumbus,110,22996.75,8035.74,7177.55
DRG291,PID110186,RIDGAColumbus,38,31687.57,9510.07,8483.71
DRG292,PID110064,RIDGAColumbus,33,18552.9,7695.69,7064.63
DRG292,PID110129,RIDGAColumbus,154,17160.92,5551.77,4743.98
DRG292,PID110186,RIDGAColumbus,23,24601.26,6348.65,5368.04
DRG293,PID110064,RIDGAColumbus,17,13557.88,5139.17,4345.76
DRG293,PID110129,RIDGAColumbus,56,8323.28,3766.16,2949.66
DRG293,PID110186,RIDGAColumbus,19,12770.05,4370.94,3780.21
DRG300,PID110064,RIDGAColumbus,17,19294.17,7353.76,6562.23
DRG300,PID110129,RIDGAColumbus,18,17281.44,5305.77,4804.44
DRG301,PID110129,RIDGAColumbus,15,10905.93,4144.86,2526.46
DRG301,PID110186,RIDGAColumbus,15,17459.8,4290.73,2984
DRG303,PID110129,RIDGAColumbus,13,12437.46,3164.46,2470.3
DRG308,PID110129,RIDGAColumbus,44,19685.22,6725.15,5724.38
DRG309,PID110064,RIDGAColumbus,20,16088.6,6230.9,5501.5
DRG309,PID110129,RIDGAColumbus,72,11653.2,4537.9,3587.9
DRG309,PID110186,RIDGAColumbus,12,23193.25,5140.08,4037.5
DRG310,PID110129,RIDGAColumbus,91,8619.43,3159.72,2120.26
DRG312,PID110064,RIDGAColumbus,23,15618.73,5412.82,4439.6
DRG312,PID110129,RIDGAColumbus,71,11791.9,3880.5,2868.71
DRG312,PID110186,RIDGAColumbus,12,15519.16,4575.66,4012.33
DRG313,PID110064,RIDGAColumbus,32,13538.81,4170.62,3126.25
DRG313,PID110129,RIDGAColumbus,54,9996.64,3005.29,1993.72
DRG313,PID110186,RIDGAColumbus,18,14099.61,3490.38,2264.11
DRG314,PID110064,RIDGAColumbus,21,41312.28,15208.42,11875.19
DRG314,PID110129,RIDGAColumbus,42,31498.59,10368.85,9160.76
DRG315,PID110129,RIDGAColumbus,15,17383.8,5268.93,4376.13
DRG329,PID110129,RIDGAColumbus,27,73123.62,26485.14,25817.88
DRG330,PID110064,RIDGAColumbus,14,65150.07,21369.85,20626.5
DRG330,PID110129,RIDGAColumbus,48,43909.45,14166.68,11774.04
DRG372,PID110129,RIDGAColumbus,14,16037.57,6743.35,6361.57
DRG377,PID110064,RIDGAColumbus,21,40866.71,13608.66,12334.14
DRG377,PID110129,RIDGAColumbus,31,30996.74,9476.06,8405.83
DRG378,PID110064,RIDGAColumbus,33,27405.36,8180.51,6761.21
DRG378,PID110129,RIDGAColumbus,123,15626.42,5624.25,4631.29
DRG378,PID110186,RIDGAColumbus,19,23589.57,6905.78,5314
DRG379,PID110129,RIDGAColumbus,33,9619.78,4059.33,2790.81
DRG389,PID110064,RIDGAColumbus,14,24768.35,7307,6747.85
DRG389,PID110129,RIDGAColumbus,30,15377.4,5050.56,4114.66
DRG389,PID110186,RIDGAColumbus,15,24930.06,5962.73,4988.06
DRG390,PID110129,RIDGAColumbus,18,11646.22,3456.33,2453.66
DRG391,PID110064,RIDGAColumbus,17,25066.76,8952.64,7907.64
DRG391,PID110129,RIDGAColumbus,17,15274.94,6262.41,5373.82
DRG392,PID110064,RIDGAColumbus,45,18762.42,5528.35,4776.77
DRG392,PID110129,RIDGAColumbus,116,12865.99,3981.75,2990.98
DRG392,PID110186,RIDGAColumbus,40,18441.82,4718.2,3469.32
DRG394,PID110064,RIDGAColumbus,16,18059.93,7508.93,6451.68
DRG394,PID110129,RIDGAColumbus,38,10826.23,5393.55,4799.44
DRG418,PID110129,RIDGAColumbus,12,31721.75,9212.66,8088.66
DRG439,PID110064,RIDGAColumbus,17,21746,7681.76,6825.52
DRG439,PID110129,RIDGAColumbus,15,13637.86,5474,4570.53
DRG460,PID10168,RIDGAColumbus,65,56367.06,22169.63,20502.46
DRG460,PID110064,RIDGAColumbus,50,64118.5,27651.34,26477.42
DRG460,PID110129,RIDGAColumbus,63,71935.11,21777.28,18935.93
DRG460,PID110200,RIDGAColumbus,119,97285.85,24652.06,16167.92
DRG469,PID10168,RIDGAColumbus,12,53910.5,17559.91,16435.91
DRG469,PID110129,RIDGAColumbus,16,73341.81,17786.31,16119.81
DRG470,PID10168,RIDGAColumbus,560,36252.77,11954.75,10521.62
DRG470,PID110064,RIDGAColumbus,16,49124.31,15084.37,13878.87
DRG470,PID110129,RIDGAColumbus,232,51945.51,11664.16,9620.35
DRG470,PID110200,RIDGAColumbus,164,51529.39,14364.57,7517.25
DRG473,PID10168,RIDGAColumbus,25,31863.44,11585.68,10276.84
DRG473,PID110064,RIDGAColumbus,29,49937.44,15504.89,14499.89
DRG473,PID110129,RIDGAColumbus,27,36200.85,11333.44,9794.29
DRG473,PID110200,RIDGAColumbus,40,46843.62,11995.92,8632.67
DRG481,PID10168,RIDGAColumbus,18,31886.77,10198.72,8734.72
DRG481,PID110064,RIDGAColumbus,14,42786.85,13926.64,12134.5
DRG481,PID110129,RIDGAColumbus,42,32044.97,9908.97,8839.09
DRG482,PID110129,RIDGAColumbus,26,29637.07,8319.19,6947.69
DRG491,PID10168,RIDGAColumbus,57,16696.22,5571.85,4249.22
DRG491,PID110064,RIDGAColumbus,50,20216.28,7506.04,5956.08
DRG491,PID110129,RIDGAColumbus,13,18676.38,5377.07,4252.46
DRG491,PID110200,RIDGAColumbus,58,22530.08,5486.41,3774.29
DRG536,PID110129,RIDGAColumbus,16,7277.81,3487.68,2642.68
DRG552,PID110064,RIDGAColumbus,21,15514.57,5865.14,4972.38
DRG552,PID110129,RIDGAColumbus,22,11609.45,4333.45,3468.9
DRG563,PID110129,RIDGAColumbus,15,9909.2,3881.26,2833.26
DRG603,PID110064,RIDGAColumbus,19,18917.84,6404.73,5572.31
DRG603,PID110129,RIDGAColumbus,50,14660.36,4655.86,3388.54
DRG603,PID110186,RIDGAColumbus,19,24269.57,5264.57,3906.42
DRG638,PID110064,RIDGAColumbus,23,15554.6,6213.21,5331.47
DRG638,PID110129,RIDGAColumbus,29,13168.72,4606.93,3175.1
DRG640,PID110064,RIDGAColumbus,23,24838.13,9434.17,8511.56
DRG640,PID110129,RIDGAColumbus,36,14960.3,6315.72,5237.8
DRG640,PID110186,RIDGAColumbus,17,17806.76,6889.23,6033
DRG641,PID110064,RIDGAColumbus,51,15822.39,5226.62,4452.27
DRG641,PID110129,RIDGAColumbus,123,10212.28,3794.91,2843.85
DRG641,PID110186,RIDGAColumbus,39,20685.89,4765.74,3478.02
DRG682,PID110129,RIDGAColumbus,57,22116.91,8573.49,7668.36
DRG682,PID110064,RIDGAColumbus,45,26436.82,12137.71,11519.91
DRG682,PID110186,RIDGAColumbus,20,25964.45,9921.45,9080.45
