drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID110107,RIDGAMacon,61,18003.83,6985.11,5683
DRG039,PID110125,RIDGAMacon,22,36511.86,8246.04,5490
DRG039,PID110164,RIDGAMacon,25,26099.72,5939.4,4807.36
DRG057,PID110069,RIDGAMacon,19,17897.57,5707.84,4651.15
DRG057,PID110107,RIDGAMacon,27,19559.55,6284.85,5536.11
DRG057,PID110164,RIDGAMacon,11,27763.36,5665.63,4751.09
DRG064,PID110069,RIDGAMacon,23,41858.3,12985.43,12060.04
DRG064,PID110107,RIDGAMacon,79,46226.2,14244.83,13398.93
DRG064,PID110164,RIDGAMacon,17,42737.88,10598.88,9936.76
DRG065,PID110002,RIDGAMacon,37,17344.13,7369.51,6610.7
DRG065,PID110069,RIDGAMacon,46,21091.47,6923.28,6042.93
DRG065,PID110073,RIDGAMacon,11,19209.63,6845.72,5828.27
DRG065,PID110104,RIDGAMacon,13,14538.84,6404,5448.61
DRG065,PID110107,RIDGAMacon,119,28388.22,8298.4,6621.31
DRG065,PID110125,RIDGAMacon,27,29805.66,7953.44,6127.74
DRG065,PID110150,RIDGAMacon,12,17038.83,6897.83,5870.83
DRG065,PID110164,RIDGAMacon,39,36583.66,7074.46,5981.33
DRG066,PID110069,RIDGAMacon,22,17966.81,4839.54,3817.72
DRG066,PID110107,RIDGAMacon,58,20783.24,5657.34,4295.13
DRG066,PID110125,RIDGAMacon,11,22504.45,5285.18,4161.9
DRG066,PID110164,RIDGAMacon,39,25323.66,4950.17,4025.46
DRG069,PID110002,RIDGAMacon,26,14729.38,4712.19,3720.65
DRG069,PID110069,RIDGAMacon,45,14724.84,4269.17,3298.31
DRG069,PID110107,RIDGAMacon,78,19080.6,5203.19,4047.07
DRG069,PID110125,RIDGAMacon,29,22252.79,5129.41,3810.2
DRG069,PID110164,RIDGAMacon,43,24298.97,4636.2,3643.3
DRG074,PID110069,RIDGAMacon,17,25833.29,6532.41,4509
DRG074,PID110107,RIDGAMacon,40,19729.12,5818.15,5255.35
