drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID110054,RIDGARome,17,38632.94,6946.7,5593.64
DRG039,PID110168,RIDGARome,29,28006.86,5986.72,4254.34
DRG057,PID110168,RIDGARome,26,22731.07,5158.73,4338.88
DRG064,PID110054,RIDGARome,50,35468.46,12991.52,12036.68
DRG064,PID110168,RIDGARome,42,36937.16,11540.95,8646.92
DRG065,PID110023,RIDGARome,24,24107.66,6798.5,5863.16
DRG065,PID110054,RIDGARome,59,26242.5,7896.59,7115.37
DRG065,PID110168,RIDGARome,76,31787.17,6346.46,5143.89
DRG066,PID110054,RIDGARome,19,16197.1,5752.05,4643.36
DRG066,PID110168,RIDGARome,30,24039,4467.53,3454.06
DRG069,PID110023,RIDGARome,17,20797.47,4446.94,3586.94
DRG069,PID110054,RIDGARome,45,21470.44,5536.77,3986.66
DRG069,PID110168,RIDGARome,31,24106.54,3980.7,3004.74
DRG074,PID110168,RIDGARome,12,25761.16,9071.58,3007.25
DRG101,PID110054,RIDGARome,26,19975.88,5246.65,4097
DRG101,PID110168,RIDGARome,13,20763.15,4223.3,3267.92
DRG176,PID110054,RIDGARome,14,29725,7543.92,6661.35
DRG176,PID110168,RIDGARome,17,26727.76,6389.82,4138.17
DRG177,PID110023,RIDGARome,37,45868.4,12069.91,11487.89
DRG177,PID110054,RIDGARome,64,46449.76,13695.03,12688.01
DRG177,PID110168,RIDGARome,37,36630.02,10897.48,10358.75
DRG178,PID110054,RIDGARome,36,32457.63,9911.13,8949.86
DRG178,PID110168,RIDGARome,19,34069.94,8548.26,5982.52
DRG189,PID110023,RIDGARome,54,25227.59,9334.22,6979.62
DRG189,PID110054,RIDGARome,81,35519.6,9132.5,8384.38
DRG189,PID110168,RIDGARome,65,27404.27,7087.06,6328.07
DRG190,PID10022,RIDGARome,13,19815.92,7503.92,6643
DRG190,PID110023,RIDGARome,49,23706.81,8357.91,5740.79
DRG190,PID110054,RIDGARome,135,25872.15,8557.24,7371.51
DRG190,PID110168,RIDGARome,108,23352.09,6543.52,5512.11
DRG191,PID10022,RIDGARome,21,20777.66,6720.71,5706
DRG191,PID110023,RIDGARome,31,20910.45,5788.96,5099.29
DRG191,PID110054,RIDGARome,78,19353.67,6737.57,5841.64
DRG191,PID110168,RIDGARome,79,22284.06,5835.7,4353
DRG192,PID10022,RIDGARome,25,16179,5127.04,3760.28
DRG192,PID110023,RIDGARome,22,18149.95,4662.18,2987.5
DRG192,PID110054,RIDGARome,43,15545.18,5109.81,3969.09
DRG192,PID110168,RIDGARome,22,16673.04,4244,2955.36
DRG193,PID110023,RIDGARome,76,45846.1,9093.96,8058.1
DRG193,PID110054,RIDGARome,69,27793.37,9954.01,9112.44
DRG193,PID110168,RIDGARome,88,31030.13,7989.44,6544.97
DRG194,PID10022,RIDGARome,22,21956.45,6949.9,6239.72
DRG194,PID110023,RIDGARome,39,23255.25,8543.05,5073.25
DRG194,PID110054,RIDGARome,76,22126.14,6983.35,6122.27
DRG194,PID110168,RIDGARome,66,22163.1,6108.77,4460.77
DRG195,PID10022,RIDGARome,20,13947,4794,3898
DRG195,PID110023,RIDGARome,17,17421.05,5813.11,3131
DRG195,PID110054,RIDGARome,19,14262.42,4808.94,3978.21
DRG195,PID110168,RIDGARome,23,17566.17,4238.91,2789.73
DRG202,PID110054,RIDGARome,13,23329.38,5939.84,4912.3
DRG202,PID110168,RIDGARome,15,17495.46,5191,3668.8
DRG208,PID110023,RIDGARome,11,73745.09,13763.54,11862.63
DRG208,PID110054,RIDGARome,21,50128.66,18963.66,14484
DRG208,PID110168,RIDGARome,41,44922.53,12277.7,11612.07
DRG238,PID110054,RIDGARome,19,95744.94,26311.47,18197.84
DRG238,PID110168,RIDGARome,28,92603.64,17884.5,15739.39
DRG243,PID110168,RIDGARome,23,59039.13,14068.21,13185.08
DRG244,PID110168,RIDGARome,29,60627.58,11176.2,10435.65
DRG246,PID110054,RIDGARome,14,106818,23177,22135.07
DRG246,PID110168,RIDGARome,42,83123.73,18798.02,15312.71
DRG247,PID110054,RIDGARome,41,66937.63,13833.14,12874.6
DRG247,PID110168,RIDGARome,141,60748.46,12709.7,8985.88
DRG249,PID110054,RIDGARome,27,50975.51,12465.66,11506.11
DRG249,PID110168,RIDGARome,70,52805.87,10774.32,8478.22
DRG251,PID110168,RIDGARome,26,61067.42,10014.65,8782.96
DRG252,PID110054,RIDGARome,16,76740.56,22222.75,21446.5
DRG252,PID110168,RIDGARome,39,71056.97,16255.25,15386.84
DRG253,PID110054,RIDGARome,15,67517.33,17707.73,14603.26
DRG253,PID110168,RIDGARome,33,70377.93,14713.81,12366.6
DRG254,PID110168,RIDGARome,14,54337.85,8878,8078.57
DRG280,PID110023,RIDGARome,27,40806.62,10182.44,9433.7
DRG280,PID110054,RIDGARome,63,44982.74,12880.65,11491.31
DRG280,PID110168,RIDGARome,39,44958.1,10793.94,8739.71
DRG281,PID110023,RIDGARome,18,32296.11,6929.5,6250.16
DRG281,PID110054,RIDGARome,28,29862.64,8238.42,7083.25
DRG281,PID110168,RIDGARome,29,34625.48,8390.93,5229.65
DRG282,PID110023,RIDGARome,14,20336.5,6208.42,3645.21
DRG282,PID110168,RIDGARome,12,23908.91,4766.5,3059.16
DRG286,PID110023,RIDGARome,11,42657.45,11346.81,10526.45
DRG286,PID110054,RIDGARome,14,59930.14,14408.07,12995.35
DRG286,PID110168,RIDGARome,56,45980.39,10788.32,9815.1
DRG287,PID110023,RIDGARome,61,31638.49,8835.36,4923.18
DRG287,PID110054,RIDGARome,75,28707.13,7642.16,6452.74
DRG287,PID110168,RIDGARome,192,34195.13,6214.13,4826.1
DRG291,PID110023,RIDGARome,50,35072.76,8692.14,8005.46
DRG291,PID110054,RIDGARome,63,31465.5,10208.28,8839.76
DRG291,PID110168,RIDGARome,176,26769.1,8172.25,7155.88
DRG292,PID10022,RIDGARome,11,16876.45,6771.81,5948.54
DRG292,PID110023,RIDGARome,28,18949.57,6042.85,5364.71
DRG292,PID110054,RIDGARome,73,22195.05,7143.57,6476.17
DRG292,PID110168,RIDGARome,155,21143.9,5703.11,4770.43
DRG293,PID110023,RIDGARome,11,15529.54,4170,3555.45
