drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID110036,RIDGASavannah,50,31743.88,7150.12,5752.66
DRG039,PID110043,RIDGASavannah,34,26797.26,5407.91,4480.38
DRG039,PID420067,RIDGASavannah,22,23721.95,6712.09,5690.27
DRG057,PID110024,RIDGASavannah,18,23919.72,5614.55,4744.77
DRG057,PID110036,RIDGASavannah,35,16841.8,6545.6,5521.37
DRG057,PID110043,RIDGASavannah,24,15612.91,4795.75,3907.58
DRG057,PID110075,RIDGASavannah,15,23399.86,5958.86,4984.2
DRG057,PID420067,RIDGASavannah,18,13512.61,6006.55,5011
DRG064,PID110024,RIDGASavannah,13,38920.84,11125.53,10172.61
DRG064,PID110036,RIDGASavannah,69,37505.15,12609.14,11782.11
DRG064,PID110043,RIDGASavannah,44,44371.79,10178.25,8952.59
DRG064,PID110075,RIDGASavannah,14,45155.5,11166.85,10522.28
DRG064,PID420067,RIDGASavannah,16,29866.12,11769.5,11205.5
DRG065,PID110024,RIDGASavannah,36,24591.33,6836.72,5812.02
DRG065,PID110036,RIDGASavannah,126,21230.05,7529.37,6474.02
DRG065,PID110043,RIDGASavannah,87,25104.16,6009.82,4995.16
DRG065,PID110075,RIDGASavannah,24,30609.7,7448.25,6508.91
DRG065,PID110124,RIDGASavannah,17,15194.82,7098.94,6372.11
DRG065,PID110128,RIDGASavannah,20,21470.7,6109,5264.8
DRG065,PID420067,RIDGASavannah,22,19900.18,6858,5992
DRG065,PID420080,RIDGASavannah,20,27585.9,9096,8140.2
DRG065,PID420101,RIDGASavannah,17,29247.52,6997.35,6074.52
DRG066,PID110024,RIDGASavannah,21,17479.9,5027.19,3671.23
DRG066,PID110036,RIDGASavannah,43,16751.39,5700.6,4654.72
DRG066,PID110043,RIDGASavannah,47,17569.17,4471.91,3265.17
DRG066,PID110075,RIDGASavannah,22,23542.81,5290.81,4423.36
DRG066,PID110124,RIDGASavannah,13,14022.61,5310,4700.46
DRG066,PID420080,RIDGASavannah,23,17980.26,6291.78,5365
DRG069,PID110024,RIDGASavannah,13,16147.61,4439.23,3401.69
DRG069,PID110036,RIDGASavannah,45,16291.31,5163.13,3975.02
DRG069,PID110043,RIDGASavannah,29,18060.79,3909.17,2808.82
DRG069,PID110075,RIDGASavannah,12,27250,4706,3671
DRG069,PID110124,RIDGASavannah,13,11613.46,4735,3607.92
