drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID120001,RIDHIHonolulu,24,27809.95,10982.04,6846.87
DRG057,PID120001,RIDHIHonolulu,19,27601,9585.36,8264.15
DRG064,PID120001,RIDHIHonolulu,62,41097.46,17179.62,15981.38
DRG064,PID120002,RIDHIHonolulu,19,85154.78,31525.26,30295.73
DRG064,PID120005,RIDHIHonolulu,12,32258.58,18284.08,17354.08
DRG064,PID120006,RIDHIHonolulu,32,50526.93,15759.84,14360.84
DRG064,PID120007,RIDHIHonolulu,24,35756.45,13518.16,11875.33
DRG064,PID120010,RIDHIHonolulu,11,36014.54,14999.45,13929.09
DRG064,PID120011,RIDHIHonolulu,12,30069.16,11971.66,10559.83
DRG064,PID120022,RIDHIHonolulu,25,54835.96,14720.6,13155.6
DRG064,PID120026,RIDHIHonolulu,20,47113.9,14509,12863
DRG064,PID120027,RIDHIHonolulu,13,52650.61,16204.15,15164.15
DRG065,PID120001,RIDHIHonolulu,77,28264.12,11062.64,8584.15
DRG065,PID120002,RIDHIHonolulu,20,44085.6,16871.35,14526.5
DRG065,PID120005,RIDHIHonolulu,17,22605.17,11464.7,10602.82
DRG065,PID120006,RIDHIHonolulu,28,27963.42,9365.07,8602.64
DRG065,PID120007,RIDHIHonolulu,28,25879.64,9085.67,7005.85
DRG065,PID120011,RIDHIHonolulu,12,25010.91,21032.08,4109.25
DRG065,PID120014,RIDHIHonolulu,19,28713.94,12295.89,10450.52
DRG065,PID120022,RIDHIHonolulu,43,32917.88,9215.2,7083.83
DRG065,PID120026,RIDHIHonolulu,31,37698.35,9922.77,7898.87
DRG065,PID120027,RIDHIHonolulu,17,24524.29,9608.88,8880.17
DRG065,PID120028,RIDHIHonolulu,14,15814,11788.28,10982
DRG066,PID120001,RIDHIHonolulu,50,18815.36,8122.82,5706.68
DRG066,PID120002,RIDHIHonolulu,13,35668.23,11567.38,10529.84
DRG066,PID120005,RIDHIHonolulu,14,14364.85,8596.85,6516.14
DRG066,PID120006,RIDHIHonolulu,13,23381.61,6577.07,5880.46
DRG066,PID120007,RIDHIHonolulu,20,17317.65,6490.95,4745.9
DRG066,PID120010,RIDHIHonolulu,11,22543.27,6567,5173.18
DRG066,PID120014,RIDHIHonolulu,15,20224.4,9733.6,6609.33
DRG066,PID120022,RIDHIHonolulu,21,21960.33,6602.76,4740.33
DRG066,PID120026,RIDHIHonolulu,23,26242.78,7207.73,4395.82
DRG066,PID120027,RIDHIHonolulu,14,22933.64,7446.21,5116.28
DRG069,PID120001,RIDHIHonolulu,21,21213.52,6862,4949.19
DRG069,PID120027,RIDHIHonolulu,13,17688.3,5946.07,5080.23
DRG101,PID120001,RIDHIHonolulu,14,19656.92,8137.85,4505.71
DRG101,PID120002,RIDHIHonolulu,12,21143.16,9721,8591.66
DRG101,PID120026,RIDHIHonolulu,11,23719.72,5601.63,4778.36
DRG176,PID120001,RIDHIHonolulu,13,18937.61,11030.92,7109.92
DRG177,PID120001,RIDHIHonolulu,29,37776.17,18666.55,16971
DRG177,PID120005,RIDHIHonolulu,18,33202.5,20091.77,19532.88
DRG177,PID120006,RIDHIHonolulu,22,37600.59,15755.59,15192.5
DRG177,PID120007,RIDHIHonolulu,20,35448.4,14921.7,14358.9
DRG177,PID120022,RIDHIHonolulu,13,70479,16192.76,15397.23
DRG177,PID120026,RIDHIHonolulu,32,52586.34,16901.09,15599.53
DRG177,PID120027,RIDHIHonolulu,32,37862.68,16515.78,15845.68
DRG178,PID120001,RIDHIHonolulu,38,34335.78,12997.86,12390.55
DRG178,PID120002,RIDHIHonolulu,11,42973,17834.27,17174.27
DRG178,PID120004,RIDHIHonolulu,20,16992.3,12192,11575.8
DRG178,PID120005,RIDHIHonolulu,17,31181.23,14026.23,13367.82
DRG178,PID120007,RIDHIHonolulu,39,26150.43,10745.74,9968.61
DRG178,PID120014,RIDHIHonolulu,13,35227.15,15589,14718.23
DRG178,PID120022,RIDHIHonolulu,17,36542.94,10508.47,9715.05
DRG178,PID120026,RIDHIHonolulu,39,45474.41,11676.15,10384.53
DRG189,PID120001,RIDHIHonolulu,21,49617.9,11527.38,10709.9
DRG189,PID120006,RIDHIHonolulu,19,36205.89,11357.1,8892.78
DRG189,PID120022,RIDHIHonolulu,21,37221.71,9657.95,9014.19
DRG189,PID120027,RIDHIHonolulu,28,29490.17,10233.35,9570.85
DRG190,PID120001,RIDHIHonolulu,47,32190.17,10516.76,9092.95
DRG190,PID120002,RIDHIHonolulu,25,24500.32,15217.72,14543.64
DRG190,PID120004,RIDHIHonolulu,18,17836.72,10124.94,8451.16
DRG190,PID120005,RIDHIHonolulu,22,19589.77,11842,11024.54
DRG190,PID120006,RIDHIHonolulu,14,31065.5,9555,8915
DRG190,PID120014,RIDHIHonolulu,12,25468.41,12062.66,11316.66
DRG190,PID120022,RIDHIHonolulu,26,36287.73,8777.88,7624.57
DRG190,PID120026,RIDHIHonolulu,30,49103.43,12814.33,11222.8
DRG190,PID120027,RIDHIHonolulu,12,22529.58,9026.91,8231.75
DRG191,PID120001,RIDHIHonolulu,30,25307.2,8631.36,7109.16
DRG191,PID120002,RIDHIHonolulu,23,22267.65,12166.13,11341.13
DRG191,PID120005,RIDHIHonolulu,25,17797.16,9664.12,8471.52
DRG191,PID120006,RIDHIHonolulu,18,21759.22,7821.83,7103.05
DRG191,PID120022,RIDHIHonolulu,13,19477.61,7023.3,6075.3
DRG191,PID120026,RIDHIHonolulu,21,38390,7980.04,5822.76
DRG192,PID120001,RIDHIHonolulu,22,21282.81,6959.86,5169
DRG192,PID120002,RIDHIHonolulu,22,24269.9,10255.13,8931.54
DRG192,PID120004,RIDHIHonolulu,13,11003.76,6303.07,4788.69
DRG192,PID120005,RIDHIHonolulu,16,15122.25,7091.75,5594.62
DRG192,PID120007,RIDHIHonolulu,13,21656.46,5775.53,4210
DRG192,PID120026,RIDHIHonolulu,26,25704.42,6019.73,3776.15
DRG192,PID120027,RIDHIHonolulu,12,17020.66,6309,4351.66
DRG193,PID120001,RIDHIHonolulu,54,43256.4,13406.64,12557.96
DRG193,PID120002,RIDHIHonolulu,24,32458.7,18915.29,17571.2
DRG193,PID120004,RIDHIHonolulu,14,17382.35,12541.14,11894.28
