drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID160045,RIDIACedarRapids,29,23512.1,6200.72,4819.82
DRG039,PID160079,RIDIACedarRapids,21,21153.28,5697.85,4152.76
DRG057,PID160045,RIDIACedarRapids,11,14709,5671.36,4422.54
DRG064,PID160045,RIDIACedarRapids,18,31126.5,10806.38,9871.94
DRG064,PID160079,RIDIACedarRapids,28,21558,9227.35,8303.21
DRG065,PID160045,RIDIACedarRapids,51,19733.41,6283.72,5313.86
DRG065,PID160079,RIDIACedarRapids,40,18464.07,6076.5,4616.92
DRG066,PID160045,RIDIACedarRapids,32,17704.09,4895.06,3737.68
DRG066,PID160079,RIDIACedarRapids,22,15255.68,4439.45,3289.72
DRG069,PID160045,RIDIACedarRapids,21,14389.8,4291.57,3275
DRG101,PID160045,RIDIACedarRapids,21,13903.95,4469.85,3664.33
DRG101,PID160079,RIDIACedarRapids,11,14080.18,3993.45,3181.81
DRG149,PID160045,RIDIACedarRapids,17,14918.47,3756.76,2894.88
DRG176,PID160045,RIDIACedarRapids,28,20943.42,6321.67,5521.1
DRG176,PID160079,RIDIACedarRapids,16,17101.25,5420,4506.25
DRG177,PID160045,RIDIACedarRapids,37,38606.35,11781.1,11165.21
DRG177,PID160079,RIDIACedarRapids,29,36738.89,10952.79,10256.79
DRG178,PID160045,RIDIACedarRapids,15,26349.33,8760.4,8089.73
DRG178,PID160079,RIDIACedarRapids,12,17446,7735.91,6983.91
DRG189,PID160045,RIDIACedarRapids,183,33979.61,7932.87,6865.5
DRG189,PID160079,RIDIACedarRapids,152,27580.32,6836.7,5969.68
DRG190,PID160045,RIDIACedarRapids,81,25151.29,7520.12,6455.12
DRG190,PID160079,RIDIACedarRapids,48,19250.12,6172.04,5462.64
DRG191,PID160045,RIDIACedarRapids,41,17698.95,5846.14,4762.04
DRG191,PID160079,RIDIACedarRapids,43,15846.34,5118.3,3969.67
DRG192,PID160045,RIDIACedarRapids,40,14800.95,4416.17,3055.95
DRG192,PID160079,RIDIACedarRapids,39,11670.41,3817.51,2858.51
DRG193,PID160045,RIDIACedarRapids,122,31053.06,8659.09,7807.13
DRG193,PID160079,RIDIACedarRapids,125,23843.18,7660.6,6743.26
DRG194,PID160045,RIDIACedarRapids,101,17688.97,5913.54,4998.87
DRG194,PID160079,RIDIACedarRapids,136,16769.48,5272,4375.92
DRG195,PID160045,RIDIACedarRapids,42,14874.83,4282.09,3203.57
DRG195,PID160079,RIDIACedarRapids,53,11854.32,3808.54,2550.39
DRG202,PID160045,RIDIACedarRapids,20,15955.4,4947.75,3975.35
DRG202,PID160079,RIDIACedarRapids,15,13855.8,5745.6,3233.33
DRG203,PID160045,RIDIACedarRapids,15,11905.66,3619.66,2463.93
DRG203,PID160079,RIDIACedarRapids,14,12292.92,3459.07,2340.64
DRG207,PID160045,RIDIACedarRapids,15,119414.13,29871.46,29118.86
DRG208,PID160045,RIDIACedarRapids,36,73644.97,15708.72,14396.38
DRG208,PID160079,RIDIACedarRapids,18,49739.94,13529.38,12735.33
DRG238,PID160045,RIDIACedarRapids,31,74160.58,18344.51,16887.45
DRG238,PID160079,RIDIACedarRapids,14,74000.14,16967.14,15922.85
DRG243,PID160045,RIDIACedarRapids,16,51863,14970.75,14131.75
DRG244,PID160045,RIDIACedarRapids,20,45974.05,11919.45,10907.05
DRG244,PID160079,RIDIACedarRapids,14,41359.71,10745.07,8928.92
DRG246,PID160045,RIDIACedarRapids,32,70300.18,18641.03,17201.34
DRG247,PID160045,RIDIACedarRapids,74,54079.75,12016.14,9864.4
DRG247,PID160079,RIDIACedarRapids,28,61056.42,11374.96,9703.82
DRG249,PID160079,RIDIACedarRapids,15,53281.93,9252.86,8575.8
DRG251,PID160045,RIDIACedarRapids,19,43560.68,10516.47,9687.42
DRG253,PID160045,RIDIACedarRapids,27,48972.07,14446.37,12582.07
DRG253,PID160079,RIDIACedarRapids,15,40773.93,12541.26,11646.33
DRG254,PID160045,RIDIACedarRapids,22,30563.36,9427.77,8505.95
DRG254,PID160079,RIDIACedarRapids,12,38187.91,8619.16,8061.16
DRG280,PID160045,RIDIACedarRapids,19,32139.05,10744.52,9975.05
DRG280,PID160079,RIDIACedarRapids,38,28381.76,9494.31,8824.81
DRG281,PID160045,RIDIACedarRapids,26,25241.5,7049.38,6121.38
DRG281,PID160079,RIDIACedarRapids,22,23606.81,6122.54,5329.27
DRG282,PID160045,RIDIACedarRapids,23,19883.86,4704.73,3777.95
DRG282,PID160079,RIDIACedarRapids,17,20640.05,4205.41,3214.11
DRG287,PID160045,RIDIACedarRapids,63,28042.38,6469.66,5168.66
DRG287,PID160079,RIDIACedarRapids,28,25410.78,5947.32,4648.25
DRG291,PID160045,RIDIACedarRapids,58,35662.7,9398.84,7974.17
DRG291,PID160079,RIDIACedarRapids,72,22902.47,8222.81,7498.37
DRG292,PID160045,RIDIACedarRapids,89,19163.62,6004.76,5334.96
DRG292,PID160079,RIDIACedarRapids,64,13729.5,5351.15,4506.65
DRG293,PID160045,RIDIACedarRapids,50,13904.24,4008.84,3129.78
DRG293,PID160079,RIDIACedarRapids,37,10829.97,3573.72,2704.32
DRG300,PID160045,RIDIACedarRapids,16,17504.31,5435.43,4873.43
DRG300,PID160079,RIDIACedarRapids,15,17365.53,5316.93,4491.06
DRG301,PID160045,RIDIACedarRapids,13,17649.3,4063.46,3294.53
DRG303,PID160045,RIDIACedarRapids,11,11245.54,3425.18,2607.72
DRG308,PID160045,RIDIACedarRapids,32,22523.43,7254.18,6442.56
DRG308,PID160079,RIDIACedarRapids,35,20720.54,6486.54,5876.6
DRG309,PID160045,RIDIACedarRapids,39,14089.76,4927.48,4090.66
DRG309,PID160079,RIDIACedarRapids,25,13155.88,4452.36,3394.08
DRG310,PID160045,RIDIACedarRapids,50,10934.5,3397.64,2300.92
DRG310,PID160079,RIDIACedarRapids,20,9260.9,3075.35,2004.15
DRG312,PID160045,RIDIACedarRapids,53,15615.67,4446.45,3278.09
DRG312,PID160079,RIDIACedarRapids,30,14189.7,3814.86,2803.2
DRG313,PID160045,RIDIACedarRapids,73,16353.76,3278,2299.08
DRG313,PID160079,RIDIACedarRapids,25,10510.44,2879.68,1822.56
DRG314,PID160045,RIDIACedarRapids,12,21978.16,10083.16,9451.08
DRG314,PID160079,RIDIACedarRapids,13,21685.84,9062.3,8544.76
DRG315,PID160045,RIDIACedarRapids,13,15994.69,5678.46,4902.15
DRG315,PID160079,RIDIACedarRapids,13,16637,4924.92,4205.23
DRG329,PID160045,RIDIACedarRapids,23,91645,30616.21,28828.17
DRG329,PID160079,RIDIACedarRapids,31,81651.19,28281.77,26035.29
DRG330,PID160045,RIDIACedarRapids,20,39428.25,14973.45,14027.25
DRG330,PID160079,RIDIACedarRapids,12,33579.16,13281.83,12549.16
DRG372,PID160045,RIDIACedarRapids,21,14919.57,7319.28,6386.66
DRG372,PID160079,RIDIACedarRapids,17,17055.47,6559.82,6162.17
DRG377,PID160045,RIDIACedarRapids,28,36024.28,10155.89,9633.75
DRG377,PID160079,RIDIACedarRapids,14,26176.71,9265.78,7807.42
DRG378,PID160045,RIDIACedarRapids,74,22166.31,5992.64,5143.78
DRG378,PID160079,RIDIACedarRapids,38,15256.55,5160.52,4310.21
DRG379,PID160045,RIDIACedarRapids,19,12144,4201.31,3195.21
DRG379,PID160079,RIDIACedarRapids,13,12758.92,3742.38,2633.15
DRG389,PID160045,RIDIACedarRapids,29,21614.55,5549.41,4770.93
DRG389,PID160079,RIDIACedarRapids,34,13464.64,4879.58,3946.88
DRG390,PID160045,RIDIACedarRapids,27,14081.74,3823.66,3009.4
DRG390,PID160079,RIDIACedarRapids,28,11366.42,3319.96,2312.67
DRG391,PID160045,RIDIACedarRapids,16,20537.68,6794.93,5889.18
DRG391,PID160079,RIDIACedarRapids,15,16766.2,5866.6,5267.13
DRG392,PID160045,RIDIACedarRapids,105,13756.93,4250.83,3265.53
DRG392,PID160079,RIDIACedarRapids,53,13113.94,3770.62,2879.6
DRG394,PID160045,RIDIACedarRapids,14,18569.57,6135.92,4785.57
