drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID140280,RIDIADavenport,33,16858.45,6033.42,4681.81
DRG039,PID160033,RIDIADavenport,37,18283.08,5843.29,4647
DRG039,PID160057,RIDIADavenport,12,19429.5,5866.66,4831.66
DRG039,PID160080,RIDIADavenport,12,29444,6614.5,5954.16
DRG057,PID140280,RIDIADavenport,23,13015.86,5047.82,3976.17
DRG057,PID160033,RIDIADavenport,27,12201.88,5111.07,4153.88
DRG057,PID160057,RIDIADavenport,12,15226.08,5180.75,4431.41
DRG064,PID140275,RIDIADavenport,11,20173.54,9691.18,8867.9
DRG064,PID140280,RIDIADavenport,49,20286.95,9939.51,9061.95
DRG064,PID160033,RIDIADavenport,46,26768.02,10214.58,9430.95
DRG064,PID160057,RIDIADavenport,12,24762.91,10174.83,9239.5
DRG064,PID160080,RIDIADavenport,11,25899.54,11701.63,10887.09
DRG065,PID140275,RIDIADavenport,12,17981.66,6119,5272.66
DRG065,PID140280,RIDIADavenport,49,13660.95,6337.61,4941.32
DRG065,PID160033,RIDIADavenport,100,19093.45,6438.13,5491.46
DRG065,PID160057,RIDIADavenport,39,22469.61,6464.69,5599.66
DRG065,PID160080,RIDIADavenport,17,16444.17,6734,5879.64
DRG065,PID160104,RIDIADavenport,12,14059.66,6632.66,5079.5
DRG066,PID140280,RIDIADavenport,30,12631.33,4591.4,3693.26
DRG066,PID160033,RIDIADavenport,34,12540.76,4711.41,3444.47
DRG066,PID160057,RIDIADavenport,18,16044.61,4586.38,3772.38
DRG069,PID140275,RIDIADavenport,15,11617,4179.26,3353.4
DRG069,PID140280,RIDIADavenport,68,12188.64,4229.98,3061.04
DRG069,PID160033,RIDIADavenport,87,13019.33,4159.37,3170.28
DRG069,PID160057,RIDIADavenport,37,13688.83,4190.91,3311.45
DRG069,PID160080,RIDIADavenport,15,15482.46,4717.66,3749.4
DRG074,PID140280,RIDIADavenport,18,13049.05,4974.72,3613.72
DRG074,PID160033,RIDIADavenport,12,18129.83,6489.33,2944.91
DRG101,PID140280,RIDIADavenport,37,10976.08,4368.78,3363.16
DRG101,PID160033,RIDIADavenport,42,9806,4222.64,3257.76
DRG101,PID160080,RIDIADavenport,18,10459.88,4880.55,3322.88
DRG149,PID140280,RIDIADavenport,14,9252.28,3580.21,2533.64
DRG149,PID160033,RIDIADavenport,33,13011.06,3664.81,2496.63
DRG149,PID160057,RIDIADavenport,16,10925.06,3679.5,2620.25
DRG176,PID140275,RIDIADavenport,11,16001.09,5922.45,5310.81
DRG176,PID140280,RIDIADavenport,18,14603.77,5870.22,5122.66
DRG176,PID160033,RIDIADavenport,27,15310.62,5834.07,4677.62
DRG176,PID160057,RIDIADavenport,12,19459.41,6169.33,5228.66
DRG177,PID140275,RIDIADavenport,21,26255.33,11218.28,10739.23
DRG177,PID140280,RIDIADavenport,64,27644.62,11320.23,10653.59
DRG177,PID160033,RIDIADavenport,80,26991.85,11358.96,10709.72
DRG177,PID160057,RIDIADavenport,23,32829.34,11551.39,10723.04
DRG177,PID160080,RIDIADavenport,20,33383.4,13000.65,12242.95
DRG178,PID140280,RIDIADavenport,17,15817.88,7991.05,7595.29
DRG178,PID160033,RIDIADavenport,35,20499.22,8179.31,7164.88
DRG178,PID160057,RIDIADavenport,14,22165.71,8393.35,7399.78
DRG178,PID160080,RIDIADavenport,28,22553.82,9244.14,8292.78
DRG189,PID140275,RIDIADavenport,56,16262.5,7340.71,6162.26
DRG189,PID140280,RIDIADavenport,56,19180.62,7275.14,6392.58
DRG189,PID160033,RIDIADavenport,73,21740.78,7287.91,6430.43
DRG189,PID160057,RIDIADavenport,28,19559.75,7384.67,6778.25
DRG189,PID160080,RIDIADavenport,55,28198.32,8222.03,7567.49
DRG190,PID140275,RIDIADavenport,43,17459.97,6674.65,5916.41
DRG190,PID140280,RIDIADavenport,104,14279.16,6624.05,5781.31
DRG190,PID160033,RIDIADavenport,166,16680.04,6838.66,5748.81
DRG190,PID160057,RIDIADavenport,86,18132.23,6731.18,5998.84
DRG190,PID160080,RIDIADavenport,59,18856.01,7531.27,6590.01
DRG190,PID160104,RIDIADavenport,27,16646.59,6488,5738.07
DRG191,PID140275,RIDIADavenport,28,16583.85,5520.07,4753.07
