drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID160016,RIDIADesMoines,26,18783.42,5945.69,5041.23
DRG039,PID160082,RIDIADesMoines,75,26132.65,6365.53,5272.6
DRG039,PID160083,RIDIADesMoines,76,27622.88,6379.15,5330.05
DRG057,PID160030,RIDIADesMoines,15,17077.4,5168.33,4420.06
DRG057,PID160082,RIDIADesMoines,19,19285.94,5981.63,5154.26
DRG057,PID160083,RIDIADesMoines,25,18548.36,6063.12,4903.68
DRG064,PID160024,RIDIADesMoines,13,38789.61,12342.3,11517.53
DRG064,PID160030,RIDIADesMoines,24,25591.95,10061.5,9314.83
DRG064,PID160082,RIDIADesMoines,43,39874.23,11987.44,10458.65
DRG064,PID160083,RIDIADesMoines,54,37746.07,11548.48,9899.77
DRG065,PID160005,RIDIADesMoines,12,19298.75,7153.58,6404.25
DRG065,PID160016,RIDIADesMoines,27,23598.96,6508.33,5594.25
DRG065,PID160024,RIDIADesMoines,25,23333.72,7372.2,6109.08
DRG065,PID160030,RIDIADesMoines,31,16719.58,6479.32,5358.67
DRG065,PID160082,RIDIADesMoines,77,27570.28,7149.19,6046.92
DRG065,PID160083,RIDIADesMoines,97,23060.37,7323.71,6060.02
DRG065,PID160147,RIDIADesMoines,12,9647.33,7246,6216.33
DRG066,PID160001,RIDIADesMoines,21,9981.95,4910.52,3840.04
DRG066,PID160016,RIDIADesMoines,13,15323.38,4695.76,3745.3
DRG066,PID160024,RIDIADesMoines,18,21170.44,5448.05,4058.61
DRG066,PID160030,RIDIADesMoines,11,13406.18,4590,3463.81
DRG066,PID160032,RIDIADesMoines,15,12172.6,5235,4256.06
DRG066,PID160082,RIDIADesMoines,42,23145.07,5585.59,3787.57
DRG066,PID160083,RIDIADesMoines,55,21186.74,5398.56,3850.54
DRG069,PID160001,RIDIADesMoines,11,10546.9,4433.09,3309.81
DRG069,PID160030,RIDIADesMoines,25,13365.2,4093,3151.08
DRG069,PID160082,RIDIADesMoines,28,19819.6,4754.39,3384.89
DRG069,PID160083,RIDIADesMoines,43,18934.02,4695.41,3439.74
DRG074,PID160024,RIDIADesMoines,11,14550.54,5478.18,4869.45
DRG074,PID160082,RIDIADesMoines,18,22134.94,5839.61,4285.72
DRG074,PID160083,RIDIADesMoines,25,19615.48,5889,3481.28
DRG101,PID160030,RIDIADesMoines,14,16981.07,4265.5,3466.07
DRG101,PID160082,RIDIADesMoines,22,17789.4,4870.22,3560.18
DRG101,PID160083,RIDIADesMoines,49,14544.06,4878.51,3706.61
DRG149,PID160030,RIDIADesMoines,28,13413.57,3577,2539.57
