drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID160069,RIDIADubuque,40,20053.2,5368.45,4177.35
DRG064,PID160069,RIDIADubuque,25,19716.68,9083.84,8185.92
DRG065,PID160069,RIDIADubuque,55,15349.16,5791.7,4753.98
DRG065,PID160117,RIDIADubuque,29,12750.27,5562.93,4599.44
DRG066,PID160069,RIDIADubuque,36,12482.88,4116.38,3149.61
DRG066,PID160117,RIDIADubuque,23,11436.56,4176.73,3199.34
DRG069,PID160069,RIDIADubuque,12,10997.91,3817.33,2513.91
DRG074,PID160117,RIDIADubuque,11,10431.54,4501.9,2837.27
DRG101,PID160117,RIDIADubuque,16,10274.87,3909.12,2999.37
DRG149,PID160117,RIDIADubuque,14,8034.78,3332.85,2210
DRG176,PID160069,RIDIADubuque,19,15961.1,5507.68,4345.57
DRG176,PID160117,RIDIADubuque,15,16150.86,5354.8,4608.66
DRG177,PID160069,RIDIADubuque,54,28442.48,10761.37,8869.62
DRG177,PID160117,RIDIADubuque,20,21743.55,10137.4,9571.4
DRG178,PID160069,RIDIADubuque,27,18631.22,7049.59,6326.22
DRG178,PID160117,RIDIADubuque,16,17066.68,7440.12,6595.12
DRG189,PID160069,RIDIADubuque,44,19795.63,6531.72,6020.09
DRG189,PID160117,RIDIADubuque,25,18547.6,6677.4,6047.32
DRG190,PID160069,RIDIADubuque,88,18425.77,6011.07,5139.62
DRG190,PID160117,RIDIADubuque,23,14206.47,6163.04,5476.78
DRG191,PID160069,RIDIADubuque,23,12396.65,4973.13,3866.95
DRG191,PID160117,RIDIADubuque,44,14217.4,4955.7,4237.68
DRG192,PID160069,RIDIADubuque,19,9697.57,3651.26,2481.26
DRG192,PID160117,RIDIADubuque,28,12472.96,3761.64,2698.85
DRG193,PID160069,RIDIADubuque,74,21182.54,7623.06,6579.33
DRG193,PID160117,RIDIADubuque,48,20797.33,7633.7,6681.43
DRG194,PID160069,RIDIADubuque,85,14442.37,5147.31,4299.12
DRG194,PID160117,RIDIADubuque,68,12903.23,5255.23,4292.45
DRG195,PID160069,RIDIADubuque,36,9823.41,3648.5,2566.61
DRG195,PID160117,RIDIADubuque,21,11427.95,3690.85,2725.14
DRG238,PID160069,RIDIADubuque,15,62911.53,15677.93,14780.86
DRG243,PID160069,RIDIADubuque,14,29676.57,13480,12512
DRG244,PID160069,RIDIADubuque,20,25889.15,10530,8955.2
DRG246,PID160069,RIDIADubuque,14,49857.21,16001.42,15192.85
DRG247,PID160069,RIDIADubuque,62,39002.91,10792.54,8649.12
DRG249,PID160069,RIDIADubuque,40,38235.77,9069.55,7687.9
DRG254,PID160069,RIDIADubuque,14,28080.5,8212.5,7255.92
DRG280,PID160069,RIDIADubuque,26,21704.46,9231.23,8580.61
DRG280,PID160117,RIDIADubuque,14,11229.5,6652.85,6015.14
DRG281,PID160069,RIDIADubuque,13,16107.38,6064.92,5204
DRG282,PID160069,RIDIADubuque,12,19212.5,4855.41,3013.75
DRG287,PID160069,RIDIADubuque,39,23198.02,5536.87,4731.53
DRG291,PID160069,RIDIADubuque,76,20477.84,7534.17,6809.38
DRG291,PID160117,RIDIADubuque,46,17680.93,7361.15,6774.71
DRG292,PID160069,RIDIADubuque,84,14132.63,5207.66,4474.04
DRG292,PID160117,RIDIADubuque,43,13271.02,5305.69,4359.18
DRG293,PID160069,RIDIADubuque,43,11818.09,3497.27,2818.02
DRG293,PID160117,RIDIADubuque,17,10931.7,3521.64,2928
DRG300,PID160069,RIDIADubuque,13,9856,4521.46,3854
DRG308,PID160069,RIDIADubuque,42,15657.52,6286.4,5537.83
DRG308,PID160117,RIDIADubuque,19,15282.63,6434.21,5547.26
DRG309,PID160069,RIDIADubuque,45,12022.17,4256.82,3516.57
DRG309,PID160117,RIDIADubuque,35,9443.94,4378.6,3605.11
DRG310,PID160069,RIDIADubuque,48,7449.66,2953.58,1932.12
DRG310,PID160117,RIDIADubuque,19,6870.89,3156.52,1995.05
DRG312,PID160069,RIDIADubuque,39,11888.61,3657.38,2794
DRG312,PID160117,RIDIADubuque,29,8940.55,3739.65,2807.24
DRG313,PID160069,RIDIADubuque,18,8762.61,2801.33,1859.77
DRG313,PID160117,RIDIADubuque,21,7705.85,3086.71,1762.71
DRG329,PID160069,RIDIADubuque,18,66156,24142.11,23331.66
DRG330,PID160069,RIDIADubuque,46,42359.69,12880.06,11612.91
DRG330,PID160117,RIDIADubuque,12,40349.08,13901.25,11595.16
DRG372,PID160069,RIDIADubuque,19,16885.31,6317.84,5841.21
DRG377,PID160069,RIDIADubuque,12,19212.83,8487.41,7738.08
DRG378,PID160069,RIDIADubuque,67,16207.85,5198.64,4394.34
DRG378,PID160117,RIDIADubuque,32,12844.96,5339.09,4532.46
DRG379,PID160069,RIDIADubuque,11,13785.27,3333.72,2513.36
DRG389,PID160069,RIDIADubuque,44,15249.27,4731.61,3789.25
DRG389,PID160117,RIDIADubuque,18,9792.33,4741.22,4056.55
DRG390,PID160069,RIDIADubuque,45,11749.86,3252.04,2328.4
DRG390,PID160117,RIDIADubuque,20,7020.05,3271.6,2429
DRG391,PID160069,RIDIADubuque,20,19329.9,5889.5,5100.3
DRG392,PID160069,RIDIADubuque,91,12613.72,3831.39,2717.96
DRG392,PID160117,RIDIADubuque,73,10576.15,3861.6,2833.61
DRG394,PID160117,RIDIADubuque,12,9040.41,5191.75,4156.75
DRG460,PID160069,RIDIADubuque,36,50673.61,19666.94,18604.94
DRG469,PID160069,RIDIADubuque,18,41841.22,15026.77,14025.88
DRG470,PID160069,RIDIADubuque,286,31509.93,10822.93,9323.66
DRG470,PID160117,RIDIADubuque,182,32383.07,10893.32,9427
DRG480,PID160117,RIDIADubuque,11,50220.27,15926.72,15212.18
DRG481,PID160069,RIDIADubuque,61,31588.39,9452.75,8459.04
DRG481,PID160117,RIDIADubuque,40,29230.67,9741.82,8700.32
DRG482,PID160069,RIDIADubuque,19,26984.52,7817.05,6753.05
DRG491,PID160069,RIDIADubuque,14,23742.92,5351.28,3888.14
DRG491,PID160117,RIDIADubuque,23,16509.86,5224.56,3924
DRG536,PID160069,RIDIADubuque,14,8585.14,3470.28,2668.57
DRG552,PID160069,RIDIADubuque,60,10966.45,4191.26,3055.23
DRG563,PID160069,RIDIADubuque,12,11271.33,3647.58,2617.91
DRG603,PID160069,RIDIADubuque,57,11735.21,4182.45,3252.45
DRG603,PID160117,RIDIADubuque,41,11378.48,4346.92,3493.36
DRG638,PID160117,RIDIADubuque,19,8985.47,4334.21,3334.84
DRG641,PID160069,RIDIADubuque,43,9453.86,3474.25,2541.3
DRG641,PID160117,RIDIADubuque,36,8226.66,3549.44,2889.11
DRG682,PID160069,RIDIADubuque,23,31338.39,8340.21,7653.95
DRG682,PID160117,RIDIADubuque,18,26816.16,9510.55,9010.94
DRG683,PID160069,RIDIADubuque,47,15671.8,5159.46,4233.14
DRG683,PID160117,RIDIADubuque,46,13879.97,5237.02,4210.97
DRG689,PID160117,RIDIADubuque,18,12707.38,6172.05,5422.72
DRG690,PID160069,RIDIADubuque,50,10717.24,3953.3,2984.9
DRG690,PID160117,RIDIADubuque,45,10091.2,4022.2,3300.51
DRG812,PID160069,RIDIADubuque,22,11183.9,4052.09,3183.18
DRG812,PID160117,RIDIADubuque,15,9599.8,4065.06,3239.2
DRG871,PID160069,RIDIADubuque,57,23844.45,9529.52,8540.47
DRG871,PID160117,RIDIADubuque,29,18194.82,9709.48,8934.31
DRG872,PID160069,RIDIADubuque,66,17589.36,5727.13,4817.77
DRG872,PID160117,RIDIADubuque,30,13292,6124.36,4961.2
DRG885,PID160069,RIDIADubuque,11,8725.09,4599.9,4191.18
DRG918,PID160069,RIDIADubuque,16,8548.06,3234.5,2252
DRG948,PID160069,RIDIADubuque,19,11936.89,3452.57,2742.68
DRG948,PID160117,RIDIADubuque,19,11343.1,3530.15,2757.31
