drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID160058,RIDIAIowaCity,19,27753.57,8632.1,7688.94
DRG057,PID160029,RIDIAIowaCity,12,18199.41,5103.08,4264.75
DRG057,PID160058,RIDIAIowaCity,31,23879.83,8451.51,7541.41
DRG064,PID160029,RIDIAIowaCity,11,31109.36,12271.45,8512.54
DRG064,PID160058,RIDIAIowaCity,102,43574.09,16723.51,15744.34
DRG064,PID160089,RIDIAIowaCity,12,21786.08,10509.5,9948.83
DRG065,PID160008,RIDIAIowaCity,13,12706.53,7247.61,6379.3
DRG065,PID160029,RIDIAIowaCity,46,20795.56,6251.78,5275.78
DRG065,PID160058,RIDIAIowaCity,112,29925.81,10700.09,9215.73
DRG065,PID160089,RIDIAIowaCity,33,11598.57,6217.45,5329.45
DRG066,PID160029,RIDIAIowaCity,35,18989.22,4853,3283.88
DRG066,PID160058,RIDIAIowaCity,71,22725.09,7430.08,5991.49
DRG066,PID160089,RIDIAIowaCity,13,12684.15,4786,3925.07
DRG069,PID160029,RIDIAIowaCity,17,17035.76,3986.88,3001.23
DRG069,PID160058,RIDIAIowaCity,20,17301.35,8615.65,4153.2
DRG069,PID160089,RIDIAIowaCity,11,14235,4620,3271.27
DRG074,PID160058,RIDIAIowaCity,25,19731.44,7632.28,6494.92
DRG101,PID160029,RIDIAIowaCity,11,14083.72,4149.72,3335.18
DRG101,PID160058,RIDIAIowaCity,83,18592.04,8120.38,5350.13
DRG176,PID160029,RIDIAIowaCity,25,16623.6,5876.84,4744.92
DRG176,PID160058,RIDIAIowaCity,30,19869.36,9651.16,7718.96
DRG177,PID160029,RIDIAIowaCity,17,27640.41,10813.82,10281.11
DRG177,PID160058,RIDIAIowaCity,15,53512.13,18809.86,18208.26
DRG177,PID160089,RIDIAIowaCity,11,18455.72,11508.54,10788.18
DRG178,PID160008,RIDIAIowaCity,13,15091.61,9133,8528.38
DRG178,PID160029,RIDIAIowaCity,19,32428.31,10118.26,9382.73
DRG178,PID160058,RIDIAIowaCity,32,30030.43,13764.71,12152.06
DRG178,PID160089,RIDIAIowaCity,13,19490.53,8956.92,7160
DRG178,PID160122,RIDIAIowaCity,12,12472.25,8952.83,8575.5
DRG189,PID160013,RIDIAIowaCity,19,19756.94,9714.89,8833
DRG189,PID160058,RIDIAIowaCity,27,36053.85,17224.51,9010.77
DRG189,PID160089,RIDIAIowaCity,42,15452.4,7764.9,6521.38
DRG190,PID160008,RIDIAIowaCity,39,11228.33,7272.33,6343.64
DRG190,PID160013,RIDIAIowaCity,17,17563.94,9186.05,8038.23
DRG190,PID160029,RIDIAIowaCity,32,25278.93,6453.31,5576.93
DRG190,PID160058,RIDIAIowaCity,24,24159.37,10364.7,9028.12
DRG190,PID160089,RIDIAIowaCity,34,15147.02,6852.79,5928.08
DRG190,PID160122,RIDIAIowaCity,18,13837.05,6946.11,5947
DRG191,PID160008,RIDIAIowaCity,24,11511.5,6060.08,5357.91
DRG191,PID160029,RIDIAIowaCity,38,23935.34,5495.21,4870.44
DRG191,PID160058,RIDIAIowaCity,52,20645.8,8599.32,7821.17
DRG191,PID160089,RIDIAIowaCity,32,12708.59,5450.62,4525.28
DRG191,PID160122,RIDIAIowaCity,25,10968.32,5844.72,5032.24
