drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID160064,RIDIAMasonCity,46,23590.71,6299.95,5043.06
DRG057,PID160064,RIDIAMasonCity,24,11989.83,5956.33,4683.33
DRG064,PID160064,RIDIAMasonCity,19,25540.47,10846.78,9566.57
DRG065,PID160064,RIDIAMasonCity,83,15227.31,6912.24,6088.38
DRG066,PID160064,RIDIAMasonCity,41,12466.26,4977.36,3765.95
DRG069,PID160064,RIDIAMasonCity,30,12304.06,4674.3,3087.73
DRG074,PID160064,RIDIAMasonCity,12,14022.25,5947.33,4103.16
DRG101,PID160064,RIDIAMasonCity,41,11075.51,4633.36,3536.7
DRG149,PID160064,RIDIAMasonCity,19,8286.05,3872.73,2980.73
DRG176,PID160064,RIDIAMasonCity,24,19496.12,6354.45,5063.25
DRG177,PID160064,RIDIAMasonCity,30,21060.3,10933.83,10296.63
DRG178,PID160064,RIDIAMasonCity,46,17229.56,8176.32,7516.76
DRG189,PID160064,RIDIAMasonCity,47,22142.76,7758.17,6633
DRG190,PID160064,RIDIAMasonCity,55,15536.87,7017.21,5733.25
DRG191,PID160064,RIDIAMasonCity,50,12639.68,5618.58,4787.3
DRG192,PID160064,RIDIAMasonCity,32,9365.12,4518.84,3246.65
DRG193,PID160064,RIDIAMasonCity,47,19425.06,8508.87,7839.93
DRG194,PID160064,RIDIAMasonCity,111,12622.45,6113.72,4939.46
DRG195,PID160064,RIDIAMasonCity,48,10847.29,4256.37,3321.7
DRG202,PID160064,RIDIAMasonCity,21,12816.28,5128.9,4431.19
DRG208,PID160064,RIDIAMasonCity,35,35816.02,13154.4,12234.48
DRG238,PID160064,RIDIAMasonCity,22,57759.09,19023,16786.13
DRG243,PID160064,RIDIAMasonCity,36,44297.41,15879.11,15128
DRG244,PID160064,RIDIAMasonCity,29,39158.2,12375.79,10987.24
DRG246,PID160064,RIDIAMasonCity,34,75353.91,20606.05,18476
DRG247,PID160064,RIDIAMasonCity,120,56643.17,12700.62,10553.11
DRG249,PID160064,RIDIAMasonCity,14,50128.71,10740.14,9783.57
DRG251,PID160064,RIDIAMasonCity,17,34155.76,10867.64,10138.94
DRG253,PID160064,RIDIAMasonCity,15,55107.2,14503.93,13680.2
DRG280,PID160064,RIDIAMasonCity,41,28551.82,10846.48,10102.58
DRG281,PID160064,RIDIAMasonCity,40,25102.35,7142.62,6141.8
DRG282,PID160064,RIDIAMasonCity,17,23503.64,4922.64,3938.88
DRG286,PID160064,RIDIAMasonCity,23,38765.17,13045.17,10914.78
DRG287,PID160064,RIDIAMasonCity,158,24367.45,6877.22,5441.07
DRG291,PID160064,RIDIAMasonCity,82,19130.32,8426.17,7752.5
DRG292,PID160064,RIDIAMasonCity,147,17136.65,6091.89,5269.02
DRG293,PID160064,RIDIAMasonCity,82,13743.46,4250.8,3212.25
DRG300,PID160064,RIDIAMasonCity,24,15379.87,5772.29,5126.41
DRG301,PID160064,RIDIAMasonCity,12,11725,3930.75,3117.25
DRG303,PID160064,RIDIAMasonCity,34,13245.41,3680.41,2816.05
DRG305,PID160064,RIDIAMasonCity,25,11906.8,3741.24,2795.48
DRG308,PID160064,RIDIAMasonCity,56,24787.85,7567.78,6618.44
DRG309,PID160064,RIDIAMasonCity,101,13547,5151.51,4124.5
DRG310,PID160064,RIDIAMasonCity,123,11839.36,3568.31,2593.99
DRG312,PID160064,RIDIAMasonCity,42,11647.8,4469.45,3294
DRG313,PID160064,RIDIAMasonCity,50,10501.64,3352.06,2403.8
DRG314,PID160064,RIDIAMasonCity,22,22689,10665.72,9951.22
DRG315,PID160064,RIDIAMasonCity,22,15606.31,5850.59,5238.95
DRG329,PID160064,RIDIAMasonCity,24,75888.25,29403.79,27382.58
DRG330,PID160064,RIDIAMasonCity,47,44083.76,15121.23,13098.06
DRG372,PID160064,RIDIAMasonCity,16,18281.5,7207.18,6643.18
DRG377,PID160064,RIDIAMasonCity,15,21004.8,9910.4,9157.86
DRG378,PID160064,RIDIAMasonCity,88,15886.53,6194.5,5228.11
DRG379,PID160064,RIDIAMasonCity,13,12758.84,4345.76,3654.07
DRG389,PID160064,RIDIAMasonCity,24,16737.41,5475.29,4571.83
DRG390,PID160064,RIDIAMasonCity,32,11499.96,3926.62,2994.59
DRG391,PID160064,RIDIAMasonCity,12,25592.33,7049,6294.33
DRG392,PID160064,RIDIAMasonCity,122,13035.65,4400.55,3393.56
DRG419,PID160064,RIDIAMasonCity,12,25972.5,7511.83,5160.58
DRG439,PID160064,RIDIAMasonCity,21,17558.14,6699.9,4569.52
DRG460,PID160064,RIDIAMasonCity,86,29786.68,23201.54,20892.25
DRG469,PID160064,RIDIAMasonCity,22,51816.68,19491.31,18468.04
DRG470,PID160064,RIDIAMasonCity,378,35349.76,12816.66,11297.42
DRG473,PID160064,RIDIAMasonCity,11,23634.45,12491,11359
DRG480,PID160064,RIDIAMasonCity,11,51443.09,18764.63,17395.45
DRG481,PID160064,RIDIAMasonCity,68,31354.23,11156.36,10196.95
DRG482,PID160064,RIDIAMasonCity,23,25535.34,9299.69,8332.04
DRG491,PID160064,RIDIAMasonCity,86,14705.02,5974.34,4978.81
DRG536,PID160064,RIDIAMasonCity,23,8307.3,4227.47,3397.73
DRG552,PID160064,RIDIAMasonCity,34,11089.58,4998.67,3903.5
DRG563,PID160064,RIDIAMasonCity,17,12051,4284.41,3430.05
DRG603,PID160064,RIDIAMasonCity,59,11273.22,5074.64,4066.11
DRG638,PID160064,RIDIAMasonCity,14,13459.14,4641.21,3603.78
DRG640,PID160064,RIDIAMasonCity,21,17573.8,6637.19,5641.47
DRG641,PID160064,RIDIAMasonCity,113,10843.53,4153.21,3264.94
DRG682,PID160064,RIDIAMasonCity,24,18424.75,9628.91,8973.91
DRG683,PID160064,RIDIAMasonCity,72,11678.86,6127.98,4942.73
DRG684,PID160064,RIDIAMasonCity,24,9645.12,4157.91,2945.16
DRG689,PID160064,RIDIAMasonCity,11,16455.9,7343.09,6522.72
DRG690,PID160064,RIDIAMasonCity,64,11747.85,4709.43,3932.5
DRG698,PID160064,RIDIAMasonCity,14,18607.78,9603.35,8803.92
DRG811,PID160064,RIDIAMasonCity,17,17515.76,8813.64,6542.94
DRG812,PID160064,RIDIAMasonCity,37,14474.13,4830.91,4039.78
DRG853,PID160064,RIDIAMasonCity,11,92058.72,31623.54,31011.9
DRG871,PID160064,RIDIAMasonCity,142,26875.74,10848.85,9928.76
DRG872,PID160064,RIDIAMasonCity,64,16914.28,6720.26,5707.89
DRG885,PID160064,RIDIAMasonCity,317,9953.57,5526.21,4778.48
DRG897,PID160064,RIDIAMasonCity,76,8777.22,3982.81,3256.34
DRG918,PID160064,RIDIAMasonCity,29,9259.34,3809.03,2867.96
DRG948,PID160064,RIDIAMasonCity,26,11146.42,4092.07,3269.76
