drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID160153,RIDIASiouxCity,57,19246.82,5831.42,4462.56
DRG064,PID160153,RIDIASiouxCity,22,36686.22,10666.04,9408.9
DRG065,PID160146,RIDIASiouxCity,22,16360.27,7363.54,6447.54
DRG065,PID160153,RIDIASiouxCity,55,21523.07,6332.87,5394.25
DRG066,PID160146,RIDIASiouxCity,12,16065.58,5191.33,4347.66
DRG066,PID160153,RIDIASiouxCity,28,18406.1,4872.28,3288.35
DRG069,PID160146,RIDIASiouxCity,12,17095.33,4667.58,4015.25
DRG069,PID160153,RIDIASiouxCity,32,13454.21,4089.68,2738.75
DRG176,PID160153,RIDIASiouxCity,15,23571.4,6045.66,4591.6
DRG177,PID160146,RIDIASiouxCity,13,24858,12727.53,10910.53
DRG177,PID160153,RIDIASiouxCity,55,23012.92,10581.63,9488.47
DRG178,PID160146,RIDIASiouxCity,17,20130.05,9489.35,8132.05
DRG178,PID160153,RIDIASiouxCity,30,17657.23,8119.73,7333.73
DRG189,PID160146,RIDIASiouxCity,20,26574.35,8440.5,6863.55
DRG189,PID160153,RIDIASiouxCity,14,17673,7032.57,6394.85
DRG190,PID160146,RIDIASiouxCity,48,22820.29,7723.58,6195.22
DRG190,PID160153,RIDIASiouxCity,57,19434.56,6608.47,5501.59
DRG191,PID160146,RIDIASiouxCity,46,16932.02,6207.41,5263.3
DRG191,PID160153,RIDIASiouxCity,47,16698.19,5502,4132.46
DRG192,PID160146,RIDIASiouxCity,40,12543.95,4817.3,3304.75
DRG192,PID160153,RIDIASiouxCity,36,10303.8,4048.69,2954.58
DRG193,PID160146,RIDIASiouxCity,49,23653.14,9058.06,8025.59
DRG193,PID160153,RIDIASiouxCity,36,22244.61,8010.22,6628.02
DRG194,PID160146,RIDIASiouxCity,92,14502.51,6346.04,5275.92
DRG194,PID160153,RIDIASiouxCity,53,16337.92,5564.22,4522.33
DRG195,PID160146,RIDIASiouxCity,20,12297.15,4556.45,3658.85
DRG195,PID160153,RIDIASiouxCity,21,10189.61,4007.61,2751.61
DRG208,PID160146,RIDIASiouxCity,24,51904.91,15622.87,14500.2
DRG208,PID160153,RIDIASiouxCity,33,44965.24,12581.87,11731.09
DRG238,PID160153,RIDIASiouxCity,22,53053.59,16836.18,15814.36
DRG243,PID160153,RIDIASiouxCity,20,44301,14147.55,13075.35
DRG244,PID160146,RIDIASiouxCity,19,34483.21,12467.42,11515.84
DRG244,PID160153,RIDIASiouxCity,15,35454.66,11137.86,10238.66
DRG246,PID160153,RIDIASiouxCity,14,87523.28,18714.42,17908.14
DRG247,PID160146,RIDIASiouxCity,24,37156.33,12441.45,10715.41
DRG247,PID160153,RIDIASiouxCity,81,50459.72,11353.4,9124.14
DRG252,PID160153,RIDIASiouxCity,18,56747.11,16063.22,14111
DRG253,PID160153,RIDIASiouxCity,30,47995.36,13160,12303.86
DRG254,PID160153,RIDIASiouxCity,33,32174.78,9092.57,7612.6
DRG280,PID160153,RIDIASiouxCity,37,29083.16,10442.48,9061.48
DRG281,PID160153,RIDIASiouxCity,33,25738.69,6958.78,5186.81
DRG282,PID160146,RIDIASiouxCity,11,12087.36,5066.63,4040.45
DRG282,PID160153,RIDIASiouxCity,15,13543.73,4429.66,3379.53
DRG287,PID160146,RIDIASiouxCity,22,16289.54,6724.54,5851.27
DRG287,PID160153,RIDIASiouxCity,44,24805.61,6201.47,4842.22
DRG291,PID160146,RIDIASiouxCity,41,21325.56,9419.8,8733.46
DRG291,PID160153,RIDIASiouxCity,54,29235.12,9104.46,7663.4
DRG292,PID160146,RIDIASiouxCity,56,15128.85,6354.6,5460.39
DRG292,PID160153,RIDIASiouxCity,87,13477.49,5592.82,4845.21
DRG293,PID160146,RIDIASiouxCity,16,11167.43,4368.75,3665.25
DRG293,PID160153,RIDIASiouxCity,17,9391.41,3769.05,2975.64
DRG300,PID160153,RIDIASiouxCity,16,15651.18,5470.81,4284.25
DRG301,PID160153,RIDIASiouxCity,11,7601.18,3644.54,2932.9
DRG303,PID160153,RIDIASiouxCity,12,9557.5,3198.33,2540.66
DRG308,PID160146,RIDIASiouxCity,17,19215,7803,6944.88
DRG308,PID160153,RIDIASiouxCity,22,17363.63,6769.81,5903.81
DRG309,PID160146,RIDIASiouxCity,22,10655.09,5307.36,4335.54
DRG309,PID160153,RIDIASiouxCity,40,12965.8,4703.95,3608.6
DRG310,PID160146,RIDIASiouxCity,16,6163.81,3667.62,2333.75
DRG310,PID160153,RIDIASiouxCity,39,7837.79,3136.64,2098.28
DRG312,PID160146,RIDIASiouxCity,21,13949.28,4808.14,3322.52
DRG312,PID160153,RIDIASiouxCity,25,13907.6,3982.72,2925.44
DRG313,PID160146,RIDIASiouxCity,13,9109.3,3551.3,2375.53
DRG313,PID160153,RIDIASiouxCity,78,9704.64,3128.79,1997.75
DRG314,PID160146,RIDIASiouxCity,12,31067.5,10758.5,9655.41
DRG314,PID160153,RIDIASiouxCity,24,33748.7,10032.87,8418.25
DRG315,PID160153,RIDIASiouxCity,12,11819.41,5536.83,4018.83
DRG329,PID160153,RIDIASiouxCity,21,109822.42,32211.8,31276.09
DRG330,PID160146,RIDIASiouxCity,32,45209.5,16610.71,13980.34
DRG330,PID160153,RIDIASiouxCity,31,46631.22,14220.54,11699.29
DRG372,PID160146,RIDIASiouxCity,14,17674.64,7950.85,7263.57
DRG372,PID160153,RIDIASiouxCity,12,17541.91,6940.33,6657.33
DRG377,PID160146,RIDIASiouxCity,16,28082.5,11028.43,10537.18
DRG377,PID160153,RIDIASiouxCity,28,26930.89,9558.85,8667.64
DRG378,PID160146,RIDIASiouxCity,30,17286.86,6556.53,5521.66
DRG378,PID160153,RIDIASiouxCity,49,15522.4,5595.34,4656
DRG379,PID160146,RIDIASiouxCity,11,11169.63,4509.09,3688.72
DRG389,PID160146,RIDIASiouxCity,15,16001.6,6679.8,4594.2
DRG389,PID160153,RIDIASiouxCity,28,19670.21,5342.67,4540.96
DRG390,PID160146,RIDIASiouxCity,20,9424.35,4048.95,3097.95
DRG390,PID160153,RIDIASiouxCity,19,10306.57,3511,2625.73
DRG391,PID160153,RIDIASiouxCity,16,13247.81,6444.56,5283.75
DRG392,PID160146,RIDIASiouxCity,47,11187.21,4651.68,3551.38
DRG392,PID160153,RIDIASiouxCity,49,13634.2,3954.93,2989.22
DRG394,PID160153,RIDIASiouxCity,12,18547.08,5467.25,4626.25
DRG418,PID160153,RIDIASiouxCity,12,33040,9675.33,7800.91
DRG460,PID160146,RIDIASiouxCity,14,38955.21,24071.85,22944.42
DRG460,PID160153,RIDIASiouxCity,30,73240.7,22249.7,19284.46
DRG460,PID430089,RIDIASiouxCity,73,123635.43,24231.71,22797.19
DRG469,PID160153,RIDIASiouxCity,23,65094.86,18810.95,17784.34
DRG470,PID160146,RIDIASiouxCity,196,39463.6,13348.17,11306.6
DRG470,PID160153,RIDIASiouxCity,76,47477.14,12159.42,9906.63
DRG470,PID430089,RIDIASiouxCity,252,32479.41,12003.84,10271.28
DRG473,PID430089,RIDIASiouxCity,16,57064.56,12035.93,9818.93
DRG480,PID160153,RIDIASiouxCity,27,61998.55,16764.37,15182.85
DRG481,PID160146,RIDIASiouxCity,32,27674.46,11894.81,10404.37
DRG481,PID160153,RIDIASiouxCity,68,42406.29,10452.83,9402.01
DRG491,PID160146,RIDIASiouxCity,11,20022,6232.72,5312.36
DRG491,PID160153,RIDIASiouxCity,15,23198.46,7310.2,3445.86
DRG491,PID430089,RIDIASiouxCity,21,33246.57,5536,4464
DRG552,PID160146,RIDIASiouxCity,19,11833.89,5231.47,4284.94
DRG552,PID160153,RIDIASiouxCity,26,18951.8,5305.73,3155.3
DRG563,PID160153,RIDIASiouxCity,13,11328.92,3946.92,2991.53
DRG602,PID160153,RIDIASiouxCity,13,19723.07,8036.61,7342.46
DRG603,PID160146,RIDIASiouxCity,25,13050.6,5336.12,4086.76
DRG603,PID160153,RIDIASiouxCity,42,13898.61,4607.35,3625.28
DRG638,PID160146,RIDIASiouxCity,16,12681.75,5222.93,4735.68
DRG638,PID160153,RIDIASiouxCity,13,15149.84,4320.53,3715.92
DRG640,PID160146,RIDIASiouxCity,18,13994.16,7147,6588.11
DRG640,PID160153,RIDIASiouxCity,31,24058.9,6744.41,6165.35
DRG641,PID160146,RIDIASiouxCity,40,11466.15,4379.37,3402.07
DRG641,PID160153,RIDIASiouxCity,45,13671.55,3864.75,2912.4
DRG682,PID160146,RIDIASiouxCity,13,22939.23,10220,8217.84
DRG682,PID160153,RIDIASiouxCity,52,33234.94,9064.65,8007.46
DRG683,PID160146,RIDIASiouxCity,37,20096.24,7148.91,5823.94
DRG683,PID160153,RIDIASiouxCity,71,17676.26,5552.3,4769.18
DRG684,PID160153,RIDIASiouxCity,14,9441.14,3558.92,2590.92
DRG689,PID160146,RIDIASiouxCity,13,15824,7533.69,6670.3
DRG689,PID160153,RIDIASiouxCity,17,13203.17,6444.64,5586.52
DRG690,PID160146,RIDIASiouxCity,32,11834.84,4921.59,3837.9
DRG690,PID160153,RIDIASiouxCity,29,12043.86,4180.58,3288.31
DRG812,PID160146,RIDIASiouxCity,11,12488.54,5044,4435.27
DRG853,PID160146,RIDIASiouxCity,16,92998,34826.25,34173.87
DRG853,PID160153,RIDIASiouxCity,58,89962.91,32025.82,28960.62
DRG871,PID160146,RIDIASiouxCity,111,31359.97,12311.88,11083.68
DRG871,PID160153,RIDIASiouxCity,262,29480.23,10417.4,9267.83
DRG872,PID160146,RIDIASiouxCity,66,17021.75,7141.18,6338.93
DRG872,PID160153,RIDIASiouxCity,78,16562.44,6415.67,5301.69
DRG897,PID160153,RIDIASiouxCity,13,9823.07,3596.69,2815.46
DRG917,PID160153,RIDIASiouxCity,13,12399.23,7326.46,5514.61
DRG918,PID160153,RIDIASiouxCity,14,6067,3603.14,2507.35
DRG948,PID160146,RIDIASiouxCity,11,13234.09,4700.54,3622.18
DRG948,PID160153,RIDIASiouxCity,21,18698.9,3800.8,2752.71
