drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID160110,RIDIAWaterloo,47,15909.89,5752.27,4841.8
DRG064,PID160110,RIDIAWaterloo,23,24065.43,9844.13,9015.78
DRG065,PID160067,RIDIAWaterloo,15,14234.46,6328.33,5429.13
DRG065,PID160110,RIDIAWaterloo,35,15510.51,6186.54,5383.45
DRG066,PID160110,RIDIAWaterloo,25,14388.12,4748.72,3682.36
DRG069,PID160110,RIDIAWaterloo,16,13830.62,4320.62,2895.68
DRG101,PID160110,RIDIAWaterloo,22,11759.45,4364.31,3595.4
DRG176,PID160067,RIDIAWaterloo,21,15236.42,6392.95,5320.95
DRG176,PID160110,RIDIAWaterloo,29,10578.34,5734.1,4955.62
DRG177,PID160067,RIDIAWaterloo,19,29439.26,12305.05,10670.05
DRG177,PID160110,RIDIAWaterloo,46,24111.21,10777.89,10361.63
DRG178,PID160110,RIDIAWaterloo,17,12340.7,7796.58,6969.88
DRG189,PID160067,RIDIAWaterloo,49,16592.85,7811.61,6890.75
DRG189,PID160110,RIDIAWaterloo,112,13686.83,7309.72,6457.75
DRG190,PID160067,RIDIAWaterloo,30,15176.43,6985.36,5922.2
DRG190,PID160110,RIDIAWaterloo,55,12244.38,6512.34,5737.21
DRG191,PID160067,RIDIAWaterloo,30,12951.2,5575.66,4865.13
DRG191,PID160110,RIDIAWaterloo,44,12604.31,5590.45,4634.88
DRG192,PID160067,RIDIAWaterloo,18,9661.5,4371.61,3431.83
DRG192,PID160110,RIDIAWaterloo,36,9153.05,3971.88,3060.13
DRG193,PID160067,RIDIAWaterloo,34,22714.55,8598.44,7937.26
DRG193,PID160110,RIDIAWaterloo,112,16345.12,7981.08,7117.67
DRG194,PID160040,RIDIAWaterloo,19,11872.89,4965.63,3962.89
DRG194,PID160067,RIDIAWaterloo,34,13688.44,5891.26,4966.55
DRG194,PID160110,RIDIAWaterloo,77,12356.57,5646.64,4627.74
DRG195,PID160040,RIDIAWaterloo,14,11021.64,3653.35,2609.07
DRG195,PID160067,RIDIAWaterloo,12,12857.66,4322.08,3572.75
DRG195,PID160110,RIDIAWaterloo,37,11585.64,4183.86,2740.18
DRG202,PID160110,RIDIAWaterloo,11,10111.18,4835.09,3808.9
DRG203,PID160110,RIDIAWaterloo,11,10220,3552,2631.63
DRG208,PID160067,RIDIAWaterloo,15,31446.6,13251,12496.33
DRG208,PID160110,RIDIAWaterloo,73,42759.68,13259.39,12614.64
DRG238,PID160067,RIDIAWaterloo,15,53116.26,17353.46,16605.2
DRG238,PID160110,RIDIAWaterloo,33,42424.24,17364.06,15814.09
DRG243,PID160067,RIDIAWaterloo,16,40558.56,15617.93,14849.68
DRG243,PID160110,RIDIAWaterloo,21,37759.14,14727.33,13869.42
DRG244,PID160067,RIDIAWaterloo,11,30400.9,12013.63,11102
DRG244,PID160110,RIDIAWaterloo,32,33997.71,11637.81,10284.25
DRG246,PID160067,RIDIAWaterloo,20,71457.65,19135.65,17201.5
DRG246,PID160110,RIDIAWaterloo,11,44623.18,18018,17094.72
DRG247,PID160067,RIDIAWaterloo,41,59385.17,12111.73,10469.51
DRG247,PID160110,RIDIAWaterloo,62,28668.4,11249.74,9904.09
DRG249,PID160110,RIDIAWaterloo,34,29079.29,10035.41,9047.88
DRG251,PID160110,RIDIAWaterloo,16,30703,10153.62,9312.62
DRG252,PID160110,RIDIAWaterloo,18,44046.44,17309.11,16744.88
DRG253,PID160110,RIDIAWaterloo,35,35294.45,13846.71,12459.74
DRG254,PID160110,RIDIAWaterloo,36,20404.66,9191.44,8316.36
DRG280,PID160110,RIDIAWaterloo,44,22693.68,10139.47,9347.02
DRG281,PID160110,RIDIAWaterloo,22,16418.86,6596.18,5630.18
DRG282,PID160110,RIDIAWaterloo,25,14253.76,4604.28,3661.08
DRG286,PID160110,RIDIAWaterloo,12,25233.5,11416,10383.66
DRG287,PID160067,RIDIAWaterloo,17,30874.7,6588.29,5152.94
DRG287,PID160110,RIDIAWaterloo,117,15312.11,6158.34,5172.98
DRG291,PID160067,RIDIAWaterloo,40,22178.82,8675.1,7834.05
DRG291,PID160110,RIDIAWaterloo,95,17147.05,8034.7,7406.87
DRG292,PID160067,RIDIAWaterloo,38,14246.5,6204.65,5377.28
DRG292,PID160110,RIDIAWaterloo,107,11898.75,5789.25,5047.59
DRG293,PID160067,RIDIAWaterloo,11,9670.9,4117.27,3056.09
DRG293,PID160110,RIDIAWaterloo,38,7113,3904.23,3195.18
DRG300,PID160110,RIDIAWaterloo,16,8934.81,5367.87,4522.87
DRG303,PID160110,RIDIAWaterloo,36,7693.91,3314.55,2505.88
DRG305,PID160110,RIDIAWaterloo,16,9230.18,3530.93,2621.18
DRG308,PID160067,RIDIAWaterloo,18,18432.61,7371.94,6557.94
DRG308,PID160110,RIDIAWaterloo,37,12478.1,7017.59,5972.94
DRG309,PID160067,RIDIAWaterloo,27,14171.7,5583.11,3972.44
DRG309,PID160110,RIDIAWaterloo,51,9270.47,4731.92,3831.92
DRG310,PID160067,RIDIAWaterloo,17,11556.23,3470.82,2409.17
DRG310,PID160110,RIDIAWaterloo,57,6354.33,3272.12,2305.73
DRG312,PID160067,RIDIAWaterloo,13,13681.61,4365.46,3586.69
DRG312,PID160110,RIDIAWaterloo,49,10363.63,4095.61,3382.06
DRG313,PID160110,RIDIAWaterloo,80,9295.58,3244.88,2086.97
DRG314,PID160110,RIDIAWaterloo,28,17548.35,9488.42,8841.64
DRG315,PID160110,RIDIAWaterloo,11,12742.54,5303.9,4686.45
DRG329,PID160110,RIDIAWaterloo,34,71349.79,28799.08,27804.02
DRG330,PID160067,RIDIAWaterloo,13,48667.23,15270.53,12940.84
DRG330,PID160110,RIDIAWaterloo,27,34914.18,14615.62,13210.07
DRG372,PID160110,RIDIAWaterloo,18,14660.16,7120.55,6746.77
DRG377,PID160067,RIDIAWaterloo,12,27178.25,10088.41,9527.75
DRG377,PID160110,RIDIAWaterloo,32,24120.15,9741.65,9007.78
DRG378,PID160040,RIDIAWaterloo,17,16532.64,5613.82,3936.47
DRG378,PID160067,RIDIAWaterloo,47,16790.72,6057.76,5315.89
DRG378,PID160110,RIDIAWaterloo,88,14969.77,5882.38,4901.36
DRG389,PID160067,RIDIAWaterloo,19,11703.05,5875.21,4306.73
DRG389,PID160110,RIDIAWaterloo,39,12375.94,5360.46,4493.28
DRG390,PID160110,RIDIAWaterloo,27,9665.48,3790.03,2539.88
DRG391,PID160110,RIDIAWaterloo,32,13677.62,6514.71,5776.84
DRG392,PID160067,RIDIAWaterloo,31,13528.32,4322.25,3522
DRG392,PID160110,RIDIAWaterloo,125,11579.48,4241.41,3128.62
DRG394,PID160110,RIDIAWaterloo,22,14086.54,5724.9,5011.81
DRG418,PID160110,RIDIAWaterloo,18,29096.05,9663.66,8725.66
DRG460,PID160067,RIDIAWaterloo,49,65657.67,23006.85,21953.3
DRG460,PID160110,RIDIAWaterloo,12,52919.66,21997.33,21059.33
DRG469,PID160110,RIDIAWaterloo,22,50723.86,19844.27,18878.31
DRG470,PID160040,RIDIAWaterloo,36,36702.97,11010.61,9537.05
DRG470,PID160067,RIDIAWaterloo,126,32112.07,12785.44,11231.16
DRG470,PID160110,RIDIAWaterloo,275,29039.03,12146.04,10508.4
DRG473,PID160067,RIDIAWaterloo,21,39702.9,12467.19,10700.95
DRG480,PID160110,RIDIAWaterloo,18,49307.66,16900.44,15688.38
