drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID130002,RIDIDBoise,18,10584.16,6377.66,4856.22
DRG039,PID130006,RIDIDBoise,38,13963.55,6344.42,4960.68
DRG039,PID130007,RIDIDBoise,17,25880.52,6117.17,5321.88
DRG057,PID130006,RIDIDBoise,12,15237.58,5410.33,4658.33
DRG064,PID130002,RIDIDBoise,17,20528.11,10318.88,8675.41
DRG064,PID130006,RIDIDBoise,39,29611.71,13083.92,10023.23
DRG064,PID130007,RIDIDBoise,39,26139.35,10947.74,8961.82
DRG065,PID130002,RIDIDBoise,39,13426.53,6573.64,5652.2
DRG065,PID130006,RIDIDBoise,69,22213.24,6970.59,5731.18
DRG065,PID130007,RIDIDBoise,50,17782.14,7618.72,5233.82
DRG065,PID130013,RIDIDBoise,12,16505.41,6616.58,5861.91
DRG065,PID130014,RIDIDBoise,13,17772.38,6867.07,5914.15
DRG065,PID380052,RIDIDBoise,25,16056.76,7551,6650.52
DRG066,PID130002,RIDIDBoise,18,11776.22,4829,3959.22
DRG066,PID130006,RIDIDBoise,49,16459.93,4963.34,3930.28
DRG066,PID130007,RIDIDBoise,25,11953.52,4880.12,3655.36
DRG069,PID130002,RIDIDBoise,30,10605.53,4307,3443.4
DRG069,PID130006,RIDIDBoise,17,13504.7,4764.11,3211.47
DRG069,PID130007,RIDIDBoise,34,11433.23,4397.11,3337.35
DRG074,PID130006,RIDIDBoise,17,13808.35,5328.58,4289.11
DRG074,PID130007,RIDIDBoise,13,15631.92,5527.69,4285.84
DRG101,PID130006,RIDIDBoise,21,15364.09,4909.9,3535.23
DRG101,PID130007,RIDIDBoise,18,11795,4519.66,3738.88
DRG176,PID130002,RIDIDBoise,31,12768.8,6080,5088.19
DRG176,PID130006,RIDIDBoise,45,14216.33,6435,4925.73
DRG176,PID130007,RIDIDBoise,15,15262,6000.53,5252.26
DRG176,PID130014,RIDIDBoise,11,17715.45,6358.45,5535.18
DRG176,PID380052,RIDIDBoise,13,18504.3,7115.15,5414.23
DRG177,PID130002,RIDIDBoise,23,24756.17,11928.47,10438
DRG177,PID130006,RIDIDBoise,41,34902.43,15037.95,12355.02
DRG177,PID130007,RIDIDBoise,34,25744.88,11717.64,11014.14
DRG177,PID130013,RIDIDBoise,11,26537.36,11175.54,10361
DRG178,PID130002,RIDIDBoise,36,18554.77,9009.47,7363.83
DRG178,PID130006,RIDIDBoise,41,21378.24,8590.19,7746.65
DRG189,PID130002,RIDIDBoise,36,16802.05,7808.16,6600.02
DRG189,PID130006,RIDIDBoise,39,28768.76,10906,7734.1
DRG189,PID130007,RIDIDBoise,68,15334.98,7813.69,6734.02
DRG189,PID130013,RIDIDBoise,40,15711.52,7884.4,6317.75
DRG189,PID130014,RIDIDBoise,17,25836.11,8462.7,7289.17
DRG190,PID130002,RIDIDBoise,20,20443,7045.4,5946.6
DRG190,PID130006,RIDIDBoise,59,22030.08,7354.96,6460.23
DRG190,PID130007,RIDIDBoise,21,15583.8,6814.61,5959.76
DRG190,PID130013,RIDIDBoise,24,14503.37,7045.75,5693
DRG190,PID130014,RIDIDBoise,22,23971.95,7526.5,6448.22
DRG190,PID380052,RIDIDBoise,25,19977.64,7546.44,6918.92
DRG191,PID130002,RIDIDBoise,46,12343.78,5657.89,4851.19
DRG191,PID130006,RIDIDBoise,39,17390.79,6118.64,4743.23
DRG191,PID130013,RIDIDBoise,15,12483.26,5707,4807.8
DRG191,PID130014,RIDIDBoise,20,14244.5,6121.15,5276.95
DRG191,PID380052,RIDIDBoise,20,13408.85,6301,5516.6
DRG192,PID130002,RIDIDBoise,19,9298.68,4232.42,3242.47
DRG192,PID130006,RIDIDBoise,32,11057.75,4420.18,3469.06
DRG192,PID130007,RIDIDBoise,11,10367.45,4354.36,3636.9
DRG192,PID130013,RIDIDBoise,17,9911.52,4435.29,3269.29
DRG192,PID380052,RIDIDBoise,21,14440.85,4594.04,3682.23
