drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID130018,RIDIDIdahoFalls,18,25589.22,6324.44,5330.66
DRG064,PID130018,RIDIDIdahoFalls,25,27040.32,12186.48,9659.12
DRG065,PID130018,RIDIDIdahoFalls,57,21204.52,7118.31,6053.75
DRG066,PID130018,RIDIDIdahoFalls,37,18561.13,6099.51,3726.59
DRG069,PID130018,RIDIDIdahoFalls,16,16993.5,4540.25,3481
DRG101,PID130018,RIDIDIdahoFalls,19,28228.05,6499.57,5044.89
DRG176,PID130018,RIDIDIdahoFalls,29,17416.06,6397.06,5423.41
DRG177,PID130018,RIDIDIdahoFalls,14,40594.57,12754.78,10520.35
DRG178,PID130018,RIDIDIdahoFalls,14,39125.71,9112.21,8391.35
DRG190,PID130018,RIDIDIdahoFalls,36,25329.27,8656.08,5903.05
DRG190,PID130025,RIDIDIdahoFalls,13,8888.69,6993,6040.07
DRG191,PID130018,RIDIDIdahoFalls,19,19035.84,5827.31,4824.57
DRG192,PID130018,RIDIDIdahoFalls,28,14031.64,4954.53,3272.25
DRG193,PID130018,RIDIDIdahoFalls,20,40740.95,10241.2,8351.75
DRG194,PID130018,RIDIDIdahoFalls,103,22318.44,7134.44,4966.11
DRG194,PID130025,RIDIDIdahoFalls,12,9138.5,6061.5,5034.5
DRG195,PID130018,RIDIDIdahoFalls,61,13737.22,4595.91,3208.62
DRG195,PID130025,RIDIDIdahoFalls,21,7056.8,4537.61,2905.71
DRG208,PID130018,RIDIDIdahoFalls,20,46611.9,14053.7,13264.5
DRG243,PID130018,RIDIDIdahoFalls,18,68257.88,16016.83,15139.94
DRG244,PID130018,RIDIDIdahoFalls,14,60835.35,12667.14,11616
DRG246,PID130018,RIDIDIdahoFalls,15,92168.8,21988.46,18826.4
DRG247,PID130018,RIDIDIdahoFalls,54,66775.35,15108.38,10435.75
DRG249,PID130018,RIDIDIdahoFalls,31,50999.25,10979.25,9999.51
DRG252,PID130018,RIDIDIdahoFalls,14,55754.42,19887.21,16449.42
DRG254,PID130018,RIDIDIdahoFalls,17,47737.41,13355.76,9314.82
DRG281,PID130018,RIDIDIdahoFalls,18,37271.72,7904.05,6967.83
DRG282,PID130018,RIDIDIdahoFalls,13,18289.69,4972.61,3940
DRG287,PID130018,RIDIDIdahoFalls,37,29565.51,7013.16,5658.32
DRG291,PID130018,RIDIDIdahoFalls,24,30701.04,9460.87,8009.62
DRG292,PID130018,RIDIDIdahoFalls,30,24257.56,6290.86,5356.06
DRG292,PID130025,RIDIDIdahoFalls,13,9486.92,6049.46,4935.3
DRG293,PID130018,RIDIDIdahoFalls,17,16687,4256.05,3327.58
DRG300,PID130018,RIDIDIdahoFalls,11,19659,6715.81,4679.9
DRG308,PID130018,RIDIDIdahoFalls,13,32263.69,7876.38,7092.69
DRG309,PID130018,RIDIDIdahoFalls,32,22117.15,5334.96,4311.34
DRG310,PID130018,RIDIDIdahoFalls,22,10500.22,4081.18,2191.54
DRG312,PID130018,RIDIDIdahoFalls,19,14013.15,4626.15,3271.36
DRG313,PID130018,RIDIDIdahoFalls,12,13661.08,3415,2382.66
DRG314,PID130018,RIDIDIdahoFalls,11,35375.45,12203.63,8401.09
DRG329,PID130018,RIDIDIdahoFalls,12,98450.41,31252.41,30406.08
DRG330,PID130018,RIDIDIdahoFalls,26,50006.03,16999.57,13238.19
DRG372,PID130018,RIDIDIdahoFalls,11,36989.54,8033.18,7521.54
DRG377,PID130018,RIDIDIdahoFalls,12,20331.58,10892.66,10049
DRG378,PID130018,RIDIDIdahoFalls,43,18538.53,6423.65,5225.16
DRG379,PID130018,RIDIDIdahoFalls,14,14288.42,4364.71,3320.42
DRG389,PID130018,RIDIDIdahoFalls,19,16812.47,5654.21,4825.15
DRG390,PID130018,RIDIDIdahoFalls,27,9846.4,3954.96,3081.62
DRG391,PID130018,RIDIDIdahoFalls,13,24225.38,7173.3,6302.53
DRG392,PID130018,RIDIDIdahoFalls,67,15405.28,4783.86,3331.07
