drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID140029,RIDILAurora,12,60712.83,6744.33,5992.33
DRG064,PID140029,RIDILAurora,15,82554.2,12398.33,11647.93
DRG064,PID140174,RIDILAurora,12,43340.33,11668,11018.33
DRG065,PID140029,RIDILAurora,39,39631.84,7592.58,6870.23
DRG065,PID140174,RIDILAurora,21,32417.95,7378.8,6468.52
DRG066,PID140029,RIDILAurora,24,38959.2,5387.33,4493.83
DRG066,PID140174,RIDILAurora,15,25599.86,5429,4383.13
DRG069,PID140029,RIDILAurora,15,30354.53,4861.6,3889.06
DRG069,PID140174,RIDILAurora,28,28035.21,4861.96,3668.6
DRG101,PID140029,RIDILAurora,11,39696.45,7636.09,3917
DRG149,PID140174,RIDILAurora,15,28272.53,6233.53,3188.13
DRG176,PID140029,RIDILAurora,13,41138.15,6797.76,5934.38
DRG176,PID140174,RIDILAurora,18,34289.55,6936.44,6382.88
DRG177,PID140174,RIDILAurora,14,79041.07,13593.42,12748.92
DRG178,PID140029,RIDILAurora,16,56516.12,9762.37,9485.37
DRG178,PID140174,RIDILAurora,15,45204.93,9685.86,8855.73
DRG189,PID140029,RIDILAurora,20,80001,10188.4,9907.05
DRG189,PID140174,RIDILAurora,51,43159.17,8483.19,8013.41
DRG190,PID140029,RIDILAurora,42,49742.64,7908.5,7058.09
DRG190,PID140174,RIDILAurora,32,45686.81,7734.03,6889.03
DRG191,PID140029,RIDILAurora,42,37710.52,6488.47,5712.95
DRG191,PID140174,RIDILAurora,45,35041.64,7094.37,5445.73
DRG192,PID140029,RIDILAurora,43,34294.06,5715.6,3847.44
DRG192,PID140174,RIDILAurora,29,24413.27,5511.62,3854.68
DRG193,PID140029,RIDILAurora,59,55797.57,9781.06,8776.54
DRG193,PID140174,RIDILAurora,48,53174.16,9623.58,8605.1
DRG194,PID140029,RIDILAurora,118,38692.54,7075.38,5570.66
DRG194,PID140174,RIDILAurora,81,38768.82,6840.65,5817.56
DRG195,PID140029,RIDILAurora,41,28589.82,5286.63,3628.75
DRG195,PID140174,RIDILAurora,29,28218.72,5322.44,3621.17
DRG202,PID140029,RIDILAurora,12,44388.75,5938.58,4129.66
DRG202,PID140174,RIDILAurora,12,31765.08,5572.5,4823.16
DRG208,PID140029,RIDILAurora,23,95090.52,14773.6,14161.17
DRG208,PID140174,RIDILAurora,26,73432.3,14948.53,14205.19
DRG238,PID140029,RIDILAurora,16,95649.87,23077.93,18268.93
DRG238,PID140174,RIDILAurora,13,135330.53,20477.38,19611.53
DRG243,PID140029,RIDILAurora,11,54684.63,16798,16289.27
DRG244,PID140029,RIDILAurora,12,44049.16,13338.33,12206.33
DRG246,PID140029,RIDILAurora,12,120418.25,20974.75,20128.41
DRG247,PID140029,RIDILAurora,28,91028,17787.1,10723.21
DRG247,PID140174,RIDILAurora,37,82594.13,13027.1,12083
DRG252,PID140029,RIDILAurora,14,126582.14,23665.21,19401.42
DRG253,PID140174,RIDILAurora,12,119645.08,15995.66,15246.33
DRG254,PID140029,RIDILAurora,14,62563.5,10712.85,9680
DRG280,PID140029,RIDILAurora,16,58982.56,13416.06,10586.43
DRG280,PID140174,RIDILAurora,17,51212.52,11631.05,11035.52
DRG281,PID140029,RIDILAurora,24,50264.91,8078.29,7030.5
DRG281,PID140174,RIDILAurora,13,52977.61,13832.53,6059.23
DRG282,PID140029,RIDILAurora,11,45605.45,5338.63,4415.36
DRG287,PID140029,RIDILAurora,30,56398.33,10944.83,5631.83
DRG287,PID140174,RIDILAurora,29,56118.58,7239,6347.82
DRG291,PID140029,RIDILAurora,70,46372.2,11111.75,8575.8
DRG291,PID140174,RIDILAurora,40,49358.7,10666.52,8646.05
DRG292,PID140029,RIDILAurora,85,40819.8,6935.84,6002.61
DRG292,PID140174,RIDILAurora,44,29093.93,6666.79,5847.15
DRG293,PID140029,RIDILAurora,40,28720.27,5199.3,3789.8
DRG293,PID140174,RIDILAurora,17,22712.35,4534.35,3674.35
