drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID140127,RIDILBloomington,14,20295.85,6036.14,5158.14
DRG039,PID140162,RIDILBloomington,19,28885.31,5726.05,4774.47
DRG064,PID140162,RIDILBloomington,16,38240,10871.18,9961.43
DRG065,PID140127,RIDILBloomington,33,25473.93,7672.09,5912.18
DRG065,PID140162,RIDILBloomington,29,22287.79,6266.58,5336.37
DRG066,PID140127,RIDILBloomington,21,18399.28,4938.19,4024.85
DRG066,PID140162,RIDILBloomington,27,18389.44,4597.33,3599.4
DRG069,PID140127,RIDILBloomington,21,16219.57,4398.19,3430.95
DRG069,PID140162,RIDILBloomington,23,16753.78,4551.73,3042.08
DRG074,PID140127,RIDILBloomington,11,16587.18,5348.54,4337
DRG101,PID140127,RIDILBloomington,20,16669.15,4547.45,3763.05
DRG101,PID140162,RIDILBloomington,14,17532.5,4285.85,3484.14
DRG149,PID140127,RIDILBloomington,12,14765.66,3889,2945.66
DRG176,PID140127,RIDILBloomington,12,19274.58,6527.66,6061.33
DRG177,PID140127,RIDILBloomington,19,31156.1,12784.78,10819.15
DRG178,PID140127,RIDILBloomington,18,19929.5,8546,7387.5
DRG189,PID140127,RIDILBloomington,24,22140.45,9552.7,6839.75
DRG189,PID140162,RIDILBloomington,11,29272.81,7194.45,6685.72
DRG190,PID140127,RIDILBloomington,40,16960.45,6981.15,6305.95
DRG190,PID140161,RIDILBloomington,11,24861,8863.45,8143.09
DRG190,PID140162,RIDILBloomington,15,41363.33,8583.8,5491.13
DRG191,PID140127,RIDILBloomington,45,17860.28,5805.28,4971.24
DRG191,PID140161,RIDILBloomington,17,18354.41,8101.35,5601.23
DRG191,PID140162,RIDILBloomington,28,23162.64,5333.25,4400.17
DRG192,PID140127,RIDILBloomington,25,12655.72,5409.76,3350.36
DRG192,PID140161,RIDILBloomington,16,17302.75,5594.25,4755.25
DRG192,PID140162,RIDILBloomington,36,21259.83,4051.58,3331.91
DRG193,PID140127,RIDILBloomington,27,21646.18,8607.92,7731.03
DRG193,PID140161,RIDILBloomington,11,27651.18,10949.45,10032
DRG193,PID140162,RIDILBloomington,29,41212.55,8680.06,7238.82
DRG194,PID140127,RIDILBloomington,55,18452.98,6718.8,5008.56
DRG194,PID140161,RIDILBloomington,24,20078.25,7689.08,6939.75
DRG194,PID140162,RIDILBloomington,61,24657.4,5591.04,4547.29
DRG195,PID140127,RIDILBloomington,22,15874.63,4336.54,3519.09
DRG195,PID140161,RIDILBloomington,15,17438.06,5404.13,4580.4
DRG195,PID140162,RIDILBloomington,29,17473.48,4488.93,2872.55
DRG208,PID140162,RIDILBloomington,23,56973.6,13296.04,12609.78
DRG238,PID140162,RIDILBloomington,16,97936,17586.56,16814.37
DRG243,PID140127,RIDILBloomington,16,60659.43,17073.93,13687.87
DRG244,PID140127,RIDILBloomington,13,41785.61,12016.61,11237.84
DRG244,PID140162,RIDILBloomington,13,48016.15,11370.76,10248.61
DRG247,PID140127,RIDILBloomington,39,50657.48,12896.87,11058.15
DRG247,PID140162,RIDILBloomington,36,73667.63,11195.88,10198.55
DRG249,PID140162,RIDILBloomington,15,70364.8,24650.66,5883.33
DRG253,PID140127,RIDILBloomington,12,62732.58,18212.16,17368.58
DRG253,PID140162,RIDILBloomington,15,60777,13482.4,12695.33
DRG254,PID140162,RIDILBloomington,11,26997.72,10271.18,7326.54
DRG280,PID140127,RIDILBloomington,18,35698.83,11964.94,11091.61
DRG281,PID140127,RIDILBloomington,14,18160.78,6785.07,5907.07
DRG282,PID140127,RIDILBloomington,12,12252.08,4830.25,3889.58
DRG287,PID140127,RIDILBloomington,58,19674.55,6714.44,5409.82
DRG287,PID140162,RIDILBloomington,37,25872.56,6908.08,4999.35
DRG291,PID140127,RIDILBloomington,36,19716.94,8709.61,7584.05
DRG291,PID140162,RIDILBloomington,20,40950,9170.5,8634.4
DRG292,PID140127,RIDILBloomington,85,14744.43,6424.51,5385.36
DRG292,PID140161,RIDILBloomington,17,21369.52,7908.23,7183.29
DRG292,PID140162,RIDILBloomington,56,19085.83,5653.55,5009.55
DRG293,PID140127,RIDILBloomington,41,12108.12,4160.14,3260.73
DRG293,PID140161,RIDILBloomington,17,15512.7,5094.58,4436.23
DRG293,PID140162,RIDILBloomington,40,17991.92,4335,3229.47
DRG300,PID140127,RIDILBloomington,13,14574.46,5675.53,4679.07
DRG300,PID140162,RIDILBloomington,11,23940.54,5260.18,4748.54
DRG301,PID140162,RIDILBloomington,11,13758.45,3621.63,2804.18
DRG308,PID140127,RIDILBloomington,21,26309.04,8446.04,7255.28
DRG308,PID140162,RIDILBloomington,18,38760,11688.05,5958.72
DRG309,PID140127,RIDILBloomington,32,13847.37,5053.78,4143.03
DRG309,PID140162,RIDILBloomington,27,21285.03,4710.44,4001.25
DRG310,PID140127,RIDILBloomington,51,10735.21,3664.82,2354.37
DRG310,PID140162,RIDILBloomington,38,12954.1,3257.05,2231.13
DRG312,PID140127,RIDILBloomington,39,12105.15,4825.46,3169.35
DRG313,PID140127,RIDILBloomington,55,10833.32,3521.38,2242.32
DRG313,PID140162,RIDILBloomington,18,15624.05,3090,2157.33
DRG315,PID140127,RIDILBloomington,15,18818.2,5299.86,4775.86
DRG315,PID140162,RIDILBloomington,11,20117.54,6483.63,4280.81
DRG329,PID140127,RIDILBloomington,13,107985.3,35166.92,34477.76
DRG329,PID140162,RIDILBloomington,12,135632.25,28244.41,27398.16
DRG330,PID140127,RIDILBloomington,15,55701.8,16392.33,15421.93
DRG330,PID140162,RIDILBloomington,25,76159.08,19403.8,13466.84
DRG377,PID140127,RIDILBloomington,14,36310.78,11279.92,10875.64
DRG377,PID140162,RIDILBloomington,17,47596.35,9729.05,8935.64
DRG378,PID140127,RIDILBloomington,44,15161.45,6373.25,5330.45
DRG378,PID140162,RIDILBloomington,50,25986.02,6217.44,4865.82
DRG379,PID140127,RIDILBloomington,16,10877.25,4293.37,3306.87
DRG379,PID140162,RIDILBloomington,14,15028.57,5598.5,2761.35
DRG389,PID140127,RIDILBloomington,19,29898.57,6570.05,5740.94
DRG390,PID140127,RIDILBloomington,23,12609.52,4465.65,2762.34
DRG390,PID140162,RIDILBloomington,14,14692.28,4365.35,2358.42
DRG391,PID140127,RIDILBloomington,18,21366.88,7342.88,6234.61
DRG473,PID140127,RIDILBloomington,12,53258,21171,9419.08
DRG392,PID140127,RIDILBloomington,54,14028.14,4339.72,3424.46
DRG392,PID140161,RIDILBloomington,11,15610.81,5578,4454.72
DRG392,PID140162,RIDILBloomington,33,20974.03,4025.63,3107.21
DRG394,PID140162,RIDILBloomington,13,21203.76,5565.38,4791.53
DRG418,PID140127,RIDILBloomington,11,38901.27,10258.09,9231.9
DRG460,PID140127,RIDILBloomington,26,82262.38,23027.26,21999.73
DRG460,PID140161,RIDILBloomington,30,94829.53,36811.03,27670.23
DRG460,PID140162,RIDILBloomington,60,89901.75,23428.5,20002.41
DRG470,PID140127,RIDILBloomington,234,41184.85,13845.73,10867.79
DRG470,PID140161,RIDILBloomington,38,52229.84,18699.02,14798.68
DRG470,PID140162,RIDILBloomington,151,56756.54,12719.8,10491.32
DRG473,PID140162,RIDILBloomington,19,56353.05,13480.94,10026.42
DRG481,PID140127,RIDILBloomington,34,35621.05,11127.91,9989.55
DRG481,PID140161,RIDILBloomington,13,44073.84,14333.07,13380.15
DRG481,PID140162,RIDILBloomington,28,46654.82,11534.25,8817.67
DRG491,PID140127,RIDILBloomington,32,29860.87,6662.09,4682.81
DRG491,PID140162,RIDILBloomington,38,29385.92,5935,4359.57
DRG536,PID140127,RIDILBloomington,17,9162.11,4235.29,3441.88
DRG552,PID140127,RIDILBloomington,30,16449.5,4923.83,4025.7
DRG552,PID140162,RIDILBloomington,14,23878.21,4357.21,3712.64
DRG603,PID140127,RIDILBloomington,40,15761.75,5732.17,3859.8
DRG603,PID140161,RIDILBloomington,12,14779.33,6284.66,5263
DRG603,PID140162,RIDILBloomington,38,16349.18,4687.52,3669.05
DRG640,PID140127,RIDILBloomington,11,29499.9,7341,6517.72
