drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID140062,RIDILBlueIsland,22,48837.45,7862.81,4902.9
DRG039,PID140172,RIDILBlueIsland,17,23146.17,9434,6022.05
DRG039,PID140191,RIDILBlueIsland,12,24659.83,6694.66,5767.33
DRG039,PID140208,RIDILBlueIsland,28,32428.96,8783.25,6691.85
DRG057,PID140062,RIDILBlueIsland,56,23356.91,5215.75,4296.3
DRG057,PID140118,RIDILBlueIsland,16,15760.62,6019.87,5104.12
DRG057,PID140172,RIDILBlueIsland,76,20863.55,6724.55,5895.07
DRG057,PID140179,RIDILBlueIsland,44,24134.65,5635.15,4919.15
DRG057,PID140191,RIDILBlueIsland,29,25702.75,6051.75,5240.86
DRG057,PID140208,RIDILBlueIsland,59,19687.23,6921.13,6088.1
DRG057,PID140250,RIDILBlueIsland,42,18004.85,5846.95,4942.76
DRG064,PID140062,RIDILBlueIsland,53,44526.45,10771.9,10029.18
DRG064,PID140118,RIDILBlueIsland,28,36336.46,11763.57,10801.28
DRG064,PID140172,RIDILBlueIsland,43,45019.44,14676.2,12912.16
DRG064,PID140179,RIDILBlueIsland,44,43565.56,11243.13,10347.77
DRG064,PID140191,RIDILBlueIsland,62,42629.37,12189.17,11391.35
DRG064,PID140208,RIDILBlueIsland,107,51670.09,15914.6,14678.71
DRG064,PID140250,RIDILBlueIsland,32,47179,11593.31,10753.31
DRG065,PID140062,RIDILBlueIsland,104,29502.16,6846.53,5745.14
DRG065,PID140118,RIDILBlueIsland,52,26054.78,8284.15,6237.32
DRG065,PID140172,RIDILBlueIsland,94,33240.7,9050.92,7708.04
DRG065,PID140179,RIDILBlueIsland,102,31046.85,7620.61,6178.2
DRG065,PID140191,RIDILBlueIsland,60,32194.46,7656.35,6756.61
DRG065,PID140208,RIDILBlueIsland,146,28035.15,9834.76,7879.91
DRG065,PID140250,RIDILBlueIsland,55,28711.65,7408.34,6183.43
DRG066,PID140062,RIDILBlueIsland,55,23066.32,5497.49,3537.78
DRG066,PID140118,RIDILBlueIsland,19,21921.31,5504.68,4558.15
DRG066,PID140172,RIDILBlueIsland,45,21035.37,6395.77,4997.57
DRG066,PID140179,RIDILBlueIsland,30,26101.26,6995.7,3853.6
DRG066,PID140191,RIDILBlueIsland,21,25380.38,5404.42,4497.19
DRG066,PID140208,RIDILBlueIsland,48,20390.22,7166.58,5198.41
DRG066,PID140250,RIDILBlueIsland,27,20976.85,5592.88,3824.18
DRG069,PID140062,RIDILBlueIsland,115,21130.01,4226.13,3345.23
DRG069,PID140118,RIDILBlueIsland,23,18813.65,4909.73,3885.91
DRG069,PID140172,RIDILBlueIsland,108,19250.34,5519.62,4369.93
DRG069,PID140179,RIDILBlueIsland,69,23793.46,4570.14,3625.56
DRG069,PID140191,RIDILBlueIsland,82,22824.53,4773.43,3847.96
DRG069,PID140208,RIDILBlueIsland,105,18934.95,6015.95,4831.4
DRG069,PID140250,RIDILBlueIsland,43,19907.97,4937.32,3555.74
DRG074,PID140062,RIDILBlueIsland,27,20738.29,6019.62,3770.33
DRG074,PID140118,RIDILBlueIsland,13,23587.15,5728.46,4954.61
DRG074,PID140172,RIDILBlueIsland,61,17471.55,6644.24,5338.67
DRG074,PID140179,RIDILBlueIsland,28,18098.85,6064.42,4202.28
DRG074,PID140191,RIDILBlueIsland,39,22515.69,5878.43,4979.48
DRG074,PID140208,RIDILBlueIsland,42,20452.78,7347.4,5532.57
DRG074,PID140250,RIDILBlueIsland,22,22533.54,5383.86,4617.86
DRG101,PID140062,RIDILBlueIsland,38,19666.05,5265.39,3195.07
DRG101,PID140118,RIDILBlueIsland,31,12520.9,5870.09,3805.64
DRG101,PID140172,RIDILBlueIsland,72,15768.48,5416.41,4692.81
DRG101,PID140179,RIDILBlueIsland,53,21905.32,4722.71,3831.09
DRG101,PID140191,RIDILBlueIsland,61,19635.06,4974.5,4323.06
DRG101,PID140208,RIDILBlueIsland,53,17829.24,6037.5,5013.84
DRG101,PID140250,RIDILBlueIsland,19,17576.73,6282.57,3041.26
