drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID140114,RIDILChicago,19,48936.26,9793.31,6142.89
DRG039,PID140117,RIDILChicago,34,32857.7,6637.2,5745.79
DRG039,PID140119,RIDILChicago,15,51527.33,10459.6,8634.46
DRG039,PID140281,RIDILChicago,39,47876.05,9166.07,7467.43
DRG057,PID140048,RIDILChicago,19,18360.84,7320.78,5521.63
DRG057,PID140082,RIDILChicago,17,20007.29,7485.88,6625.88
DRG057,PID140088,RIDILChicago,18,37441.44,9527.83,8715.61
DRG057,PID140114,RIDILChicago,22,26697.13,7782.22,5919.81
DRG057,PID140115,RIDILChicago,20,10836.6,7556.85,6515.45
DRG057,PID140117,RIDILChicago,21,27163.09,6127.71,5222
DRG057,PID140119,RIDILChicago,46,21373.13,9478.04,8086.08
DRG057,PID140133,RIDILChicago,27,14908.25,6309.44,5436.11
DRG057,PID140150,RIDILChicago,16,36726.43,12215.06,11442.81
DRG057,PID140158,RIDILChicago,25,13721.48,8383.04,7339.2
DRG057,PID140177,RIDILChicago,14,28029.57,8125.5,7166.64
DRG057,PID140180,RIDILChicago,34,24421.55,8792.73,7246.14
DRG057,PID140182,RIDILChicago,13,29458.15,9041.69,8175.84
DRG057,PID140224,RIDILChicago,11,19312.54,7332.72,6415.27
DRG057,PID140281,RIDILChicago,58,31217.82,7950.93,7019.58
DRG064,PID140018,RIDILChicago,21,69541.71,23081.38,22159.9
DRG064,PID140048,RIDILChicago,34,48805.82,13950.14,12418.2
DRG064,PID140082,RIDILChicago,14,51802.64,16196.64,13265.35
DRG064,PID140088,RIDILChicago,44,78236.86,19419.59,18549.22
DRG064,PID140114,RIDILChicago,30,58973.56,14271.2,13557.46
DRG064,PID140117,RIDILChicago,68,48997.86,12056.25,11229.54
DRG064,PID140119,RIDILChicago,70,57028.31,17946.6,17215.38
DRG064,PID140133,RIDILChicago,21,45386.61,12646.19,11262.57
DRG064,PID140150,RIDILChicago,16,83504.31,38370,22039.37
DRG064,PID140158,RIDILChicago,25,34969.88,16370.24,15463.56
DRG064,PID140180,RIDILChicago,26,64874.19,16281.73,15588.8
DRG064,PID140182,RIDILChicago,23,55259.65,17589.65,16227.13
DRG064,PID140224,RIDILChicago,27,51830.88,14975.92,14267.92
DRG064,PID140251,RIDILChicago,39,50021.79,13117.2,10748.15
DRG064,PID140281,RIDILChicago,56,110417.87,23337.17,22219.48
DRG065,PID140018,RIDILChicago,21,31320.9,11764.61,10914.33
DRG065,PID140048,RIDILChicago,59,30851.47,8742.38,7408.72
DRG065,PID140082,RIDILChicago,20,29653.85,9479.05,8636.45
DRG065,PID140088,RIDILChicago,32,52434.43,11992.12,11186.53
DRG065,PID140114,RIDILChicago,53,43568.26,8995.84,7493.79
DRG065,PID140117,RIDILChicago,92,38065.71,7853.63,6565.4
DRG065,PID140119,RIDILChicago,86,42058.37,12173.88,10232.13
DRG065,PID140124,RIDILChicago,12,16226.08,12970.33,11935.33
DRG065,PID140133,RIDILChicago,55,21703.6,8244.92,6833.12
DRG065,PID140150,RIDILChicago,38,52805.18,16378.07,15578.81
DRG065,PID140158,RIDILChicago,76,17793.01,10406.85,9258.64
DRG065,PID140177,RIDILChicago,12,36393.66,9622.75,8684.75
DRG065,PID140180,RIDILChicago,43,41040.23,10471.06,9181.9
DRG065,PID140181,RIDILChicago,11,31464.36,8997,8385.36
DRG065,PID140182,RIDILChicago,24,29482.12,11157.87,9742.33
DRG065,PID140224,RIDILChicago,40,31320.4,8988.6,8062.7
DRG065,PID140251,RIDILChicago,49,39400.69,9506.51,5989.81
DRG065,PID140281,RIDILChicago,72,51784.04,11428.8,8951.34
DRG066,PID140018,RIDILChicago,17,24321.23,8437.7,7714.64
DRG066,PID140082,RIDILChicago,11,21870.63,6660.72,6043.27
DRG066,PID140088,RIDILChicago,37,37306.29,10253.37,6928.08
DRG066,PID140114,RIDILChicago,26,30127.46,6273.69,4908.53
DRG066,PID140117,RIDILChicago,49,29284.02,6839.34,4193.24
DRG066,PID140119,RIDILChicago,48,30607.7,8331.33,7049.04
DRG066,PID140124,RIDILChicago,24,13698.37,9200.62,8172.29
DRG066,PID140133,RIDILChicago,16,17145.37,5821.18,4836.68
DRG066,PID140150,RIDILChicago,30,30839.03,12490,9484.23
DRG066,PID140158,RIDILChicago,27,16020.37,7777.11,6219.55
DRG066,PID140180,RIDILChicago,18,29345.77,7738.83,5973.11
DRG066,PID140182,RIDILChicago,14,27547.5,7628.07,6684.85
DRG066,PID140251,RIDILChicago,16,24800.06,5325.25,4268
DRG066,PID140281,RIDILChicago,66,40699.98,6848.21,5914.09
DRG069,PID140018,RIDILChicago,22,19900.95,7444.59,6371.31
DRG069,PID140048,RIDILChicago,75,19080.08,5716.42,4346.9
DRG069,PID140068,RIDILChicago,16,30536.37,6253.68,5630.93
DRG069,PID140082,RIDILChicago,15,20920.06,6099.13,5128.73
DRG069,PID140088,RIDILChicago,24,30938.33,7437.95,6452.79
DRG069,PID140095,RIDILChicago,28,21479.28,6504.57,5018.17
DRG069,PID140103,RIDILChicago,14,11499.64,6560.57,5682.57
DRG069,PID140114,RIDILChicago,39,28694.79,5622.58,4657.61
DRG069,PID140115,RIDILChicago,11,14180.09,5933.18,5109.9
DRG069,PID140117,RIDILChicago,55,24752.3,4940.78,3859.25
DRG069,PID140119,RIDILChicago,23,24072.47,7861.3,5879.34
DRG069,PID140124,RIDILChicago,20,12901.85,8586,7612.65
DRG069,PID140133,RIDILChicago,38,19439.1,5271.5,4412.63
DRG069,PID140158,RIDILChicago,73,12256.09,6823.42,5652.39
DRG069,PID140177,RIDILChicago,17,23540.94,7526.58,5446.29
DRG069,PID140180,RIDILChicago,50,26906.44,7075.84,5362.02
DRG069,PID140181,RIDILChicago,13,15671.92,5565.3,4612.38
DRG069,PID140182,RIDILChicago,28,25155.92,7489.75,5812.57
DRG069,PID140224,RIDILChicago,39,20399.97,6423.25,4906.94
DRG069,PID140251,RIDILChicago,52,24974.44,4745.55,3967.4
DRG069,PID140281,RIDILChicago,57,34769.87,8416.5,4877.28
DRG074,PID140048,RIDILChicago,18,16770.27,7629.61,4673.94
DRG074,PID140082,RIDILChicago,19,22139.78,7298.68,6646.68
DRG074,PID140114,RIDILChicago,14,39990,15759.14,5414.21
DRG074,PID140117,RIDILChicago,24,28666.5,7493.04,4304.58
DRG074,PID140119,RIDILChicago,57,35782.42,11128.21,7138.84
DRG074,PID140124,RIDILChicago,12,10340.16,9492.66,8646.33
DRG074,PID140133,RIDILChicago,13,20884,6099.07,5211.46
