drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID140030,RIDILElgin,21,38850.95,6444.33,5378.42
DRG039,PID140116,RIDILElgin,16,19388,6682.12,4682.5
DRG039,PID140291,RIDILElgin,15,31525.53,7769.86,5307.66
DRG057,PID140030,RIDILElgin,25,31864.44,6564.4,5758.28
DRG057,PID140116,RIDILElgin,13,16527.53,4985.38,4291.23
DRG057,PID140217,RIDILElgin,32,25643.21,5182.68,4351.28
DRG057,PID140290,RIDILElgin,44,29471.43,5400.2,4662.84
DRG057,PID140291,RIDILElgin,23,15528.17,5118.08,4289.73
DRG064,PID140030,RIDILElgin,25,65124.76,14051.24,11650.2
DRG064,PID140116,RIDILElgin,31,36674.09,13182.54,9880.38
DRG064,PID140217,RIDILElgin,24,67577.66,10110.37,9363.7
DRG064,PID140290,RIDILElgin,32,50212,10980.21,9845.25
DRG064,PID140291,RIDILElgin,28,34589.35,10956.32,10220.82
DRG065,PID140030,RIDILElgin,41,39402.19,7212.14,6410.02
DRG065,PID140116,RIDILElgin,64,28607.68,7244.54,5463.46
DRG065,PID140217,RIDILElgin,46,39634.86,7592.8,5476
DRG065,PID140290,RIDILElgin,65,38115.92,7081.84,6183.13
DRG065,PID140291,RIDILElgin,41,27326.04,6592.75,5658.7
DRG066,PID140030,RIDILElgin,26,28697.61,7592.07,3579.26
DRG066,PID140116,RIDILElgin,17,15676.94,5459.41,3336.52
DRG066,PID140217,RIDILElgin,15,35733.93,4798.6,3977
DRG066,PID140290,RIDILElgin,27,30788.44,5048.59,3882.48
DRG066,PID140291,RIDILElgin,33,21611.66,5229.78,3614.9
DRG069,PID140030,RIDILElgin,60,26121.98,5740.03,3548.16
DRG069,PID140116,RIDILElgin,40,16870.17,4811.9,2936.3
DRG069,PID140217,RIDILElgin,31,30862.51,5385.58,3428
DRG069,PID140290,RIDILElgin,55,24859.3,4523.32,3553.81
DRG069,PID140291,RIDILElgin,46,15714.84,4411.97,3343.82
DRG074,PID140030,RIDILElgin,24,22680.79,5589.25,4474.83
DRG074,PID140116,RIDILElgin,14,26024.21,4982,4418.28
DRG074,PID140290,RIDILElgin,20,29115.15,5264.2,4416.8
DRG101,PID140030,RIDILElgin,27,27521.7,6083.29,3792
DRG101,PID140116,RIDILElgin,29,18711.24,4585.65,3505.82
DRG101,PID140217,RIDILElgin,13,26185.46,4913.92,3323.15
DRG101,PID140290,RIDILElgin,29,23961.65,4615.89,3956.72
DRG101,PID140291,RIDILElgin,23,14285.08,5798.3,3037.3
DRG149,PID140030,RIDILElgin,29,21340.93,5911.1,2876.37
DRG149,PID140116,RIDILElgin,17,18440.64,3699,2772.41
DRG149,PID140217,RIDILElgin,14,26771.28,3718,2752.28
DRG149,PID140290,RIDILElgin,32,23428.93,3995.06,2690.62
DRG149,PID140291,RIDILElgin,36,15532.38,4400.63,2490.3
DRG176,PID140030,RIDILElgin,27,36135.22,7308.74,5320.92
DRG176,PID140116,RIDILElgin,17,33993.23,6093.82,5367
DRG176,PID140290,RIDILElgin,16,35347.93,6531.56,5541.06
DRG176,PID140291,RIDILElgin,22,22862,7563.86,5059.63
DRG177,PID140030,RIDILElgin,34,63340.55,13741.91,13261.97
DRG177,PID140116,RIDILElgin,22,35688.59,11452.13,10889.04
DRG177,PID140217,RIDILElgin,45,61088.04,11752.4,10989.6
DRG177,PID140290,RIDILElgin,52,69513.71,13194.63,12381.36
DRG177,PID140291,RIDILElgin,33,41290.09,14308.81,10084.66
DRG178,PID140030,RIDILElgin,18,49109.44,10765.88,7881.88
DRG178,PID140116,RIDILElgin,20,32667.95,9930.75,7403.75
DRG178,PID140217,RIDILElgin,26,40752.92,8168,7399.8
DRG178,PID140290,RIDILElgin,23,37228.78,9146.95,8502.95
DRG178,PID140291,RIDILElgin,22,28294,8132.09,7519
