drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID140231,RIDILHinsdale,14,28576.92,6823.14,4677.14
DRG039,PID140288,RIDILHinsdale,14,32482.92,5888.64,4929.78
DRG057,PID140122,RIDILHinsdale,28,19568.17,5493.78,4853.78
DRG057,PID140231,RIDILHinsdale,33,18387.21,4885.48,3996.51
DRG057,PID140288,RIDILHinsdale,36,20453.05,5409.33,4296.69
DRG064,PID140122,RIDILHinsdale,28,60527.96,11890.71,11396.57
DRG064,PID140231,RIDILHinsdale,42,50799.8,10557.26,9701.66
DRG064,PID140288,RIDILHinsdale,41,44867.95,10946.46,9993.46
DRG064,PID140304,RIDILHinsdale,12,47119.33,11637.91,10888.58
DRG065,PID140122,RIDILHinsdale,49,34204.65,7494.36,5891.16
DRG065,PID140231,RIDILHinsdale,73,35684.35,6552.76,5735.28
DRG065,PID140288,RIDILHinsdale,60,30287.3,7896.1,5275.91
DRG065,PID140304,RIDILHinsdale,22,29844.9,8402.27,5812.68
DRG066,PID140122,RIDILHinsdale,18,29701.05,4891.83,3828.05
DRG066,PID140231,RIDILHinsdale,44,28211.59,5766.93,3611.47
DRG066,PID140288,RIDILHinsdale,59,22089.89,5056.57,3576.79
DRG069,PID140122,RIDILHinsdale,38,23936.63,5610.63,3386.6
DRG069,PID140231,RIDILHinsdale,66,25206.54,4480.18,3214.53
DRG069,PID140288,RIDILHinsdale,84,21418.94,4227.22,3358.13
DRG069,PID140304,RIDILHinsdale,13,31537,6327.92,3292.07
DRG074,PID140122,RIDILHinsdale,11,28043.9,7278.54,4308.36
DRG074,PID140231,RIDILHinsdale,24,23245.58,5335.95,3948.33
DRG074,PID140288,RIDILHinsdale,19,16286.89,4959.05,4249.15
DRG101,PID140122,RIDILHinsdale,18,22203.66,5855.83,3851
DRG101,PID140231,RIDILHinsdale,47,22216.74,4439.85,3348.08
DRG101,PID140288,RIDILHinsdale,41,22412.6,5087.95,3314.43
DRG101,PID140304,RIDILHinsdale,13,17209.69,4642.53,3779.15
DRG149,PID140122,RIDILHinsdale,22,22329.77,4052.63,3032.27
DRG149,PID140231,RIDILHinsdale,26,22649.46,3703.11,2752.65
DRG149,PID140288,RIDILHinsdale,42,18142.14,3694.71,2622.71
DRG149,PID140304,RIDILHinsdale,15,20017.53,3980.73,3077.26
DRG176,PID140122,RIDILHinsdale,14,28405.28,6672.71,5191.71
DRG176,PID140231,RIDILHinsdale,50,29899.28,6596.16,5298.98
DRG177,PID140122,RIDILHinsdale,56,74511.62,15200.17,12793.32
DRG177,PID140231,RIDILHinsdale,61,43772.62,11203,10536.32
DRG177,PID140288,RIDILHinsdale,99,52288.24,12649.27,11075.81
DRG177,PID140304,RIDILHinsdale,26,49837.19,13054.65,12189.11
DRG178,PID140122,RIDILHinsdale,31,32525.16,8604.12,7047.96
DRG178,PID140231,RIDILHinsdale,70,33327.92,9266.24,7513.37
DRG178,PID140288,RIDILHinsdale,57,36655.5,8191.22,7463.15
DRG189,PID140122,RIDILHinsdale,18,44515.11,8123.55,7749.77
DRG189,PID140231,RIDILHinsdale,65,38868.38,8171.73,6894.84
DRG189,PID140288,RIDILHinsdale,29,40026.68,8114.93,6738.65
DRG189,PID140304,RIDILHinsdale,14,38233.28,7981.14,7067.14
DRG190,PID140122,RIDILHinsdale,45,37857.31,7707.08,6676.68
DRG190,PID140231,RIDILHinsdale,97,31088.21,7003.22,5911.82
DRG190,PID140288,RIDILHinsdale,182,33464.03,7552.77,5698.25
DRG190,PID140304,RIDILHinsdale,30,29736.23,6938.4,6374.53
DRG191,PID140122,RIDILHinsdale,46,28295.5,6113.39,5357.47
DRG191,PID140231,RIDILHinsdale,90,24770.67,5689.44,4680.28
DRG191,PID140288,RIDILHinsdale,120,25065.34,5494.07,4799.74
DRG191,PID140304,RIDILHinsdale,26,24345.53,5853.23,4869.38
DRG192,PID140122,RIDILHinsdale,22,20876.31,4490.95,3824.95
DRG192,PID140231,RIDILHinsdale,65,18149.89,4432.78,3153.29
DRG192,PID140288,RIDILHinsdale,71,20595.46,4061.16,3241.38
DRG192,PID140304,RIDILHinsdale,23,18151.6,4726.6,3225.47
DRG193,PID140122,RIDILHinsdale,43,46643.55,9382.74,8594.46
DRG193,PID140231,RIDILHinsdale,83,40509.63,9108.8,7664.54
DRG193,PID140288,RIDILHinsdale,87,45710.94,9541.33,7905.31
DRG193,PID140304,RIDILHinsdale,34,42519.85,9773.11,8161.94
DRG194,PID140122,RIDILHinsdale,93,28808.06,6339.61,5343.5
DRG194,PID140231,RIDILHinsdale,212,24438.93,6078.97,4787.82
DRG194,PID140288,RIDILHinsdale,143,27138.46,6042.86,4788.37
DRG194,PID140304,RIDILHinsdale,36,25105.52,6192.5,5351.5
DRG195,PID140122,RIDILHinsdale,34,23364.61,4918.02,3325.85
DRG195,PID140231,RIDILHinsdale,70,16380.38,4775.61,3047.85
DRG195,PID140288,RIDILHinsdale,68,18116.67,4356.57,3116.35
DRG195,PID140304,RIDILHinsdale,13,14516.3,4422.53,3467.15
DRG202,PID140122,RIDILHinsdale,18,25183.5,5475.55,4287.5
DRG202,PID140231,RIDILHinsdale,24,20836.54,5671.87,3632.66
DRG202,PID140288,RIDILHinsdale,38,21713.97,8250.1,3498.78
DRG203,PID140231,RIDILHinsdale,15,16329.06,3755.33,2247.8
