drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID140007,RIDILJoliet,71,27179.09,7542.92,4876.67
DRG039,PID140186,RIDILJoliet,14,31877,6806.85,6083.71
DRG057,PID140007,RIDILJoliet,71,29115.61,6036.32,4662.66
DRG057,PID140155,RIDILJoliet,40,16975.22,5927.92,5223.62
DRG057,PID140186,RIDILJoliet,51,17398.19,6431.8,5427.7
DRG057,PID140213,RIDILJoliet,34,16679.14,5650.41,4758.05
DRG064,PID140007,RIDILJoliet,89,62820.41,11958.83,11185.64
DRG064,PID140101,RIDILJoliet,12,33816.08,9688.5,9033.5
DRG064,PID140186,RIDILJoliet,35,36648.22,14170.62,10951.17
DRG064,PID140213,RIDILJoliet,22,42469.31,13610.68,9514.95
DRG065,PID140007,RIDILJoliet,114,44637.27,7421.4,5987.82
DRG065,PID140101,RIDILJoliet,13,27060.46,6493.46,5552.84
DRG065,PID140155,RIDILJoliet,34,44360.44,7261.41,6403.29
DRG065,PID140186,RIDILJoliet,72,24347.06,7963.72,6348.73
DRG065,PID140213,RIDILJoliet,77,25003.06,7705.45,5967.76
DRG066,PID140007,RIDILJoliet,35,36829.88,4967.11,4003.22
DRG066,PID140101,RIDILJoliet,21,26066.52,4630.95,3716.09
DRG066,PID140155,RIDILJoliet,17,32444.82,5214.29,4223
DRG066,PID140186,RIDILJoliet,24,21121.66,7201.79,4100.08
DRG066,PID140213,RIDILJoliet,41,18000.36,6154.41,3696.17
DRG069,PID140007,RIDILJoliet,123,30310.81,4757.46,3446.99
DRG069,PID140101,RIDILJoliet,14,16744.35,4229.71,3264
DRG069,PID140155,RIDILJoliet,40,24824.5,4650.05,3805.85
DRG069,PID140186,RIDILJoliet,65,19344.92,4909.69,4045.32
DRG069,PID140213,RIDILJoliet,99,17002.55,4671.54,3578.14
DRG074,PID140007,RIDILJoliet,52,24417.67,5632.92,4300.36
DRG074,PID140155,RIDILJoliet,18,26916.94,5474.83,4790.16
DRG074,PID140213,RIDILJoliet,23,14834.43,6313.69,4001.39
DRG101,PID140007,RIDILJoliet,81,28504.07,4642.08,3798.92
DRG101,PID140101,RIDILJoliet,14,19023.28,5338.71,3373.57
DRG101,PID140155,RIDILJoliet,22,21729.36,4849.63,3926.36
DRG101,PID140186,RIDILJoliet,27,21499.25,5067.85,4110.66
DRG101,PID140213,RIDILJoliet,44,12699.9,5012.47,3737.68
DRG149,PID140007,RIDILJoliet,106,27075.68,4536.66,2866.18
DRG149,PID140155,RIDILJoliet,11,17252.81,4059.81,3242.36
DRG149,PID140186,RIDILJoliet,15,14275.33,4288.26,3395.46
DRG149,PID140213,RIDILJoliet,42,13776.47,3900.92,2955.45
DRG176,PID140007,RIDILJoliet,18,42301.66,6643.83,5663.61
DRG176,PID140101,RIDILJoliet,17,30410.94,7798.94,4918.35
DRG176,PID140186,RIDILJoliet,29,25872.17,7153.1,6418.06
DRG176,PID140213,RIDILJoliet,16,26616.87,6597.37,5681.62
DRG177,PID140007,RIDILJoliet,86,54952.1,12699.36,11278.24
DRG177,PID140155,RIDILJoliet,23,71401,12930.13,12346.47
DRG177,PID140186,RIDILJoliet,33,42151.93,13694.81,13114.57
DRG177,PID140213,RIDILJoliet,23,50348.69,12707,11972.91
DRG178,PID140007,RIDILJoliet,49,42316.69,8646.61,7822.69
DRG178,PID140101,RIDILJoliet,21,35102.76,10992.76,6732.14
DRG178,PID140155,RIDILJoliet,17,36149.64,9413.05,8617.76
DRG178,PID140186,RIDILJoliet,27,24492.92,9737.25,9028.07
DRG178,PID140213,RIDILJoliet,35,33550.94,9137.94,8528
DRG193,PID140186,RIDILJoliet,56,32328.51,10612.25,8838.82
DRG189,PID140007,RIDILJoliet,37,38043.48,7817.56,6856.1
DRG189,PID140101,RIDILJoliet,31,44243.25,8227.41,6726.38
DRG189,PID140155,RIDILJoliet,40,53094.45,9728.67,7497.05
DRG189,PID140186,RIDILJoliet,66,29616.07,8917.5,7747.95
DRG189,PID140213,RIDILJoliet,65,30955.7,8371.5,7227.46
DRG190,PID140007,RIDILJoliet,220,33412.73,7572.55,6236.95
DRG190,PID140155,RIDILJoliet,57,39116.24,8071.63,6708
DRG190,PID140186,RIDILJoliet,71,25918.08,8166.57,7037.33
DRG190,PID140213,RIDILJoliet,81,22809.43,7210.92,6447.07
DRG191,PID140007,RIDILJoliet,220,29656.88,5820.77,5042.3
DRG191,PID140101,RIDILJoliet,26,19152.57,6246.15,4592.73
DRG191,PID140155,RIDILJoliet,62,30266.04,6692.4,5348.2
DRG191,PID140186,RIDILJoliet,79,19846.73,6879.45,5442.54
DRG191,PID140213,RIDILJoliet,119,19137.46,6134.57,5178.78
DRG192,PID140007,RIDILJoliet,149,22784.36,4512.79,3517.59
DRG192,PID140101,RIDILJoliet,67,19682.59,4883.7,3054.58
DRG192,PID140155,RIDILJoliet,49,24153.14,4760.18,3722.93
DRG192,PID140186,RIDILJoliet,60,13934.08,5225.88,3830.16
DRG192,PID140213,RIDILJoliet,131,14581.23,4545.99,3457.69
DRG193,PID140007,RIDILJoliet,98,43034.66,8865.76,8068.32
DRG193,PID140101,RIDILJoliet,29,37879.93,8749.44,8018.82
DRG193,PID140155,RIDILJoliet,62,52706.09,9330.58,8625.22
DRG193,PID140213,RIDILJoliet,110,33599.03,9160.96,8381.81
DRG194,PID140007,RIDILJoliet,111,30286.83,6038.89,5072.67
DRG194,PID140101,RIDILJoliet,109,25346.55,6435.22,5058.66
DRG194,PID140155,RIDILJoliet,104,38118.6,6800.89,5455.09
DRG194,PID140186,RIDILJoliet,102,21921.34,7257.61,5872.75
DRG194,PID140213,RIDILJoliet,156,24481.46,6324.28,5516.73
DRG195,PID140007,RIDILJoliet,44,21494.68,5076.27,3158.34
DRG195,PID140101,RIDILJoliet,38,21949.23,4086.52,3230.21
DRG195,PID140155,RIDILJoliet,44,26429.29,5091.31,3368.31
DRG195,PID140186,RIDILJoliet,42,19050.42,4918.26,3764.64
DRG195,PID140213,RIDILJoliet,102,15122.16,4502.04,3390.48
DRG202,PID140007,RIDILJoliet,62,23571.4,5888.32,3958.51
DRG202,PID140155,RIDILJoliet,29,23155.93,5358.96,4427.65
DRG202,PID140186,RIDILJoliet,39,19003.35,5769,4652.92
DRG202,PID140213,RIDILJoliet,23,15565.21,6134.78,3963.73
DRG203,PID140007,RIDILJoliet,40,19600.85,4341.92,2799.92
DRG203,PID140155,RIDILJoliet,16,17980.56,4298.75,2716.62
DRG203,PID140186,RIDILJoliet,19,12426.42,4300.15,3058.42
DRG203,PID140213,RIDILJoliet,29,14067.62,4215.51,2664.13
DRG207,PID140007,RIDILJoliet,15,159785.8,38217.86,28144.46
DRG208,PID140007,RIDILJoliet,52,82097.73,15319.34,14634.34
DRG208,PID140101,RIDILJoliet,14,77258.14,15968.5,15323.85
DRG208,PID140155,RIDILJoliet,13,118262.07,15742.38,15227.3
DRG208,PID140186,RIDILJoliet,14,53144.78,14930.28,14202.57
DRG208,PID140213,RIDILJoliet,27,60981.51,14971.77,14384.66
DRG291,PID140007,RIDILJoliet,259,43910.33,9063.49,8383.55
DRG238,PID140007,RIDILJoliet,39,114530.1,23796.23,17463.58
DRG238,PID140186,RIDILJoliet,25,76470.04,26452.2,17396.2
DRG243,PID140007,RIDILJoliet,37,84220.78,16132.24,15405.78
DRG243,PID140101,RIDILJoliet,11,52035.45,15316.36,14401.81
DRG243,PID140186,RIDILJoliet,17,74635.11,17729.47,16605.47
DRG243,PID140213,RIDILJoliet,16,53032.18,16094.56,15318.31
DRG244,PID140007,RIDILJoliet,20,58486.2,12335.6,11387.8
DRG244,PID140101,RIDILJoliet,13,49913.69,12932.3,11894.76
DRG244,PID140186,RIDILJoliet,20,65392.5,13652.4,12696.6
DRG244,PID140213,RIDILJoliet,18,35563.44,12576.05,11832.05
DRG246,PID140007,RIDILJoliet,30,96675.43,19797.5,19085.9
DRG247,PID140007,RIDILJoliet,85,67675.22,13000.4,10687.7
DRG247,PID140101,RIDILJoliet,30,42805.36,12799.33,10021.76
DRG247,PID140155,RIDILJoliet,24,84665.37,12645.37,11637.95
DRG247,PID140186,RIDILJoliet,56,66746.23,13371.83,12370.82
DRG247,PID140213,RIDILJoliet,47,53746.48,17162.59,10017.25
DRG249,PID140007,RIDILJoliet,19,70365.73,10735.15,9786.94
DRG249,PID140101,RIDILJoliet,11,49231.18,10249.18,9425.9
DRG249,PID140186,RIDILJoliet,24,55797.91,11856.41,10917.08
DRG249,PID140213,RIDILJoliet,13,46611.23,14437.3,8364.23
DRG251,PID140007,RIDILJoliet,19,73701.63,17916.84,9021.15
DRG251,PID140186,RIDILJoliet,17,53807.29,12030.64,11298.17
DRG251,PID140213,RIDILJoliet,18,54229.38,14303.22,9313.44
DRG252,PID140007,RIDILJoliet,37,77246.97,18553.75,17584.1
DRG252,PID140186,RIDILJoliet,12,103221.08,23459.91,22438.25
DRG252,PID140213,RIDILJoliet,14,52493,18381.78,17707.07
DRG253,PID140007,RIDILJoliet,39,72085.71,14580.56,13891.33
DRG253,PID140186,RIDILJoliet,40,71217.7,21229.85,14589.07
DRG253,PID140213,RIDILJoliet,13,59858.23,18088.92,14016.92
DRG254,PID140007,RIDILJoliet,25,61490.92,10158.36,9304.44
DRG254,PID140155,RIDILJoliet,19,88201.73,15047.31,9329
DRG254,PID140186,RIDILJoliet,20,57907.8,11868.05,11077.25
DRG254,PID140213,RIDILJoliet,20,45108.45,9939.75,9150.55
DRG280,PID140007,RIDILJoliet,101,57422.77,11875.52,10906.88
DRG280,PID140213,RIDILJoliet,39,34714.87,10885.2,10221.71
DRG281,PID140007,RIDILJoliet,60,34140.05,7011.55,6318.28
DRG281,PID140213,RIDILJoliet,25,27509.28,7145.96,6253.16
DRG282,PID140007,RIDILJoliet,14,30997.78,4885.14,3764.57
DRG282,PID140101,RIDILJoliet,13,25809.92,4566.23,3794.84
DRG282,PID140213,RIDILJoliet,20,19881.7,4892.05,3991.25
DRG286,PID140007,RIDILJoliet,21,55669.09,12645.47,11789.14
DRG286,PID140155,RIDILJoliet,23,82599.78,12782.56,12145.52
DRG286,PID140186,RIDILJoliet,17,41588.52,16853.58,11697.29
DRG286,PID140213,RIDILJoliet,14,41707.28,12310.57,11423.42
DRG287,PID140007,RIDILJoliet,89,37393.07,7066.06,5700.75
DRG287,PID140101,RIDILJoliet,42,30091.47,6879.8,5149.02
DRG287,PID140155,RIDILJoliet,53,45944.43,7539.88,5701.62
DRG287,PID140186,RIDILJoliet,92,25928.54,7894.23,5955.2
DRG287,PID140213,RIDILJoliet,66,28054.51,8037.81,5468.77
DRG291,PID140101,RIDILJoliet,25,31851.64,11018.8,7050.8
DRG291,PID140155,RIDILJoliet,52,54828.21,11147.57,9011.76
DRG291,PID140186,RIDILJoliet,102,27364.96,9873.65,9043.5
DRG291,PID140213,RIDILJoliet,117,28603.49,9277.86,8283.97
DRG292,PID140007,RIDILJoliet,253,29599.68,6194.42,5424.89
DRG292,PID140101,RIDILJoliet,51,24730.39,5843.43,5181.31
DRG292,PID140155,RIDILJoliet,52,34806.88,7083.92,5566.42
DRG292,PID140186,RIDILJoliet,87,17987.86,6837.33,6044.71
DRG292,PID140213,RIDILJoliet,138,19179.05,6188.82,5526.6
DRG293,PID140007,RIDILJoliet,82,20305.07,4120.65,3408.65
DRG293,PID140101,RIDILJoliet,40,14238.3,4081.4,3139.62
DRG293,PID140186,RIDILJoliet,22,15695.09,4603.45,3993.27
DRG293,PID140213,RIDILJoliet,125,13405.39,4196.64,3469.76
DRG300,PID140007,RIDILJoliet,91,27784.24,5896.43,5241
DRG300,PID140155,RIDILJoliet,13,34527.38,5993.15,5299
DRG300,PID140186,RIDILJoliet,20,20974.4,8913.3,5330.05
DRG300,PID140213,RIDILJoliet,22,22504.27,5909.27,5143.27
DRG301,PID140007,RIDILJoliet,42,19696.61,4030.07,3189.5
DRG301,PID140101,RIDILJoliet,11,13231.9,3833.27,3012.9
DRG301,PID140186,RIDILJoliet,12,17497.58,4452.33,3797.33
DRG301,PID140213,RIDILJoliet,34,12223.02,4090.67,3263.97
DRG303,PID140007,RIDILJoliet,20,22518.2,5380.9,2491.3
