drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID140008,RIDILMelrosePark,16,56027,18420.56,4401.87
DRG039,PID140054,RIDILMelrosePark,12,44706.58,7427.75,6266.91
DRG039,PID140065,RIDILMelrosePark,14,36728.92,6313.57,5269.28
DRG039,PID140200,RIDILMelrosePark,28,34774.21,6956.03,4375.17
DRG039,PID140211,RIDILMelrosePark,16,37699.75,10278.56,4759.37
DRG039,PID140258,RIDILMelrosePark,21,58058.57,6765.76,4826.57
DRG057,PID140008,RIDILMelrosePark,24,32763.5,5420.29,4621.12
DRG057,PID140049,RIDILMelrosePark,15,29509.93,7893.53,7065.53
DRG057,PID140054,RIDILMelrosePark,33,18357.54,7333.78,6130.15
DRG057,PID140065,RIDILMelrosePark,15,17937.4,5493.13,4598.2
DRG057,PID140200,RIDILMelrosePark,21,26850.04,5140.04,4389.95
DRG057,PID140211,RIDILMelrosePark,19,21066.47,5158.26,4446.68
DRG057,PID140242,RIDILMelrosePark,33,28186.81,5196.51,4452.51
DRG057,PID140258,RIDILMelrosePark,47,21417.14,5315.78,4456.21
DRG057,PID140276,RIDILMelrosePark,40,15954.27,8382.32,6862.35
DRG064,PID140008,RIDILMelrosePark,13,101616.3,13111.84,11723.61
DRG064,PID140049,RIDILMelrosePark,21,58754.52,16031.47,15441.57
DRG064,PID140054,RIDILMelrosePark,29,43190.55,14452.58,13446.51
DRG064,PID140065,RIDILMelrosePark,27,42257.55,11593.25,10679.18
DRG064,PID140200,RIDILMelrosePark,50,51866.54,11013.26,10338.54
DRG064,PID140211,RIDILMelrosePark,17,67254.52,12704.94,11907.76
DRG064,PID140242,RIDILMelrosePark,67,82719.58,12854.65,10917.34
DRG064,PID140258,RIDILMelrosePark,47,57825.91,10703.42,10009.89
DRG064,PID140276,RIDILMelrosePark,50,38351.96,16621.56,15808.56
DRG064,PID140292,RIDILMelrosePark,12,46221.33,13346.91,12314.58
DRG065,PID140008,RIDILMelrosePark,23,44305.08,8135.43,5251.65
DRG065,PID140049,RIDILMelrosePark,38,29052.42,9963.52,9101.31
DRG065,PID140054,RIDILMelrosePark,46,30604.47,9124.36,7892.43
DRG065,PID140063,RIDILMelrosePark,26,29002.42,6967.07,6100
DRG065,PID140065,RIDILMelrosePark,51,33311.82,7053.62,6215.19
DRG065,PID140200,RIDILMelrosePark,65,34592.9,8037.69,5561.52
DRG065,PID140211,RIDILMelrosePark,45,36851.06,6617.64,5743.6
DRG065,PID140240,RIDILMelrosePark,17,26365.29,9370.64,8512.52
DRG065,PID140242,RIDILMelrosePark,143,59345.31,9043.9,6330.67
DRG065,PID140258,RIDILMelrosePark,79,42801.75,7667.67,5606.75
DRG065,PID140276,RIDILMelrosePark,61,29524.18,11859.5,9077.52
DRG066,PID140008,RIDILMelrosePark,19,37822,4854.63,3846.84
DRG066,PID140049,RIDILMelrosePark,18,27515.55,7142,6205.77
DRG066,PID140054,RIDILMelrosePark,20,24211.3,6373.85,5308.05
DRG066,PID140063,RIDILMelrosePark,11,23449.54,4923.36,4208.81
DRG066,PID140065,RIDILMelrosePark,27,25452.66,5533.81,3975.48
DRG066,PID140200,RIDILMelrosePark,45,24551.84,4683.93,3712.11
DRG066,PID140211,RIDILMelrosePark,35,31327.42,4722.91,3790.45
DRG066,PID140242,RIDILMelrosePark,49,55255.1,6301.79,3597.85
DRG066,PID140258,RIDILMelrosePark,24,35535.66,4662.66,3421.66
DRG066,PID140276,RIDILMelrosePark,26,21944.19,7015.26,6062.34
DRG069,PID140008,RIDILMelrosePark,22,43743.86,4401.36,3426.63
DRG069,PID140049,RIDILMelrosePark,31,20038.7,6220.22,5280.09
DRG069,PID140054,RIDILMelrosePark,31,16853.06,5684.32,4534.12
DRG069,PID140063,RIDILMelrosePark,29,18413.24,4487.1,3518.96
DRG069,PID140065,RIDILMelrosePark,34,22949.64,4588.08,3725.26
DRG069,PID140200,RIDILMelrosePark,85,22740.42,4510.92,3283.69
DRG069,PID140211,RIDILMelrosePark,50,28249.38,4228.32,3236
DRG069,PID140240,RIDILMelrosePark,11,21248.63,6129.63,5112.18
DRG069,PID140242,RIDILMelrosePark,89,41637.84,4710.97,3281.17
DRG069,PID140258,RIDILMelrosePark,78,31471.21,4249.38,3308.57
DRG069,PID140276,RIDILMelrosePark,36,18348.5,6478.66,5372.11
DRG074,PID140008,RIDILMelrosePark,11,35220.54,5171.45,4451.09
DRG074,PID140054,RIDILMelrosePark,12,23811.83,6850,6292
DRG074,PID140065,RIDILMelrosePark,19,28019.21,5465.94,4516.05
DRG074,PID140200,RIDILMelrosePark,15,33899.86,5639.4,4815.66
DRG074,PID140211,RIDILMelrosePark,12,21657.5,4992.83,4151.83
DRG074,PID140242,RIDILMelrosePark,30,29873.33,5005.5,4046.5
