drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID140013,RIDILPeoria,31,29888.64,5432.41,4378.61
DRG039,PID140040,RIDILPeoria,15,59913.8,5957.4,5133.66
DRG039,PID140067,RIDILPeoria,26,38928.3,6732.84,5867
DRG039,PID140209,RIDILPeoria,22,42526.4,6586.09,5617.18
DRG057,PID140067,RIDILPeoria,39,32224.46,6214.66,5612.51
DRG057,PID140209,RIDILPeoria,17,20043.47,5885.52,5021.76
DRG064,PID140013,RIDILPeoria,17,27473.76,9493.29,8498.23
DRG064,PID140026,RIDILPeoria,14,27611.21,12534.35,11811.28
DRG064,PID140040,RIDILPeoria,11,41510.18,10449.18,9734.63
DRG064,PID140067,RIDILPeoria,100,59232.81,12883.26,12015.14
DRG064,PID140209,RIDILPeoria,23,48460.39,11406.82,10824.56
DRG065,PID140013,RIDILPeoria,45,19508.93,6147.37,4938
DRG065,PID140040,RIDILPeoria,12,45809.08,6815.75,5969.41
DRG065,PID140064,RIDILPeoria,17,20402.7,8752.52,7824.05
DRG065,PID140067,RIDILPeoria,162,34763.4,8335.62,6557.82
DRG065,PID140110,RIDILPeoria,13,16732.38,7250.46,6471.69
DRG065,PID140143,RIDILPeoria,14,18695.64,6289.5,5490.07
DRG065,PID140209,RIDILPeoria,53,27734.52,7400.11,6509.69
DRG066,PID140001,RIDILPeoria,17,14342.52,5579.05,4587.76
DRG066,PID140013,RIDILPeoria,34,18435.35,4348.14,3320.73
DRG066,PID140064,RIDILPeoria,18,18832,6140.72,5208.05
DRG066,PID140067,RIDILPeoria,104,28242.61,5803.25,4335.29
DRG066,PID140143,RIDILPeoria,12,12391,4388.66,3545
DRG066,PID140209,RIDILPeoria,28,22095.78,5401.46,4362.89
DRG069,PID140013,RIDILPeoria,27,15105.59,3908.62,2952.62
DRG069,PID140026,RIDILPeoria,14,11696.5,4625,3511.28
DRG069,PID140040,RIDILPeoria,16,25384.25,4533.68,3028.68
DRG069,PID140064,RIDILPeoria,23,16696.04,5483.21,4552.26
DRG069,PID140067,RIDILPeoria,97,20332.72,4853.77,3912.52
DRG069,PID140110,RIDILPeoria,16,12559.31,4894.37,3702.25
DRG069,PID140120,RIDILPeoria,13,17374.76,4562.38,3009.76
DRG069,PID140143,RIDILPeoria,14,15410.5,4072,3189.42
DRG069,PID140209,RIDILPeoria,58,21190.43,4959.27,3786.36
DRG069,PID140234,RIDILPeoria,11,10183.27,4647.54,3830.09
DRG074,PID140067,RIDILPeoria,26,34500.61,5700.84,4646.26
DRG074,PID140209,RIDILPeoria,18,26387.16,6026.94,5094.27
DRG101,PID140067,RIDILPeoria,122,18387.44,5309.04,3964.74
DRG101,PID140209,RIDILPeoria,25,22195.28,4937.84,4355.6
DRG149,PID140067,RIDILPeoria,31,20074.29,4410.22,3111.54
DRG149,PID140209,RIDILPeoria,14,16347.28,4925.5,3127.42
DRG176,PID140064,RIDILPeoria,14,27380.64,8012.21,7210.5
DRG176,PID140067,RIDILPeoria,36,30373.25,8236.11,5653.58
DRG176,PID140120,RIDILPeoria,19,28951.78,5914.21,5263.89
DRG176,PID140209,RIDILPeoria,40,26641.6,6877.67,6064.17
DRG177,PID140013,RIDILPeoria,14,36538.14,13650.14,9519.92
DRG177,PID140026,RIDILPeoria,24,37350.12,12686.58,11838.91
DRG177,PID140040,RIDILPeoria,15,78452.33,11952.66,11443.26
DRG177,PID140064,RIDILPeoria,15,48503.06,14748.46,14075.66
DRG177,PID140067,RIDILPeoria,30,68116.73,13347,12322.43
DRG177,PID140143,RIDILPeoria,13,25904.61,11182.53,10580.38
DRG177,PID140209,RIDILPeoria,16,54727.5,14246.75,13368.87
DRG178,PID140013,RIDILPeoria,16,23980.25,8180.56,6689.62
DRG178,PID140026,RIDILPeoria,32,23389.78,9883.78,8348.81
DRG178,PID140040,RIDILPeoria,45,51481.8,8576.97,8002.86
DRG178,PID140064,RIDILPeoria,18,37666.77,10917.77,10164.88
DRG178,PID140067,RIDILPeoria,47,51310.31,9566.89,9040.42
DRG178,PID140143,RIDILPeoria,17,24500.94,8165.82,7435.23
DRG178,PID140209,RIDILPeoria,17,32949.76,9820.35,9226.7
DRG189,PID140040,RIDILPeoria,12,33774.58,11254.08,5673.33
DRG189,PID140064,RIDILPeoria,32,30744.09,9615.03,8981.28
DRG189,PID140067,RIDILPeoria,42,40375.76,9822.66,7740.88
DRG189,PID140110,RIDILPeoria,11,30104.36,8685.27,8225.09
DRG189,PID140209,RIDILPeoria,41,37874.04,8554.17,7996.63
DRG190,PID140001,RIDILPeoria,23,16520.21,8356.86,7819.65
DRG190,PID140013,RIDILPeoria,40,17554.1,6326.97,5396.55
DRG190,PID140026,RIDILPeoria,32,22362.62,7999.87,6413.62
DRG190,PID140040,RIDILPeoria,39,31974.79,6926.2,6089.38
DRG190,PID140064,RIDILPeoria,32,37452.15,9221.31,8197.4
DRG190,PID140067,RIDILPeoria,71,36408.3,7769.67,6948.66
DRG190,PID140110,RIDILPeoria,52,19379.01,7761.21,6939.51
DRG190,PID140120,RIDILPeoria,56,28425.16,7058.85,5517.57
DRG190,PID140143,RIDILPeoria,14,21666.21,6641,5922.42
DRG190,PID140209,RIDILPeoria,46,34967.39,7873.86,6911.08
DRG190,PID140234,RIDILPeoria,18,26730.38,7768.33,7019.05
DRG191,PID140001,RIDILPeoria,21,14463.14,6919,6218.23
DRG191,PID140013,RIDILPeoria,35,16985.71,5143.17,4271.74
DRG191,PID140026,RIDILPeoria,35,16290.62,6132.91,5203.2
DRG191,PID140040,RIDILPeoria,40,30210.85,5561.95,4805.85
DRG191,PID140064,RIDILPeoria,65,22926.63,7408.52,6468.67
DRG191,PID140067,RIDILPeoria,161,25225.87,6301.8,5472.76
DRG191,PID140110,RIDILPeoria,23,16948.34,6177.39,5637.39
DRG191,PID140120,RIDILPeoria,38,27484.92,5344.6,4516.39
DRG191,PID140143,RIDILPeoria,23,15536.47,5377.39,4547.65
DRG191,PID140209,RIDILPeoria,88,22428.21,7305.1,5431.69
DRG191,PID140234,RIDILPeoria,31,20095.38,6152.16,5391.51
DRG192,PID140001,RIDILPeoria,75,11380.98,5095.32,4272.86
DRG192,PID140013,RIDILPeoria,50,13457.66,3859.42,2937.58
DRG192,PID140026,RIDILPeoria,17,12961.58,4574.17,3512.52
DRG192,PID140040,RIDILPeoria,34,21915.11,4223.41,3407.61
DRG192,PID140064,RIDILPeoria,51,17818.33,5405.21,4611.8
DRG192,PID140067,RIDILPeoria,88,18741.01,4599.85,3713.82
DRG192,PID140110,RIDILPeoria,37,14712.72,4861.59,4039
DRG192,PID140120,RIDILPeoria,22,20171,4246.13,2947.77
DRG192,PID140143,RIDILPeoria,26,12972.46,3971.69,3236.46
DRG192,PID140209,RIDILPeoria,77,15215.31,4743.46,3981.49
DRG192,PID140234,RIDILPeoria,34,15327.58,4725.64,3435.97
DRG193,PID140001,RIDILPeoria,16,23061.56,9239.31,7863.68
DRG193,PID140013,RIDILPeoria,21,28871.23,8832.33,6575.9
DRG193,PID140026,RIDILPeoria,30,21838.83,9287.53,8535
DRG193,PID140040,RIDILPeoria,27,55453.25,9217,8315.22
DRG193,PID140064,RIDILPeoria,28,36152.53,11368.85,10650.28
DRG193,PID140067,RIDILPeoria,84,49402.98,10412.25,9766.58
DRG193,PID140110,RIDILPeoria,23,32891.65,10040.73,9405.04
DRG193,PID140120,RIDILPeoria,17,48613.76,8855.47,8123.05
DRG193,PID140209,RIDILPeoria,32,45074.56,9938.81,9377.81
DRG193,PID140234,RIDILPeoria,20,27247.7,9309.4,8353.6
DRG194,PID140001,RIDILPeoria,60,14645.96,7219.65,6233.3
DRG194,PID140013,RIDILPeoria,96,18097.87,5627.83,4449.61
DRG194,PID140026,RIDILPeoria,54,16576.11,6393.96,5500.85
DRG194,PID140040,RIDILPeoria,70,34413.07,6899.35,4982.22
DRG194,PID140064,RIDILPeoria,85,23953.77,8257.04,6691.52
DRG194,PID140067,RIDILPeoria,186,29895.94,6639.28,5739.61
DRG194,PID140110,RIDILPeoria,73,16609.97,6381.65,5503.91
DRG194,PID140120,RIDILPeoria,72,26147.9,5433.43,4683.65
DRG194,PID140143,RIDILPeoria,49,22142.16,5644.12,4908.12
DRG194,PID140209,RIDILPeoria,108,25029.59,6804.63,5739.1
DRG194,PID140234,RIDILPeoria,44,18774.77,6193.25,5351.52
DRG195,PID140001,RIDILPeoria,34,11795.61,5069.94,4119.14
DRG195,PID140013,RIDILPeoria,36,12986.47,4067.94,2727.22
DRG195,PID140026,RIDILPeoria,16,13826,4497.87,3513.37
DRG195,PID140040,RIDILPeoria,23,23309.91,4151.52,3276.73
DRG195,PID140064,RIDILPeoria,27,16542.29,5259,4298.25
DRG195,PID140067,RIDILPeoria,68,19730.38,4835.11,3642.75
DRG195,PID140110,RIDILPeoria,61,11921.27,4844.45,3798.7
DRG195,PID140120,RIDILPeoria,36,18164.83,3932.16,2899.83
DRG195,PID140143,RIDILPeoria,34,15751.67,3911.55,2852.73
DRG195,PID140209,RIDILPeoria,36,18438.55,5572.41,3683.58
DRG195,PID140234,RIDILPeoria,31,14873.25,4511.03,3675.29
DRG202,PID140064,RIDILPeoria,11,20533.09,6317.45,5497.09
DRG202,PID140067,RIDILPeoria,34,26730.32,6069.23,4646.61
DRG202,PID140209,RIDILPeoria,12,18457.83,5575.75,4732.08
DRG203,PID140013,RIDILPeoria,11,11550.9,3252.63,2535.18
DRG203,PID140067,RIDILPeoria,22,15902.86,4011.81,3092.9
DRG207,PID140067,RIDILPeoria,53,184579.75,41228.45,37804.71
DRG208,PID140067,RIDILPeoria,82,81509.62,15937.69,14979.06
DRG208,PID140120,RIDILPeoria,11,74732.72,16596.45,10991.27
DRG208,PID140209,RIDILPeoria,25,62779.56,15449.32,14731.2
DRG238,PID140013,RIDILPeoria,36,65701.11,18111.19,15345.58
DRG238,PID140067,RIDILPeoria,63,118770.93,23989.66,20860.87
DRG238,PID140209,RIDILPeoria,50,114705.26,19986.46,18973.42
DRG243,PID140013,RIDILPeoria,12,76309.5,13957.5,12922.5
DRG243,PID140064,RIDILPeoria,12,40324.08,19884.66,19043.66
DRG243,PID140067,RIDILPeoria,27,93157.7,20315.07,16135.22
DRG243,PID140209,RIDILPeoria,14,74079.71,27095.14,13747.71
DRG244,PID140064,RIDILPeoria,11,37529.54,15303.63,14277.45
DRG244,PID140067,RIDILPeoria,27,80760.59,15314.4,12286.88
DRG244,PID140209,RIDILPeoria,14,67382.78,13223.28,12255.28
DRG246,PID140067,RIDILPeoria,23,91235.65,21518.26,20785.56
DRG246,PID140209,RIDILPeoria,21,91852.14,20471.95,19721.85
DRG247,PID140013,RIDILPeoria,17,65343.23,10506.23,9455.88
DRG247,PID140067,RIDILPeoria,142,69159.83,13704.35,11849.64
DRG247,PID140209,RIDILPeoria,104,64985.25,14279.32,11289.68
DRG249,PID140013,RIDILPeoria,11,46244.72,9464.45,8749.9
DRG249,PID140067,RIDILPeoria,55,67213.1,13299.4,10276.14
DRG249,PID140209,RIDILPeoria,17,64562.7,14291.35,9970.64
DRG251,PID140067,RIDILPeoria,22,68553.54,11876.27,11008.81
DRG251,PID140209,RIDILPeoria,14,90623.14,11519.64,10551.64
DRG252,PID140067,RIDILPeoria,52,93719.25,24016.96,20566.19
DRG252,PID140209,RIDILPeoria,19,106612.42,26023.63,18931.68
DRG253,PID140013,RIDILPeoria,44,57335.34,13017.84,12122.47
DRG253,PID140067,RIDILPeoria,47,103656.59,18638.51,17889.19
DRG253,PID140209,RIDILPeoria,63,93201.42,20043.65,15577.69
DRG254,PID140013,RIDILPeoria,39,44786.28,8616.71,7583.28
DRG254,PID140067,RIDILPeoria,29,51851,12585.51,9127.24
DRG254,PID140209,RIDILPeoria,37,71575.02,14069.35,9486.35
DRG280,PID140026,RIDILPeoria,13,23811.84,10127.15,9520.07
DRG280,PID140040,RIDILPeoria,16,56363.12,10354.25,9650.75
DRG280,PID140064,RIDILPeoria,18,28532.66,13458.22,12644.22
DRG280,PID140067,RIDILPeoria,30,47948.2,11937.2,11187.86
DRG280,PID140110,RIDILPeoria,11,21220.09,9077.18,8768.45
DRG280,PID140209,RIDILPeoria,18,41718.66,11957.83,11196.33
DRG281,PID140064,RIDILPeoria,11,20630.09,8945,8024.63
DRG281,PID140067,RIDILPeoria,28,31088.85,7691.78,7052.92
DRG281,PID140120,RIDILPeoria,13,30916.23,6218.15,5275.07
