drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID140043,RIDILRockford,23,25577,6856.21,4778.26
DRG039,PID140176,RIDILRockford,11,20974.36,6176.9,5259.45
DRG039,PID140228,RIDILRockford,14,33828.57,6693,6048.42
DRG039,PID140233,RIDILRockford,24,21852.91,5747.54,4709
DRG039,PID140239,RIDILRockford,36,28561.72,7198.38,5859.47
DRG057,PID140176,RIDILRockford,22,18843.68,5456.13,4712.95
DRG057,PID140228,RIDILRockford,27,19676.11,6030.7,5243.59
DRG057,PID140233,RIDILRockford,14,28252.85,6276.85,5556
DRG057,PID140239,RIDILRockford,21,15059.14,5641,4837
DRG064,PID140043,RIDILRockford,14,28113.71,10585.92,9622.5
DRG064,PID140160,RIDILRockford,16,25437,10617.87,9708.12
DRG064,PID140176,RIDILRockford,17,42317.17,13666.23,9867.94
DRG064,PID140228,RIDILRockford,29,66802.31,12969.24,11712.75
DRG064,PID140233,RIDILRockford,32,44623.09,10981.25,9657.87
DRG064,PID140239,RIDILRockford,40,56038.4,15009.82,13672.9
DRG064,PID140286,RIDILRockford,18,35338.88,10686.38,9944.16
DRG065,PID140043,RIDILRockford,31,27405.67,6797.29,5998.06
DRG065,PID140160,RIDILRockford,32,18946.25,6931.37,6055
DRG065,PID140176,RIDILRockford,33,30097.66,8094.48,5899.09
DRG065,PID140228,RIDILRockford,70,34595.28,8147.57,6675.08
DRG065,PID140233,RIDILRockford,79,24141.92,6464.25,5712.5
DRG065,PID140239,RIDILRockford,65,33948.92,8445.83,6610.95
DRG065,PID140286,RIDILRockford,16,21859.68,6592.25,5676.5
DRG066,PID140012,RIDILRockford,12,23443.5,5034.66,4096.66
DRG066,PID140043,RIDILRockford,17,22434.64,4847.23,3789.35
DRG066,PID140160,RIDILRockford,21,14750.23,4870.57,3798.57
DRG066,PID140176,RIDILRockford,19,23517.73,5037.26,3703.42
DRG066,PID140228,RIDILRockford,25,20153.64,5516.4,4223.68
DRG066,PID140233,RIDILRockford,45,20856.46,5133.95,3380.11
DRG066,PID140239,RIDILRockford,33,21948.45,5520.36,4529.03
