drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID140015,RIDILSpringfield,37,26562.94,6658.83,5385.24
DRG039,PID140053,RIDILSpringfield,61,30994.32,6563.08,5606.49
DRG039,PID140135,RIDILSpringfield,19,27401.26,5837.73,5008.68
DRG039,PID140148,RIDILSpringfield,66,21020.56,6603.25,5126.21
DRG039,PID140166,RIDILSpringfield,17,34890.94,6409.41,5418.11
DRG057,PID140015,RIDILSpringfield,19,21245.15,7427.68,5040.31
DRG057,PID140053,RIDILSpringfield,11,25761.81,6230.36,5304.18
DRG057,PID140148,RIDILSpringfield,45,16903.48,5816.64,4809.15
DRG057,PID140166,RIDILSpringfield,17,11216.35,5760.52,4833.94
DRG064,PID140015,RIDILSpringfield,28,30667.82,11797.71,10729.17
DRG064,PID140032,RIDILSpringfield,16,18744.56,9539.93,8472.5
DRG064,PID140053,RIDILSpringfield,63,39871.65,12855.03,11904.82
DRG064,PID140135,RIDILSpringfield,35,27541.82,10335.14,9662.34
DRG064,PID140148,RIDILSpringfield,65,31404.33,11627.86,10366.81
DRG064,PID140166,RIDILSpringfield,17,34532.94,11622.41,10895.58
DRG065,PID140015,RIDILSpringfield,53,24267.49,7595.16,6311.92
DRG065,PID140032,RIDILSpringfield,34,14558.08,6115.23,5258.05
DRG065,PID140053,RIDILSpringfield,72,26487.09,7621.05,6823.66
DRG065,PID140058,RIDILSpringfield,21,19236.42,7422,6727.33
DRG065,PID140135,RIDILSpringfield,56,25874.57,6580.32,5555.32
DRG065,PID140148,RIDILSpringfield,124,23828.21,7287.31,6369.5
DRG065,PID140166,RIDILSpringfield,26,27153.8,7137.76,6270.69
DRG066,PID140015,RIDILSpringfield,58,19307.72,5416.94,4143.94
DRG066,PID140032,RIDILSpringfield,17,10600.94,4321.7,3526.41
DRG066,PID140053,RIDILSpringfield,45,20335,5338.17,4345.73
DRG066,PID140135,RIDILSpringfield,63,20162.25,4993.88,3617.68
