drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID140091,RIDILUrbana,31,36568.87,6665.03,5616.38
DRG039,PID140113,RIDILUrbana,30,36609.46,6398.53,5498.26
DRG039,PID140189,RIDILUrbana,18,18353,6651.16,4669.27
DRG057,PID140093,RIDILUrbana,13,17310.61,5458.46,4771.69
DRG057,PID140113,RIDILUrbana,18,41153.66,5791.22,5358.11
DRG064,PID140091,RIDILUrbana,73,36517.26,12088.61,10853.75
DRG064,PID140093,RIDILUrbana,25,35096.88,11165.8,10359.72
DRG064,PID140167,RIDILUrbana,12,13169.83,10395.33,9554.33
DRG064,PID140189,RIDILUrbana,11,22249.72,10888,10073.45
DRG065,PID140091,RIDILUrbana,88,34583.76,8370,6568.03
DRG065,PID140093,RIDILUrbana,31,27335,7380.09,5546.9
DRG065,PID140113,RIDILUrbana,37,31425.83,7044.21,6102.7
DRG065,PID140189,RIDILUrbana,18,12862.66,6386.44,5326.22
DRG066,PID140091,RIDILUrbana,51,26183.17,5987.49,4379.78
DRG066,PID140093,RIDILUrbana,16,24195.93,5991.43,3780.75
DRG066,PID140113,RIDILUrbana,17,28925,5106.41,4176.05
DRG066,PID140189,RIDILUrbana,22,10450.31,4680.63,3714.63
DRG069,PID140091,RIDILUrbana,56,24527.16,5164.85,3792.48
DRG069,PID140093,RIDILUrbana,20,22052.4,4462.25,3517.4
DRG069,PID140113,RIDILUrbana,26,25171.61,4628.42,3634.42
DRG074,PID140091,RIDILUrbana,18,19929.94,5814.88,4732.94
DRG101,PID140091,RIDILUrbana,23,13882.82,4873.39,3979.34
DRG101,PID140093,RIDILUrbana,27,22826.14,5571.11,3591.77
DRG101,PID140113,RIDILUrbana,16,24545.12,4823.87,4047.62
DRG149,PID140091,RIDILUrbana,13,19806.23,4194.07,3246.07
DRG149,PID140113,RIDILUrbana,12,23812.75,4073.91,3146.58
DRG149,PID140189,RIDILUrbana,11,11842.09,3725,2595.9
DRG176,PID140091,RIDILUrbana,30,37371.03,8939.96,5935.06
DRG176,PID140093,RIDILUrbana,11,37582,6166.9,5555.27
DRG176,PID140113,RIDILUrbana,21,25364.9,6653.66,5367.42
DRG176,PID140189,RIDILUrbana,30,17717.76,6019.5,5116.03
DRG177,PID140091,RIDILUrbana,18,48596.61,12708.72,11846
DRG177,PID140093,RIDILUrbana,20,68901.75,12541.35,11890.45
DRG177,PID140113,RIDILUrbana,28,47614.57,12338.67,11657.1
DRG177,PID140189,RIDILUrbana,30,30569.5,11604.3,11044.7
DRG178,PID140091,RIDILUrbana,23,34568.78,9243.69,8463.17
DRG178,PID140093,RIDILUrbana,13,53546.38,8635.38,8287.07
DRG178,PID140113,RIDILUrbana,23,38902.26,8887.52,8204.04
DRG178,PID140189,RIDILUrbana,37,22922.29,8440.7,7695.89
DRG189,PID140091,RIDILUrbana,49,33918.81,10192.36,7519.34
DRG189,PID140093,RIDILUrbana,51,32381.03,7807.72,7189.37
DRG189,PID140113,RIDILUrbana,35,41434.8,8066.42,7451.14
DRG189,PID140167,RIDILUrbana,13,13637.15,8026,7380.3
DRG189,PID140189,RIDILUrbana,17,22786.17,7469,6810.64
DRG190,PID140091,RIDILUrbana,62,33305.22,9647.82,6796.67
DRG190,PID140093,RIDILUrbana,90,30626.21,7206.08,6381.28
DRG190,PID140113,RIDILUrbana,68,32960.47,7864.88,6362.38
DRG190,PID140167,RIDILUrbana,46,9455.82,7294.19,6466.54
DRG190,PID140189,RIDILUrbana,65,17286.1,6899.96,5828.46
DRG191,PID140091,RIDILUrbana,42,20669.69,7177.02,4905.04
DRG191,PID140093,RIDILUrbana,81,26731.54,6097.12,5028.06
DRG191,PID140113,RIDILUrbana,89,30716.13,6318.74,5233.39
DRG191,PID140167,RIDILUrbana,47,9123.68,6051.46,5371.17
DRG191,PID140189,RIDILUrbana,114,14613.75,5570.28,4761.92
DRG192,PID140091,RIDILUrbana,23,16700.52,5278.52,3646.17
DRG192,PID140093,RIDILUrbana,68,21540.02,4404.29,3544.76
DRG192,PID140113,RIDILUrbana,26,19760.92,5719.57,3161.84
DRG192,PID140167,RIDILUrbana,26,7778.65,4524,3701.69
DRG192,PID140189,RIDILUrbana,100,11029,4228.99,3381.35
DRG193,PID140091,RIDILUrbana,46,44835.36,9596.67,8840.76
DRG193,PID140093,RIDILUrbana,66,42097.63,8988.13,8110.5
DRG193,PID140113,RIDILUrbana,29,39949.86,9215.06,8282.65
DRG193,PID140167,RIDILUrbana,12,10732.75,8633.5,7377.91
DRG193,PID140189,RIDILUrbana,34,28542.02,8421.85,7627.5
DRG194,PID140091,RIDILUrbana,57,26721.03,6955.63,5707.42
DRG194,PID140093,RIDILUrbana,59,31525.44,6086.45,5301.11
DRG194,PID140113,RIDILUrbana,33,31953.39,6465.24,5373.42
DRG194,PID140167,RIDILUrbana,39,8901.79,6150.79,5342.17
DRG194,PID140189,RIDILUrbana,85,16007.83,5917.98,4911.32
DRG195,PID140091,RIDILUrbana,29,22322.27,5362.31,3433.1
DRG195,PID140093,RIDILUrbana,19,24055.31,4391.1,3045.1
DRG195,PID140113,RIDILUrbana,16,23881.25,4509.43,3524.93
DRG195,PID140189,RIDILUrbana,36,11907.55,4097.75,3164.19
DRG202,PID140091,RIDILUrbana,17,25368.7,5555.05,4493.41
DRG202,PID140093,RIDILUrbana,11,32913.81,5142,3810
DRG202,PID140113,RIDILUrbana,18,20394,5329.38,4641.16
DRG208,PID140091,RIDILUrbana,27,51933.4,15289.55,13954.74
DRG208,PID140093,RIDILUrbana,24,76842.33,13790.16,12815.45
DRG208,PID140113,RIDILUrbana,24,85199.54,17043.08,13205.7
DRG208,PID140189,RIDILUrbana,25,31328.32,12667.68,10774.4
DRG238,PID140091,RIDILUrbana,34,118242.23,22913.35,22021.02
DRG238,PID140113,RIDILUrbana,14,106556.35,21513.57,19271.28
DRG243,PID140091,RIDILUrbana,31,66182.25,17234.7,16251.87
DRG243,PID140113,RIDILUrbana,14,57371.85,16688.64,15808.35
DRG244,PID140091,RIDILUrbana,16,53310.12,13251.62,12479.37
