drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID150042,RIDINEvansville,23,24836.43,7244.95,4716.21
DRG039,PID150082,RIDINEvansville,52,22095.67,5590.67,4476.63
DRG039,PID150100,RIDINEvansville,25,22382.72,5657,4847.08
DRG039,PID150115,RIDINEvansville,25,9437.52,5504.2,3992.08
DRG039,PID150175,RIDINEvansville,30,20321.7,5103,4090.6
DRG057,PID150082,RIDINEvansville,23,23985.47,5286.91,3933.39
DRG057,PID150100,RIDINEvansville,29,15000.41,4968.75,4049.41
DRG064,PID150042,RIDINEvansville,29,19465.27,9242.86,8619.41
DRG064,PID150082,RIDINEvansville,65,32644.06,10617.15,8693.72
DRG064,PID150100,RIDINEvansville,52,31298.71,10523.23,8947.42
DRG064,PID150115,RIDINEvansville,37,16332.43,9077.7,8293
DRG065,PID150042,RIDINEvansville,56,16545.5,6026.44,5129.28
DRG065,PID150082,RIDINEvansville,146,25238.56,6168.25,5275.43
DRG065,PID150100,RIDINEvansville,83,23796.54,6352.1,5499.81
DRG065,PID150115,RIDINEvansville,42,10418.04,5519.4,4545.88
DRG065,PID180056,RIDINEvansville,15,20761.86,6901.06,5514.33
DRG066,PID140147,RIDINEvansville,14,14983.57,4823.78,3777.21
DRG066,PID150042,RIDINEvansville,27,12148.03,4290.59,3290.29
DRG066,PID150061,RIDINEvansville,11,8774.36,4902.09,3531.18
DRG066,PID150082,RIDINEvansville,87,19964.66,4556.49,3345.51
DRG066,PID150100,RIDINEvansville,37,17649.37,4606.78,3354.83
DRG066,PID180056,RIDINEvansville,15,20318.26,4944.66,4054
DRG069,PID150042,RIDINEvansville,27,13003.85,4793.7,3015.96
DRG069,PID150061,RIDINEvansville,12,7656.16,4376,3820.66
DRG069,PID150082,RIDINEvansville,72,17323.26,4001.52,3018.41
DRG069,PID150100,RIDINEvansville,54,16464.57,4223.7,2922.79
DRG069,PID150115,RIDINEvansville,16,7489.56,4202.37,2600.37
DRG069,PID180056,RIDINEvansville,32,17722.96,4762.06,3435.21
DRG074,PID150082,RIDINEvansville,42,18138.69,4670.38,4001.9
DRG074,PID150100,RIDINEvansville,23,14197.43,5101.3,3742.08
DRG101,PID150082,RIDINEvansville,51,18164.39,4098.6,3316.29
DRG101,PID150100,RIDINEvansville,27,15220.7,4252.11,3163.59
DRG101,PID180056,RIDINEvansville,12,13811.08,4587.08,3743.41
DRG149,PID150082,RIDINEvansville,32,16290.37,3550.37,2292.53
DRG149,PID150100,RIDINEvansville,13,16008.92,3567.92,2610.07
DRG176,PID150042,RIDINEvansville,11,17018.72,5658.18,4640.72
DRG176,PID150082,RIDINEvansville,33,21522.72,5920.72,4765.42
DRG176,PID150100,RIDINEvansville,23,18951.08,6051.08,4812.08
DRG177,PID140147,RIDINEvansville,13,38648.92,12033.07,11430.92
DRG177,PID150042,RIDINEvansville,24,23580.33,10230.08,9643.16
DRG177,PID150082,RIDINEvansville,58,43006.65,11783.87,10477.67
DRG177,PID150100,RIDINEvansville,46,33972.54,10818.08,10231.67
DRG177,PID150115,RIDINEvansville,65,16368.98,9701.72,9079.2
DRG178,PID140147,RIDINEvansville,24,30815.29,8754.87,8148.37
DRG178,PID140210,RIDINEvansville,19,14636.63,7652.84,6883.36
DRG178,PID150042,RIDINEvansville,16,15901.75,7532.87,6756.62
DRG178,PID150061,RIDINEvansville,12,12000.33,7218.58,5853.41
DRG178,PID150082,RIDINEvansville,58,25250.72,7670.86,7068.03
DRG178,PID150100,RIDINEvansville,23,22552.21,7772.73,6915.6
DRG178,PID150115,RIDINEvansville,18,14316.38,7252.77,6568.11
DRG178,PID180056,RIDINEvansville,22,29663.22,8842.54,8129.4
DRG189,PID140147,RIDINEvansville,12,23969.75,6995.5,6340.5
DRG189,PID150042,RIDINEvansville,37,15384.64,6924.02,5913.62
DRG189,PID150061,RIDINEvansville,12,12657.5,7667.5,6826.5
DRG189,PID150082,RIDINEvansville,81,26855.3,7095.34,6191.41
DRG189,PID150100,RIDINEvansville,82,27282.36,7293.64,6491.32
DRG189,PID150115,RIDINEvansville,37,9244.91,6571.13,5702.72
DRG189,PID180056,RIDINEvansville,35,36096.11,9952.2,9436.57
DRG190,PID140147,RIDINEvansville,12,28681.91,7145.66,6399
DRG190,PID140210,RIDINEvansville,15,16094.93,6968.13,6224.13
DRG190,PID150042,RIDINEvansville,68,14142.2,6117.3,5127.41
DRG190,PID150061,RIDINEvansville,15,8805.93,6331.06,5505.2
DRG190,PID150082,RIDINEvansville,160,22906.91,6605.81,5531.05
DRG190,PID150100,RIDINEvansville,93,20023.52,7829.3,5387.66
DRG190,PID150115,RIDINEvansville,43,9425.9,6190.39,5273.93
DRG190,PID180056,RIDINEvansville,77,24314.14,7514.27,6697.32
DRG191,PID140147,RIDINEvansville,25,21209.88,6317.12,4745.04
DRG191,PID140210,RIDINEvansville,42,10887.02,5479.45,4751.09
DRG191,PID150042,RIDINEvansville,93,11121.54,5084.09,4278.61
DRG191,PID150082,RIDINEvansville,167,18114.23,5323.68,4437.09
DRG191,PID150100,RIDINEvansville,82,15978.63,5485.91,4339.09
DRG191,PID150115,RIDINEvansville,36,8730.02,5093.66,4249.11
DRG191,PID180056,RIDINEvansville,92,20000.32,5914.51,5148.55
DRG192,PID140147,RIDINEvansville,36,16049.38,4671.38,3228.33
DRG192,PID140210,RIDINEvansville,53,10647.84,4212.01,3598.66
DRG192,PID150042,RIDINEvansville,43,9833.76,3784.39,2971.27
DRG192,PID150061,RIDINEvansville,30,7066.76,4345.66,3244.83
DRG192,PID150082,RIDINEvansville,148,13668.06,4082.92,2935.06
DRG192,PID150100,RIDINEvansville,66,12007.98,4138.84,3033.22
DRG192,PID150115,RIDINEvansville,21,8532,3895.95,2692.85
DRG192,PID180056,RIDINEvansville,124,13968.2,4566.63,3509.71
DRG193,PID140147,RIDINEvansville,16,24860.68,8302.18,7669.43
DRG193,PID140210,RIDINEvansville,24,16310.91,8166,7516.33
DRG193,PID150042,RIDINEvansville,63,16767.41,8179.84,6556.41
DRG193,PID150082,RIDINEvansville,127,33142.15,8501.89,7369.97
DRG193,PID150100,RIDINEvansville,103,27467.74,8302.8,6956.01
DRG193,PID150115,RIDINEvansville,40,13331.97,7469.2,6059.77
DRG193,PID180056,RIDINEvansville,49,34690.69,10385.53,8568.48
DRG194,PID140147,RIDINEvansville,53,21194.79,6531.03,4982.07
DRG194,PID140210,RIDINEvansville,98,14604.03,5824.78,5007.45
DRG194,PID150042,RIDINEvansville,55,12055.7,5237.74,4468.98
DRG194,PID150061,RIDINEvansville,61,11696.34,5823.49,4975.62
DRG194,PID150082,RIDINEvansville,273,21071.23,5588.63,4584.03
DRG194,PID150100,RIDINEvansville,91,17738.02,5660.43,4780.54
DRG194,PID150115,RIDINEvansville,30,10027.66,5429.8,4106.7
DRG194,PID180056,RIDINEvansville,109,21874.11,6526.81,5267.06
DRG195,PID140147,RIDINEvansville,46,16326.15,4254.15,3396.32
DRG195,PID140210,RIDINEvansville,37,11549.67,4168.18,3253.81
DRG195,PID150042,RIDINEvansville,24,10234.87,3641.41,2706.08
DRG195,PID150061,RIDINEvansville,37,7591.67,4061.72,3184
DRG195,PID150082,RIDINEvansville,127,15230.41,3937.37,2885.24
DRG195,PID150100,RIDINEvansville,47,14562.4,3941.74,3106.25
DRG195,PID150115,RIDINEvansville,18,7028.94,3718.11,2656.11
DRG195,PID180056,RIDINEvansville,58,15526,4392.48,3376.82
DRG202,PID150042,RIDINEvansville,13,10163.23,4449.07,3414
DRG202,PID150082,RIDINEvansville,31,15849.64,4716.74,3553.09
DRG202,PID150100,RIDINEvansville,16,15311.37,4682.18,3907.93
DRG202,PID150115,RIDINEvansville,15,8360.26,4321.33,3305.46
DRG202,PID180056,RIDINEvansville,18,19164.94,6595,3955.16
DRG203,PID150042,RIDINEvansville,13,9900.92,3214.61,2182
DRG203,PID150082,RIDINEvansville,26,14331.76,3304.3,2263.07
DRG203,PID150100,RIDINEvansville,13,9799.3,3955.38,2081.3
DRG203,PID180056,RIDINEvansville,27,12500.03,3699.85,2657
DRG207,PID150082,RIDINEvansville,42,101101.8,29390.07,25782.85
DRG207,PID150100,RIDINEvansville,20,95551.4,29670.35,28586.65
DRG207,PID180056,RIDINEvansville,15,108581.73,34924.53,34331.46
DRG208,PID150042,RIDINEvansville,26,34468.8,12229.96,11540.76
DRG208,PID150082,RIDINEvansville,114,56315.02,13102.78,12106.92
DRG208,PID150100,RIDINEvansville,60,48901.86,13980.56,11599.31
DRG208,PID150115,RIDINEvansville,15,37480.8,12562.66,11820.86
DRG208,PID180056,RIDINEvansville,13,57179,14328.23,13900.23
DRG238,PID150082,RIDINEvansville,57,61220.54,17666.19,15578.26
DRG238,PID150100,RIDINEvansville,21,58945.19,17103.71,16302.76
DRG243,PID150082,RIDINEvansville,30,46902.43,14139.46,13391.2
DRG243,PID150100,RIDINEvansville,29,70978.51,15478.82,14547.51
DRG243,PID150115,RIDINEvansville,24,24686.83,13891.08,13044.75
DRG243,PID150175,RIDINEvansville,15,39462.8,13280,12456.26
DRG244,PID150042,RIDINEvansville,11,22917.09,10587.45,9770
DRG244,PID150082,RIDINEvansville,36,38085.13,11658.91,9750.77
DRG244,PID150100,RIDINEvansville,22,60619.13,11556.68,10736.27
DRG244,PID150115,RIDINEvansville,17,23232.41,11021.05,9060.47
DRG244,PID150175,RIDINEvansville,27,30500.37,10219,9386.4
DRG246,PID150082,RIDINEvansville,29,71658.79,19950.96,17953.82
DRG246,PID150100,RIDINEvansville,20,79346.45,18222,17384.2
DRG246,PID150115,RIDINEvansville,19,42446.1,17526.26,15013.78
DRG247,PID150042,RIDINEvansville,37,46209.1,11618.05,9611.67
DRG247,PID150082,RIDINEvansville,99,46690.06,11011.4,9146.61
DRG247,PID150100,RIDINEvansville,124,54440.59,11422.93,9814.29
DRG247,PID150115,RIDINEvansville,76,25225.69,10427.13,9143.86
DRG247,PID150175,RIDINEvansville,79,43039.86,10107.51,8627.65
