drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID150017,RIDINFortWayne,57,42572.59,6352.89,4693.29
DRG039,PID150021,RIDINFortWayne,23,28730.95,6109.21,5176.86
DRG057,PID150017,RIDINFortWayne,13,30213.46,6167.23,5047.53
DRG057,PID150021,RIDINFortWayne,14,23074.92,5370.78,4571.35
DRG064,PID150017,RIDINFortWayne,48,45559.72,11272.06,10367.52
DRG064,PID150021,RIDINFortWayne,66,35038.65,11732.07,9784.07
DRG065,PID150017,RIDINFortWayne,90,24704.13,6803.34,5794.44
DRG065,PID150021,RIDINFortWayne,84,24337.16,6855.9,5817.42
DRG065,PID150075,RIDINFortWayne,11,21337.36,6385.09,5567.63
DRG065,PID150091,RIDINFortWayne,12,14902.41,7822.83,6793.16
DRG065,PID360270,RIDINFortWayne,11,13583,6137.27,5016.9
DRG066,PID150017,RIDINFortWayne,78,20030.75,4941.52,3581.37
DRG066,PID150021,RIDINFortWayne,48,18208.47,5039.22,3887.2
DRG066,PID150075,RIDINFortWayne,11,16851.9,4283.81,3466.36
DRG066,PID150133,RIDINFortWayne,13,18769,4854.23,3191.46
DRG069,PID150017,RIDINFortWayne,50,17952.94,4577.72,3057.7
DRG069,PID150021,RIDINFortWayne,40,16120.1,4396.9,3411.2
DRG069,PID150133,RIDINFortWayne,16,17629.5,4187,3202.5
DRG069,PID360270,RIDINFortWayne,14,11903.85,4191.57,3306.71
DRG074,PID150017,RIDINFortWayne,21,27158.19,5328,4191.28
DRG101,PID150017,RIDINFortWayne,18,18488.27,4416.72,3364.27
DRG101,PID150021,RIDINFortWayne,22,15787.95,4472.72,3803.81
DRG149,PID150017,RIDINFortWayne,14,16874.5,3917,2660.71
DRG149,PID150021,RIDINFortWayne,12,13793.33,4867.83,2489.66
DRG176,PID150017,RIDINFortWayne,25,23659.04,6368.08,5210
DRG176,PID150021,RIDINFortWayne,39,20740.56,6511.92,5371.94
DRG177,PID150017,RIDINFortWayne,30,44613.4,14112.43,9687.83
DRG177,PID150021,RIDINFortWayne,41,40213.19,12288.48,11144.6
DRG178,PID150017,RIDINFortWayne,31,32883.9,9481.64,6986.74
DRG178,PID150021,RIDINFortWayne,19,26715.57,7848.84,7125.73
DRG178,PID150075,RIDINFortWayne,13,29925.38,7749.92,7150.23
DRG178,PID150133,RIDINFortWayne,28,47820.67,8493.39,7766.82
DRG189,PID150017,RIDINFortWayne,50,36584.82,7567.7,6957.48
DRG189,PID150021,RIDINFortWayne,89,24055.69,8847.89,6524.12
DRG189,PID150075,RIDINFortWayne,19,26829.73,9257.52,5165.89
DRG189,PID150133,RIDINFortWayne,11,31611.09,7242.9,6831.27
DRG189,PID360071,RIDINFortWayne,13,14907.23,8886.23,8105
DRG190,PID150017,RIDINFortWayne,99,32974.67,7162.57,5959.72
DRG190,PID150021,RIDINFortWayne,124,20673.32,7348.5,6109.66
DRG190,PID150047,RIDINFortWayne,26,27654.38,7956.65,6846.07
DRG190,PID150075,RIDINFortWayne,35,27254.34,6488.54,5819.71
DRG190,PID150091,RIDINFortWayne,36,20013.16,9476.61,7129.25
DRG190,PID150101,RIDINFortWayne,14,16673.07,8447.85,6534.71
DRG190,PID150133,RIDINFortWayne,33,33488.48,6691.06,5974.57
DRG190,PID150146,RIDINFortWayne,43,17893.51,7921.37,7160.9
DRG190,PID360071,RIDINFortWayne,17,15761.47,8881.41,7017.47
DRG190,PID360121,RIDINFortWayne,33,14224.18,7987.18,7235.45
