drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID150002,RIDINGary,24,34741.5,6980.2,6088.04
DRG039,PID150015,RIDINGary,16,22745.68,6660.56,4386.18
DRG039,PID150034,RIDINGary,21,15557.09,6106.66,5356.57
DRG039,PID150035,RIDINGary,33,33416.9,6372.66,4736.9
DRG039,PID150126,RIDINGary,18,25106.11,6151.22,4727.61
DRG057,PID150002,RIDINGary,21,14366.57,6410.57,5768.28
DRG057,PID150015,RIDINGary,13,17362,5231.69,4191.69
DRG057,PID150034,RIDINGary,35,17179.68,5423.4,4688.65
DRG057,PID150035,RIDINGary,19,30063.26,5479.47,4814.21
DRG057,PID150126,RIDINGary,41,18612.56,5902.73,4186.65
DRG064,PID150002,RIDINGary,73,32944.45,13122.53,11866.68
DRG064,PID150015,RIDINGary,15,27177.26,10734.2,8894.73
DRG064,PID150034,RIDINGary,21,29043.61,10728.57,9819.8
DRG064,PID150035,RIDINGary,18,29878.05,10124.61,9345.61
DRG064,PID150126,RIDINGary,33,34227.33,11571.48,10264.27
DRG065,PID150002,RIDINGary,101,26285.25,8117.92,7100.21
DRG065,PID150015,RIDINGary,44,19958.9,6370.79,5450.43
DRG065,PID150034,RIDINGary,49,25074.26,6924.59,6119.93
DRG065,PID150035,RIDINGary,70,31882.75,6849.04,5990.9
DRG065,PID150126,RIDINGary,62,26238.25,6790.9,5709.4
DRG066,PID150002,RIDINGary,23,18451.95,5620.3,4687.95
DRG066,PID150015,RIDINGary,12,14679.25,4726.83,3977.5
DRG066,PID150034,RIDINGary,29,20783.31,4912.03,3896.96
DRG066,PID150035,RIDINGary,35,28329.54,4888.02,3956.48
DRG066,PID150126,RIDINGary,23,22073.17,6155.69,3285.52
DRG069,PID150002,RIDINGary,92,17596.55,5031.31,4127.04
DRG069,PID150015,RIDINGary,41,15583.51,4405.41,3219.56
DRG069,PID150034,RIDINGary,70,18508.57,4389.75,3441.12
DRG069,PID150035,RIDINGary,49,23703.61,4367.04,3420.97
DRG069,PID150126,RIDINGary,49,18779,4217.55,3182.53
DRG074,PID150002,RIDINGary,23,14545.95,5895.3,5136.6
DRG074,PID150015,RIDINGary,11,15868.09,5074,4153.63
DRG074,PID150034,RIDINGary,27,15802.7,5163.11,4017.25
DRG074,PID150035,RIDINGary,11,32092.45,6389.81,3520.81
DRG101,PID150002,RIDINGary,82,12623.6,5204.03,4408.03
DRG101,PID150034,RIDINGary,20,15021.95,4587.2,3484.95
DRG101,PID150035,RIDINGary,21,21113.09,4692.38,3474.47
