drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID150048,RIDINIndianapolis,28,20525.14,6999.53,5648.92
DRG039,PID150051,RIDINIndianapolis,40,22212.35,6364.5,4841.17
DRG039,PID150056,RIDINIndianapolis,82,35710.81,9764.93,7054.52
DRG039,PID150059,RIDINIndianapolis,13,19576.38,6245.15,4294.15
DRG039,PID150084,RIDINIndianapolis,68,33676.3,7257.54,5321.48
DRG039,PID150088,RIDINIndianapolis,13,25897.23,6041.69,5347.53
DRG039,PID150112,RIDINIndianapolis,13,19772.92,6579.76,4604.3
DRG039,PID150128,RIDINIndianapolis,11,26619.63,5940.36,4203.18
DRG039,PID150153,RIDINIndianapolis,22,25252.5,5516.22,4644.4
DRG039,PID150154,RIDINIndianapolis,73,21765.47,5642.27,4543.23
DRG039,PID150162,RIDINIndianapolis,25,25852.4,6263.72,5370.92
DRG039,PID150164,RIDINIndianapolis,11,32063.18,5417,4393.72
DRG057,PID150007,RIDINIndianapolis,11,14064.18,4850.54,3930.18
DRG057,PID150024,RIDINIndianapolis,25,9702.4,8332.16,7482.08
DRG057,PID150033,RIDINIndianapolis,15,15451.93,4840.13,4016.4
DRG057,PID150048,RIDINIndianapolis,12,7692.75,5574.58,4414.58
DRG057,PID150051,RIDINIndianapolis,44,15281.72,5356.9,4460.09
DRG057,PID150056,RIDINIndianapolis,82,25641.39,9448.01,7035.62
DRG057,PID150084,RIDINIndianapolis,38,25157.63,6268.02,5438.13
DRG057,PID150088,RIDINIndianapolis,14,11348.28,5217.92,4661.07
DRG057,PID150113,RIDINIndianapolis,13,10426.07,5210.3,4342
DRG057,PID150158,RIDINIndianapolis,13,18670.07,7398.15,3304.46
DRG057,PID150169,RIDINIndianapolis,12,17308.83,5397.75,4459.75
DRG064,PID150010,RIDINIndianapolis,21,30241.19,10269.66,9525.66
DRG064,PID150024,RIDINIndianapolis,25,36001.64,18639.52,17874.88
DRG064,PID150033,RIDINIndianapolis,29,30206.44,10024.58,9222.31
DRG064,PID150048,RIDINIndianapolis,33,19038.84,11757.72,10534.12
DRG064,PID150051,RIDINIndianapolis,33,26521.09,10854.36,10009.39
DRG064,PID150056,RIDINIndianapolis,156,46301.26,16664.23,15003.96
DRG064,PID150059,RIDINIndianapolis,11,42248.54,11085.9,8771.72
DRG064,PID150065,RIDINIndianapolis,12,17868.91,9932.25,8991.58
DRG064,PID150074,RIDINIndianapolis,30,31243.13,12521.66,11060.26
DRG064,PID150084,RIDINIndianapolis,103,44413.12,12964.61,11688.56
DRG064,PID150088,RIDINIndianapolis,24,31731.04,10881.08,10176.25
DRG064,PID150097,RIDINIndianapolis,15,35506.46,11841.33,11021.93
DRG064,PID150112,RIDINIndianapolis,18,25686.88,10666.83,9858.11
DRG064,PID150113,RIDINIndianapolis,16,30414.5,12278.68,11575.18
DRG064,PID150128,RIDINIndianapolis,17,26964.94,9973.23,9448.05
DRG064,PID150158,RIDINIndianapolis,19,29548.73,10528.21,9773.57
DRG064,PID150169,RIDINIndianapolis,52,34847,10903.42,10168.19
DRG065,PID150001,RIDINIndianapolis,19,17953.84,6614.15,5139.94
DRG065,PID150005,RIDINIndianapolis,29,19733.75,6318.24,5465
DRG065,PID150007,RIDINIndianapolis,22,21678.86,5957.13,5033.86
DRG065,PID150010,RIDINIndianapolis,41,27431.12,6303.85,5022.68
DRG065,PID150011,RIDINIndianapolis,16,14366.81,6291.31,5377.56
DRG065,PID150024,RIDINIndianapolis,38,25655.5,11444.84,10408.1
DRG065,PID150030,RIDINIndianapolis,13,21346.69,7506.23,6466.23
DRG065,PID150033,RIDINIndianapolis,78,22593.76,7581.93,5135.79
DRG065,PID150037,RIDINIndianapolis,19,16603.42,5577.57,4688.94
DRG065,PID150038,RIDINIndianapolis,11,30356.63,6505.09,5587.63
DRG065,PID150048,RIDINIndianapolis,60,12561.6,7416.43,6519.36
DRG065,PID150051,RIDINIndianapolis,66,17367.34,6650.15,5429.39
DRG065,PID150056,RIDINIndianapolis,150,32942.39,11487.4,8834.58
DRG065,PID150059,RIDINIndianapolis,19,21008.68,6175.47,5462.21
DRG065,PID150064,RIDINIndianapolis,14,17691.57,6796.57,5830.85
DRG065,PID150065,RIDINIndianapolis,19,17851.47,6595.36,5264.63
DRG065,PID150072,RIDINIndianapolis,13,18162.69,8538.84,7717.76
DRG065,PID150074,RIDINIndianapolis,58,24368.31,8195.31,6233.7
DRG065,PID150084,RIDINIndianapolis,168,29558.41,8060.88,6842.08
DRG065,PID150088,RIDINIndianapolis,38,24036.18,7331.44,5951.15
DRG065,PID150097,RIDINIndianapolis,17,24726.94,6761.7,5838.88
DRG065,PID150104,RIDINIndianapolis,13,16372.23,7302.69,6519
DRG065,PID150112,RIDINIndianapolis,38,16602.13,7139.92,5552.65
DRG065,PID150113,RIDINIndianapolis,55,15573.47,6811.89,5915.01
DRG065,PID150128,RIDINIndianapolis,33,23884.27,6230.18,5206.9
DRG065,PID150158,RIDINIndianapolis,28,25180.21,6324.14,5520.14
DRG065,PID150161,RIDINIndianapolis,11,22019.63,6180.27,5154.09
DRG065,PID150162,RIDINIndianapolis,14,26723.92,7188.78,6306.21
DRG065,PID150169,RIDINIndianapolis,55,22406.16,6467.56,5609.52
DRG066,PID150005,RIDINIndianapolis,26,18235.8,4557.53,3650.61
DRG066,PID150007,RIDINIndianapolis,17,15533.23,5278.58,3195.82
DRG066,PID150010,RIDINIndianapolis,16,22524.5,4560,3575.5
DRG066,PID150011,RIDINIndianapolis,13,12349.84,4765.84,3817.84
DRG066,PID150024,RIDINIndianapolis,13,19428.3,7608.92,6571.38
DRG066,PID150030,RIDINIndianapolis,12,12486.08,5273,4434.66
DRG066,PID150033,RIDINIndianapolis,59,17388.89,4638.15,3549.61
DRG066,PID150037,RIDINIndianapolis,12,12373.08,4481.16,3351.83
DRG066,PID150048,RIDINIndianapolis,45,11012.53,5388.6,4389.48
DRG066,PID150051,RIDINIndianapolis,38,12582.94,4772.71,3571.21
DRG066,PID150056,RIDINIndianapolis,64,26077.04,7911.9,5807.14
DRG066,PID150059,RIDINIndianapolis,16,16799.62,4569.25,3724.25
DRG066,PID150065,RIDINIndianapolis,15,16291,5015.46,3557.53
DRG066,PID150072,RIDINIndianapolis,18,13724.22,6352.22,5480.66
DRG066,PID150074,RIDINIndianapolis,30,19660.2,5416.5,4250.23
DRG066,PID150084,RIDINIndianapolis,76,22940.46,5815.27,4385.06
DRG066,PID150088,RIDINIndianapolis,27,14394.07,6361.29,3505.55
DRG066,PID150097,RIDINIndianapolis,13,17519,5541,3564.23
DRG066,PID150112,RIDINIndianapolis,20,14319.5,5478,3670.35
DRG066,PID150113,RIDINIndianapolis,30,13509.13,4808,3760
DRG066,PID150128,RIDINIndianapolis,21,16105.09,4335.09,3477.19
DRG066,PID150158,RIDINIndianapolis,11,18687.36,6206.27,3175
DRG066,PID150169,RIDINIndianapolis,21,18292.9,5007.66,3441.8
DRG069,PID150005,RIDINIndianapolis,26,13421.61,4258.84,2996.11
DRG069,PID150010,RIDINIndianapolis,19,21639.26,4112.68,3047
DRG069,PID150024,RIDINIndianapolis,19,15749,6758.68,5808.78
DRG069,PID150030,RIDINIndianapolis,15,15182.13,4871.4,3569.06
DRG069,PID150033,RIDINIndianapolis,66,14744.98,4968.71,3085.48
