drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID150109,RIDINLafayette,26,36539.26,6334.03,5139.19
DRG039,PID150173,RIDINLafayette,14,30401.78,8782.21,3643.42
DRG057,PID150173,RIDINLafayette,12,18389.25,4630.75,3792.41
DRG064,PID150003,RIDINLafayette,17,30440.17,9941.11,9219.94
DRG064,PID150109,RIDINLafayette,21,40921.66,10792.57,10150.33
DRG064,PID150173,RIDINLafayette,30,43700.1,14395.26,10710.43
DRG065,PID150003,RIDINLafayette,32,31011.53,6636.43,5827.81
DRG065,PID150109,RIDINLafayette,37,27057.21,6955.67,5991.21
DRG065,PID150173,RIDINLafayette,45,32927.11,7024.97,5295.95
DRG066,PID150109,RIDINLafayette,19,21069.84,4887.42,3997.1
DRG066,PID150173,RIDINLafayette,24,28494,4276.25,3340.91
DRG069,PID150003,RIDINLafayette,19,20887.36,4872.73,2951.42
DRG069,PID150109,RIDINLafayette,20,17538.05,4389,3654.8
DRG069,PID150173,RIDINLafayette,46,21617.6,4004.97,3064.5
DRG101,PID150003,RIDINLafayette,15,16676.93,4380.53,3485.6
DRG101,PID150109,RIDINLafayette,11,19758.54,4605,3893.36
DRG149,PID150003,RIDINLafayette,12,20293,3809.66,2877
DRG176,PID150003,RIDINLafayette,20,16268.2,5926.35,4606.95
DRG177,PID150003,RIDINLafayette,23,37900.56,11720.34,11184.52
DRG177,PID150173,RIDINLafayette,32,38558.5,12260.78,9460.46
DRG178,PID150003,RIDINLafayette,21,19713.95,7601.04,6477.19
DRG178,PID150173,RIDINLafayette,16,30437.12,7580.18,6953.43
DRG189,PID150003,RIDINLafayette,15,17174.86,7108.6,6806.73
DRG189,PID150173,RIDINLafayette,154,32541.35,7997.27,6222.41
DRG190,PID150003,RIDINLafayette,84,17844.53,6839,5678.98
DRG190,PID150109,RIDINLafayette,16,22333.56,6856.75,6292.75
DRG190,PID150173,RIDINLafayette,46,29277.17,6852.45,5733.3
DRG191,PID150003,RIDINLafayette,77,15051.81,5528.66,4371.2
DRG191,PID150109,RIDINLafayette,22,17407.5,5574.31,4856.86
DRG191,PID150173,RIDINLafayette,30,23050.23,4946,4065.66
DRG192,PID150003,RIDINLafayette,50,11121.68,4533.42,2800.4
DRG192,PID150173,RIDINLafayette,22,15394.13,4868.77,2532.5
DRG193,PID150003,RIDINLafayette,42,25842.42,8331.76,7629.35
DRG193,PID150109,RIDINLafayette,11,35827.63,8436.81,7825.18
DRG193,PID150173,RIDINLafayette,104,34912.52,8374.92,6933.75
DRG194,PID150003,RIDINLafayette,89,17375.66,5754.91,4924.38
DRG194,PID150109,RIDINLafayette,16,24263.25,5824.75,4983.75
DRG194,PID150173,RIDINLafayette,70,24531.75,6454.32,4118.28
DRG195,PID150003,RIDINLafayette,18,11115.05,3992.66,3117.55
DRG195,PID150173,RIDINLafayette,15,17058.4,3689.2,2863.33
DRG202,PID150003,RIDINLafayette,15,14040.4,4872.06,4046.2
DRG202,PID150173,RIDINLafayette,14,20303.42,5494.71,3145.14
DRG207,PID150173,RIDINLafayette,12,92984.25,28528.66,27590.66
DRG208,PID150003,RIDINLafayette,26,32958.69,12160.19,11516.57
DRG208,PID150109,RIDINLafayette,31,46085,16086.48,12677.38
DRG208,PID150173,RIDINLafayette,29,59004.37,14877.03,12905.89
DRG238,PID150173,RIDINLafayette,15,73936.73,19960.06,15131.86
DRG243,PID150109,RIDINLafayette,15,56708.8,15243.73,14413.6
DRG244,PID150109,RIDINLafayette,14,52757.14,12249.92,11531.35
DRG246,PID150109,RIDINLafayette,18,92515.33,25066.27,18787
DRG246,PID150173,RIDINLafayette,12,88712.83,20544.91,19798.25
DRG247,PID150109,RIDINLafayette,82,62109.53,12721.01,10755.86
DRG247,PID150173,RIDINLafayette,36,73323.33,21960.16,10350.63
DRG249,PID150109,RIDINLafayette,32,56087.71,11123.12,10212.37
DRG249,PID150173,RIDINLafayette,21,59782.47,10252.85,9233.28
DRG252,PID150109,RIDINLafayette,18,76358.38,19704.61,19267.94
DRG253,PID150109,RIDINLafayette,13,74024.23,17011.92,16315.38
DRG253,PID150173,RIDINLafayette,15,69716.06,16741.26,15993.13
DRG254,PID150173,RIDINLafayette,17,54414.47,11870.17,8187.88
DRG280,PID150109,RIDINLafayette,24,35763.83,10126.5,9284.16
DRG280,PID150173,RIDINLafayette,38,37788.34,9724.84,8894.94
DRG281,PID150109,RIDINLafayette,21,21322.71,7085.71,6121.52
