drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID150089,RIDINMuncie,20,26232,6515.3,5842.5
DRG057,PID150089,RIDINMuncie,26,17747.61,5632.84,4938.69
DRG064,PID150089,RIDINMuncie,44,41315.22,11775.31,10904.25
DRG065,PID150089,RIDINMuncie,74,23041.16,7597.63,6185.78
DRG066,PID150089,RIDINMuncie,44,19768.38,5247.7,4304.52
DRG069,PID150089,RIDINMuncie,73,19864.05,4780.58,3826.17
DRG074,PID150089,RIDINMuncie,27,22007,5656.81,4901.44
DRG101,PID150089,RIDINMuncie,38,16960.44,4848.21,3991.05
DRG149,PID150089,RIDINMuncie,27,14651.77,4230.29,3059.4
DRG176,PID150089,RIDINMuncie,28,31506.35,7080.07,6236.78
DRG177,PID150089,RIDINMuncie,46,47155.52,12900.13,12223.82
DRG178,PID150089,RIDINMuncie,44,29551.97,9182.09,8531.31
DRG189,PID150089,RIDINMuncie,109,35607.37,9349.91,7755.08
DRG190,PID150089,RIDINMuncie,105,29705.64,7668.39,6922.43
DRG191,PID150089,RIDINMuncie,144,21833.97,6576.21,5410.36
DRG192,PID150089,RIDINMuncie,119,18265.65,4758.49,3828.13
DRG193,PID150089,RIDINMuncie,99,35233.52,9661.38,8538.59
DRG194,PID150089,RIDINMuncie,189,25560.68,7228.62,5594.02
DRG195,PID150089,RIDINMuncie,48,16441.33,4874.29,3615.87
DRG202,PID150089,RIDINMuncie,33,20680.12,8923.9,3871
DRG203,PID150089,RIDINMuncie,12,15612.33,5155.91,2746.08
DRG207,PID150089,RIDINMuncie,51,104314.72,32788.72,32232.8
DRG208,PID150089,RIDINMuncie,84,44962.05,15404.65,14172.02
DRG238,PID150089,RIDINMuncie,25,75575.04,20494.52,19461.96
DRG243,PID150089,RIDINMuncie,23,63663.6,17604.47,16341.65
DRG244,PID150089,RIDINMuncie,27,53003.37,13660.4,12661.29
DRG246,PID150089,RIDINMuncie,30,96270.1,24468.33,20067.26
DRG247,PID150089,RIDINMuncie,127,69038.33,16275.33,11089.07
DRG249,PID150089,RIDINMuncie,28,57941.32,11445,10562.42
DRG251,PID150089,RIDINMuncie,39,72416.41,16244.46,12352.82
DRG252,PID150089,RIDINMuncie,25,77426.52,22483.88,21852.56
DRG253,PID150089,RIDINMuncie,21,69752.76,17714.28,17013.57
DRG254,PID150089,RIDINMuncie,25,42487.04,10631.68,9732.48
DRG280,PID150089,RIDINMuncie,34,43770.29,11625.85,10837.14
DRG281,PID150089,RIDINMuncie,29,32919.68,7884.1,6552.68
DRG282,PID150089,RIDINMuncie,16,30362.5,6267.25,3957.75
DRG287,PID150089,RIDINMuncie,82,36850.4,7772.96,6138.68
DRG291,PID150089,RIDINMuncie,114,31378.58,9767.73,9089.32
DRG292,PID150089,RIDINMuncie,174,22405.58,7217,5568.69
DRG293,PID150089,RIDINMuncie,87,18334.41,5195.01,3469.58
DRG300,PID150089,RIDINMuncie,18,20704.55,6190.66,5376.66
DRG301,PID150089,RIDINMuncie,22,17856.22,5022.09,3192.22
DRG303,PID150089,RIDINMuncie,41,17256.39,4524.39,2701.6
DRG305,PID150089,RIDINMuncie,39,15612.35,4207.58,2755.94
DRG308,PID150089,RIDINMuncie,60,29854.73,8965.56,7168.6
DRG309,PID150089,RIDINMuncie,87,22147.77,5778.26,4489.96
DRG310,PID150089,RIDINMuncie,71,15143.74,3741.53,2808.07
DRG312,PID150089,RIDINMuncie,93,20109.27,4826.53,3980.68
DRG313,PID150089,RIDINMuncie,196,17816.22,3779.09,2682.59
DRG314,PID150089,RIDINMuncie,31,59214.8,18432.12,11968.22
DRG315,PID150089,RIDINMuncie,20,24816.2,6060.8,5388
DRG329,PID150089,RIDINMuncie,33,110896.27,36424.57,31395.78
DRG330,PID150089,RIDINMuncie,33,59792.36,18048.09,14843.3
DRG372,PID150089,RIDINMuncie,23,35187.39,8740.6,8080.34
DRG377,PID150089,RIDINMuncie,34,47856.67,11187.23,10393.82
DRG378,PID150089,RIDINMuncie,91,26446.85,7069.39,5786.68
DRG379,PID150089,RIDINMuncie,34,21192.5,4790.26,3786.67
DRG389,PID150089,RIDINMuncie,59,21746.47,6193.35,5262.62
DRG390,PID150089,RIDINMuncie,39,18983.66,4530.84,3373.38
DRG391,PID150089,RIDINMuncie,41,29784.95,7593.43,6854.21
DRG392,PID150089,RIDINMuncie,208,19796.26,4999.42,3831.53
DRG394,PID150089,RIDINMuncie,38,25276.39,6571.13,5567.07
DRG418,PID150089,RIDINMuncie,21,54751.19,11826.61,9725.14
DRG419,PID150089,RIDINMuncie,21,30801.8,7762.57,6227.28
DRG439,PID150089,RIDINMuncie,20,23910.5,6992.95,5033.95
DRG460,PID150089,RIDINMuncie,45,98268.66,30447.57,23029.55
DRG469,PID150089,RIDINMuncie,20,89911,23265.95,22428.15
DRG470,PID150089,RIDINMuncie,346,56045.94,14670.24,11913.97
DRG473,PID150089,RIDINMuncie,24,60058.2,15872.58,11263.83
DRG480,PID150089,RIDINMuncie,12,72388.33,20469.5,19722.75
DRG481,PID150089,RIDINMuncie,43,48287.02,12869.86,10444.23
DRG482,PID150089,RIDINMuncie,51,38740.41,9785.56,8540.62
DRG491,PID150089,RIDINMuncie,96,26470.18,7060.97,5084.17
DRG536,PID150089,RIDINMuncie,13,15806.3,4472.69,3698.84
DRG552,PID150089,RIDINMuncie,42,22776.02,5889.14,4457.11
DRG563,PID150089,RIDINMuncie,20,15349.3,6059.6,3310
DRG602,PID150089,RIDINMuncie,17,31571.11,8877.47,8146.88
DRG603,PID150089,RIDINMuncie,81,20881.13,5637.27,4296.44
DRG638,PID150089,RIDINMuncie,42,25654.35,5510.59,4601.83
DRG640,PID150089,RIDINMuncie,34,29114.47,8111.94,7483.14
DRG641,PID150089,RIDINMuncie,85,18612.27,4460.11,3665.95
DRG682,PID150089,RIDINMuncie,77,31360.24,10740.45,9419.57
DRG683,PID150089,RIDINMuncie,119,25121.32,7048.36,5608.64
DRG684,PID150089,RIDINMuncie,22,16623.59,4336.18,3570.18
DRG689,PID150089,RIDINMuncie,47,23087.63,7866.55,6563.78
DRG690,PID150089,RIDINMuncie,129,18922.2,5176.33,4158.05
DRG699,PID150089,RIDINMuncie,15,26168.33,8967.2,5474.6
DRG812,PID150089,RIDINMuncie,32,23454.53,5235.06,4286.93
DRG853,PID150089,RIDINMuncie,13,80191.61,32903.92,32127.07
DRG871,PID150089,RIDINMuncie,170,39281.02,12555.18,11430.25
DRG872,PID150089,RIDINMuncie,49,27694.57,7395.14,6751.55
DRG885,PID150089,RIDINMuncie,117,18246.31,6333.83,5242.47
DRG897,PID150089,RIDINMuncie,23,19322.34,5996.47,3265.21
DRG917,PID150089,RIDINMuncie,22,45498.72,11147.18,9070.63
DRG918,PID150089,RIDINMuncie,39,18055.82,4278.48,3183.1
DRG948,PID150089,RIDINMuncie,55,22347.58,4602.03,3782.34
