drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID150090,RIDINMunster,11,23860.63,6066.27,5145.9
DRG039,PID150125,RIDINMunster,42,16938.26,6064.52,5187.28
DRG057,PID150004,RIDINMunster,21,17380.04,6228.85,5534.19
DRG057,PID150090,RIDINMunster,22,17437,6274.95,4237.72
DRG057,PID150125,RIDINMunster,37,15102.18,5324.64,4597.72
DRG064,PID150004,RIDINMunster,18,39870.27,12484.77,11866.55
DRG064,PID150008,RIDINMunster,16,30548.5,12329.68,11818.75
DRG064,PID150090,RIDINMunster,22,37276.45,10954,10243.81
DRG064,PID150125,RIDINMunster,44,35406.86,10557.84,9802.88
DRG065,PID150004,RIDINMunster,56,24868.16,7822.17,6979.46
DRG065,PID150008,RIDINMunster,38,24846.84,7771.31,6943.94
DRG065,PID150090,RIDINMunster,32,27937.87,7067.93,5768.5
DRG065,PID150125,RIDINMunster,99,24950.65,6773.78,5795.92
DRG066,PID150004,RIDINMunster,18,19226.55,6380.66,4567.27
DRG066,PID150090,RIDINMunster,17,21357.29,5060.23,3566.82
DRG066,PID150125,RIDINMunster,59,19847.11,5164.61,3821.38
DRG069,PID150004,RIDINMunster,46,15349.23,5029.19,4127.19
DRG069,PID150008,RIDINMunster,36,19042.55,5034.75,4223.41
DRG069,PID150090,RIDINMunster,34,16076.58,4484.05,3284.88
DRG069,PID150125,RIDINMunster,111,16561.89,4376.48,3419.88
DRG074,PID150004,RIDINMunster,17,18491.17,5903.41,5174.7
DRG074,PID150008,RIDINMunster,36,14851.13,5925.44,5192.72
DRG074,PID150090,RIDINMunster,11,26009.09,5480.9,3906.27
DRG074,PID150125,RIDINMunster,78,18221.3,5291.01,3822.12
DRG101,PID150004,RIDINMunster,34,14562.73,5172.17,4346.41
DRG101,PID150008,RIDINMunster,19,16218.94,5169.15,4621.84
DRG101,PID150090,RIDINMunster,21,13545.76,4689.14,3487.61
DRG101,PID150125,RIDINMunster,43,15672.83,4608.09,3628.3
DRG149,PID150004,RIDINMunster,31,15884.19,4391.61,3391.54
DRG149,PID150008,RIDINMunster,19,14650.36,4396.31,3454.84
DRG149,PID150090,RIDINMunster,19,15494.84,4123.47,2803.94
DRG149,PID150125,RIDINMunster,77,14932.7,3850.7,2873.97
DRG176,PID150125,RIDINMunster,20,18805.05,6373.7,5474.5
DRG177,PID150004,RIDINMunster,31,61433.19,16631.54,16149.77
DRG177,PID150008,RIDINMunster,13,33625,13984.38,12983
DRG177,PID150090,RIDINMunster,16,56347.5,12099.25,11391.75
DRG177,PID150125,RIDINMunster,60,33380.5,12178.21,11129.86
DRG178,PID150004,RIDINMunster,15,31192.13,9792.8,9113.6
DRG178,PID150090,RIDINMunster,11,23462.09,8672.81,8067
DRG178,PID150125,RIDINMunster,37,24604.43,8809.1,7577.7
DRG189,PID150004,RIDINMunster,20,26650.1,8775.8,8156.4
DRG189,PID150008,RIDINMunster,15,24102,8830.8,7981.8
DRG189,PID150090,RIDINMunster,17,35087.7,7784.23,7124
DRG189,PID150125,RIDINMunster,52,25338.5,7666.76,7034.94
DRG190,PID150004,RIDINMunster,101,23501.97,8085.76,7320.44
DRG190,PID150008,RIDINMunster,43,19714.25,7747.97,6916.6
DRG190,PID150090,RIDINMunster,77,33008.83,7446.63,6381.76
DRG190,PID150125,RIDINMunster,153,22954.06,7164.32,6384.6
DRG191,PID150004,RIDINMunster,103,17252.59,6700.47,5637.79
DRG191,PID150008,RIDINMunster,51,16593.47,6669.6,5558.76
DRG191,PID150090,RIDINMunster,68,25891.8,6104.01,4884.58
DRG191,PID150125,RIDINMunster,153,16996.98,5831.56,4780.37
DRG192,PID150004,RIDINMunster,44,12961.18,5231.18,3930.45
DRG192,PID150008,RIDINMunster,33,13267.87,5017.15,4202.03
DRG192,PID150090,RIDINMunster,47,14865.57,4596.53,3388.91
DRG192,PID150125,RIDINMunster,88,13392.51,4373,3383.68
DRG192,PID150165,RIDINMunster,12,17930.75,4748.75,2887.5
DRG193,PID150004,RIDINMunster,47,33818.27,10332.04,9695.48
DRG193,PID150008,RIDINMunster,25,21035.52,9672,9044.48
DRG193,PID150090,RIDINMunster,38,38645.78,8660.65,7920.15
DRG193,PID150125,RIDINMunster,133,28225.75,8947.97,7585.51
DRG194,PID150004,RIDINMunster,51,22415.37,7372.6,5837.43
DRG194,PID150008,RIDINMunster,38,17657.5,6824.36,6031.13
DRG194,PID150090,RIDINMunster,57,29342.66,6042.57,5354.22
DRG194,PID150125,RIDINMunster,134,18793.92,6099.67,5213.05
DRG194,PID150165,RIDINMunster,13,20358.69,5689.3,4738.84
DRG195,PID150004,RIDINMunster,28,14121.92,5527.14,3663.42
DRG195,PID150008,RIDINMunster,19,14211.57,4883.78,3872.63
DRG195,PID150090,RIDINMunster,20,15573.3,4571.75,2929.9
DRG195,PID150125,RIDINMunster,52,12765.53,4226.4,3296.9
DRG202,PID150004,RIDINMunster,22,10253.59,5833.09,4825.36
DRG202,PID150008,RIDINMunster,14,12819.35,5798.21,5075.07
DRG202,PID150125,RIDINMunster,27,18227.7,5219.07,3729.44
DRG203,PID150004,RIDINMunster,19,8490.05,4157.73,3371.68
DRG203,PID150008,RIDINMunster,11,10793.27,4181.9,3370.27
DRG203,PID150125,RIDINMunster,19,11001.1,3757.42,2440.52
DRG207,PID150004,RIDINMunster,21,96931.28,37303.19,33045.76
DRG207,PID150125,RIDINMunster,27,81379.55,32228.62,30364.33
DRG208,PID150004,RIDINMunster,46,49045.65,15998.93,15505.13
DRG208,PID150008,RIDINMunster,19,32534.73,14742.36,13475.26
DRG208,PID150090,RIDINMunster,22,44320.36,13487.45,12686.86
DRG208,PID150125,RIDINMunster,59,47405.22,13975.13,13139.08
DRG238,PID150125,RIDINMunster,38,59399.21,18715.18,17858.86
DRG243,PID150125,RIDINMunster,47,47076.08,16319.87,14644.95
DRG244,PID150125,RIDINMunster,55,40540.72,12210.61,11272.56
DRG246,PID150004,RIDINMunster,11,87903.63,22686.9,21663.63
DRG246,PID150125,RIDINMunster,15,67858.4,19283.26,18535
DRG247,PID150004,RIDINMunster,41,55951.02,15475.68,12070.9
DRG247,PID150008,RIDINMunster,21,33100.52,13979.04,11996.57
DRG247,PID150090,RIDINMunster,74,61725.72,12151.56,10574.05
DRG247,PID150125,RIDINMunster,105,39685.92,12261.96,10435.61
DRG249,PID150004,RIDINMunster,19,52266.42,13489.42,10760.89
DRG249,PID150008,RIDINMunster,11,35331.81,13826.45,9378.09
DRG249,PID150090,RIDINMunster,15,59737,12527.53,8812.66
DRG249,PID150125,RIDINMunster,141,33165.32,11038.78,9736.53
DRG251,PID150004,RIDINMunster,14,44086.21,12209,11326.42
DRG251,PID150125,RIDINMunster,45,44280.51,10843.68,9970.37
DRG252,PID150004,RIDINMunster,31,63272.58,21096.25,20438.64
DRG252,PID150008,RIDINMunster,22,41969.09,20599.31,20084.77
DRG252,PID150125,RIDINMunster,87,53411.11,19145.1,18149.36
DRG253,PID150004,RIDINMunster,13,57470.23,16398.3,15622
DRG253,PID150008,RIDINMunster,24,35411.29,16548.7,16265.7
DRG253,PID150090,RIDINMunster,32,63534.12,14666.62,14068.25
DRG253,PID150125,RIDINMunster,63,49007.68,15006.38,13953.69
DRG254,PID150008,RIDINMunster,38,28964.86,11185.71,9810.21
DRG254,PID150090,RIDINMunster,33,40738.24,10303.6,8559.87
DRG254,PID150125,RIDINMunster,198,32599.66,9847.87,8897.97
DRG280,PID150004,RIDINMunster,37,44248.02,12891.51,12057.1
DRG280,PID150090,RIDINMunster,14,50006.5,12772.57,12056.28
