drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID150012,RIDINSouthBend,30,25856.23,6675.53,5289.6
DRG039,PID150018,RIDINSouthBend,22,28872.77,6808.68,4759.9
DRG039,PID150026,RIDINSouthBend,15,20633.33,6520,4712.93
DRG039,PID150058,RIDINSouthBend,54,22593.62,7081.64,5442.55
DRG057,PID150006,RIDINSouthBend,14,19973.85,4912.57,4358
DRG057,PID150012,RIDINSouthBend,17,16070.29,5909.05,5050.94
DRG057,PID150018,RIDINSouthBend,13,18234.84,5580,4544.92
DRG057,PID150058,RIDINSouthBend,93,17649.1,6139.08,5442.16
DRG057,PID150177,RIDINSouthBend,47,9818.65,4780,4023.46
DRG064,PID150006,RIDINSouthBend,13,38683.15,9614.53,8927.76
DRG064,PID150012,RIDINSouthBend,32,32727.37,11920.96,11115.34
DRG064,PID150018,RIDINSouthBend,27,29029.74,10649.33,9869.14
DRG064,PID150026,RIDINSouthBend,11,31520.54,9475.81,8661.27
DRG064,PID150058,RIDINSouthBend,42,39663.88,13690.83,11720.5
DRG064,PID150177,RIDINSouthBend,13,11822.84,9503.84,9245.07
DRG065,PID150006,RIDINSouthBend,42,20348.5,6151.95,5192.33
DRG065,PID150012,RIDINSouthBend,95,19105.26,7444.96,6499.63
DRG065,PID150018,RIDINSouthBend,45,17354.91,6488.51,5717.22
DRG065,PID150026,RIDINSouthBend,21,23304.04,7318,5263.95
DRG065,PID150058,RIDINSouthBend,78,26481.79,7277.96,6367
DRG065,PID150076,RIDINSouthBend,19,22157,6910.52,5846.52
DRG065,PID150177,RIDINSouthBend,41,10956.07,5924.39,5287.17
DRG066,PID150006,RIDINSouthBend,37,17858.29,4442.72,3528.35
DRG066,PID150012,RIDINSouthBend,39,16260.38,5417.51,4261.05
DRG066,PID150018,RIDINSouthBend,25,16408.92,4978.76,3670.6
DRG066,PID150026,RIDINSouthBend,18,14739.66,5658.5,3508.55
DRG066,PID150058,RIDINSouthBend,35,16171.31,5732.4,4004.54
DRG069,PID150006,RIDINSouthBend,19,13881.42,4303.68,2786.26
DRG069,PID150012,RIDINSouthBend,56,13916.41,4907.71,3663.5
DRG069,PID150018,RIDINSouthBend,38,12553.02,4203.97,3284.71
DRG069,PID150026,RIDINSouthBend,18,11986.72,4197.72,3074.61
DRG069,PID150058,RIDINSouthBend,31,12969.12,4748.74,3770.03
DRG074,PID150012,RIDINSouthBend,23,15884.3,5661.73,4929.04
DRG074,PID150018,RIDINSouthBend,23,18358.39,4961.73,4291.95
DRG074,PID150058,RIDINSouthBend,25,17477.64,5576.76,4644.24
DRG101,PID150012,RIDINSouthBend,21,12726.33,4978.52,4176.04
DRG101,PID150018,RIDINSouthBend,16,15601.87,4384.43,3547.43
DRG101,PID150058,RIDINSouthBend,20,16346.15,4961.35,4117.15
DRG149,PID150012,RIDINSouthBend,11,10826.45,5088.9,2753.09
DRG149,PID150018,RIDINSouthBend,18,12074.16,3684.44,2681.77
DRG149,PID150058,RIDINSouthBend,17,9646.23,4207.7,3226.7
DRG176,PID150006,RIDINSouthBend,11,27635.63,7262.45,5106.81
DRG176,PID150012,RIDINSouthBend,17,21056.52,8119.64,4821.82
DRG176,PID150018,RIDINSouthBend,15,16468.66,6383.66,5164.93
DRG176,PID150026,RIDINSouthBend,17,26990.41,6159.64,5368.11
DRG176,PID150058,RIDINSouthBend,32,22931.46,6763.06,6023.18
DRG177,PID150006,RIDINSouthBend,13,52683.23,10568.69,9966.53
DRG177,PID150012,RIDINSouthBend,39,31513.15,13538.1,10580.12
DRG177,PID150018,RIDINSouthBend,22,35742.9,11438.72,10827.09
DRG177,PID150058,RIDINSouthBend,41,45092.8,13047.53,12039.12
DRG178,PID150006,RIDINSouthBend,21,29502.14,7072.95,6400.66
DRG178,PID150012,RIDINSouthBend,25,26016.84,9338.92,8141.88
DRG178,PID150018,RIDINSouthBend,17,24091.23,10434.23,7412.47
DRG178,PID150058,RIDINSouthBend,25,29708.12,9243.68,8601
DRG189,PID150006,RIDINSouthBend,19,27981.42,6917,6326.26
DRG189,PID150012,RIDINSouthBend,77,18492.53,8324.57,7649.31
DRG189,PID150018,RIDINSouthBend,104,21386.9,7591.49,6678.84
DRG189,PID150026,RIDINSouthBend,29,23832.96,7365.58,6745.44
DRG189,PID150058,RIDINSouthBend,40,30895.2,8400,7346.1
DRG189,PID150076,RIDINSouthBend,26,15549.69,7910.84,7089.76
