drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID150023,RIDINTerreHaute,26,45617.61,6216.34,5354.19
DRG039,PID150046,RIDINTerreHaute,14,38349.07,5944.92,5057.78
DRG057,PID150023,RIDINTerreHaute,19,13450,5394.26,4502.26
DRG064,PID150023,RIDINTerreHaute,31,31317.51,10740.8,10068.87
DRG064,PID150046,RIDINTerreHaute,12,41172.08,10834.33,10093
DRG065,PID150023,RIDINTerreHaute,80,23357.13,6825.86,5926.66
DRG065,PID150046,RIDINTerreHaute,16,25086.43,6370.75,5594.5
DRG066,PID150023,RIDINTerreHaute,73,19264.9,4985.75,3962.06
DRG066,PID150046,RIDINTerreHaute,12,20516.91,5057.66,3524.16
DRG069,PID150023,RIDINTerreHaute,69,13649.82,4466.01,3470.82
DRG069,PID150046,RIDINTerreHaute,12,14880.91,4269.33,3611.66
DRG074,PID150023,RIDINTerreHaute,20,18059,5225.5,4494.5
DRG101,PID150023,RIDINTerreHaute,35,13409.02,4610.94,3742.25
DRG101,PID150046,RIDINTerreHaute,16,16313.93,4763.56,3173.68
DRG149,PID150023,RIDINTerreHaute,31,10509.45,3915.9,2885.7
DRG176,PID150023,RIDINTerreHaute,39,27527.1,6892.79,5764.33
DRG177,PID150023,RIDINTerreHaute,46,38469.54,12508.76,11541
DRG177,PID150046,RIDINTerreHaute,16,71600.81,13215.75,12864
DRG178,PID150023,RIDINTerreHaute,32,31510.15,8992.59,8502.34
DRG178,PID150046,RIDINTerreHaute,11,50857.27,8589.09,8186.18
DRG189,PID150023,RIDINTerreHaute,72,26532.88,7973.43,6876.05
DRG189,PID150046,RIDINTerreHaute,20,44277.4,7448.25,7056.85
DRG190,PID150023,RIDINTerreHaute,233,25939.3,7319.09,6444.77
DRG190,PID150046,RIDINTerreHaute,77,32770.29,6941.89,6255.5
DRG191,PID150023,RIDINTerreHaute,201,20173.42,6055.42,5140.57
DRG191,PID150046,RIDINTerreHaute,88,27576.78,5656.09,4732.64
DRG192,PID150023,RIDINTerreHaute,119,14779.52,4433.98,3489.48
DRG192,PID150046,RIDINTerreHaute,64,20677.78,4319.03,3336.37
DRG193,PID150023,RIDINTerreHaute,116,25945.23,8836.32,7941.88
DRG193,PID150046,RIDINTerreHaute,42,44978.8,8614.38,8037.95
DRG194,PID150023,RIDINTerreHaute,152,20472.51,6149.31,5422.92
DRG194,PID150046,RIDINTerreHaute,70,31155,5879.47,5044.5
DRG195,PID150023,RIDINTerreHaute,58,13669.15,4279.17,3426.48
DRG195,PID150046,RIDINTerreHaute,12,16027.08,4123.33,3188
DRG202,PID150023,RIDINTerreHaute,20,18037.55,5418.35,3831.9
DRG207,PID150023,RIDINTerreHaute,26,116806.8,34696.76,33737.57
DRG207,PID150046,RIDINTerreHaute,25,172019.04,34967.4,33397.88
DRG208,PID150023,RIDINTerreHaute,43,47525.44,14006.18,13459.3
DRG208,PID150046,RIDINTerreHaute,24,63253.7,13899.7,12399.16
DRG238,PID150023,RIDINTerreHaute,36,53173.36,18650.16,17961.05
DRG238,PID150046,RIDINTerreHaute,11,99101,20987.18,15396.18
DRG243,PID150023,RIDINTerreHaute,23,43783.73,16110.04,14096.47
DRG244,PID150023,RIDINTerreHaute,29,34506.06,13098.55,10267.79
DRG244,PID150046,RIDINTerreHaute,19,55864.57,11866.94,10799.57
DRG246,PID150023,RIDINTerreHaute,32,63508,19769.56,17939.56
DRG247,PID150023,RIDINTerreHaute,152,40457.71,11859.83,10834.5
DRG247,PID150046,RIDINTerreHaute,22,63968.68,13452.27,9517.31
DRG249,PID150023,RIDINTerreHaute,61,30518.36,10773.47,9656.44
DRG249,PID150046,RIDINTerreHaute,13,70619.3,10416,9470.46
DRG251,PID150023,RIDINTerreHaute,42,27656.71,10825.26,10022.78
DRG252,PID150023,RIDINTerreHaute,22,50354.36,18741,18396.59
DRG252,PID150046,RIDINTerreHaute,11,98496,23150.54,22438.9
DRG253,PID150023,RIDINTerreHaute,25,26578.36,14442.16,13633.52
DRG254,PID150023,RIDINTerreHaute,66,17774.92,9690.77,8839.5
DRG254,PID150046,RIDINTerreHaute,16,56609.5,13529.5,7915.31
DRG280,PID150023,RIDINTerreHaute,52,31786.34,11032.8,10339.88
DRG280,PID150046,RIDINTerreHaute,44,49451.9,11342.38,10605.02
DRG281,PID150023,RIDINTerreHaute,25,25196.4,6955.6,6051.28
DRG281,PID150046,RIDINTerreHaute,31,28530.12,6913.9,6007.19
DRG282,PID150023,RIDINTerreHaute,18,23248.22,4950.77,3717.27
DRG282,PID150046,RIDINTerreHaute,15,22466.53,4673.86,3923.46
DRG286,PID150023,RIDINTerreHaute,21,35478.14,12091.28,11290.33
DRG287,PID150023,RIDINTerreHaute,102,21226.58,6586.9,5639.72
DRG291,PID150023,RIDINTerreHaute,178,32949.25,10061.46,9162.79
DRG291,PID150046,RIDINTerreHaute,63,36754.39,8661.22,7626.53
DRG292,PID150023,RIDINTerreHaute,209,17476.49,6224.04,5506.31
DRG292,PID150046,RIDINTerreHaute,66,23703.18,5810.34,5317.31
DRG293,PID150023,RIDINTerreHaute,81,10970.5,4151.11,3389.18
DRG293,PID150046,RIDINTerreHaute,22,16780.04,4069.4,3035.09
DRG300,PID150023,RIDINTerreHaute,30,24027,5818.56,5332.3
DRG301,PID150023,RIDINTerreHaute,17,12804.29,4016.7,3221.41
DRG303,PID150023,RIDINTerreHaute,106,8650.6,3521.66,2654.12
DRG303,PID150046,RIDINTerreHaute,17,14765.47,3776.29,2531.7
DRG305,PID150023,RIDINTerreHaute,32,11834,3732.53,2785.4
DRG308,PID150023,RIDINTerreHaute,62,24415.85,7629.37,6797.43
DRG308,PID150046,RIDINTerreHaute,23,33283.39,7391.52,6231.78
DRG309,PID150023,RIDINTerreHaute,93,14447.52,5199.73,4125.15
DRG309,PID150046,RIDINTerreHaute,23,15536.08,4879.43,4001.86
DRG310,PID150023,RIDINTerreHaute,119,9472.9,3565.15,2345.84
DRG310,PID150046,RIDINTerreHaute,36,10569.19,3415.75,2236.52
DRG312,PID150023,RIDINTerreHaute,135,13605.37,4458.1,3398.74
DRG312,PID150046,RIDINTerreHaute,26,16150.76,4245.76,3232.96
DRG313,PID150023,RIDINTerreHaute,171,9017.69,3409.92,2363.28
DRG313,PID150046,RIDINTerreHaute,13,12944.38,3634.15,2113.38
DRG314,PID150023,RIDINTerreHaute,42,27828.19,10376.47,9920.57
DRG314,PID150046,RIDINTerreHaute,16,44910.75,10239.31,8713.68
DRG315,PID150023,RIDINTerreHaute,21,20908.47,6033.95,5143.61
DRG329,PID150023,RIDINTerreHaute,43,106760.27,32910.74,32137.83
DRG330,PID150023,RIDINTerreHaute,22,63437.09,15521.63,14599.81
DRG330,PID150046,RIDINTerreHaute,11,70903.09,14393.9,13779.36
DRG372,PID150023,RIDINTerreHaute,43,21292.9,7706.46,7315.3
DRG372,PID150046,RIDINTerreHaute,13,24805.38,6983.84,6243.69
DRG377,PID150023,RIDINTerreHaute,37,35844,11567.02,10865.08
DRG377,PID150046,RIDINTerreHaute,12,102004.41,19772.75,18929.16
DRG378,PID150023,RIDINTerreHaute,101,21669.66,6277.76,5472.77
DRG378,PID150046,RIDINTerreHaute,30,26013.23,5983.86,5271.2
DRG379,PID150023,RIDINTerreHaute,27,15271.07,4423,3334.18
DRG389,PID150023,RIDINTerreHaute,39,23175.15,5833.61,4716.38
DRG389,PID150046,RIDINTerreHaute,12,30016.16,5260,4793.66
DRG390,PID150023,RIDINTerreHaute,28,15572.35,4114.71,2791.39
DRG391,PID150023,RIDINTerreHaute,42,26610.92,7653.33,6717.61
DRG392,PID150023,RIDINTerreHaute,230,15427.7,4437.16,3402.51
DRG392,PID150046,RIDINTerreHaute,54,23381.29,4342.55,3149.75
DRG394,PID150023,RIDINTerreHaute,35,18737.14,6260.74,5012.77
DRG418,PID150023,RIDINTerreHaute,27,38999.4,10554.74,8793.37
DRG419,PID150023,RIDINTerreHaute,21,29924.76,7051.38,5979.38
DRG439,PID150023,RIDINTerreHaute,21,27553.85,6349.85,4177.33
DRG460,PID150023,RIDINTerreHaute,59,63508.3,23694.13,21381.57
DRG469,PID150023,RIDINTerreHaute,23,93017.21,21328.13,20502.52
DRG470,PID150023,RIDINTerreHaute,250,62518.03,12764.52,11440.94
DRG470,PID150046,RIDINTerreHaute,54,64719.7,12813.61,10572.12
DRG473,PID150023,RIDINTerreHaute,20,53100.1,12452.1,11386.3
DRG480,PID150023,RIDINTerreHaute,24,61886.08,17966.87,17167.7
DRG480,PID150046,RIDINTerreHaute,14,71840.42,16407.71,15536.57
DRG481,PID150023,RIDINTerreHaute,78,41685.3,11101.43,9966.5
DRG481,PID150046,RIDINTerreHaute,15,51316.2,10520.06,9625.13
DRG482,PID150023,RIDINTerreHaute,31,36431.77,9188.19,8169.87
DRG491,PID150023,RIDINTerreHaute,17,39904.82,5961,4903.11
DRG536,PID150023,RIDINTerreHaute,21,11287.23,4045.38,3403.09
DRG552,PID150023,RIDINTerreHaute,74,16767.66,4992.13,4010.24
DRG552,PID150046,RIDINTerreHaute,13,21338.76,4625.38,3318
DRG563,PID150023,RIDINTerreHaute,35,15217.88,4485.8,3228.42
DRG602,PID150023,RIDINTerreHaute,14,38735.78,8703.35,7899.35
DRG603,PID150023,RIDINTerreHaute,100,16594.1,5089.73,4031.41
DRG603,PID150046,RIDINTerreHaute,62,22148.96,4929.14,3988.7
DRG638,PID150023,RIDINTerreHaute,42,16406.95,5032.38,4339.23
DRG638,PID150046,RIDINTerreHaute,16,24825.06,4827.43,3913.68
DRG640,PID150023,RIDINTerreHaute,34,22229.35,6789.64,6243.11
DRG640,PID150046,RIDINTerreHaute,14,31233.14,6479.85,5601.57
DRG641,PID150023,RIDINTerreHaute,118,13993.63,4278.47,3347.35
DRG641,PID150046,RIDINTerreHaute,54,16511.25,3972.75,3089.48
DRG682,PID150023,RIDINTerreHaute,72,32026.25,10216.97,9457.11
DRG682,PID150046,RIDINTerreHaute,32,47135.84,9461.46,8769.81
DRG683,PID150023,RIDINTerreHaute,89,19855.25,6264.65,5420.33
DRG683,PID150046,RIDINTerreHaute,40,26626.37,5964.9,5205.6
DRG684,PID150023,RIDINTerreHaute,19,11778,3946.42,3234.84
DRG684,PID150046,RIDINTerreHaute,16,13968.75,3961.87,2827.06
DRG689,PID150023,RIDINTerreHaute,45,20206.4,7248.86,6535.93
DRG689,PID150046,RIDINTerreHaute,13,30187.3,6818.3,6039.53
DRG690,PID150023,RIDINTerreHaute,152,14745.3,4679.23,3817.08
DRG690,PID150046,RIDINTerreHaute,32,18931.78,4545.93,3555.56
DRG698,PID150023,RIDINTerreHaute,12,29250.08,9544.08,8608.75
DRG699,PID150023,RIDINTerreHaute,21,18498.09,6056.66,5508.71
DRG811,PID150023,RIDINTerreHaute,32,22869.09,7482.46,6747.71
DRG812,PID150023,RIDINTerreHaute,71,16391.71,4862.05,3980.9
DRG812,PID150046,RIDINTerreHaute,25,20992.56,4733.44,3424.52
DRG853,PID150023,RIDINTerreHaute,20,131719.8,39235.6,38622.5
DRG853,PID150046,RIDINTerreHaute,24,199210.58,43952.2,40243.37
DRG870,PID150046,RIDINTerreHaute,13,219195.07,42283.76,41848.3
DRG871,PID150023,RIDINTerreHaute,143,35455.12,11740,10646.05
DRG871,PID150046,RIDINTerreHaute,65,49222.21,11210.6,10331.1
DRG872,PID150023,RIDINTerreHaute,56,19097.44,6849.19,6055.64
DRG872,PID150046,RIDINTerreHaute,18,27924.72,6699.77,6074.44
DRG885,PID150023,RIDINTerreHaute,17,12176.94,5659.17,4475.29
DRG897,PID150023,RIDINTerreHaute,25,11858.92,3761.8,2953.16
