drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID170016,RIDKSTopeka,24,17068.58,5589.87,4887.7
DRG039,PID170086,RIDKSTopeka,34,39971.26,6348.29,5059.32
DRG039,PID170142,RIDKSTopeka,15,20179.53,5476.46,4404.86
DRG057,PID170016,RIDKSTopeka,16,12524.87,4947.06,4247.56
DRG057,PID170086,RIDKSTopeka,20,18831.7,5565.35,4218.55
DRG064,PID170016,RIDKSTopeka,34,22552.82,9989.67,9228.61
DRG064,PID170086,RIDKSTopeka,48,38604.77,11258.54,10103.58
DRG064,PID170142,RIDKSTopeka,12,31336.41,9927.25,8989.25
DRG065,PID170001,RIDKSTopeka,17,17143.17,6923.94,6003
DRG065,PID170016,RIDKSTopeka,51,19109.09,6281.47,5180.37
DRG065,PID170086,RIDKSTopeka,93,26764.92,7436.52,5846.39
DRG065,PID170142,RIDKSTopeka,24,21456,6072.08,5139.41
DRG066,PID170016,RIDKSTopeka,20,16388.35,4496.25,3525.75
DRG066,PID170086,RIDKSTopeka,70,19190.25,5112.74,3764.22
DRG066,PID170142,RIDKSTopeka,13,17347.76,4312.07,3448.69
DRG069,PID170016,RIDKSTopeka,18,16846.33,4008,2956.66
DRG069,PID170086,RIDKSTopeka,105,17533.2,4521.04,3359.64
DRG069,PID170142,RIDKSTopeka,18,13502.27,3839.66,2714.77
DRG074,PID170016,RIDKSTopeka,12,13111.16,4720.25,3873.91
DRG074,PID170086,RIDKSTopeka,32,21859.34,5836.75,4233.28
DRG101,PID170016,RIDKSTopeka,21,13877,4486.14,3393.52
DRG101,PID170086,RIDKSTopeka,48,19086.93,4734.1,3744.22
DRG149,PID170086,RIDKSTopeka,37,16724.24,3815.75,2808.51
DRG176,PID170016,RIDKSTopeka,18,16126.05,5703.88,4832.33
DRG176,PID170086,RIDKSTopeka,26,26177.03,6346.88,5446.34
DRG176,PID170142,RIDKSTopeka,11,11380.09,5657.45,4640
DRG177,PID170016,RIDKSTopeka,38,25700.05,11122.78,9564.02
DRG177,PID170086,RIDKSTopeka,23,59180.34,13046.73,12189.65
DRG177,PID170142,RIDKSTopeka,17,36251.05,11708.17,10914.76
