drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID170012,RIDKSWichita,26,25457.84,6075.57,5082.8
DRG039,PID170013,RIDKSWichita,16,45477.87,7485.12,5702.93
DRG039,PID170020,RIDKSWichita,30,19810.83,6588.23,5336.76
DRG039,PID170122,RIDKSWichita,39,22894.48,6278.46,5261.82
DRG039,PID170123,RIDKSWichita,27,36609,7334.66,5200.59
DRG039,PID170186,RIDKSWichita,190,11746.63,5332.51,4311.03
DRG039,PID170192,RIDKSWichita,18,17080.11,5266,4333.33
DRG039,PID170197,RIDKSWichita,17,21232.82,5266,4407.88
DRG057,PID170012,RIDKSWichita,14,17676.5,5592.92,4624.92
DRG057,PID170122,RIDKSWichita,48,23418.31,5930.5,4381.97
DRG057,PID170123,RIDKSWichita,12,30890.25,5825.58,4890.25
DRG057,PID170192,RIDKSWichita,13,9168.46,4763.61,3813.15
DRG064,PID170012,RIDKSWichita,20,35470.05,11224.8,10435.6
DRG064,PID170103,RIDKSWichita,12,20702.5,9117.75,8648.75
DRG064,PID170122,RIDKSWichita,156,46723.31,11822.5,10424.87
DRG064,PID170123,RIDKSWichita,65,71234.69,12967.76,11238.26
DRG065,PID170012,RIDKSWichita,44,22052.79,6917.75,5879.4
DRG065,PID170013,RIDKSWichita,20,29250.5,7789.15,7006.35
DRG065,PID170020,RIDKSWichita,37,22510.54,7336.62,6392.51
DRG065,PID170103,RIDKSWichita,15,17501.13,5629.86,4732.8
DRG065,PID170122,RIDKSWichita,161,27893.28,7618.72,5911.93
DRG065,PID170123,RIDKSWichita,102,47676.63,7576.55,6614.55
DRG065,PID170175,RIDKSWichita,11,17550.09,7646,5610.72
DRG065,PID170192,RIDKSWichita,17,13265.52,6032,5101.64
DRG066,PID170012,RIDKSWichita,24,17366.45,5012.91,3660.45
DRG066,PID170017,RIDKSWichita,12,17223.5,5082.75,4142.08
DRG066,PID170020,RIDKSWichita,23,17026.82,5940.91,3858.34
DRG066,PID170122,RIDKSWichita,57,20512.94,5378,3778.45
