drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID180035,RIDKYCovington,48,19681.27,6743.29,4519.33
DRG057,PID180035,RIDKYCovington,40,14286.15,5473.37,4702.85
DRG064,PID180001,RIDKYCovington,17,51673.94,11953.64,10958.52
DRG064,PID180035,RIDKYCovington,69,25992.66,11040.33,9676.24
DRG064,PID180045,RIDKYCovington,16,25507.62,11196.81,10212.31
DRG065,PID180001,RIDKYCovington,24,25967.29,6938.66,5711.2
DRG065,PID180035,RIDKYCovington,62,21607.83,7066.64,5748.17
DRG065,PID180045,RIDKYCovington,20,25902.15,6923.2,5857.4
DRG066,PID180035,RIDKYCovington,28,15984.75,5023.96,3911.57
DRG069,PID180001,RIDKYCovington,22,16622.22,4383.54,3278.45
DRG069,PID180035,RIDKYCovington,81,14312.75,4396.23,3427.04
DRG069,PID180045,RIDKYCovington,25,15727.6,4764.64,3234.48
DRG074,PID180035,RIDKYCovington,29,15671.44,5182.55,4512.51
DRG101,PID180001,RIDKYCovington,21,15798.33,4411.38,3486.09
DRG101,PID180035,RIDKYCovington,38,12262.13,4862.73,3659.02
DRG101,PID180045,RIDKYCovington,14,13115.5,4629,3908.14
DRG149,PID180035,RIDKYCovington,30,11215.43,3842.73,2754.86
DRG176,PID180035,RIDKYCovington,30,23473.2,6392.46,5606.46
DRG177,PID180001,RIDKYCovington,32,36099.78,13206.87,10494.18
DRG177,PID180035,RIDKYCovington,79,39459.49,12518.62,11201.44
DRG177,PID180045,RIDKYCovington,36,33572.66,12067.47,10918.11
DRG178,PID180035,RIDKYCovington,16,21926.68,8973.62,8138.62
DRG178,PID180045,RIDKYCovington,14,20575.85,8683.57,8140.07
DRG189,PID180001,RIDKYCovington,59,22558.81,7725.83,6701.52
DRG189,PID180035,RIDKYCovington,192,26252.51,8211.27,6960.46
DRG189,PID180045,RIDKYCovington,69,18007.47,7719.66,7090.47
DRG190,PID180001,RIDKYCovington,64,19373.89,6798.48,6072.87
DRG190,PID180035,RIDKYCovington,157,21478.77,7489.19,6192.71
DRG190,PID180045,RIDKYCovington,66,19835.16,7319.86,6206.93
DRG191,PID180001,RIDKYCovington,68,13981.5,5511.52,4593.07
DRG191,PID180035,RIDKYCovington,111,14648.1,5954.33,4757.18
DRG191,PID180045,RIDKYCovington,54,15971.9,5887.24,5069.42
DRG192,PID180001,RIDKYCovington,38,10008.81,4203.36,3228.73
DRG192,PID180035,RIDKYCovington,64,10504.01,4435.21,3276.73
DRG192,PID180045,RIDKYCovington,36,10925.52,4474.13,3449.27
DRG193,PID180001,RIDKYCovington,54,29671.2,9011.72,7600.35
DRG193,PID180035,RIDKYCovington,205,28021.53,9777.67,8011.64
DRG193,PID180045,RIDKYCovington,56,28309.46,8964.82,8058.17
DRG194,PID180001,RIDKYCovington,46,13821.02,6160.43,4763.13
DRG194,PID180035,RIDKYCovington,107,15711.19,6071.18,5130.67
DRG194,PID180045,RIDKYCovington,41,15986.63,6223.02,5079.51
DRG195,PID180001,RIDKYCovington,21,11104.8,4174.09,3317.71
DRG195,PID180035,RIDKYCovington,53,10829.26,4315.33,3152.69
DRG195,PID180045,RIDKYCovington,20,9858.4,4334.35,3220.9
DRG202,PID180035,RIDKYCovington,24,17104.12,5784.29,4551.08
DRG207,PID180035,RIDKYCovington,22,82686.86,31202.9,30488.36
DRG208,PID180001,RIDKYCovington,24,46246.12,13652.45,13137.62
DRG208,PID180035,RIDKYCovington,42,40927.69,14302.85,12546.11
DRG208,PID180045,RIDKYCovington,33,50418.63,13901.93,12476.69
DRG238,PID180035,RIDKYCovington,37,62113.59,19422.45,17422.75
DRG243,PID180001,RIDKYCovington,11,56217.09,15506.81,14763.63
DRG243,PID180035,RIDKYCovington,32,62436.37,16365.15,14414.15
DRG244,PID180035,RIDKYCovington,22,62164.95,13155.77,10963.09
DRG246,PID180035,RIDKYCovington,28,67754.57,20938.92,18610.5
DRG247,PID180035,RIDKYCovington,108,51649.79,12763,10376.38
DRG249,PID180035,RIDKYCovington,58,43343.41,10854.72,9336.39
DRG251,PID180035,RIDKYCovington,28,35999.64,11085.1,9220.32
DRG252,PID180035,RIDKYCovington,39,72637.94,19564.92,18847.25
DRG252,PID180045,RIDKYCovington,11,45374.81,18122.36,17713.63
DRG253,PID180001,RIDKYCovington,11,63027.9,14098.54,12969.45
DRG253,PID180035,RIDKYCovington,45,56596.02,16505.46,13298.82
DRG280,PID180001,RIDKYCovington,52,32433.94,10432.15,9845.61
DRG280,PID180035,RIDKYCovington,108,32074.46,11374.87,10445.9
DRG280,PID180045,RIDKYCovington,41,30924.04,11513.48,9602.02
DRG281,PID180001,RIDKYCovington,23,18208.78,6858.13,5383.13
