drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID180010,RIDKYLexington,50,18180.78,5851,4355.54
DRG039,PID180044,RIDKYLexington,26,34177.92,7375,6639.76
DRG039,PID180048,RIDKYLexington,17,16257.11,6116.7,5388
DRG039,PID180067,RIDKYLexington,22,28477.95,8706.13,7391.72
DRG039,PID180103,RIDKYLexington,84,21124.14,5932.16,4984.5
DRG039,PID180132,RIDKYLexington,16,33830.5,7764.31,5179.31
DRG057,PID180010,RIDKYLexington,19,13377.84,4836.73,3834
DRG057,PID180048,RIDKYLexington,15,9469.2,5377.73,4560.4
DRG057,PID180067,RIDKYLexington,31,32977.32,9970.45,9101.29
DRG057,PID180080,RIDKYLexington,28,15469.46,5706.92,4646.53
DRG057,PID180103,RIDKYLexington,18,18830.66,5556.22,4405.27
DRG064,PID180010,RIDKYLexington,54,29130.72,10214.46,9087.94
DRG064,PID180011,RIDKYLexington,11,38398.45,11389.27,10780.54
DRG064,PID180029,RIDKYLexington,12,41669.58,11647.08,10782.5
DRG064,PID180044,RIDKYLexington,36,50449.66,13306.8,12043.05
DRG064,PID180048,RIDKYLexington,13,13743.3,10332.46,9635.84
DRG064,PID180067,RIDKYLexington,177,57518.63,18657.55,17426.42
DRG064,PID180103,RIDKYLexington,59,43171.86,11958.38,9950.05
DRG065,PID180002,RIDKYLexington,13,19233.69,6338.3,4983.92
DRG065,PID180005,RIDKYLexington,11,13273.63,7206.63,6595
DRG065,PID180010,RIDKYLexington,95,18218.95,6543.22,5229.53
DRG065,PID180011,RIDKYLexington,30,26749.46,7123.36,6148.7
DRG065,PID180029,RIDKYLexington,29,23194.72,6893.37,6018.55
DRG065,PID180044,RIDKYLexington,54,34790.64,8085.22,7335.88
DRG065,PID180048,RIDKYLexington,16,15402.81,6571.5,5724.5
DRG065,PID180049,RIDKYLexington,11,9328,7266.9,6449.45
DRG065,PID180067,RIDKYLexington,147,42133.96,11109.71,10021.96
DRG065,PID180080,RIDKYLexington,21,20135.33,7050.95,5808.42
DRG065,PID180103,RIDKYLexington,78,24852.19,6846.92,5743.33
DRG065,PID180132,RIDKYLexington,47,25702.91,7250.31,6390.06
