drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID180038,RIDKYOwensboro,28,19748.35,7503.46,5772.67
DRG057,PID180038,RIDKYOwensboro,22,11995.09,6419.54,5446.27
DRG064,PID180038,RIDKYOwensboro,66,17294.53,12389.66,11625.6
DRG065,PID180038,RIDKYOwensboro,92,15922.18,7957.25,6747.93
DRG066,PID180038,RIDKYOwensboro,32,12372.96,5753.65,4362.53
DRG069,PID180038,RIDKYOwensboro,66,11980.46,5259.6,3885.48
DRG074,PID180038,RIDKYOwensboro,13,13893.23,7110.23,3930.07
DRG101,PID180038,RIDKYOwensboro,33,11258.45,5580.51,4024.18
DRG149,PID180038,RIDKYOwensboro,23,11152.04,5665.78,3268.86
DRG176,PID180038,RIDKYOwensboro,12,12244.58,7214.66,6557
DRG177,PID180038,RIDKYOwensboro,33,27592.33,13875.21,12804.66
DRG178,PID180038,RIDKYOwensboro,22,18216.18,9434.9,8514.54
DRG189,PID180038,RIDKYOwensboro,149,14432.73,9139.91,8072.52
DRG190,PID180038,RIDKYOwensboro,108,13415.85,8159.98,7216.43
DRG191,PID180038,RIDKYOwensboro,110,10812.98,6759.69,5668.01
DRG192,PID180038,RIDKYOwensboro,56,9000.35,5204.57,3699.25
DRG193,PID180038,RIDKYOwensboro,115,17723,10033.46,9098.38
DRG194,PID180038,RIDKYOwensboro,102,13087.14,6896.41,5931.37
DRG195,PID180038,RIDKYOwensboro,34,9404.64,5163.91,3620.41
DRG202,PID180038,RIDKYOwensboro,20,10455.7,5741.2,4449.7
DRG203,PID180038,RIDKYOwensboro,11,7367.36,4430.27,2371.09
DRG207,PID180038,RIDKYOwensboro,14,69193.5,34803.85,34159.28
DRG208,PID180038,RIDKYOwensboro,102,35654.16,15977.93,14398.64
DRG238,PID180038,RIDKYOwensboro,51,73190.58,25926.01,22577.6
DRG243,PID180038,RIDKYOwensboro,28,45896.64,18201.64,17554.78
DRG244,PID180038,RIDKYOwensboro,21,46855.28,14596.76,13577.19
DRG246,PID180038,RIDKYOwensboro,37,64710.02,24158.43,22249.56
