drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID140184,RIDKYPaducah,27,47949.7,6539.29,4641.11
DRG039,PID180027,RIDKYPaducah,19,14913.36,5473.52,4704.05
DRG039,PID180102,RIDKYPaducah,35,18517.6,5353.28,4242.05
DRG039,PID180104,RIDKYPaducah,36,28600.19,5454.88,4483.16
DRG057,PID180102,RIDKYPaducah,25,17009.8,4831,4112.92
DRG057,PID180104,RIDKYPaducah,30,11607.73,4941,4227.26
DRG064,PID180093,RIDKYPaducah,11,44226.45,13731.9,12708.63
DRG064,PID180102,RIDKYPaducah,41,26997.85,9103.46,8362.68
DRG064,PID180104,RIDKYPaducah,65,25061.58,9580.18,8764.81
DRG064,PID180116,RIDKYPaducah,11,33350.63,10559,10150.27
DRG065,PID140184,RIDKYPaducah,13,47817,6238.15,5461.84
DRG065,PID180027,RIDKYPaducah,33,22127.09,6249.78,5309.24
DRG065,PID180093,RIDKYPaducah,38,17298.1,6529.28,5730.02
DRG065,PID180102,RIDKYPaducah,65,17751.5,5889.43,4911.04
DRG065,PID180104,RIDKYPaducah,71,15242.26,6159.9,4972.12
DRG065,PID180116,RIDKYPaducah,23,18481.69,6752.34,5164.95
DRG066,PID140184,RIDKYPaducah,19,32944,4583.63,3638.78
DRG066,PID180027,RIDKYPaducah,23,16498.91,4263.3,3344.65
DRG066,PID180095,RIDKYPaducah,11,9273.09,4718.9,3804.09
DRG066,PID180102,RIDKYPaducah,36,14978.13,4310.69,3184.75
DRG066,PID180104,RIDKYPaducah,48,12894.85,4350.02,3167.1
DRG069,PID140184,RIDKYPaducah,39,30203.2,4142.82,3087.41
DRG069,PID180027,RIDKYPaducah,21,14461.33,3912.09,2898.57
DRG069,PID180093,RIDKYPaducah,18,12751.44,4564,3244
DRG069,PID180102,RIDKYPaducah,62,15607.19,3817.04,2755.11
DRG069,PID180104,RIDKYPaducah,116,11623.31,3873.82,2938.25
DRG069,PID180116,RIDKYPaducah,17,12943.88,4134,3283.41
DRG069,PID180117,RIDKYPaducah,14,16227.64,4386.35,3342.07
DRG074,PID180102,RIDKYPaducah,14,22568.64,5204.78,4398.57
DRG074,PID180104,RIDKYPaducah,26,9741.19,4868.92,3677.23
DRG101,PID140184,RIDKYPaducah,14,23076.85,5601.14,3444.21
DRG101,PID180027,RIDKYPaducah,12,12611.5,4003.75,3160.08
DRG101,PID180102,RIDKYPaducah,20,16830.95,3879.8,3089
DRG101,PID180104,RIDKYPaducah,29,13187.82,4026,3094.68
DRG149,PID140184,RIDKYPaducah,15,15193.46,3620,2725.06
DRG149,PID180027,RIDKYPaducah,15,9931.93,3442.53,2463.6
DRG149,PID180102,RIDKYPaducah,12,11180.25,3301,2462.66
DRG149,PID180104,RIDKYPaducah,22,12436.77,3376,2407.09
DRG176,PID180027,RIDKYPaducah,12,12746,5712.41,4466.25
DRG176,PID180093,RIDKYPaducah,16,17595.81,6044.06,4992.81
DRG176,PID180104,RIDKYPaducah,21,12698.8,5657,4903.85
DRG177,PID180093,RIDKYPaducah,48,28755.43,12512.39,10866.64
DRG177,PID180102,RIDKYPaducah,24,27705.91,10106,9825.66
DRG177,PID180104,RIDKYPaducah,32,19044.43,10792.15,10068.93
DRG177,PID180116,RIDKYPaducah,31,25272,11194.9,10417.03
DRG178,PID180093,RIDKYPaducah,30,19624,8227.56,7480.36
DRG178,PID180095,RIDKYPaducah,13,9440.38,8174.61,7311.23
DRG178,PID180102,RIDKYPaducah,16,18362.68,7125.12,5996.06
DRG178,PID180104,RIDKYPaducah,33,14440.78,7670.33,7162.57
DRG178,PID180116,RIDKYPaducah,24,16978.04,7688.5,7036.16
DRG189,PID180027,RIDKYPaducah,31,17981.45,6912.61,6382.96
DRG189,PID180093,RIDKYPaducah,101,19461.84,7673.43,6945.94
DRG189,PID180102,RIDKYPaducah,100,15716.8,6739.68,5688.28
DRG189,PID180104,RIDKYPaducah,142,13866,6772.64,6019.88
DRG189,PID180116,RIDKYPaducah,80,22613.28,8330.02,6298.45
DRG190,PID140184,RIDKYPaducah,35,37126.65,6741.02,6006.28
DRG190,PID180027,RIDKYPaducah,26,22670.15,6599.42,5759.69
DRG190,PID180093,RIDKYPaducah,68,15776.77,6952.42,5657.29
DRG190,PID180095,RIDKYPaducah,45,10551.22,6704.48,5979.95
DRG190,PID180102,RIDKYPaducah,64,16481.06,6042.39,5321.7
DRG190,PID180104,RIDKYPaducah,156,12087.19,6303.53,5327.83
DRG190,PID180116,RIDKYPaducah,83,14115.25,6822.04,5751.4
DRG191,PID140184,RIDKYPaducah,29,33224.48,5518.68,4937.58
DRG191,PID180027,RIDKYPaducah,56,16308.42,5170.26,4414.01
DRG191,PID180093,RIDKYPaducah,39,14552.02,5841.43,4957.17
DRG191,PID180095,RIDKYPaducah,13,9167.15,5476.61,4959.07
DRG191,PID180102,RIDKYPaducah,89,13545.28,4941.65,4087.75
DRG191,PID180104,RIDKYPaducah,134,10023.19,5106.1,4228.7
DRG191,PID180116,RIDKYPaducah,85,13094.98,5472.05,4632.03
DRG192,PID140184,RIDKYPaducah,51,24677.13,4060.49,3312.72
DRG192,PID180027,RIDKYPaducah,55,11329.12,3889.43,2947.32
DRG192,PID180093,RIDKYPaducah,23,13494.69,4343.47,3316.86
DRG192,PID180095,RIDKYPaducah,43,7704.58,4081.62,3126.97
DRG192,PID180102,RIDKYPaducah,81,10005.9,3776.7,2828.83
DRG192,PID180104,RIDKYPaducah,76,7897.67,3802,2987.05
DRG192,PID180116,RIDKYPaducah,58,10192.39,4028.82,3099.72
DRG192,PID180117,RIDKYPaducah,20,19248.2,4237.1,3622.5
DRG193,PID140184,RIDKYPaducah,35,49901.4,9242.34,7118.2
DRG193,PID180027,RIDKYPaducah,36,31361.86,8397.22,7450.55
DRG193,PID180093,RIDKYPaducah,73,18087.83,8491.3,7588.34
DRG193,PID180095,RIDKYPaducah,13,12615.38,8353.92,7495.46
DRG193,PID180102,RIDKYPaducah,90,21036.63,7555.93,6871.21
DRG193,PID180104,RIDKYPaducah,126,15242.26,7729.5,6926.31
DRG193,PID180116,RIDKYPaducah,66,23190.12,8462.62,7502.45
DRG194,PID140184,RIDKYPaducah,46,39232.93,5619.39,4921.8
DRG194,PID180027,RIDKYPaducah,68,16480.8,5481.8,4494.41
DRG194,PID180093,RIDKYPaducah,93,15819.55,6033.53,4899.7
DRG194,PID180095,RIDKYPaducah,26,9372.11,5703.23,4883.38
DRG194,PID180102,RIDKYPaducah,93,14196.98,5204.5,4250.86
DRG194,PID180104,RIDKYPaducah,114,11524.78,5399.95,4504.48
DRG194,PID180116,RIDKYPaducah,88,13965.15,5722.98,4779.07
DRG194,PID180117,RIDKYPaducah,27,24869.62,5876.33,4854.77
DRG195,PID140184,RIDKYPaducah,36,26900.16,4267.22,2932.63
DRG195,PID180027,RIDKYPaducah,51,10638.31,3823.9,2867.05
DRG195,PID180093,RIDKYPaducah,20,11654.45,4112.7,3211.9
DRG195,PID180095,RIDKYPaducah,21,8291.28,4116.09,3067.19
DRG195,PID180102,RIDKYPaducah,32,11287.84,3732.43,2565.93
DRG195,PID180104,RIDKYPaducah,41,7636.39,3776.82,2785.39
DRG195,PID180116,RIDKYPaducah,33,10339.48,4012,3056.36
DRG195,PID180117,RIDKYPaducah,40,21814.42,4200.3,3329.42
DRG202,PID180093,RIDKYPaducah,12,10655.83,5024.25,4091.58
DRG202,PID180102,RIDKYPaducah,15,15117.06,4531.2,3166.93
DRG202,PID180104,RIDKYPaducah,20,7953.1,4451,3553.4
DRG203,PID180027,RIDKYPaducah,16,11456.06,3353.87,2131.5
DRG203,PID180104,RIDKYPaducah,16,7481.56,3350.31,2033.68
DRG207,PID140184,RIDKYPaducah,16,183125.75,29615.68,29142.81
DRG207,PID180093,RIDKYPaducah,27,74250.44,30208.55,29711.37
DRG207,PID180104,RIDKYPaducah,14,74856.35,28419.28,27613
DRG208,PID180027,RIDKYPaducah,12,26672.16,11553.66,11181.66
DRG208,PID180093,RIDKYPaducah,35,37952.02,13453.62,12597.88
DRG208,PID180102,RIDKYPaducah,31,35581.54,11372.45,10612.83
DRG208,PID180104,RIDKYPaducah,47,27441.76,12108.93,11178.46
DRG208,PID180116,RIDKYPaducah,13,31535.53,11387.07,10954.15
DRG238,PID140184,RIDKYPaducah,13,118971.3,21573.69,15441.3
DRG238,PID180093,RIDKYPaducah,13,56531.61,18217.15,17266.69
DRG238,PID180102,RIDKYPaducah,28,60071.5,17523.57,14580.21
DRG238,PID180104,RIDKYPaducah,13,70713.38,16549.61,15601.61
DRG243,PID180027,RIDKYPaducah,14,28052.42,14245.78,13475.07
DRG243,PID180093,RIDKYPaducah,20,44393.45,15525.05,14189.95
DRG243,PID180102,RIDKYPaducah,29,78135.65,14358.62,13817.65
DRG243,PID180104,RIDKYPaducah,32,39725.81,14007,13094.25
DRG244,PID140184,RIDKYPaducah,12,73632.33,11560.5,10722.16
DRG244,PID180102,RIDKYPaducah,41,70442.97,11252.73,10228.58
DRG244,PID180104,RIDKYPaducah,23,38078.3,11388.56,9386.47
DRG246,PID180093,RIDKYPaducah,22,61564.95,19607.45,18894.36
DRG246,PID180102,RIDKYPaducah,16,80970.18,18894.62,16299.56
DRG246,PID180104,RIDKYPaducah,28,56005.85,17853.64,16978.6
DRG247,PID140184,RIDKYPaducah,14,137165.92,11211.85,10243.85
DRG247,PID180093,RIDKYPaducah,57,41253.07,11701.94,10425.98
DRG247,PID180102,RIDKYPaducah,77,49632.14,11540.19,8181.76
DRG247,PID180104,RIDKYPaducah,138,38439.94,10652.09,9116
DRG249,PID180093,RIDKYPaducah,13,38373.69,10519.46,9477
DRG249,PID180102,RIDKYPaducah,28,48222.75,9563.35,8036.6
DRG249,PID180104,RIDKYPaducah,37,37749.29,9586.4,7890.54
DRG252,PID180102,RIDKYPaducah,19,60660.26,16344.26,15798.21
DRG251,PID180093,RIDKYPaducah,13,30701.92,10929.69,9345.69
DRG251,PID180102,RIDKYPaducah,20,42115.55,9295,8334.4
DRG251,PID180104,RIDKYPaducah,29,27559.65,9674.48,8364.96
DRG252,PID140184,RIDKYPaducah,20,96807.75,18746.6,18018.8
DRG252,PID180093,RIDKYPaducah,12,38430.25,18233,14064.83
DRG252,PID180104,RIDKYPaducah,29,54361.51,17210.86,16581.24
DRG253,PID140184,RIDKYPaducah,11,89872.54,13619.18,12593
DRG253,PID180093,RIDKYPaducah,24,36383.12,15404.87,12112.12
DRG253,PID180102,RIDKYPaducah,21,38069.95,12825.42,11238.19
DRG253,PID180104,RIDKYPaducah,23,42376.26,12755.91,11778.56
DRG254,PID140184,RIDKYPaducah,12,79472.33,9153.5,8123.83
DRG254,PID180027,RIDKYPaducah,11,33757.54,8787.36,6985.72
DRG254,PID180102,RIDKYPaducah,25,34440.48,8345,7443.24
DRG254,PID180104,RIDKYPaducah,22,39988.4,9372.13,6968.18
DRG280,PID180093,RIDKYPaducah,40,23841.37,10727.8,10054.2
DRG280,PID180102,RIDKYPaducah,26,30455.61,9361.11,8841.11
DRG280,PID180104,RIDKYPaducah,54,24559.5,9451.96,8829.59
DRG280,PID180116,RIDKYPaducah,18,21933.88,8016.22,7207.55
DRG281,PID140184,RIDKYPaducah,11,53515.36,6744.27,5729.72
DRG281,PID180093,RIDKYPaducah,40,18830.7,7260.47,6061.55
DRG281,PID180102,RIDKYPaducah,20,25099.9,6894.7,4248.8
DRG281,PID180104,RIDKYPaducah,28,16708.82,6256.53,5376.25
DRG282,PID180093,RIDKYPaducah,11,13035.72,5296.36,3341.09
DRG282,PID180104,RIDKYPaducah,21,14155.66,4261,3301.38
DRG286,PID180102,RIDKYPaducah,20,36102.55,10617,9033.8
DRG286,PID180104,RIDKYPaducah,13,24156.76,10575,9880.84
DRG287,PID140184,RIDKYPaducah,27,62543.96,6127.07,5332.85
DRG287,PID180093,RIDKYPaducah,38,19777.36,6492.57,5548.57
DRG287,PID180102,RIDKYPaducah,208,24856,5781.48,4466.08
DRG287,PID180104,RIDKYPaducah,155,18208.01,5825.31,4664.39
DRG291,PID140184,RIDKYPaducah,14,51653.57,8774.21,8453.07
DRG291,PID180027,RIDKYPaducah,22,25114.31,8337.04,6716.86
DRG291,PID180093,RIDKYPaducah,65,16224.64,8578.26,8009.46
DRG291,PID180095,RIDKYPaducah,15,15566,8404.6,7729.66
DRG291,PID180102,RIDKYPaducah,84,19964.58,7609.14,7060.42
DRG291,PID180104,RIDKYPaducah,118,15619.28,7776.11,7099.94
DRG291,PID180116,RIDKYPaducah,46,23995.3,8335.86,7822.56
DRG292,PID140184,RIDKYPaducah,20,30755.55,5769.3,5039.9
DRG292,PID180027,RIDKYPaducah,48,19050.7,5516.91,4672.81
DRG292,PID180093,RIDKYPaducah,91,13723.6,6197.86,5248.61
DRG292,PID180095,RIDKYPaducah,19,9904.84,5788.73,5192.94
DRG292,PID180102,RIDKYPaducah,91,14788.01,5190.43,4648.02
DRG292,PID180104,RIDKYPaducah,128,10047.55,5426.37,4800.64
DRG292,PID180116,RIDKYPaducah,36,14196.11,5780.83,4918.02
DRG292,PID180117,RIDKYPaducah,11,21970.45,5564.18,4949.63
DRG293,PID140184,RIDKYPaducah,11,22666.63,3785.63,3276.9
DRG293,PID180027,RIDKYPaducah,62,12219.37,3716.59,2849.79
DRG293,PID180093,RIDKYPaducah,21,10258.76,4113.66,3032.09
DRG293,PID180095,RIDKYPaducah,34,7739.14,3793.73,2889.76
DRG293,PID180102,RIDKYPaducah,54,9345.75,3521.27,2960.61
DRG293,PID180104,RIDKYPaducah,64,6812.23,3621,2972.56
DRG293,PID180116,RIDKYPaducah,20,8819.2,3872.75,3026.95
DRG293,PID180117,RIDKYPaducah,13,19413.15,3875.69,3000.07
DRG300,PID180027,RIDKYPaducah,12,15514.5,5268.66,4621.66
DRG300,PID180093,RIDKYPaducah,20,14044.5,5859.95,4830.45
DRG300,PID180102,RIDKYPaducah,21,14612,4878.28,4346.85
DRG300,PID180104,RIDKYPaducah,36,10272.61,5026.16,4263.33
DRG301,PID180027,RIDKYPaducah,12,9501.25,3571.16,2910.83
DRG301,PID180102,RIDKYPaducah,13,12697.15,3525.69,2376.3
DRG301,PID180104,RIDKYPaducah,23,6970.69,3522.21,2526.3
DRG303,PID180093,RIDKYPaducah,13,10739.07,3485.23,2713.84
DRG303,PID180095,RIDKYPaducah,12,5180.25,3281,2510.75
DRG303,PID180102,RIDKYPaducah,21,12291.42,3092.42,2280.19
DRG303,PID180104,RIDKYPaducah,61,8085.73,3103.83,2272.26
DRG303,PID180117,RIDKYPaducah,11,16924.81,3382.81,2662.45
DRG305,PID180027,RIDKYPaducah,12,11626.75,3311.5,2653.83
DRG305,PID180102,RIDKYPaducah,24,11936.16,3171,2141.33
DRG305,PID180104,RIDKYPaducah,42,10150.71,3290.42,2284.73
DRG305,PID180117,RIDKYPaducah,11,14056.27,3666.81,2649.36
DRG308,PID140184,RIDKYPaducah,12,67767.58,8089,7245.33
DRG308,PID180027,RIDKYPaducah,11,20733.54,6645.63,6034
DRG308,PID180093,RIDKYPaducah,18,20012.72,7460.61,6307.27
DRG308,PID180102,RIDKYPaducah,36,16797.47,6469.75,5571.69
DRG308,PID180104,RIDKYPaducah,55,15297.3,6547,5726.9
DRG308,PID180116,RIDKYPaducah,13,23559.92,6970.84,6281.61
DRG309,PID140184,RIDKYPaducah,20,32370.1,4756.4,3857.2
DRG309,PID180027,RIDKYPaducah,23,14174.43,4452.43,3541.39
DRG309,PID180093,RIDKYPaducah,41,10755.73,5025.34,4081.02
DRG309,PID180102,RIDKYPaducah,69,12944.4,4423.34,3571.75
DRG309,PID180104,RIDKYPaducah,95,10157.44,4494.3,3560.77
DRG309,PID180116,RIDKYPaducah,14,11242,4742,4018.85
DRG310,PID140184,RIDKYPaducah,28,22110.46,4137.35,2083.21
DRG310,PID180027,RIDKYPaducah,57,7798.28,3067.33,2259.82
DRG310,PID180093,RIDKYPaducah,27,9001.92,3424.7,2341.74
DRG310,PID180102,RIDKYPaducah,153,7682.26,2997.57,2102.81
DRG310,PID180104,RIDKYPaducah,106,8241.23,3067.96,2075.88
DRG310,PID180116,RIDKYPaducah,20,8345.65,3723.75,2058.9
DRG310,PID180117,RIDKYPaducah,13,13526.84,3574.84,2656.38
DRG312,PID140184,RIDKYPaducah,49,26617.08,4052.93,3051.42
DRG312,PID180027,RIDKYPaducah,36,12507.36,3846.75,2969.86
DRG312,PID180093,RIDKYPaducah,35,17005.74,4412.25,3576.8
DRG312,PID180095,RIDKYPaducah,13,7216.53,4034.46,3171.07
DRG312,PID180102,RIDKYPaducah,79,14086.55,3738,2931.36
DRG312,PID180104,RIDKYPaducah,168,12089.73,3816.38,2908.39
DRG312,PID180116,RIDKYPaducah,32,10039.56,4053.56,3208.56
DRG313,PID140184,RIDKYPaducah,62,26069.96,3863.24,2239.83
DRG313,PID180027,RIDKYPaducah,34,10817.82,2962.26,2100.38
DRG313,PID180093,RIDKYPaducah,19,11053.26,3299.78,2586.52
DRG313,PID180095,RIDKYPaducah,20,6292.2,3314.15,1909.15
DRG313,PID180102,RIDKYPaducah,79,11017.98,2841,1903.37
DRG313,PID180104,RIDKYPaducah,166,10471.36,2929.48,1934.36
DRG313,PID180116,RIDKYPaducah,37,8267.45,3106.16,2407.67
DRG313,PID180117,RIDKYPaducah,15,14146.2,3321,2501.53
DRG314,PID140184,RIDKYPaducah,14,53292.5,9210.71,8808.71
DRG314,PID180102,RIDKYPaducah,25,26219.2,8849.08,8432.8
DRG314,PID180104,RIDKYPaducah,30,27994.8,10098.1,9581.4
DRG315,PID140184,RIDKYPaducah,14,34383,5579.64,4529.92
DRG315,PID180093,RIDKYPaducah,12,10908.91,6397.33,4495.83
DRG315,PID180104,RIDKYPaducah,25,11132.12,5077.8,4319.56
DRG329,PID180027,RIDKYPaducah,11,102908.09,33427.27,26753.36
DRG329,PID180093,RIDKYPaducah,11,75348.36,28972.36,28260.63
DRG329,PID180102,RIDKYPaducah,14,87788.64,27396.35,26437.5
DRG329,PID180104,RIDKYPaducah,29,80768.31,29011.89,28164.17
DRG330,PID140184,RIDKYPaducah,11,84960.63,14662,13838.72
DRG330,PID180093,RIDKYPaducah,22,40136.81,19191.13,13178.13
DRG330,PID180102,RIDKYPaducah,14,57910.14,15615.5,13356.64
DRG330,PID180104,RIDKYPaducah,31,48578.67,13983.45,13079.83
DRG372,PID180027,RIDKYPaducah,15,21144.53,6925.2,6189.26
DRG372,PID180093,RIDKYPaducah,11,17616.72,7574.54,6960
DRG372,PID180102,RIDKYPaducah,17,25982.94,6660.7,5885.82
DRG372,PID180104,RIDKYPaducah,16,12236.5,6625.37,6045.68
DRG377,PID180093,RIDKYPaducah,12,28953.25,10499,9650
DRG377,PID180102,RIDKYPaducah,21,29725.71,9455.61,7826.47
DRG377,PID180104,RIDKYPaducah,35,22241.22,9163.05,8585.45
DRG377,PID180116,RIDKYPaducah,14,40188,11675.85,11035.78
DRG378,PID140184,RIDKYPaducah,26,40031.57,5791.34,5271.34
DRG378,PID180027,RIDKYPaducah,30,17747.46,5885.36,4139.26
DRG378,PID180093,RIDKYPaducah,35,14969.6,6022.05,5250.68
DRG378,PID180102,RIDKYPaducah,42,19030.52,5300.59,4326.5
DRG378,PID180104,RIDKYPaducah,107,16878.77,5525.28,4488.3
DRG378,PID180116,RIDKYPaducah,20,22525.75,6267.6,4596.25
DRG379,PID180027,RIDKYPaducah,21,11497.76,3846.66,2715.52
DRG379,PID180102,RIDKYPaducah,19,11739.89,3692,2743.78
DRG379,PID180104,RIDKYPaducah,29,13495.55,3885.82,2846.17
DRG389,PID140184,RIDKYPaducah,14,28183.42,5216.57,4551.78
DRG389,PID180027,RIDKYPaducah,14,15895.71,5040.71,4033.71
DRG389,PID180093,RIDKYPaducah,15,15028.93,5672.46,4192.53
DRG389,PID180102,RIDKYPaducah,20,15463.45,4827,3926.2
DRG389,PID180104,RIDKYPaducah,27,16308.11,4937,3981
DRG389,PID180116,RIDKYPaducah,12,20786.16,5068.5,4460.66
DRG390,PID140184,RIDKYPaducah,11,20898.45,3519.54,2705
DRG390,PID180027,RIDKYPaducah,19,10746.89,3433,2426.89
DRG390,PID180093,RIDKYPaducah,14,11714.85,3837.85,2867.57
DRG390,PID180102,RIDKYPaducah,22,12047.09,3385,2144.36
DRG390,PID180104,RIDKYPaducah,21,10647.14,3412.09,2465.85
DRG391,PID140184,RIDKYPaducah,13,31250.46,7321.38,5360
DRG391,PID180027,RIDKYPaducah,12,16323.16,6347.91,5763.5
DRG391,PID180093,RIDKYPaducah,21,20282.28,6921.95,6050.9
DRG391,PID180102,RIDKYPaducah,17,26018.11,5967,5112.64
DRG391,PID180104,RIDKYPaducah,44,20223.2,6103,5464.9
DRG391,PID180116,RIDKYPaducah,12,29368.75,6531,5781.66
DRG392,PID140184,RIDKYPaducah,69,23684.05,5023.57,3044.39
DRG392,PID180027,RIDKYPaducah,133,11747.27,3910.43,2993.69
DRG392,PID180093,RIDKYPaducah,57,12601.84,4305.77,3362.05
DRG392,PID180095,RIDKYPaducah,66,6571.16,4033.09,3229.87
DRG392,PID180102,RIDKYPaducah,153,13360.47,3739.48,2814.23
DRG392,PID180104,RIDKYPaducah,264,11341.27,3820.32,2844.16
DRG392,PID180116,RIDKYPaducah,72,12919.66,4837.54,3103
DRG392,PID180117,RIDKYPaducah,11,14053.09,4192.45,3275
DRG394,PID180102,RIDKYPaducah,22,19276.81,5729.18,5066.09
DRG394,PID180027,RIDKYPaducah,12,21519.75,5362.25,4488.83
DRG394,PID180093,RIDKYPaducah,17,13731.82,6908.58,4100.47
DRG394,PID180104,RIDKYPaducah,37,12946.83,5385.13,4330.81
DRG418,PID180102,RIDKYPaducah,18,31143.66,8781,8155.66
DRG418,PID180104,RIDKYPaducah,31,31136.41,8981,8111.83
DRG419,PID180027,RIDKYPaducah,11,23401,7414.18,4799.18
DRG419,PID180102,RIDKYPaducah,19,22841.36,6192.26,4782.73
DRG419,PID180104,RIDKYPaducah,25,23106.44,6289.8,4993.12
DRG439,PID180093,RIDKYPaducah,14,13554,6116.42,4878.07
DRG439,PID180102,RIDKYPaducah,11,20238.54,5484.36,3926.54
DRG439,PID180104,RIDKYPaducah,17,14726.47,5447.76,4421.88
DRG460,PID180104,RIDKYPaducah,61,72575.81,21707.36,20258.49
DRG460,PID180116,RIDKYPaducah,12,59329.25,21890,20766
DRG469,PID180102,RIDKYPaducah,24,66861.37,18016.58,15051.54
DRG469,PID180104,RIDKYPaducah,22,57143.27,17451.81,16531.45
DRG470,PID140184,RIDKYPaducah,79,84748.6,11957.74,10943.27
DRG470,PID180027,RIDKYPaducah,75,35892.13,11449.61,9605.02
DRG470,PID180093,RIDKYPaducah,125,27820.01,12512.4,10879.38
DRG470,PID180102,RIDKYPaducah,309,50682.16,11696.5,9180.99
