drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID190019,RIDLAAlexandria,24,29321.2,5788.33,4758.66
DRG039,PID190026,RIDLAAlexandria,45,50781.33,7052.2,5271.77
DRG057,PID190019,RIDLAAlexandria,13,31584,7213.15,4496.46
DRG057,PID190026,RIDLAAlexandria,21,22968.33,5652.09,4900.47
DRG064,PID190019,RIDLAAlexandria,34,37748.23,13188.85,8810.97
DRG064,PID190026,RIDLAAlexandria,85,64544.77,13091.03,10802.5
DRG065,PID190019,RIDLAAlexandria,62,24432.27,7359.37,5569.22
DRG065,PID190026,RIDLAAlexandria,82,40887.31,7434.4,6433.87
DRG066,PID190019,RIDLAAlexandria,26,17919.96,4567.57,3525.11
DRG066,PID190026,RIDLAAlexandria,56,25618.07,5148.42,4048.91
DRG069,PID190019,RIDLAAlexandria,40,19924.25,4152,3338.5
DRG069,PID190026,RIDLAAlexandria,57,24773.08,4593.35,3604.29
DRG069,PID190164,RIDLAAlexandria,16,19076.5,4007,3022.5
DRG074,PID190026,RIDLAAlexandria,11,27723.9,5381.9,4661.54
DRG101,PID190019,RIDLAAlexandria,30,14834.4,4332.2,3470.73
DRG101,PID190026,RIDLAAlexandria,44,20904.86,4791.09,3998.63
DRG176,PID190019,RIDLAAlexandria,34,21569.11,5990.91,5163.26
DRG176,PID190026,RIDLAAlexandria,16,30894.31,7917.56,5465.75
DRG177,PID190019,RIDLAAlexandria,51,38718.23,11386.07,10567.33
DRG177,PID190026,RIDLAAlexandria,65,80094.32,13499.72,12178.3
DRG177,PID190145,RIDLAAlexandria,12,19707.25,13192.16,12338.5
DRG177,PID190164,RIDLAAlexandria,13,66043.3,11490.46,10777
DRG178,PID190019,RIDLAAlexandria,50,32726.22,8949.1,8385.66
DRG178,PID190026,RIDLAAlexandria,44,48818.97,9181.13,8181.4
DRG178,PID190099,RIDLAAlexandria,14,40475.35,9149.57,7957.28
DRG178,PID190106,RIDLAAlexandria,12,21690.66,10619.33,9543.08
DRG189,PID190019,RIDLAAlexandria,45,41190.93,8686.55,7505.97
DRG189,PID190026,RIDLAAlexandria,17,47872.05,8048.64,6968.47
DRG190,PID190019,RIDLAAlexandria,70,25684.52,6740.55,5751.24
DRG190,PID190026,RIDLAAlexandria,89,43265.66,7602.39,6635.13
DRG190,PID190099,RIDLAAlexandria,18,24537.11,7130,6380.66
DRG190,PID190106,RIDLAAlexandria,55,19742.14,8408.36,7623.23
DRG190,PID190145,RIDLAAlexandria,11,16126.36,7897.63,7391.81
DRG190,PID190164,RIDLAAlexandria,61,41594.27,6562.72,5507.7
DRG191,PID190019,RIDLAAlexandria,62,21730.56,6067.41,4570.8
DRG191,PID190026,RIDLAAlexandria,49,29410.63,6172.02,4932.44
DRG191,PID190099,RIDLAAlexandria,14,23944.07,5930.5,4879.35
DRG191,PID190164,RIDLAAlexandria,55,31643.89,5243.1,4383.12
DRG192,PID190019,RIDLAAlexandria,44,16328.15,4222.47,3235.95
DRG192,PID190026,RIDLAAlexandria,36,16871.94,4536.44,3648.27
DRG192,PID190099,RIDLAAlexandria,65,12821.07,4188.89,3361.81
DRG192,PID190106,RIDLAAlexandria,12,15194.5,5186.75,4529.08
DRG192,PID190164,RIDLAAlexandria,56,24970.92,4275.6,2914.23
DRG193,PID190019,RIDLAAlexandria,51,38299.94,8479.76,7820.76
DRG193,PID190026,RIDLAAlexandria,78,57314.19,9832.75,8199.05
DRG193,PID190145,RIDLAAlexandria,18,16756.83,8737.27,8126.94
DRG193,PID190164,RIDLAAlexandria,21,61486.33,8339.61,7511.71
DRG193,PID190297,RIDLAAlexandria,15,9954,6854.2,6050.73
DRG194,PID190019,RIDLAAlexandria,95,26928.47,6842.12,4626.35
DRG194,PID190026,RIDLAAlexandria,92,37001.26,6403.95,5321.29
DRG194,PID190099,RIDLAAlexandria,47,26374.59,5971.82,5351.06
DRG194,PID190106,RIDLAAlexandria,27,22768.59,7260.85,6391.11
DRG194,PID190145,RIDLAAlexandria,40,17470.82,6683.32,5803.85
DRG194,PID190164,RIDLAAlexandria,17,38973.35,5564,4470.94
DRG194,PID190297,RIDLAAlexandria,21,8908.52,4727.71,3784.09
DRG195,PID190019,RIDLAAlexandria,25,19126.08,4017.24,3024.92
DRG195,PID190026,RIDLAAlexandria,30,24084.6,4463.1,3486.3
DRG195,PID190099,RIDLAAlexandria,44,21582.11,4338.72,3462.63
DRG195,PID190106,RIDLAAlexandria,28,16122.14,5093.46,4208.6
DRG195,PID190145,RIDLAAlexandria,32,14588.34,4714.25,3941.21
DRG202,PID190019,RIDLAAlexandria,15,23621.93,4777.33,3882.4
DRG202,PID190026,RIDLAAlexandria,22,26743.04,5468.5,4102.9
DRG207,PID190019,RIDLAAlexandria,13,93307.92,29256.46,28569.69
DRG207,PID190026,RIDLAAlexandria,38,189547.5,34962.89,33644.02
DRG208,PID190019,RIDLAAlexandria,49,54537.85,12954.12,12282.3
DRG208,PID190026,RIDLAAlexandria,61,65253.83,14619.31,13011.7
DRG208,PID190164,RIDLAAlexandria,15,101737.66,13688.53,13009.33
DRG238,PID190019,RIDLAAlexandria,22,75223.18,17298.04,16310.45
DRG238,PID190026,RIDLAAlexandria,25,88738.08,19376.24,18391.6
DRG243,PID190019,RIDLAAlexandria,27,59274.77,15901.33,13637.25
DRG243,PID190026,RIDLAAlexandria,24,72750.66,16320.08,15572.08
DRG244,PID190019,RIDLAAlexandria,20,43200.85,11592.6,10691.8
DRG244,PID190026,RIDLAAlexandria,13,63504.84,13561,10988.3
DRG246,PID190019,RIDLAAlexandria,28,84800.57,19121,16680.89
DRG246,PID190026,RIDLAAlexandria,22,129705.63,23876.54,18978.09
DRG247,PID190019,RIDLAAlexandria,73,64347.34,15101.19,9544.08
DRG247,PID190026,RIDLAAlexandria,86,80834.96,13145.44,10855.23
DRG249,PID190019,RIDLAAlexandria,21,55637.09,10074.8,9269.28
DRG249,PID190026,RIDLAAlexandria,24,75334.66,11123.66,10184.33
DRG251,PID190019,RIDLAAlexandria,17,47671.23,10229.23,9567.11
DRG251,PID190026,RIDLAAlexandria,20,58386.35,11728.65,9678.7
DRG252,PID190019,RIDLAAlexandria,17,54594.82,20285.82,15090.7
DRG252,PID190026,RIDLAAlexandria,18,112890.11,20445.88,19696.55
DRG253,PID190019,RIDLAAlexandria,32,60747.78,14461.18,13704.87
DRG253,PID190026,RIDLAAlexandria,17,72281.52,18349.17,11870.41
DRG254,PID190019,RIDLAAlexandria,20,34546.6,10922.5,7706.45
DRG254,PID190026,RIDLAAlexandria,17,45898.23,10920.76,8284.64
DRG280,PID190019,RIDLAAlexandria,38,45591.13,10383.86,9522
DRG280,PID190026,RIDLAAlexandria,18,59850.61,11485.66,10879.61
DRG281,PID190019,RIDLAAlexandria,27,33172.4,7047.96,5936.51
DRG281,PID190026,RIDLAAlexandria,27,33871.77,7481.77,6603.7
DRG282,PID190026,RIDLAAlexandria,14,31989,5069.14,4105.71
DRG286,PID190019,RIDLAAlexandria,26,53552.23,12928.34,10621.42
DRG286,PID190026,RIDLAAlexandria,32,59295.06,12665.4,11866.62
DRG287,PID190019,RIDLAAlexandria,101,32111.6,7354.9,5024.45
DRG287,PID190026,RIDLAAlexandria,136,36767.11,6897.36,5685.09
DRG287,PID190164,RIDLAAlexandria,19,34997.57,5962,5075.05
DRG291,PID190019,RIDLAAlexandria,95,35017.36,8396.49,7683.11
DRG291,PID190026,RIDLAAlexandria,136,40003.77,9425.36,8789.52
DRG291,PID190099,RIDLAAlexandria,42,34748.33,8452.5,7926.09
DRG291,PID190106,RIDLAAlexandria,20,28000.5,10416.8,9299.2
DRG291,PID190164,RIDLAAlexandria,45,58496.51,8568.91,7588.33
DRG292,PID190019,RIDLAAlexandria,143,21052.87,6026.2,5047.38
DRG292,PID190026,RIDLAAlexandria,114,25945.54,6447.82,5729.74
DRG292,PID190099,RIDLAAlexandria,29,20927.89,5898.31,5316.1
DRG292,PID190106,RIDLAAlexandria,17,25101.05,7809.29,7102.41
DRG292,PID190164,RIDLAAlexandria,54,30916.05,5593.7,5084.4
DRG293,PID190019,RIDLAAlexandria,45,15975,3888.35,3163.22
DRG293,PID190026,RIDLAAlexandria,51,17614.98,4365.94,3590.21
DRG293,PID190099,RIDLAAlexandria,58,15439.24,4133.56,3529.17
DRG293,PID190106,RIDLAAlexandria,12,18359.5,4688.25,3844.58
DRG293,PID190164,RIDLAAlexandria,32,25945.84,3688.93,3063.03
DRG300,PID190019,RIDLAAlexandria,23,19143.73,5563.56,4878.69
DRG300,PID190026,RIDLAAlexandria,30,26774.5,6150.53,5285.86
DRG301,PID190019,RIDLAAlexandria,22,12974.95,3708.45,2839.54
DRG301,PID190026,RIDLAAlexandria,15,24492.06,4158.86,3488.2
DRG303,PID190026,RIDLAAlexandria,13,21801.15,3664.84,2973.15
DRG303,PID190164,RIDLAAlexandria,34,16941.73,3321,2209.61
DRG305,PID190026,RIDLAAlexandria,13,22475,3836.76,2688.38
DRG305,PID190164,RIDLAAlexandria,26,15455.92,3364,2389.3
DRG308,PID190019,RIDLAAlexandria,40,27250.2,8811.95,5914.1
DRG308,PID190026,RIDLAAlexandria,28,63589.64,9754.92,8739.35
DRG309,PID190019,RIDLAAlexandria,74,15866.59,5083.21,3765.16
DRG309,PID190026,RIDLAAlexandria,33,24837.3,5507.21,4496.06
DRG309,PID190164,RIDLAAlexandria,35,19966.11,4596,3823.42
DRG310,PID190019,RIDLAAlexandria,101,10287.71,3411.51,2290
DRG310,PID190026,RIDLAAlexandria,62,12980.12,3756.75,2488.25
DRG310,PID190099,RIDLAAlexandria,11,9067.81,3462.81,2442.45
DRG310,PID190164,RIDLAAlexandria,27,15713.77,3123.48,2419.03
DRG312,PID190019,RIDLAAlexandria,49,20693.12,4861.67,3048.89
DRG312,PID190026,RIDLAAlexandria,93,22770.86,4736.91,3389.49
DRG312,PID190164,RIDLAAlexandria,33,21997.81,4032.9,2909.6
DRG313,PID190019,RIDLAAlexandria,33,19223.51,4438.54,1873.69
DRG313,PID190026,RIDLAAlexandria,76,17167.8,3704.34,2370.46
DRG313,PID190164,RIDLAAlexandria,67,15668.46,3014,2090.47
DRG314,PID190019,RIDLAAlexandria,22,44110.86,10411.68,9449.09
DRG314,PID190026,RIDLAAlexandria,33,61628,11551.51,9344.96
DRG315,PID190019,RIDLAAlexandria,16,31325.81,11119.31,4184.62
DRG315,PID190026,RIDLAAlexandria,13,28272.23,6089.92,5657
DRG329,PID190019,RIDLAAlexandria,13,74813.07,26416.92,25809.84
DRG329,PID190026,RIDLAAlexandria,26,173025.57,33751.84,32356.07
DRG330,PID190019,RIDLAAlexandria,18,73378.5,15258.27,14385
DRG330,PID190026,RIDLAAlexandria,25,88068.56,16397.52,14502.88
DRG372,PID190164,RIDLAAlexandria,20,29001.45,6984.4,5906.2
DRG372,PID190019,RIDLAAlexandria,12,28682.83,7202.5,6455.83
DRG372,PID190026,RIDLAAlexandria,11,38809.18,8094,7222.18
DRG377,PID190019,RIDLAAlexandria,28,36679.25,9878.78,9266.82
DRG377,PID190026,RIDLAAlexandria,46,67542.97,11720.28,10720.63
DRG378,PID190019,RIDLAAlexandria,70,27487.74,5782.68,4979.14
DRG378,PID190026,RIDLAAlexandria,77,35106.16,6431.61,5417.93
DRG378,PID190099,RIDLAAlexandria,13,20886.3,5984.84,5119
DRG378,PID190164,RIDLAAlexandria,16,32491.25,5631,4784
DRG379,PID190019,RIDLAAlexandria,25,14314.96,4561.84,3166.16
DRG379,PID190026,RIDLAAlexandria,27,19421.44,4536.62,3373.14
DRG379,PID190164,RIDLAAlexandria,19,21793.63,4103.52,2765.05
DRG389,PID190019,RIDLAAlexandria,36,25134.83,5203.38,4189.44
DRG389,PID190026,RIDLAAlexandria,30,37941.33,6353.86,4172.36
DRG390,PID190019,RIDLAAlexandria,21,22383.9,4993.66,2601.23
DRG390,PID190026,RIDLAAlexandria,21,18366.95,4264.57,2858.85
DRG391,PID190019,RIDLAAlexandria,12,38032.91,6550.33,5987
DRG391,PID190026,RIDLAAlexandria,28,36427.92,7257.89,6425.85
DRG392,PID190019,RIDLAAlexandria,75,25905.58,4668.66,3286.45
DRG392,PID190026,RIDLAAlexandria,120,27284.86,4593.05,3591.6
DRG392,PID190099,RIDLAAlexandria,58,12843.81,4293.43,3425.17
DRG392,PID190145,RIDLAAlexandria,17,14607.47,4780.05,3857.23
DRG392,PID190164,RIDLAAlexandria,83,19733.1,3974.14,3024.55
DRG392,PID190297,RIDLAAlexandria,22,6977.59,3506.27,2583.36
DRG394,PID190019,RIDLAAlexandria,29,25909.72,6280.58,4646.89
DRG394,PID190026,RIDLAAlexandria,37,37059.72,6307.13,5260.13
DRG418,PID190019,RIDLAAlexandria,18,58071.5,10177.83,9115.83
DRG418,PID190026,RIDLAAlexandria,18,70944.27,10655.5,9902.61
DRG419,PID190019,RIDLAAlexandria,15,34468.13,9336.6,5231.6
DRG419,PID190026,RIDLAAlexandria,26,53818.3,7854.3,6163.11
DRG439,PID190019,RIDLAAlexandria,13,25529.53,5737.46,4956.23
DRG439,PID190026,RIDLAAlexandria,16,33706.5,6352,5575.75
DRG460,PID190019,RIDLAAlexandria,28,74977.32,24834.21,19384.39
DRG460,PID190026,RIDLAAlexandria,54,90618.75,25189.18,21495.05
DRG460,PID190298,RIDLAAlexandria,64,70672.21,18395.81,16440.57
DRG470,PID190019,RIDLAAlexandria,158,46317.92,13183.66,10539.1
DRG470,PID190026,RIDLAAlexandria,112,60258.53,13640.35,11569.6
DRG470,PID190164,RIDLAAlexandria,30,92149.83,12443.76,10206.56
DRG470,PID190297,RIDLAAlexandria,17,26642.11,10510,9284.94
DRG470,PID190298,RIDLAAlexandria,136,60128.05,9931.55,8130.29
DRG473,PID190026,RIDLAAlexandria,15,63647.93,13046.6,12078.33
DRG473,PID190298,RIDLAAlexandria,25,49235.68,9516.28,8479.96
DRG480,PID190026,RIDLAAlexandria,14,120326.92,21382.71,20333.78
DRG481,PID190019,RIDLAAlexandria,45,44943.88,10506.77,9660.02
DRG481,PID190026,RIDLAAlexandria,48,57030.64,11657.79,10825.91
DRG482,PID190019,RIDLAAlexandria,28,40076.42,9454.82,7496.5
DRG482,PID190026,RIDLAAlexandria,17,48237.41,9575.41,8852.35
DRG491,PID190026,RIDLAAlexandria,13,44761.69,7520.15,4413.07
DRG491,PID190298,RIDLAAlexandria,16,34300.56,4573.25,3518
DRG536,PID190026,RIDLAAlexandria,13,23201.61,4479.69,3790.46
DRG552,PID190019,RIDLAAlexandria,18,24544.11,5127.77,3656
DRG552,PID190026,RIDLAAlexandria,27,25950.81,5079.25,3997.48
DRG563,PID190026,RIDLAAlexandria,11,24739.36,4504,3480.72
DRG602,PID190019,RIDLAAlexandria,16,32564.62,9711,6765.68
DRG602,PID190026,RIDLAAlexandria,16,46807.31,8848.93,7788.37
DRG603,PID190019,RIDLAAlexandria,76,18924.07,5120.77,3625.75
DRG603,PID190026,RIDLAAlexandria,87,25754.83,5183.19,4156.68
DRG603,PID190099,RIDLAAlexandria,44,14063.04,4999.88,4076.61
DRG603,PID190106,RIDLAAlexandria,22,13181,6023.5,5200.81
DRG603,PID190145,RIDLAAlexandria,12,10253.08,5377.5,4410.91
DRG603,PID190164,RIDLAAlexandria,47,16880.17,4524.14,3590.95
DRG603,PID190297,RIDLAAlexandria,19,6327.05,4132.21,3229.68
DRG638,PID190019,RIDLAAlexandria,33,20501.33,5109.15,3753.66
DRG638,PID190026,RIDLAAlexandria,39,36447.84,6028.76,4333.58
DRG638,PID190164,RIDLAAlexandria,13,19699.92,4552,3606.46
DRG640,PID190019,RIDLAAlexandria,31,24904.03,6541.09,5965.35
DRG640,PID190026,RIDLAAlexandria,32,34899.68,7230.03,6306.71
DRG641,PID190019,RIDLAAlexandria,82,18830.09,3992.42,3129.6
DRG641,PID190026,RIDLAAlexandria,57,19038.57,4344.68,3283.64
DRG641,PID190099,RIDLAAlexandria,20,12391.9,4148.6,3585.8
DRG641,PID190106,RIDLAAlexandria,19,12271.47,4971.78,4026.94
DRG641,PID190145,RIDLAAlexandria,22,10357.27,4600.68,3731.36
DRG641,PID190164,RIDLAAlexandria,51,19552.11,3817.07,2949.17
DRG682,PID190019,RIDLAAlexandria,58,39309.06,10007.75,8663.27
DRG682,PID190026,RIDLAAlexandria,60,45943.65,10421.71,9176.38
DRG682,PID190164,RIDLAAlexandria,17,44954,8753.35,7989.47
DRG683,PID190019,RIDLAAlexandria,103,25398.02,5711.73,4982.17
DRG683,PID190026,RIDLAAlexandria,79,26467.81,6789.08,5607.74
DRG683,PID190164,RIDLAAlexandria,26,32763.69,5614,5010.61
DRG684,PID190019,RIDLAAlexandria,14,19568.57,3736.14,2853.57
DRG684,PID190026,RIDLAAlexandria,11,16747.54,4027,2949.36
DRG684,PID190164,RIDLAAlexandria,13,15601,3610,3005.38
DRG689,PID190019,RIDLAAlexandria,24,34453.54,7184.66,6435.33
DRG689,PID190026,RIDLAAlexandria,44,36838.86,7632.15,6600.63
DRG689,PID190099,RIDLAAlexandria,23,27180.3,8099.13,6456.65
DRG689,PID190106,RIDLAAlexandria,13,19030,8564.23,8003.15
DRG689,PID190145,RIDLAAlexandria,25,17823.68,7839.68,6960.52
DRG690,PID190019,RIDLAAlexandria,87,20534.91,4694.25,3535.68
DRG690,PID190026,RIDLAAlexandria,116,25921.84,4948.82,4078.66
DRG690,PID190099,RIDLAAlexandria,123,15179.24,4744.82,3907
DRG690,PID190106,RIDLAAlexandria,29,13180.27,5614.06,4997.24
DRG690,PID190145,RIDLAAlexandria,62,11746.62,5216.69,4510.93
DRG690,PID190164,RIDLAAlexandria,58,23538.05,4391.68,3451.27
DRG698,PID190026,RIDLAAlexandria,24,62146.12,10752.2,8855.41
DRG699,PID190019,RIDLAAlexandria,15,21431,5688.66,4973.86
DRG811,PID190026,RIDLAAlexandria,16,33861.18,7950.5,7243
DRG812,PID190019,RIDLAAlexandria,37,16816.05,4525.35,3916.05
DRG812,PID190026,RIDLAAlexandria,66,20063.65,5138.59,4066.37
DRG812,PID190099,RIDLAAlexandria,26,9779.76,4815.92,4189.73
DRG812,PID190106,RIDLAAlexandria,11,15071.63,5702.45,4831.54
DRG812,PID190145,RIDLAAlexandria,14,15021.35,5303.85,4233
DRG812,PID190164,RIDLAAlexandria,49,17928.36,4361,3619.87
DRG853,PID190019,RIDLAAlexandria,26,109743.11,30302.23,28978
DRG853,PID190026,RIDLAAlexandria,22,170176,39227.13,32865.04
DRG870,PID190019,RIDLAAlexandria,20,132787.3,33323.35,32462.1
DRG870,PID190026,RIDLAAlexandria,41,202541.26,38954.14,36405.41
DRG871,PID190019,RIDLAAlexandria,120,48119.62,11007.1,10090.3
DRG871,PID190026,RIDLAAlexandria,227,66018.3,12373.71,11214.03
DRG871,PID190099,RIDLAAlexandria,24,40079.37,10885.83,10047.5
DRG871,PID190106,RIDLAAlexandria,31,37941.03,14500.22,13356.64
DRG871,PID190164,RIDLAAlexandria,46,69377.95,10926.54,10224.6
DRG872,PID190019,RIDLAAlexandria,41,25314.26,6985.8,5598.41
DRG872,PID190026,RIDLAAlexandria,82,33050.26,7089.39,6112.52
DRG872,PID190106,RIDLAAlexandria,22,17951.68,8007.18,7444.09
DRG872,PID190164,RIDLAAlexandria,28,40220.71,6301.89,5403.78
DRG872,PID190297,RIDLAAlexandria,18,9201.22,5506.38,4455.88
DRG917,PID190019,RIDLAAlexandria,13,30679.07,10068.15,6907.23
DRG917,PID190026,RIDLAAlexandria,16,34792.18,8864.43,8158.93
DRG918,PID190019,RIDLAAlexandria,12,21745.08,3549.66,2939.16
DRG918,PID190026,RIDLAAlexandria,22,22076.18,4118.95,2965.31
DRG948,PID190019,RIDLAAlexandria,25,17505.2,3857.48,3317.96
DRG948,PID190026,RIDLAAlexandria,30,22821.33,4381.2,3425.2
DRG948,PID190164,RIDLAAlexandria,12,17687.66,3599.5,2755.83
