drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID190015,RIDLABatonRouge,19,51236.1,6379.63,4810.31
DRG039,PID190064,RIDLABatonRouge,80,20987.01,6527.02,4826.7
DRG039,PID190065,RIDLABatonRouge,27,16632.33,6606.62,5107.96
DRG057,PID190015,RIDLABatonRouge,17,40850.29,6301,5307.82
DRG057,PID190064,RIDLABatonRouge,42,20070.69,5847.11,4707.5
DRG057,PID190065,RIDLABatonRouge,21,9278.85,6137.04,5440.85
DRG064,PID190015,RIDLABatonRouge,40,107287.35,12872.3,11819.62
DRG064,PID190064,RIDLABatonRouge,81,26284.22,11331.19,9820.48
DRG064,PID190065,RIDLABatonRouge,41,21154,11785.36,10964.87
DRG065,PID190015,RIDLABatonRouge,40,52482.75,7344.55,6454.7
DRG065,PID190020,RIDLABatonRouge,17,19537.88,6230.52,5006.35
DRG065,PID190064,RIDLABatonRouge,150,18290.88,7009.3,5673.67
DRG065,PID190065,RIDLABatonRouge,84,14620.28,7804.48,6064.51
DRG065,PID190202,RIDLABatonRouge,13,17961.53,6374.46,4690.23
DRG066,PID190015,RIDLABatonRouge,32,31004.09,5328.56,4192.59
DRG066,PID190064,RIDLABatonRouge,57,16553.19,6274.01,3844.61
DRG066,PID190065,RIDLABatonRouge,22,11632.63,5608.22,4253.86
DRG069,PID190015,RIDLABatonRouge,49,32574.83,4771.83,3625.22
DRG069,PID190064,RIDLABatonRouge,37,14587.4,4459.29,3330.21
DRG069,PID190065,RIDLABatonRouge,27,10933,5031.44,3611.92
DRG069,PID190202,RIDLABatonRouge,13,19209.3,4830.15,3792.61
DRG074,PID190015,RIDLABatonRouge,15,43969.13,5528.86,4764.4
DRG074,PID190064,RIDLABatonRouge,57,24493.14,6479.66,4205.54
DRG074,PID190065,RIDLABatonRouge,37,14028.54,5891.51,5183.67
DRG101,PID190015,RIDLABatonRouge,46,32553.65,4858.63,4019.95
DRG101,PID190064,RIDLABatonRouge,42,13789.47,4368.33,3433.23
DRG101,PID190065,RIDLABatonRouge,29,8032,5149.1,3948.93
DRG101,PID190202,RIDLABatonRouge,15,11959.8,4415.46,3813.86
DRG149,PID190015,RIDLABatonRouge,11,25406.18,4157.54,2973.81
DRG149,PID190064,RIDLABatonRouge,17,12186.41,4034.58,2621.41
DRG176,PID190015,RIDLABatonRouge,16,46062.12,7009.81,5758.56
DRG176,PID190064,RIDLABatonRouge,33,19050.96,6425.96,5246.45
DRG176,PID190065,RIDLABatonRouge,16,15891.18,7090.87,6177.5
DRG177,PID190015,RIDLABatonRouge,99,120135.51,14531.45,13060.74
DRG177,PID190064,RIDLABatonRouge,34,22043.23,11795.76,11003.29
DRG177,PID190065,RIDLABatonRouge,49,19997.34,13167.32,12492.69
