drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID190004,RIDLAHouma,35,20590.91,5471.68,4141.48
DRG039,PID190008,RIDLAHouma,12,29967.83,5778.66,4843.33
DRG064,PID190004,RIDLAHouma,34,29702.23,9371.76,8546
DRG064,PID190008,RIDLAHouma,17,35916.82,11828.23,8073.76
DRG065,PID190004,RIDLAHouma,41,19855.46,5707.04,4708.39
DRG065,PID190008,RIDLAHouma,38,27079.94,6589.21,5707.81
DRG066,PID190004,RIDLAHouma,25,16492.56,4393.8,2897.2
DRG066,PID190008,RIDLAHouma,32,19009.43,4968.68,3450.62
DRG069,PID190004,RIDLAHouma,21,14132.38,3843.47,2826.9
DRG069,PID190008,RIDLAHouma,14,13956.64,4160.64,3194.92
DRG101,PID190004,RIDLAHouma,16,12704.75,3927.56,2949.06
DRG101,PID190008,RIDLAHouma,12,16817.66,4578.16,3031.75
DRG176,PID190004,RIDLAHouma,13,22868.92,5460.15,4352.92
DRG176,PID190008,RIDLAHouma,15,15998.8,6042.6,5218.86
DRG177,PID190004,RIDLAHouma,22,41525.5,10197.5,9737.31
DRG177,PID190008,RIDLAHouma,21,51589.85,12390,11361.09
DRG178,PID190008,RIDLAHouma,22,31045.86,8569.31,7195.4
DRG189,PID190004,RIDLAHouma,38,24847.68,6735.34,6022.07
DRG189,PID190008,RIDLAHouma,32,31439.84,7457.37,6524.93
DRG190,PID190004,RIDLAHouma,34,26655.41,6263.7,5491.17
DRG190,PID190008,RIDLAHouma,59,35818.54,8964.64,5988.57
DRG190,PID190014,RIDLAHouma,20,30068.35,7710.95,7203.15
DRG191,PID190004,RIDLAHouma,49,20680.71,5257.24,4361.16
DRG191,PID190008,RIDLAHouma,55,24104,5495.3,4521.98
DRG191,PID190014,RIDLAHouma,34,19535.79,6701.55,5485.5
DRG191,PID190183,RIDLAHouma,11,10576.27,7048.72,6131.27
DRG192,PID190004,RIDLAHouma,38,16116.02,3770.89,2933.34
DRG192,PID190008,RIDLAHouma,50,16688.02,4097.28,3288.64
DRG192,PID190014,RIDLAHouma,49,19270.32,4997.08,3956.57
DRG192,PID190183,RIDLAHouma,21,9675.9,5239.61,4380.19
DRG193,PID190004,RIDLAHouma,33,30997.63,7407.57,6316.09
DRG193,PID190008,RIDLAHouma,39,42705.15,9707.64,7736.84
DRG193,PID190014,RIDLAHouma,12,36133.33,10004,9254.66
DRG194,PID190004,RIDLAHouma,38,18812,5377.26,4261.57
DRG194,PID190008,RIDLAHouma,53,27508.01,6061.09,4574.15
DRG194,PID190014,RIDLAHouma,28,29925.42,6721.64,6036.64
DRG194,PID190183,RIDLAHouma,20,15105.05,7345,6502.4
DRG195,PID190004,RIDLAHouma,27,14106.81,3924.07,2728.59
DRG195,PID190008,RIDLAHouma,59,16462.84,4089.25,2977.16
DRG195,PID190014,RIDLAHouma,21,20360.57,4791.57,3830.42
DRG195,PID190183,RIDLAHouma,14,8669.5,5158.14,4271
DRG202,PID190004,RIDLAHouma,19,20193.84,4420.63,3657.89
DRG202,PID190008,RIDLAHouma,15,16799.26,5433.86,3883.06
DRG203,PID190004,RIDLAHouma,11,12305.9,3192.63,2278.09
DRG203,PID190008,RIDLAHouma,22,17290.18,3753.81,2379.09
DRG207,PID190004,RIDLAHouma,22,92022.18,25856.77,24831.68
DRG207,PID190008,RIDLAHouma,29,125802.27,34210.34,32957.58
DRG208,PID190004,RIDLAHouma,26,35867.42,11910.3,11132.76
DRG208,PID190008,RIDLAHouma,51,67106.54,16624.68,13500.13
DRG238,PID190004,RIDLAHouma,12,65047.16,16192.33,15065.66
DRG238,PID190008,RIDLAHouma,20,82641.8,20264.35,17461.65
DRG243,PID190004,RIDLAHouma,13,41976.53,13420.15,12643.84
DRG243,PID190008,RIDLAHouma,11,44611.63,15076.9,14153.63
DRG244,PID190008,RIDLAHouma,16,27076.87,11568.87,10723.87
DRG246,PID190004,RIDLAHouma,18,84018.27,17257.77,14905.88
DRG246,PID190008,RIDLAHouma,24,67917.83,18093.2,17299.37
DRG247,PID190004,RIDLAHouma,54,80801.12,14410.79,8304.77
DRG247,PID190008,RIDLAHouma,57,42417.87,11966,8883.07
DRG249,PID190004,RIDLAHouma,14,59384.28,16149.5,5384.57
DRG249,PID190008,RIDLAHouma,14,42115.42,10091.35,9123.35
DRG251,PID190008,RIDLAHouma,13,49365.3,10212.61,9366.07
DRG252,PID190004,RIDLAHouma,15,47904.66,15638.26,15112.13
DRG252,PID190008,RIDLAHouma,15,64165.33,17450.73,16626.93
DRG253,PID190008,RIDLAHouma,19,72347.26,15281,12999.73
DRG254,PID190008,RIDLAHouma,17,44293.35,12226.47,7034.64
DRG280,PID190004,RIDLAHouma,23,42618.08,9375.82,8689.56
DRG280,PID190008,RIDLAHouma,15,51709.53,10245.26,9423.6
DRG280,PID190014,RIDLAHouma,11,37418,12015.54,11295.18
DRG281,PID190004,RIDLAHouma,11,25454.18,6449.81,4868.81
DRG281,PID190008,RIDLAHouma,19,28731.42,6749.15,5981.36
DRG281,PID190014,RIDLAHouma,14,32459.21,7163.42,6521.14
DRG282,PID190008,RIDLAHouma,14,22740.57,4568.92,3529.21
DRG286,PID190008,RIDLAHouma,13,46729.07,12323.23,9707.3
DRG287,PID190004,RIDLAHouma,24,26036.83,5952.16,4611.58
DRG287,PID190008,RIDLAHouma,61,29653.03,6725.98,5178.6
DRG287,PID190183,RIDLAHouma,18,18810,7624.72,7001.16
DRG291,PID190004,RIDLAHouma,88,29488.28,7620.11,7017.03
DRG291,PID190008,RIDLAHouma,54,40797.79,8590.27,7471.66
DRG291,PID190014,RIDLAHouma,24,35641.29,10516.2,8793.95
DRG292,PID190004,RIDLAHouma,140,20625.47,5269.01,4574.97
DRG292,PID190008,RIDLAHouma,100,19903.93,5739.16,5023.86
DRG292,PID190014,RIDLAHouma,39,21456,6955.3,6247.25
DRG292,PID190183,RIDLAHouma,12,6659.58,6800.83,6056.83
DRG293,PID190004,RIDLAHouma,19,12310.36,3494.63,2726.84
DRG293,PID190008,RIDLAHouma,52,14673.61,3863.82,2994.4
DRG293,PID190014,RIDLAHouma,28,14098.32,4627.1,4040.35
DRG293,PID190183,RIDLAHouma,18,8872.88,4953.66,4141.44
DRG300,PID190004,RIDLAHouma,21,19228.71,4902.9,4368.42
DRG300,PID190008,RIDLAHouma,13,16713,5849.53,3981.53
DRG301,PID190008,RIDLAHouma,16,17164.87,4136.56,2551.75
DRG301,PID190014,RIDLAHouma,11,14619.9,4474.72,3525
DRG308,PID190004,RIDLAHouma,25,28975.64,6486.68,5632.76
DRG308,PID190008,RIDLAHouma,19,35747.57,8044.89,5781.63
DRG309,PID190004,RIDLAHouma,34,14826.41,4407.14,3580.44
DRG309,PID190008,RIDLAHouma,29,21641.24,4763.31,4103.03
DRG309,PID190014,RIDLAHouma,16,19240.43,5671,4855.5
DRG310,PID190004,RIDLAHouma,33,10834.12,3040.57,1992.12
DRG310,PID190008,RIDLAHouma,58,9577.79,3231.37,2342.41
DRG310,PID190014,RIDLAHouma,18,14378.61,4338.33,2709.33
DRG312,PID190004,RIDLAHouma,20,13896.65,3767,2759.4
DRG312,PID190008,RIDLAHouma,15,13019.4,4344.2,2889.2
DRG312,PID190014,RIDLAHouma,25,19252.76,4893,4039.36
DRG313,PID190004,RIDLAHouma,18,10602.77,3027.05,1856
DRG313,PID190008,RIDLAHouma,15,13178.26,3130.4,2306.66
DRG313,PID190014,RIDLAHouma,17,16323.23,3806.11,2770.58
DRG314,PID190004,RIDLAHouma,16,35303.93,9538.5,9047.25
DRG314,PID190008,RIDLAHouma,28,35950.46,10042.75,9319.53
DRG315,PID190008,RIDLAHouma,11,17791.27,5430.72,4610.36
DRG329,PID190004,RIDLAHouma,14,79139.57,27116.28,23354
DRG329,PID190008,RIDLAHouma,18,139776,35430.77,34429.94
DRG330,PID190004,RIDLAHouma,25,57021.32,13993.24,11397.88
DRG330,PID190008,RIDLAHouma,21,55814.52,15029.04,13145.28
DRG377,PID190004,RIDLAHouma,29,39205.34,8888.48,7770.17
DRG377,PID190008,RIDLAHouma,20,51980.5,10872.05,9831.35
DRG378,PID190004,RIDLAHouma,41,21423.8,5321.51,4306.6
DRG378,PID190008,RIDLAHouma,37,19470.13,5842.56,4770.86
DRG378,PID190014,RIDLAHouma,12,21141.58,6957.41,6225.25
DRG379,PID190004,RIDLAHouma,20,9884.95,3763.65,2688.8
DRG379,PID190008,RIDLAHouma,19,20191.57,4062.52,3293.05
DRG389,PID190004,RIDLAHouma,27,21361.44,4845.11,3828.4
DRG389,PID190008,RIDLAHouma,11,22368.36,5354.63,4406.27
DRG390,PID190008,RIDLAHouma,19,10539.1,3768.42,2243.42
DRG391,PID190004,RIDLAHouma,16,26028.37,6308.12,5016.87
DRG391,PID190008,RIDLAHouma,13,37663.61,8783.23,5809.23
DRG392,PID190004,RIDLAHouma,51,13324.86,4037.98,2594.52
DRG392,PID190008,RIDLAHouma,47,17255.87,4345.59,3097.4
DRG392,PID190014,RIDLAHouma,30,17051.1,4887.73,3850.4
DRG392,PID190183,RIDLAHouma,14,8881.57,5202.78,4113.5
DRG394,PID190008,RIDLAHouma,15,21382.33,5688,4755.2
DRG419,PID190004,RIDLAHouma,11,23436,6151,5021.9
DRG419,PID190008,RIDLAHouma,11,25938.54,8980.9,5212.9
DRG439,PID190004,RIDLAHouma,13,16357.61,5313.69,4791.23
DRG460,PID190004,RIDLAHouma,48,90724.39,21654.47,16922.89
DRG460,PID190008,RIDLAHouma,38,86272.26,23256.81,18607.89
DRG470,PID190004,RIDLAHouma,98,54590.39,11749.51,8982.51
DRG470,PID190008,RIDLAHouma,131,41462.69,12170.83,10164.18
DRG470,PID190014,RIDLAHouma,16,112491.06,14625.06,13579.75
DRG470,PID190183,RIDLAHouma,27,22588.03,15173.37,14091.59
DRG470,PID190241,RIDLAHouma,19,38649.42,10327.52,9231
DRG473,PID190004,RIDLAHouma,26,51265.38,11815.07,9036.73
DRG473,PID190008,RIDLAHouma,30,41005.3,11858.76,10378.86
DRG481,PID190004,RIDLAHouma,31,40759.77,9591.83,8530.96
DRG481,PID190008,RIDLAHouma,23,37066.86,10514,9639.21
DRG482,PID190004,RIDLAHouma,16,36620.12,8190.75,6437.5
DRG482,PID190008,RIDLAHouma,26,27475.42,8664,7632.61
DRG491,PID190004,RIDLAHouma,20,17926.3,5266.75,3953.9
