drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID190002,RIDLALafayette,45,20048.35,6914.91,4895.4
DRG039,PID190102,RIDLALafayette,16,22864,5681.62,4581
DRG039,PID190205,RIDLALafayette,43,51507.48,6785.69,5689.97
DRG039,PID190263,RIDLALafayette,110,18758.55,5348.6,4115
DRG057,PID190002,RIDLALafayette,16,17397.31,6407.06,4421.62
DRG057,PID190102,RIDLALafayette,12,16010.16,4933.25,4275.58
DRG064,PID190002,RIDLALafayette,38,48459.63,11495.39,10809.84
DRG064,PID190017,RIDLALafayette,25,27363.88,12896.04,11996.84
DRG064,PID190102,RIDLALafayette,60,31542.05,10969.05,9855.15
DRG064,PID190167,RIDLALafayette,11,33599.18,11842.81,11025.36
DRG065,PID190002,RIDLALafayette,66,26331.56,8566.1,5425.51
DRG065,PID190003,RIDLALafayette,13,35021.15,7188.92,6238.46
DRG065,PID190017,RIDLALafayette,34,15406.55,7208.52,6169.38
DRG065,PID190044,RIDLALafayette,13,7406.92,6227.92,5533.76
DRG065,PID190053,RIDLALafayette,28,13187.17,5844.5,4840.78
DRG065,PID190054,RIDLALafayette,14,31243.92,6177.64,4817.21
DRG065,PID190102,RIDLALafayette,96,21978.07,6780.23,5155.42
DRG065,PID190167,RIDLALafayette,16,16772.31,6856.43,6223.68
DRG065,PID190205,RIDLALafayette,22,33916.68,7388.95,6727.31
DRG066,PID190002,RIDLALafayette,49,17746.59,5480.36,3668.53
DRG066,PID190017,RIDLALafayette,20,12570.65,5277.8,4267
DRG066,PID190053,RIDLALafayette,24,10341.54,4263.5,3422.5
DRG066,PID190054,RIDLALafayette,22,19043.13,4230.4,3189.95
DRG066,PID190102,RIDLALafayette,45,17011.75,5011.22,3482.4
DRG066,PID190167,RIDLALafayette,16,16076.43,5190.62,4416.37
DRG069,PID190002,RIDLALafayette,48,14260.91,4426.72,3220.6
DRG069,PID190054,RIDLALafayette,14,16791.42,3963,2930.14
DRG069,PID190102,RIDLALafayette,41,15612.68,4105.78,3065.07
DRG069,PID190167,RIDLALafayette,18,12114.72,4664.77,3795
DRG069,PID190205,RIDLALafayette,15,17553.4,4787.73,3664.26
DRG074,PID190002,RIDLALafayette,15,23128.53,5679.4,4798.6
DRG074,PID190017,RIDLALafayette,11,14702.72,5894.45,4234.72
DRG074,PID190102,RIDLALafayette,14,18264.28,4800.14,3998.42
DRG101,PID190002,RIDLALafayette,19,19995.89,4449.73,3796.05
DRG101,PID190102,RIDLALafayette,40,16561.37,4268.3,3285
DRG101,PID190167,RIDLALafayette,12,16431.5,4429.25,3449.41
DRG149,PID190002,RIDLALafayette,14,11645,3783.35,2820.5
DRG176,PID190002,RIDLALafayette,26,22941.76,6350.69,5439.15
DRG176,PID190102,RIDLALafayette,13,17482.69,7216.92,4336
DRG177,PID190002,RIDLALafayette,28,45075.96,12016.03,11288.03
DRG177,PID190017,RIDLALafayette,44,30438.79,13074.29,12633.4
DRG177,PID190053,RIDLALafayette,18,32123.38,11233,10660.61
DRG177,PID190102,RIDLALafayette,38,34453.05,11074.6,10282.57
DRG178,PID190002,RIDLALafayette,33,43529.66,9603.33,7659.9
DRG178,PID190017,RIDLALafayette,49,24863.69,9634,8719.87
DRG178,PID190025,RIDLALafayette,12,42386.58,7694.5,5438.5
DRG178,PID190034,RIDLALafayette,12,24959.58,8770.58,8071.08
DRG178,PID190053,RIDLALafayette,42,27533.64,8057.73,7533.71
DRG178,PID190102,RIDLALafayette,38,20866.13,8023.44,7315.23
DRG178,PID190167,RIDLALafayette,22,28972.31,9402.72,8602.86
DRG189,PID190002,RIDLALafayette,27,29435.25,7883.14,6536.74
DRG189,PID190017,RIDLALafayette,12,19873.66,8465,8087.66
DRG189,PID190054,RIDLALafayette,55,34439.3,6964.58,6067.96
DRG189,PID190102,RIDLALafayette,27,23979,7271.51,6327.59
DRG190,PID190002,RIDLALafayette,51,24095.72,6995.35,6249.68
DRG190,PID190017,RIDLALafayette,41,21535.24,7689.87,6936.85
DRG190,PID190044,RIDLALafayette,17,7521.17,6533.41,5661
DRG190,PID190053,RIDLALafayette,25,15069.68,6048.96,5407.88
DRG190,PID190054,RIDLALafayette,26,27258.76,6243,5547.61
DRG190,PID190102,RIDLALafayette,60,17514.46,8178.06,4996.9
DRG190,PID190167,RIDLALafayette,36,22190.75,7703.33,6489.86
DRG190,PID190205,RIDLALafayette,27,34980.18,7938.81,7282.03
DRG191,PID190002,RIDLALafayette,74,21275.06,5714.21,4952.86
DRG191,PID190003,RIDLALafayette,14,18226.28,6427.42,5464
DRG191,PID190017,RIDLALafayette,28,16903.85,6386.89,5706.46
DRG191,PID190025,RIDLALafayette,17,20753.41,5185.94,4392.52
DRG191,PID190044,RIDLALafayette,27,5997.25,5320.7,4427.29
DRG191,PID190053,RIDLALafayette,45,13143.53,5155.26,4310.35
DRG191,PID190054,RIDLALafayette,25,22050.8,5099.24,4289.32
DRG191,PID190102,RIDLALafayette,58,15571.87,5579.05,4383.36
DRG191,PID190167,RIDLALafayette,46,16595.71,6110.41,5400.93
DRG191,PID190205,RIDLALafayette,18,30601.22,6247.61,5155.22
DRG192,PID190002,RIDLALafayette,89,17072.97,5254.32,3345.29
DRG192,PID190017,RIDLALafayette,35,12913.54,4767.57,3832.74
DRG192,PID190025,RIDLALafayette,41,18467.19,3881.8,3144.14
DRG192,PID190034,RIDLALafayette,15,17578.86,5007.73,4318.73
DRG192,PID190044,RIDLALafayette,28,4913.5,4008,3159.17
DRG192,PID190053,RIDLALafayette,60,10190.6,3851.96,3093.05
DRG192,PID190054,RIDLALafayette,51,15637.58,3762.41,2850.49
DRG192,PID190102,RIDLALafayette,52,12170.63,5087.23,2850.44
DRG192,PID190167,RIDLALafayette,75,12687.37,4911.88,3630.69
DRG192,PID190205,RIDLALafayette,26,23732.42,4547.42,3805
DRG193,PID190002,RIDLALafayette,36,40180.05,11265.5,8157.41
DRG193,PID190003,RIDLALafayette,11,39010.36,9099.72,8285.18
DRG193,PID190017,RIDLALafayette,43,25772.79,9265.6,8367.67
DRG193,PID190025,RIDLALafayette,14,30657.07,7980,7342.28
DRG193,PID190044,RIDLALafayette,13,13644.38,7749.07,6791.23
DRG193,PID190053,RIDLALafayette,30,23657.53,8215.3,7619.03
DRG193,PID190054,RIDLALafayette,28,41323.35,7864.21,7100.64
DRG193,PID190102,RIDLALafayette,59,23786.86,8808.79,7148.61
DRG193,PID190167,RIDLALafayette,29,27117.27,10668.82,7830.86
