drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID190045,RIDLAMetairie,19,36367.36,7639.05,4704.68
DRG039,PID190146,RIDLAMetairie,19,27083.57,6234,5226.21
DRG039,PID190177,RIDLAMetairie,13,62214.15,6070.23,5032.69
DRG064,PID190045,RIDLAMetairie,16,54053.31,10388.87,9691.37
DRG064,PID190146,RIDLAMetairie,27,37594.7,11553.96,10039.18
DRG064,PID190274,RIDLAMetairie,13,51386.3,12069.69,11460.15
DRG065,PID190045,RIDLAMetairie,24,34011.91,6761.58,5247.5
DRG065,PID190146,RIDLAMetairie,87,18822.86,6415.22,5077.48
DRG065,PID190177,RIDLAMetairie,24,45832.79,7009.08,5619.2
DRG066,PID190045,RIDLAMetairie,28,22114.17,4704.07,3634.78
DRG066,PID190146,RIDLAMetairie,39,14322.61,4662.58,3312.02
DRG069,PID190045,RIDLAMetairie,26,20096.5,4277.84,3455.53
DRG069,PID190146,RIDLAMetairie,30,14356.86,4317.5,3009.36
DRG069,PID190177,RIDLAMetairie,12,25777.33,4249.41,2968.75
DRG074,PID190274,RIDLAMetairie,30,22162.06,6235.9,4956.43
DRG101,PID190146,RIDLAMetairie,18,18040.22,4353.77,3338.27
DRG176,PID190146,RIDLAMetairie,18,23768.66,6274.44,4655
DRG177,PID190001,RIDLAMetairie,12,20052.08,10773.41,10236.33
DRG177,PID190045,RIDLAMetairie,22,67023.68,11755.77,10881.45
DRG177,PID190146,RIDLAMetairie,33,33687.06,11202.33,9971.54
DRG177,PID190177,RIDLAMetairie,27,82221.77,11950.74,11095.29
DRG177,PID190274,RIDLAMetairie,11,58086.72,14972,14386.81
DRG178,PID190001,RIDLAMetairie,15,18334.53,7937.13,6733.93
DRG178,PID190045,RIDLAMetairie,26,41260.38,8184.11,7438
DRG178,PID190146,RIDLAMetairie,32,29584.96,8429.84,6969.15
DRG178,PID190177,RIDLAMetairie,13,39722.69,7890.76,7500.15
DRG178,PID190274,RIDLAMetairie,15,38748.26,11548.46,8931.66
DRG189,PID190001,RIDLAMetairie,12,17377.66,7199.5,5436.75
DRG189,PID190045,RIDLAMetairie,29,42854.89,7682.48,6652.41
DRG189,PID190146,RIDLAMetairie,28,21435.75,7197.85,6544.6
