drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID190125,RIDLAMonroe,32,34134.31,6174.06,5052.06
DRG039,PID190160,RIDLAMonroe,26,37827.42,5873.61,4906.8
DRG064,PID190125,RIDLAMonroe,57,35938.35,10986.85,9874.49
DRG064,PID190160,RIDLAMonroe,26,41026.34,10647.88,9953.69
DRG065,PID190116,RIDLAMonroe,15,9233.46,7248,6350.93
DRG065,PID190125,RIDLAMonroe,72,25985.95,7208.58,6098.54
DRG065,PID190160,RIDLAMonroe,61,30880.68,6454.24,5554.9
DRG066,PID190125,RIDLAMonroe,30,22671.16,5749.8,3812.46
DRG066,PID190160,RIDLAMonroe,37,19455.54,4685.86,3666.62
DRG069,PID190125,RIDLAMonroe,30,22116.06,5250.8,3672.03
DRG069,PID190160,RIDLAMonroe,46,18439.52,4181,3421.6
DRG074,PID190125,RIDLAMonroe,23,23926.91,5164.3,4726.91
DRG101,PID190125,RIDLAMonroe,18,15480.66,4562.33,3671.88
DRG101,PID190160,RIDLAMonroe,20,17330.15,4358,3499.25
DRG149,PID190160,RIDLAMonroe,13,20870.61,3654,2703.53
DRG176,PID190125,RIDLAMonroe,26,27001.57,6427.73,5650.19
DRG176,PID190160,RIDLAMonroe,19,29787.26,6191.47,4803.57
DRG177,PID190125,RIDLAMonroe,65,38226.84,12359.06,10728.27
DRG177,PID190160,RIDLAMonroe,17,47027.94,11022.58,10410.41
DRG178,PID190116,RIDLAMonroe,18,12362,8900.27,8154.5
DRG178,PID190125,RIDLAMonroe,72,26306.94,9380,7574.56
DRG178,PID190140,RIDLAMonroe,37,12634.45,9088.05,8510.21
DRG178,PID190160,RIDLAMonroe,23,38660.69,8038.86,7750.52
DRG189,PID190125,RIDLAMonroe,31,26329.51,9238.48,6451.7
DRG190,PID190125,RIDLAMonroe,60,24380.08,7750.75,6052.96
DRG190,PID190160,RIDLAMonroe,103,38308.66,6818.1,5938.1
DRG190,PID190190,RIDLAMonroe,26,9855.3,6295.3,5474.23
DRG191,PID190081,RIDLAMonroe,22,6947.13,6006,5288.68
DRG191,PID190116,RIDLAMonroe,12,11004.91,5941.91,5197.91
DRG191,PID190125,RIDLAMonroe,69,21726.44,5928.3,5001.97
DRG191,PID190140,RIDLAMonroe,36,10367.05,6073.72,5478.05
DRG191,PID190151,RIDLAMonroe,19,7524.05,6308.78,5448.26
DRG191,PID190160,RIDLAMonroe,47,28752.1,5529.65,4698.68
DRG191,PID190190,RIDLAMonroe,39,9295.82,5258.46,4566.76
DRG191,PID190208,RIDLAMonroe,12,4771.91,6212,5474.08
DRG192,PID190011,RIDLAMonroe,14,6846.21,5734.71,4781.21
DRG192,PID190081,RIDLAMonroe,77,6992.88,4449.38,3686.76
DRG192,PID190116,RIDLAMonroe,25,8547.32,4479.24,3666.76
DRG192,PID190125,RIDLAMonroe,34,15147.23,4532.08,3260.94
DRG192,PID190140,RIDLAMonroe,19,7047.57,4650.26,3884.15
DRG192,PID190151,RIDLAMonroe,22,8077.18,4801.9,3983
DRG192,PID190160,RIDLAMonroe,68,21552.02,4119.22,3329.1
DRG192,PID190184,RIDLAMonroe,21,9071.8,5178.04,4486.42
DRG192,PID190190,RIDLAMonroe,34,7040.17,3948.94,3054.7
DRG192,PID190208,RIDLAMonroe,32,4759.37,4551.25,4017.78
DRG193,PID190125,RIDLAMonroe,65,37106.93,9348.32,8502.66
DRG193,PID190160,RIDLAMonroe,76,43583.6,8170.1,7306.34
DRG194,PID190011,RIDLAMonroe,16,12044.43,8094.56,7114.12
DRG194,PID190081,RIDLAMonroe,42,9496.28,6222.19,5227.8
DRG194,PID190116,RIDLAMonroe,42,14122.95,6092.47,5528
DRG194,PID190125,RIDLAMonroe,95,21951.6,6037.09,5150.25
DRG194,PID190140,RIDLAMonroe,91,11653.89,6576.16,5900.37
DRG194,PID190151,RIDLAMonroe,21,13778.9,6609.04,5924.04
DRG194,PID190160,RIDLAMonroe,116,32831.31,6402.23,4856
DRG194,PID190184,RIDLAMonroe,14,13175.64,7345.85,6865.28
DRG195,PID190011,RIDLAMonroe,11,9570.36,5562.81,4742.45
DRG195,PID190081,RIDLAMonroe,32,7050.65,4369.18,3563.56
DRG195,PID190116,RIDLAMonroe,20,7730.45,4329.8,3597.2
DRG195,PID190125,RIDLAMonroe,27,12746.77,4491.66,3263
DRG195,PID190140,RIDLAMonroe,16,8475,4649.25,3719.81
DRG195,PID190151,RIDLAMonroe,18,7817.72,4703.55,4146.44
DRG195,PID190160,RIDLAMonroe,74,20168.59,4112.36,3120.32
DRG202,PID190125,RIDLAMonroe,22,16753.81,5054.27,4079.54
DRG202,PID190140,RIDLAMonroe,14,9594.57,5565,4594.71
DRG202,PID190160,RIDLAMonroe,15,27319.13,4818,3920.93
DRG202,PID190190,RIDLAMonroe,12,8495.58,4625,3781.33
DRG203,PID190116,RIDLAMonroe,17,6817.11,3778,2786.7
DRG203,PID190140,RIDLAMonroe,11,5051.81,4004.63,2981.36
DRG203,PID190160,RIDLAMonroe,12,15279.08,3478,2537.33
DRG203,PID190190,RIDLAMonroe,15,7126.86,3339,2592.86
DRG203,PID190208,RIDLAMonroe,12,3724.25,3880,3138.66
DRG207,PID190125,RIDLAMonroe,29,100969.34,30888.51,30164.86
DRG207,PID190160,RIDLAMonroe,34,115702.14,27736.35,26791.38
DRG208,PID190125,RIDLAMonroe,33,44069.81,14671.78,12440.33
DRG208,PID190160,RIDLAMonroe,47,72156.23,13102.23,12121.74
DRG238,PID190125,RIDLAMonroe,28,64629.14,19452.89,17539.6
DRG238,PID190160,RIDLAMonroe,12,99450.58,17633,16600.66
DRG243,PID190125,RIDLAMonroe,32,59821.96,16999.37,16190.71
DRG243,PID190160,RIDLAMonroe,12,63671,15161,14388.08
DRG244,PID190125,RIDLAMonroe,12,44613.83,13300.5,12273.5
DRG244,PID190160,RIDLAMonroe,21,60060.38,11859.38,9770.8
DRG246,PID190125,RIDLAMonroe,34,94573.47,20801.29,19859.94
DRG246,PID190160,RIDLAMonroe,24,154662.41,20137.95,19290.29
DRG247,PID190125,RIDLAMonroe,59,67114.33,12400.33,11109.54
DRG247,PID190160,RIDLAMonroe,54,107959.31,11684.29,10017.4
DRG247,PID190246,RIDLAMonroe,34,42590.94,9610,8520.7
DRG249,PID190125,RIDLAMonroe,28,60133.21,10681,9708.03
DRG249,PID190160,RIDLAMonroe,27,83175.62,10386.25,9468.62
DRG251,PID190125,RIDLAMonroe,16,67947.37,11313,10397.18
DRG252,PID190125,RIDLAMonroe,37,70377.78,20148.83,19586.7
DRG252,PID190160,RIDLAMonroe,21,72464.33,17018,16452
DRG253,PID190125,RIDLAMonroe,23,72646.43,16776.69,15999
DRG253,PID190160,RIDLAMonroe,14,57271.5,13735,13333
DRG254,PID190125,RIDLAMonroe,15,35032.4,9690.66,8787.2
DRG254,PID190160,RIDLAMonroe,28,53394,9238,8472.14
DRG280,PID190125,RIDLAMonroe,36,46642.83,12233.52,11484.16
DRG280,PID190160,RIDLAMonroe,41,54800.73,10434.73,9625.51
DRG281,PID190125,RIDLAMonroe,12,30961.66,6996.25,5813.58
DRG281,PID190160,RIDLAMonroe,18,45656.44,6813,5999
DRG282,PID190160,RIDLAMonroe,26,31390.03,4595.88,3861.88
DRG286,PID190125,RIDLAMonroe,39,48847.05,12660.33,11908.94
DRG286,PID190160,RIDLAMonroe,16,59935.56,11447,10745.5
DRG287,PID190125,RIDLAMonroe,136,31227.91,6737.01,5458.68
DRG287,PID190160,RIDLAMonroe,107,38659.5,6264.85,5128.69
DRG291,PID190116,RIDLAMonroe,12,10217.75,8283.83,7841.08
DRG291,PID190125,RIDLAMonroe,115,31123.46,9276.09,8272.31
DRG291,PID190151,RIDLAMonroe,14,11090.42,9026.21,8305.35
DRG291,PID190160,RIDLAMonroe,93,47438.9,8454.81,7733.55
DRG292,PID190011,RIDLAMonroe,20,15012.4,8216.4,7430.4
DRG292,PID190081,RIDLAMonroe,20,9114.75,6117.65,5781.25
DRG292,PID190116,RIDLAMonroe,18,10755.38,6222.22,5659.77
