drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID190036,RIDLANewOrleans,16,45992,8159.56,4747.75
DRG039,PID190039,RIDLANewOrleans,15,49305.26,7031.4,5082.8
DRG039,PID190046,RIDLANewOrleans,13,35290.23,7010.92,5598.76
DRG057,PID190036,RIDLANewOrleans,21,19333.61,5904.38,5290.33
DRG064,PID190036,RIDLANewOrleans,62,59083.72,15380.2,14011.12
DRG064,PID190039,RIDLANewOrleans,30,46955.7,11278.56,10511.96
DRG064,PID190046,RIDLANewOrleans,19,60104.1,14733.26,12119.73
DRG064,PID190176,RIDLANewOrleans,21,149711.52,21390.14,17090.52
DRG065,PID190036,RIDLANewOrleans,85,24876.81,8006.87,7032.64
DRG065,PID190039,RIDLANewOrleans,40,30477.87,7026.45,6180.65
DRG065,PID190046,RIDLANewOrleans,47,36829.4,7910.76,6906
DRG065,PID190176,RIDLANewOrleans,28,75697.07,11039.42,8373.5
DRG066,PID190036,RIDLANewOrleans,23,19492.34,5774.6,4343.34
DRG066,PID190039,RIDLANewOrleans,15,19290.8,7323.46,3848.73
DRG066,PID190046,RIDLANewOrleans,13,30364.46,5749.53,4330.15
DRG066,PID190176,RIDLANewOrleans,21,42310.9,6949.14,5875.61
DRG069,PID190036,RIDLANewOrleans,68,19040.35,5337.57,4083.72
DRG069,PID190039,RIDLANewOrleans,36,23417.19,4559.5,3505.83
DRG069,PID190046,RIDLANewOrleans,21,20795.95,5017.04,3994.38
DRG069,PID190176,RIDLANewOrleans,23,33939.95,6197.82,5318.86
DRG074,PID190036,RIDLANewOrleans,30,21098.1,6347.2,4901.23
DRG101,PID190036,RIDLANewOrleans,48,14729.64,5418.16,4476.41
DRG101,PID190039,RIDLANewOrleans,22,16523.59,4737.13,3765.31
DRG101,PID190046,RIDLANewOrleans,20,22781.7,5154.95,4257.35
DRG101,PID190135,RIDLANewOrleans,15,11848.86,4431.2,3065.73
DRG101,PID190176,RIDLANewOrleans,18,26038.55,6518.94,5307.38
DRG149,PID190036,RIDLANewOrleans,11,17043.45,4541,3775
DRG176,PID190036,RIDLANewOrleans,17,18157.64,7317.11,6006.88
DRG177,PID190036,RIDLANewOrleans,39,35176.17,13659.76,11821.12
DRG177,PID190039,RIDLANewOrleans,25,46523.68,12982.48,12231.72
DRG178,PID190036,RIDLANewOrleans,35,17093.74,9093.74,8177.08
DRG178,PID190039,RIDLANewOrleans,13,32001.92,8365.76,7758.69
DRG178,PID190046,RIDLANewOrleans,17,49625.52,9918,8751.11
DRG178,PID190079,RIDLANewOrleans,13,21002.69,9218.69,6864.61
DRG178,PID190176,RIDLANewOrleans,11,54808.54,13130.36,10847.36
DRG189,PID190036,RIDLANewOrleans,46,23308.1,9135.78,8537.08
DRG189,PID190039,RIDLANewOrleans,12,21787.66,8072,7603
DRG189,PID190046,RIDLANewOrleans,22,43506.81,8790.09,8037.68
DRG189,PID190176,RIDLANewOrleans,16,62142.56,15177.18,9200.62
DRG190,PID190036,RIDLANewOrleans,68,16760.57,7731.66,6785.75
DRG190,PID190039,RIDLANewOrleans,35,39221.11,7390.2,6858.37
DRG190,PID190046,RIDLANewOrleans,48,47337.68,8517.02,7383.04
DRG190,PID190135,RIDLANewOrleans,11,17802.72,6531,5916.45
DRG190,PID190176,RIDLANewOrleans,40,41305.95,9827.05,8703.42
DRG191,PID190036,RIDLANewOrleans,82,14973.23,6697.57,5963.63
DRG191,PID190039,RIDLANewOrleans,48,29473.43,6026.33,5245.45
DRG191,PID190046,RIDLANewOrleans,26,34320.07,6681.23,5944.76
DRG191,PID190176,RIDLANewOrleans,26,35621.96,8245.8,7442.8
DRG192,PID190036,RIDLANewOrleans,29,11690.55,4998.65,4069.2
DRG192,PID190039,RIDLANewOrleans,34,19670.79,4445.11,3754.41
DRG192,PID190176,RIDLANewOrleans,19,19937.31,6109.78,5462.84
DRG193,PID190036,RIDLANewOrleans,63,22392.17,10120.2,8705.23
DRG193,PID190039,RIDLANewOrleans,29,35356.1,9285.31,8480.58
DRG193,PID190046,RIDLANewOrleans,32,55745.84,10588.21,9151.37
DRG193,PID190176,RIDLANewOrleans,17,45631.41,12334.29,11936.64
DRG194,PID190036,RIDLANewOrleans,83,16761.65,6957.31,6063.87
DRG194,PID190039,RIDLANewOrleans,43,28244.65,6357.58,5416.06
DRG194,PID190046,RIDLANewOrleans,56,37561.55,6961.19,6095.98
DRG194,PID190135,RIDLANewOrleans,11,18067.27,4998.18,4489.45
DRG194,PID190176,RIDLANewOrleans,27,27214.29,8499.77,7525.85
DRG195,PID190039,RIDLANewOrleans,20,19240,4472,3466
DRG195,PID190046,RIDLANewOrleans,24,31598.75,5107.66,3552.45
DRG195,PID190176,RIDLANewOrleans,11,22349.54,5999.63,4973.45
DRG202,PID190036,RIDLANewOrleans,29,12026.34,6424.89,5002.34
DRG202,PID190046,RIDLANewOrleans,18,26918.94,5781.77,4413.33
DRG207,PID190036,RIDLANewOrleans,18,118895.16,36748.5,35964.27
DRG207,PID190039,RIDLANewOrleans,16,92999.43,32099.18,31414.87
