drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID190041,RIDLAShreveport,11,25752.9,10501.81,4435.36
DRG039,PID190111,RIDLAShreveport,33,27845.87,6359.21,5010.45
DRG057,PID190041,RIDLAShreveport,13,21899.07,5701.3,5094.23
DRG057,PID190098,RIDLAShreveport,15,8980.4,8000.4,7310.86
DRG057,PID190111,RIDLAShreveport,34,21429.35,5521.29,4402.67
DRG057,PID190236,RIDLAShreveport,12,18638.16,4896.5,4058.16
DRG064,PID190041,RIDLAShreveport,32,48940.75,11692.12,10819.78
DRG064,PID190098,RIDLAShreveport,18,23237.66,17133.16,16539.27
DRG064,PID190111,RIDLAShreveport,56,36178.28,10982.28,9359.83
DRG064,PID190236,RIDLAShreveport,22,37555.77,10465.18,8506.9
DRG065,PID190041,RIDLAShreveport,42,31452.23,7110.38,6227.04
DRG065,PID190086,RIDLAShreveport,42,27848.16,6937.02,6053.69
DRG065,PID190098,RIDLAShreveport,28,14186.75,10019.21,9222.07
DRG065,PID190111,RIDLAShreveport,115,26446.13,6933.53,5633.5
DRG065,PID190144,RIDLAShreveport,16,22336.75,7187.18,6034.81
DRG065,PID190236,RIDLAShreveport,35,20810.77,6464.57,5113
DRG065,PID450032,RIDLAShreveport,21,32736,6518.52,5606.71
DRG066,PID190041,RIDLAShreveport,35,17784.57,5063.45,4038.97
DRG066,PID190086,RIDLAShreveport,11,21415.54,5093.72,3707.36
DRG066,PID190098,RIDLAShreveport,33,15056.9,7104.75,6289.24
DRG066,PID190111,RIDLAShreveport,66,18260.98,4875.83,3590.12
DRG066,PID190144,RIDLAShreveport,23,15477.21,5306.82,4142.34
DRG066,PID190236,RIDLAShreveport,40,18323.72,4786.57,3366.77
DRG069,PID190041,RIDLAShreveport,31,17568.83,4598.09,3767.51
DRG069,PID190086,RIDLAShreveport,16,22470.68,4461.37,3509.06
DRG069,PID190098,RIDLAShreveport,17,9390.41,6337.88,5544.47
DRG069,PID190111,RIDLAShreveport,76,18200.72,4440.23,3246.05
DRG069,PID190144,RIDLAShreveport,24,12252.12,4779.87,3729.5
DRG069,PID190236,RIDLAShreveport,23,14699,3952.73,2829.08
DRG069,PID450032,RIDLAShreveport,23,21246.95,4467.47,3487.3
DRG074,PID190041,RIDLAShreveport,24,24912.08,5859.29,5108.62
DRG074,PID190111,RIDLAShreveport,37,20989.27,5482.02,4092.1
DRG101,PID190041,RIDLAShreveport,19,22071.26,4813.94,3900.57
DRG101,PID190086,RIDLAShreveport,19,15862.57,4932.89,3803.36
DRG101,PID190098,RIDLAShreveport,24,9254.29,6661,5440
DRG101,PID190111,RIDLAShreveport,51,17701.82,4510.19,3675.52
DRG101,PID190236,RIDLAShreveport,24,13634.58,5170.5,2769.29
DRG149,PID190111,RIDLAShreveport,21,14387.85,4003.19,2639.04
DRG176,PID190041,RIDLAShreveport,24,31983.87,6692.45,5991.62
DRG176,PID190111,RIDLAShreveport,31,26431.12,6233.35,5507.16
DRG176,PID190144,RIDLAShreveport,11,22656.81,7019.63,6508
DRG176,PID190236,RIDLAShreveport,17,22722.17,5574.17,4744.64
DRG177,PID190041,RIDLAShreveport,19,47957.94,12126.36,11049.15
DRG177,PID190086,RIDLAShreveport,14,55962.5,12375.14,11973.14
DRG177,PID190111,RIDLAShreveport,33,47768.42,11583.36,10784.03
DRG177,PID190114,RIDLAShreveport,12,22175.83,11461.75,10709.75
