drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID190040,RIDLASlidell,11,39018.09,5506.72,4134.27
DRG039,PID190250,RIDLASlidell,48,37828.52,5411.83,4475.16
DRG064,PID190040,RIDLASlidell,11,52845.45,10494.27,10037
DRG065,PID190040,RIDLASlidell,19,29955.84,6513.36,5687.68
DRG066,PID190040,RIDLASlidell,11,21274.36,4699.18,3584.63
DRG069,PID190040,RIDLASlidell,17,23689.29,4252.76,3043.94
DRG176,PID190040,RIDLASlidell,15,31617.2,5931.46,4724.8
DRG177,PID190040,RIDLASlidell,13,73304.15,12898.76,12250.53
DRG177,PID190204,RIDLASlidell,17,81597.29,11541.11,10875.23
DRG177,PID250162,RIDLASlidell,14,36573.5,13020.71,12454.71
DRG178,PID190040,RIDLASlidell,22,44322.72,8530.68,7211.86
DRG178,PID250162,RIDLASlidell,14,22946.07,9727,8824.21
DRG190,PID190040,RIDLASlidell,28,31815.5,6796.57,5242.82
DRG190,PID190204,RIDLASlidell,38,50238.6,7184.92,6092.13
DRG190,PID250117,RIDLASlidell,41,17796.17,7033.26,5953.9
DRG190,PID250162,RIDLASlidell,13,24520.46,7657.76,6963.61
DRG191,PID190040,RIDLASlidell,50,30615.22,5738.12,4283.18
DRG191,PID190204,RIDLASlidell,24,36430.45,5854.2,5104.87
DRG191,PID190250,RIDLASlidell,14,19706.35,5210.42,4222
DRG191,PID250117,RIDLASlidell,22,14711.59,5981.27,5519.63
DRG192,PID190040,RIDLASlidell,39,23222.61,4299.17,3076.43
DRG192,PID250117,RIDLASlidell,70,13315.81,4452.88,3552.24
DRG192,PID250162,RIDLASlidell,11,19066.09,4703.18,3882.81
DRG193,PID190040,RIDLASlidell,37,38679.21,8412,7592
DRG193,PID190204,RIDLASlidell,24,84326.29,9053.5,8312
DRG193,PID190250,RIDLASlidell,16,31912.75,7537.68,6900.93
DRG193,PID250162,RIDLASlidell,17,29420,9152.05,8689.7
DRG194,PID190040,RIDLASlidell,61,33368.21,5710.91,4903.88
DRG194,PID190204,RIDLASlidell,19,42541.36,5879,5233.73
DRG194,PID190250,RIDLASlidell,17,22225.52,5441.7,4022.58
DRG194,PID250117,RIDLASlidell,38,18526.42,6282.07,5270.15
DRG194,PID250162,RIDLASlidell,38,19878.86,6567.47,5543.78
DRG195,PID190040,RIDLASlidell,25,23096.28,4336.44,2933.84
DRG195,PID250117,RIDLASlidell,40,13803.6,4390.15,3327.3
DRG195,PID250162,RIDLASlidell,15,19915.33,6514.8,3356.53
DRG207,PID190204,RIDLASlidell,12,138823.25,23567.25,22157.58
DRG208,PID190040,RIDLASlidell,27,73389.88,13467.62,12633.85
DRG208,PID250117,RIDLASlidell,22,30652.09,12190.45,11475.9
DRG238,PID190250,RIDLASlidell,14,65732.57,16314.28,15431.71
DRG244,PID190250,RIDLASlidell,12,48226.41,10660.16,9913.5
DRG247,PID190040,RIDLASlidell,18,78893.22,11648.88,10588.72
DRG247,PID190250,RIDLASlidell,20,51363.4,10715.75,8928.95
DRG252,PID190040,RIDLASlidell,11,70075.36,17056.54,16647.81
DRG253,PID190040,RIDLASlidell,11,107708.63,14133.54,13313.18
DRG253,PID190250,RIDLASlidell,16,67448.25,13990.81,13428.81
DRG254,PID190250,RIDLASlidell,14,53593.42,8595.64,7793.92
DRG280,PID190040,RIDLASlidell,12,50985.66,10270.83,8715.66
DRG280,PID250117,RIDLASlidell,12,23045.5,10192.91,9535.25
DRG281,PID190040,RIDLASlidell,12,37826.25,6828.16,5903.5
DRG287,PID190040,RIDLASlidell,33,38584.42,6969.57,4782.9
DRG287,PID190250,RIDLASlidell,15,24521.73,5887.33,4539.46
DRG291,PID190040,RIDLASlidell,38,47331.73,10704.18,7940.71
DRG291,PID190204,RIDLASlidell,37,62202.02,8868.08,8246.94
DRG291,PID190250,RIDLASlidell,23,35378.21,7777.6,7262.21
DRG291,PID250117,RIDLASlidell,21,18956.9,9121.23,8637.61
DRG291,PID250162,RIDLASlidell,14,28545.5,9763,9358.71
DRG292,PID190040,RIDLASlidell,67,27972.23,5883.95,5125.76
DRG292,PID190204,RIDLASlidell,26,39082.73,5829.42,5355.42
DRG292,PID190250,RIDLASlidell,32,21093.87,5355.31,4723.56
DRG292,PID250117,RIDLASlidell,25,13150.32,6143.84,5471.04
DRG292,PID250162,RIDLASlidell,22,20414.4,6578,5863.45
DRG293,PID190040,RIDLASlidell,29,21323.62,3928.17,3115.06
DRG293,PID190250,RIDLASlidell,16,13974.93,3557.56,2712.56
DRG293,PID250117,RIDLASlidell,29,12757.75,4220.34,3522.13
DRG300,PID250162,RIDLASlidell,16,16182.43,6426,5421.81
DRG305,PID190040,RIDLASlidell,11,21391.18,3519.45,2499.09
DRG308,PID190040,RIDLASlidell,20,35808.4,7268.15,6046.5
DRG308,PID190204,RIDLASlidell,13,87962.53,9245.84,8556.61
DRG308,PID190250,RIDLASlidell,20,26161.1,6585,5794.2
DRG309,PID190040,RIDLASlidell,27,24389.77,4808.74,4048.33
DRG309,PID190204,RIDLASlidell,11,54073.45,5088,4682.18
DRG309,PID190250,RIDLASlidell,11,15429.72,4562.45,3365.18
DRG309,PID250117,RIDLASlidell,12,16234.5,5016.41,3900.75
DRG310,PID190040,RIDLASlidell,27,15028.4,3340.66,2279.62
DRG310,PID190204,RIDLASlidell,15,22261,3308.53,2558.13
DRG310,PID190250,RIDLASlidell,31,14616.9,3054.48,2096.74
DRG310,PID250117,RIDLASlidell,34,10289.64,3516.7,2622.47
DRG310,PID250162,RIDLASlidell,20,15316,3721.1,2986.9
DRG312,PID190040,RIDLASlidell,17,27299.82,4110.82,3020.7
DRG312,PID190250,RIDLASlidell,19,16188.15,4013.21,2688.89
DRG312,PID250162,RIDLASlidell,20,17505.05,4686,3791.6
DRG313,PID190040,RIDLASlidell,21,18525.8,3168.42,2192.28
DRG313,PID190204,RIDLASlidell,15,26776.6,3042.13,2174.26
DRG313,PID190250,RIDLASlidell,15,15311.53,3058.73,1882.6
