drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID220012,RIDMABoston,37,17176.13,8463.32,7489.48
DRG039,PID220033,RIDMABoston,14,12700.28,7516.28,5854.71
DRG039,PID220035,RIDMABoston,31,26927.19,7374.96,6432.77
DRG039,PID220060,RIDMABoston,18,23619.83,6833,5772.77
DRG039,PID220063,RIDMABoston,23,14110.86,7935.47,6468.65
DRG039,PID220071,RIDMABoston,91,46292.18,9265.93,8290.94
DRG039,PID220074,RIDMABoston,49,23507.81,7958.42,5772.28
DRG039,PID220080,RIDMABoston,33,15678.09,6894.72,5377.9
DRG039,PID220082,RIDMABoston,14,16556.07,7037.57,5997.85
DRG039,PID220086,RIDMABoston,54,16529.98,10300.5,8943.53
DRG039,PID220100,RIDMABoston,14,18007.92,8159.07,4760.57
DRG039,PID220101,RIDMABoston,12,38979.91,6961.16,6120.16
DRG039,PID220110,RIDMABoston,50,51636.44,9795.64,8261.6
DRG039,PID220111,RIDMABoston,24,24429.95,7697.66,6755.66
DRG039,PID220116,RIDMABoston,18,31229.16,11240.5,9323.38
DRG039,PID220126,RIDMABoston,16,9929.25,6582.75,5747.75
DRG039,PID220135,RIDMABoston,17,15441.11,7024,6030.82
DRG039,PID220171,RIDMABoston,23,14741.95,9084.21,5813.86
DRG039,PID220175,RIDMABoston,17,13692.35,7494.7,6638.47
DRG057,PID220002,RIDMABoston,34,11241.17,7173,6051.29
DRG057,PID220010,RIDMABoston,20,12548.95,7281.7,6144.85
DRG057,PID220011,RIDMABoston,14,9013.64,9032.07,8151.78
DRG057,PID220012,RIDMABoston,33,9683.54,7616.78,6665.03
DRG057,PID220017,RIDMABoston,22,9897.09,8530.09,7821.36
DRG057,PID220020,RIDMABoston,11,14204.45,6564.54,6049.27
DRG057,PID220029,RIDMABoston,16,8700.18,5549.12,4813.25
DRG057,PID220031,RIDMABoston,46,11849.67,10913.54,9881.91
DRG057,PID220033,RIDMABoston,23,9515.56,6147.82,5225.21
DRG057,PID220035,RIDMABoston,25,22183.8,6668.32,5725.12
DRG057,PID220036,RIDMABoston,25,25287.64,11856.4,11093.08
DRG057,PID220052,RIDMABoston,15,10954.93,7461.93,6418.2
DRG057,PID220060,RIDMABoston,18,9465.83,6053.5,5174.83
DRG057,PID220063,RIDMABoston,16,14288.37,6805.5,5891.75
DRG057,PID220070,RIDMABoston,22,7659.54,6116.72,4688.63
